round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_ece,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6872167271760696,0.10245684213627293,3.66096,3.66096,1.0,0.47391444436779095,1.862925406210731,0.21252694495798627,0.2073994897589822,0.27695222808141173,0.3415211926679178,0.11189427312775325,0.6477101622203891,0.25581894661644183,0.6494224441121461,0.19866306161947905,1.7442493907721737,0.259103219981944,0.27067481601596605,0.4828324615955353,0.3393594856317765,0.2128634865806276,0.11389601892395189,0.024531232729915593,2.637989069802643,0.021672833483804773,0.02661272707322517,0.008914706414605072
2.0,0.6602605366466846,0.2246509547263326,7.32192,7.32192,1.0,0.5195513155791953,1.929226839547154,0.22775258078411362,0.21393726590441034,0.28898005444849933,0.36169371472881445,0.11189427312775325,0.6547034415466931,0.2619912668576038,0.6584035596469668,0.20580704901407917,1.8069731581355453,0.2736046999580361,0.27650186672700533,0.5093575716018677,0.3596823118768441,0.2278942273763765,0.11389601892395189,0.017461259596072587,2.0086098980482348,0.01653621566676015,0.01819392630593455,0.006614105278649583
3.0,0.64863383862898,0.2780348159040439,10.98288,10.98288,1.0,0.48379461004945584,1.9856803539726917,0.20279842992433061,0.2196756028951639,0.29286413197383937,0.3241658117727636,0.11189427312775325,0.6583699766918657,0.27430743167261123,0.659972366609242,0.20794476236409964,1.8257421490995562,0.2702625975869411,0.276796623347773,0.4662223756313324,0.321922634652459,0.20316655555969546,0.11389601892395189,0.012661942270579702,1.563623543954236,0.012787127952877992,0.012659605771255305,0.004601311302446217
4.0,0.645058063589896,0.3223863280661562,14.64384,14.64384,1.0,0.506531083484428,2.0106652464004457,0.20883018807192985,0.2223480178611343,0.2955193565394003,0.3332558638498871,0.11189427312775325,0.6612264626148948,0.27814170634743224,0.6603692179216814,0.21038051285256862,1.8471278877011426,0.2745248118382447,0.2759285026222841,0.4734296500682831,0.33088878120738985,0.20907655740126213,0.11389601892395189,0.010475938838717358,1.378718264233612,0.010251187602560058,0.010688028708894293,0.004820152618339025
5.0,0.6452342774516477,0.3049957541354015,18.3048,18.3048,1.0,0.5266166511855085,2.016575254304197,0.2202213341040948,0.2240603663585439,0.2961530965692917,0.34981090910146634,0.11189427312775325,0.6631555971600528,0.2771500157097893,0.6608188522281476,0.2116591088936883,1.858353881842109,0.2717883254032726,0.2758042544273289,0.4805596172809601,0.3474912320667871,0.22056621187688114,0.11389601892395189,0.009074350538137271,1.2647955635802646,0.009077695326946607,0.009111448826174371,0.0045114890906455055
6.0,0.646374269011736,0.3387511762376097,21.96576,21.96576,1.0,0.520595541350717,2.0393151527374593,0.21380570540401103,0.22643500009875103,0.2962262438876482,0.33920081138066926,0.11189427312775325,0.6665156729945273,0.2786724600026501,0.6597820541735736,0.21196152142858923,1.8610090451898538,0.2706378986866792,0.274012474012474,0.47409895062446594,0.33674719881397036,0.21440386748786008,0.11389601892395189,0.009059147745711262,1.3367664531060655,0.008653762932638427,0.00941029197757983,0.004335450488972853
7.0,0.6410612058053775,0.38489596545414567,25.62672,25.62672,1.0,0.5263454933486095,2.0564422561645466,0.21467356987933006,0.22890899968903197,0.2983730779382904,0.3422288040701438,0.11189427312775325,0.6700048811176746,0.2790846235963645,0.6603961490451198,0.21230296299275458,1.8640068810000179,0.27581395348837207,0.2778574844571975,0.5047904253005981,0.3396883838014074,0.2154528351947357,0.11389601892395189,0.007957904159409668,1.2507382091716863,0.007423899013210888,0.008406957332837634,0.004775129670897013
8.0,0.6416238721674266,0.41233023021544524,29.28768,29.28768,1.0,0.5204112155546999,2.0710172758484187,0.2065805187548914,0.23067549538392038,0.3002079819165032,0.3294551061544875,0.11189427312775325,0.6718631820214589,0.28533626052572486,0.6600818229273363,0.21191163316998676,1.8605710293656503,0.2739759627176846,0.2768942937324602,0.49016356468200684,0.3269288183283065,0.20762181045888628,0.11389601892395189,0.0075852021631124525,1.2658431747513532,0.0067624083905720505,0.008286526743721297,0.0048339928622899864
9.0,0.6388258528254697,0.3912949906084704,32.94864,32.94864,1.0,0.5189724924018202,2.0875038362498604,0.2073005104309594,0.23267529660521633,0.30035056786545977,0.3293728198295797,0.11189427312775325,0.6715408555506414,0.2851563642674685,0.659968576674816,0.21208715872449413,1.8621121328753751,0.2751560549313358,0.275984391628237,0.4883418679237366,0.32673179959907667,0.20834956463748186,0.11389601892395189,0.007486149217555383,1.3290868595122447,0.00675001214157753,0.008140723682640271,0.0042915783161564984
10.0,0.6438118207837306,0.4934608956015822,36.6096,36.6096,1.0,0.5183270942197046,2.106772920572162,0.20816317169038287,0.23568321230224784,0.3028813766841611,0.33145933104169073,0.11189427312775325,0.673893500012267,0.28492099653894576,0.6587924546070016,0.21059931343591973,1.849048943286915,0.27315737051792827,0.2750420369925534,0.49256351590156555,0.328777780103599,0.2096647908433437,0.11389601892395189,0.007376362910614347,1.394877872953657,0.006193754208688647,0.008454548687745433,0.0038302915876221874
