round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_ece,fed_brier,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6891956601114578,0.09956134395474789,0.4589,3.66096,1.0,1.872030377360956,0.6450613397560935,0.2573544738353808,0.5112236166393529,0.20940891072297807,0.37016598103344744,0.23454333269984748,0.11404833836858005,0.2804373353246862,0.6587308995462069,0.21489978952463423,1.8868068572978158,0.2745324405449088,0.2772248665801241,0.5131546258926392,0.3687820895547097,0.23325786151479197,0.11389601892395189,0.03226907738058016,3.4971282821879868,0.029406156087918155,0.03439407212561701,0.014168562567903937
2.0,0.6646488910061878,0.173971725063351,0.9178,7.32192,1.0,1.898799496891769,0.652195613195352,0.26566483133728336,0.5180925741896769,0.21436406735857474,0.3278457891666832,0.20564305718690232,0.11404833836858005,0.28892975284112254,0.6631659887369172,0.22115406624528705,1.9417190199856864,0.27842966826017673,0.2819369225868111,0.5149021744728088,0.32597831849471337,0.20381607412084193,0.11389601892395189,0.027789792017517283,3.26067978480296,0.03023118191676503,0.026322216774038617,0.010138396553225097
3.0,0.6542510707076892,0.29177616683652313,1.3767,10.98288,1.0,1.9488810737069868,0.6559747461887838,0.26649130300677165,0.5390256935953794,0.2196771552369812,0.3494414062589062,0.22075665664878524,0.11404833836858005,0.29287918232740573,0.6653371317344562,0.22354823019294331,1.9627396313316794,0.2796916405685377,0.2822006472491909,0.551253616809845,0.34741888112967007,0.21882948120490317,0.11389601892395189,0.02607063543052477,3.338916157537824,0.03137453285504581,0.02240245881825896,0.009840163824875703
4.0,0.6532347720363544,0.3698325627263641,1.8356,14.64384,1.0,1.9668925220089297,0.6583544807606733,0.2682086330648324,0.5325547716611281,0.22241689328512754,0.34038603963744934,0.21497156273884382,0.11404833836858005,0.29433782734743397,0.6649003480665737,0.22338519143996377,1.961308161166876,0.2787334829219646,0.28219584569732936,0.5345732569694519,0.33828910667860035,0.21335257665705895,0.11389601892395189,0.023136103651263378,3.140834100160646,0.0273533067585304,0.02019938234617205,0.007678761019699016
5.0,0.64814336148332,0.3787133205292389,2.2945,18.3048,1.0,1.980326904839422,0.660985069942443,0.2719334678586722,0.5253871327973265,0.22469845525170773,0.336097313607935,0.21199244698743552,0.11404833836858005,0.2955678827112129,0.6662044494432536,0.2240074545056223,1.9667715923871891,0.28057091423428054,0.2852188990030342,0.5229235887527466,0.33416612680298885,0.2105451466557897,0.11389601892395189,0.0206245034362182,3.08632956657857,0.0210651698537792,0.020378904704302106,0.008407398307912201
6.0,0.6487845619520796,0.3233344615436155,2.7534,21.96576,1.0,1.9904826633437076,0.6633539241418437,0.27396134871070044,0.5619592245626905,0.22625617506101983,0.34455492522863884,0.21737359071280912,0.11404833836858005,0.2947052746512872,0.6670343195880527,0.22445000021874184,1.9706571163703852,0.27892611071513423,0.2852069389427674,0.5244763493537903,0.34281583454346853,0.2161688052927133,0.11389601892395189,0.020586867225296547,3.3697861898399424,0.021263305240693153,0.020084155337415508,0.009348624523893748
7.0,0.646099590436136,0.3317683669478646,3.2123,25.62672,1.0,1.9885444790735036,0.66383505756719,0.27422289673747846,0.5578358027059866,0.2261775659190593,0.3515137930926825,0.22203142426680827,0.11404833836858005,0.29293682152458045,0.6672723450392444,0.22468060644242718,1.9726818247479387,0.2797419971333015,0.283355795148248,0.5612524151802063,0.34989804574168204,0.2208231524439061,0.11389601892395189,0.021675031705732793,3.829831437710709,0.021965926755889435,0.0214954179256104,0.009560316127871223
8.0,0.6460486248312175,0.3197324788971637,3.6712,29.28768,1.0,2.022897583441737,0.6655969171127554,0.27226398305901733,0.5455596254011175,0.23008438000877665,0.3298469642430453,0.20950337598002192,0.11404833836858005,0.2969919216274368,0.6666734601032096,0.2234985130561592,1.9623031179464547,0.2789961013645224,0.28110599078341014,0.5597655773162842,0.32773153240989744,0.20838988095622613,0.11389601892395189,0.0209788174841394,4.01986070366911,0.021649545095053402,0.020378602706382316,0.009161902022365113
9.0,0.6448329609369301,0.42486743152215256,4.1301,32.94864,1.0,2.0198748186083333,0.6678547676510972,0.278787384196452,0.5286339621668285,0.23022375056911448,0.3419523536577476,0.2155619357044452,0.11404833836858005,0.2975465189699367,0.6664701715344401,0.22427162862283403,1.9690910247932343,0.27975047984644913,0.28372497824194953,0.533378541469574,0.34009078874598325,0.2147717186626018,0.11389601892395189,0.019223563917188196,4.083584093521495,0.017299228290685684,0.021469037705132248,0.00794238382738356
10.0,0.6467294416276484,0.38344828515608864,4.589,36.6096,1.0,2.04552744220676,0.6699216988279603,0.276210793814114,0.5546869620181853,0.2331538275930367,0.3531073951917397,0.22301222995291392,0.11404833836858005,0.30079585552486654,0.667289738579359,0.22284671206560355,1.9565803455729018,0.27956034195625623,0.2833816170661048,0.5317529439926147,0.35147355654452167,0.2224455439013815,0.11389601892395189,0.015459677273679343,3.6403322693149676,0.011908925498691207,0.01975987895522653,0.006851179015502523
