round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6298967523336859,0.12409299549268668,3.65056,3.65056,0.9971592150692714,1.8195062867114469,0.11335599194360522,0.2558364263404637,0.1694224706567247,0.651163950080245,0.2851423865144646,0.3768350552891315,0.204597349960095,0.006341597268220421,0.6394756733646771,0.19554811577785794,1.7169003589881835,0.010484927916120577,0.2561386615310544,0.47950947284698486,0.3599546131361016,0.22954649048352924,0.11389601892395189,0.02597341928496924,2.7979413410648704,0.020929506786063735,0.029415160657518653
2.0,0.612425745577011,0.27649016629355405,5.632,5.632,0.5412350858791136,1.9577288286731098,0.11335599194360522,0.15324382065895717,0.12576354916837842,0.6711987647737016,0.2991455316636411,0.29194883137288585,0.21920394181326217,0.002390960324757777,0.6478516041386887,0.20347896189819836,1.786532697284712,0.019039376893119863,0.26122697518648197,0.4671105444431305,0.34215837171977803,0.21659911988517142,0.11389601892395189,0.0203794740204499,1.3633506568148732,,0.0203794740204499
3.0,0.6074401061604557,0.34369174888974485,7.61344,7.61344,0.5412350858791136,2.0826757743609297,0.11335599194360522,0.1108935733245121,0.11323098985863697,0.6843329506595314,0.3109671976712079,0.2552852475910643,0.23306158801037918,0.006255551978183931,0.6509230699031066,0.2050998720803532,1.8007641884067778,0.045454545454545456,0.26610644257703076,0.45663633942604065,0.3343355795869626,0.2111212174990888,0.11389601892395189,0.013723682746464396,0.9626622388605028,,0.013723682746464396
4.0,0.5943419524515324,0.37113772083644786,9.59488,9.59488,0.5412350858791136,2.175142199687889,0.11335599194360522,0.09035020712035623,0.1093488146904326,0.6949001814270233,0.314199832068859,0.234675588106881,0.24309849279003853,0.005450149176824137,0.649093698674311,0.20432829388202117,1.7939897795589388,0.06216768916155419,0.2663853356191481,0.46616268157958984,0.34532543681601324,0.21887147024019604,0.11389601892395189,0.011473883451374234,0.843730934895575,,0.011473883451374234
5.0,0.6084384851667205,0.4466885375855421,11.264,11.264,0.4559241291901578,1.953505702312482,0.11335599194360522,0.08483084540135132,0.11092626137848811,0.6682477078164524,0.2969120513935973,0.22805408887613904,0.2182258135761929,0.016324241883441087,0.6571955117739208,0.21006800231979447,1.8443840645567813,0.09143742735373886,0.2718497950548724,0.46959030628204346,0.34831993332464284,0.2208104352414634,0.11389601892395189,0.014740212823608236,0.6841080382000655,0.014740212823608236,
6.0,0.6002520190377862,0.3866293727782815,13.24544,13.24544,0.5412350858791136,2.0494367612587236,0.11335599194360522,0.08729676666227802,0.1104451498084674,0.680858634412937,0.3056018562498236,0.24568233471495088,0.2288691446652126,0.01854436845257184,0.6600733645968622,0.21157351745054473,1.8576023942664044,0.08480565371024736,0.27559506739317463,0.45617544651031494,0.3282396697834254,0.20652768961946272,0.11389601892395189,0.008170425046981046,0.6266615630593151,,0.008170425046981046
7.0,0.5925512897403408,0.3796542146429353,15.22688,15.22688,0.5412350858791136,2.2205628662703867,0.11335599194360522,0.07800061930972645,0.1084426886095664,0.6939309182771457,0.3138338471132479,0.22667147696753526,0.24761964827781746,0.04446866570352681,0.6605718413695085,0.21246288525877546,1.8654109886021253,0.0913312693498452,0.2769017980636238,0.44694218039512634,0.3183799651858972,0.199873635665023,0.11389601892395189,0.009653948061367087,0.7638243560213596,,0.009653948061367087
8.0,0.5832403919532274,0.4841156702209267,17.20832,17.20832,0.5412350858791136,2.3261339982373443,0.11335599194360522,0.08400675586303077,0.1073448905871815,0.7021989388290487,0.3188262703152396,0.24569961668835338,0.2588184326030092,0.054008588747530756,0.660102755412842,0.21171369754885533,1.8588331668573603,0.11140186915887851,0.27585219134918365,0.4507960081100464,0.32147962682901976,0.20187260905773524,0.11389601892395189,0.009271859861046363,0.771440458483994,,0.009271859861046363
9.0,0.5684505822436757,0.4560452664167786,19.18976,19.18976,0.5412350858791136,2.477008931796574,0.11335599194360522,0.07853975535065831,0.10629337406131324,0.7136271569607314,0.33213940067691194,0.23334405020494595,0.2745811305682596,0.06727059324484369,0.6596246087520178,0.21041801198122073,1.8474571277308327,0.10751879699248121,0.2753239515117737,0.45211663842201233,0.3243560567509457,0.20385744759885374,0.11389601892395189,0.011103702092854708,0.967715275241062,,0.011103702092854708
10.0,0.5952179267494404,0.6051708467422854,22.84032,22.84032,0.9971592150692714,1.9914402543514143,0.11335599194360522,0.07143427221566881,0.10821508803970219,0.6712712234697256,0.296191053491674,0.20453390630181556,0.2237396032544219,0.04064260228581854,0.660174475529548,0.21325217715810163,1.8723409226488383,0.133764832793959,0.27550554964269425,0.46599334478378296,0.33708275236086993,0.21243825890993215,0.11389601892395189,0.009128688275648989,1.286869338946417,0.012119888065084447,0.007495875501551728
11.0,0.5963138603313758,0.4148367020083522,24.82176,24.82176,0.5412350858791136,2.182025792644797,0.11335599194360522,0.07608136577411646,0.1088760572386972,0.6866407170151303,0.3105212115658089,0.20906881080454537,0.2435889944136397,0.05419516309260171,0.6605959237674016,0.21446503683436785,1.8829897555731572,0.10374858008330178,0.27769531777088113,0.45871448516845703,0.3325598805586329,0.20933581066840137,0.11389601892395189,0.007242207396718326,0.6739478167146444,,0.007242207396718326
12.0,0.5789439238371921,0.4015196676676857,26.8032,26.8032,0.5412350858791136,2.33563471407681,0.11335599194360522,0.08394509500649,0.10977958440690405,0.7000784823257483,0.31742165738654204,0.224736537366509,0.25930273057844233,0.09399551056988188,0.6603682767128005,0.2140319140404064,1.8791869642372225,0.1092690278824416,0.2766942612599972,0.4607563316822052,0.33368995695566755,0.21012603064618907,0.11389601892395189,0.007287803823053943,0.7011969366576523,,0.007287803823053943
13.0,0.5615604374491356,0.44449477348190297,28.78464,28.78464,0.5412350858791136,2.457640514572345,0.11335599194360522,0.0740524976779116,0.10673397643328311,0.7097984501398543,0.3266684475601999,0.22149953493625224,0.27194870411610805,0.08747902036120071,0.6603933756162848,0.21421104477540276,1.8807597210086069,0.12966316551973922,0.27795843347942883,0.4652163088321686,0.33878797583997833,0.2136417980555141,0.11389601892395189,0.00840871383809097,0.845811833278276,,0.00840871383809097
