round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_ece,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_auroc,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6292614736364025,0.13388541950707813,3.65056,3.65056,0.9971592150692714,0.003586433583295419,0.22424668947784637,0.2557075654530723,0.3922943595275357,0.1680640305686873,2.035006219511586,0.646952745921201,0.29306045849733425,0.11423716012084592,0.6477530909425135,0.20281505723394266,1.7807036554048636,0.0,0.2762359623079902,0.4566000699996948,0.339485431914121,0.2155316194715014,0.11389601892395189,0.025271367623858523,2.734605790115893,0.020368737834201348,0.028556095756787754
2.0,0.6172252046883007,0.30731009887414656,7.30112,7.30112,0.9971592150692714,0.004133499889979457,0.23662948656229976,0.1452980861728983,0.30327280722971167,0.12371248502510768,2.137784535152065,0.6620981805680907,0.30425022613945873,0.11423716012084592,0.6647184814119278,0.21928220021159633,1.9252841520124646,0.0,0.2857536511435657,0.44281595945358276,0.3204982239872816,0.20215596610561598,0.11389601892395189,0.017520004789910976,2.0020015430636704,0.014221370372854189,0.019771820349184184
3.0,0.6083923515236557,0.4164439293965299,10.95168,10.95168,0.9971592150692714,0.00392959046659953,0.23998384048352114,0.10227333138413608,0.26700044136441875,0.11327158057107076,2.172446599664804,0.6652637530398692,0.3063320011538534,0.11423716012084592,0.6668482614165249,0.22314675380438265,1.9592146934773658,0.0,0.2890001352996888,0.4345415532588959,0.30910800601463023,0.19447968759557427,0.11389601892395189,0.012301733853898834,1.4933733998332173,0.010966559242447027,0.013237481251307378
4.0,0.6033134448576002,0.45816162066117216,14.60224,14.60224,0.9971592150692714,0.002115120972860443,0.24458935189141204,0.08069978131371489,0.23444243424739936,0.10961700105428268,2.2099742970460814,0.669210232990563,0.3105267488415702,0.11423716012084592,0.6674764869707326,0.2241485087858333,1.9680100402411498,0.0,0.28986688399891336,0.4272487163543701,0.2996731913034555,0.18833364134423888,0.11389601892395189,0.010600432524242084,1.3627799805253744,0.00951694353097717,0.011387067899408222
5.0,0.6032255168624275,0.5379714265681343,18.2528,18.2528,0.9971592150692714,0.003078691044116507,0.24837576674955217,0.06702206917257167,0.2267564901433067,0.10751043488112831,2.243738449253874,0.6719709018426925,0.3098929942407432,0.11423716012084592,0.6691046779386511,0.22461855202901904,1.972136990837198,0.0,0.2908951602605031,0.42672038078308105,0.2998471733107109,0.18822295021695165,0.11389601892395189,0.010046588997243193,1.3711445888038725,0.008726575035140243,0.01104111821252145
6.0,0.5997926503888086,0.47747467717563163,18.2528,18.2528,0.0,0.03206234813416513,0.26475658942207814,0.06912519757282778,0.21405202268800075,0.10741269130185889,2.389125508702845,0.687696709896552,0.31867388828608456,0.11423716012084592,0.6691046779386511,0.22461855202901904,1.972136990837198,0.0,0.2908951602605031,0.42672038078308105,0.2998471733107109,0.18822295021695165,0.11389601892395189,0.0,0.0,,
7.0,0.5850510011096484,0.3774863507425495,18.2528,18.2528,0.0,0.06557321705285374,0.2766540829649621,0.07003878136371777,0.23082232328970267,0.10499549039161231,2.508409481585178,0.6962842341589713,0.32913776809549145,0.11423716012084592,0.6691046779386511,0.22461855202901904,1.972136990837198,0.0,0.2908951602605031,0.42672038078308105,0.2998471733107109,0.18822295021695165,0.11389601892395189,0.0,0.0,,
8.0,0.568027692410373,0.4363414768646581,18.2528,18.2528,0.0,0.09778593392133826,0.2802260883685889,0.07355050535317818,0.25767629363171735,0.10445196492420628,2.5200231382221157,0.7057666168017175,0.33017264381716555,0.11423716012084592,0.6691046779386511,0.22461855202901904,1.972136990837198,0.0,0.2908951602605031,0.42672038078308105,0.2998471733107109,0.18822295021695165,0.11389601892395189,0.0,0.0,,
9.0,0.6014250648497855,0.5971985232906079,21.90336,21.90336,0.9971592150692714,0.02419890431299238,0.25063316127265917,0.08323206169828999,0.23187437259441115,0.11005409224846745,2.2638077172666278,0.6741912177809994,0.3114015293711458,0.11423716012084592,0.6690812606617006,0.22366874737780537,1.963797764758999,0.0,0.29009874566319727,0.4365544617176056,0.3077099887310417,0.19338960968247657,0.11389601892395189,0.00916976850240848,1.330114999320358,0.007653139743037814,0.010346287087200704
10.0,0.5933769206492276,0.40132009964129595,21.90336,21.90336,0.0,0.054003521313694305,0.26588943080281713,0.07489965969970036,0.23147738869850643,0.10685545325532089,2.3979069821258108,0.6901322682541831,0.3220384258327279,0.11423716012084592,0.6690812606617006,0.22366874737780537,1.963797764758999,0.0,0.29009874566319727,0.4365544617176056,0.3077099887310417,0.19338960968247657,0.11389601892395189,0.0,0.0,,
11.0,0.5816090634759374,0.40390228819122614,21.90336,21.90336,0.0,0.08584828731770637,0.28004982640820236,0.06607710947423884,0.2154489046240306,0.1055288252272098,2.550593520333953,0.698059409440356,0.3295179605959817,0.11423716012084592,0.6690812606617006,0.22366874737780537,1.963797764758999,0.0,0.29009874566319727,0.4365544617176056,0.3077099887310417,0.19338960968247657,0.11389601892395189,0.0,0.0,,
