round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auroc,fed_brier,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6887472661535502,0.11165855100642201,0.526995,3.65056,0.9971592150692714,0.1734706972654302,0.24996700799559535,0.5635824864421334,0.2541636022482813,0.16186508898564864,0.5046454160041961,1.5032256292995037,0.11334885770029582,0.3922693972279528,0.4067665213155701,0.09898433685794845,0.8690763539684392,0.2045002711006687,0.20458457914288303,0.5212332010269165,0.4092710600644942,0.2684839272674725,0.11389601892395189,0.48641968464381496,10.340481905266643,0.3142257329163291,0.6246022927587705
2.0,0.6868491893973718,0.07884517989580034,0.8092425,5.632,0.5412350858791136,0.21565843159451495,0.2843150539099774,0.647430279777788,0.24528386395680693,0.20941365328379863,0.5012877884190381,1.9721336410825532,0.11334885770029582,0.38265633299844565,0.452577905866964,0.1301695892492613,1.1428809406953482,0.2045002711006687,0.2046916040213749,0.5224236845970154,0.4116736702394867,0.2703889447406982,0.11389601892395189,0.08281050828041966,0.9644131449749693,,0.08281050828041966
3.0,0.680524083350636,0.10969099782071372,1.09149,7.61344,0.5412350858791136,0.22655404934110224,0.29812374582866613,0.671243486292096,0.24405058064446905,0.24599417783438254,0.5082175579693163,2.019277562026566,0.11334885770029582,0.38229262461760727,0.4904920961294027,0.14954213136745456,1.3129706620150043,0.2045002711006687,0.20482146093891607,0.5236228704452515,0.4139282297005717,0.27212344730948224,0.11389601892395189,0.05269866577256563,0.6694412462529726,,0.05269866577256563
4.0,0.6742633328525,0.13381865626848138,1.3737375,9.59488,0.5412350858791136,0.2309505698236684,0.30446440332876384,0.6806361919124035,0.24016216879850766,0.2679010188296188,0.510758606113146,2.0327833156664243,0.11334885770029582,0.3783357637900449,0.44421899214951477,0.11928462707771936,1.0473116462250136,0.2045002711006687,0.2048488150367747,0.5240310430526733,0.41548168477717373,0.2736031623937356,0.11389601892395189,0.04314276587427003,0.6115345258731395,,0.04314276587427003
5.0,0.679538994082645,0.12987797730968723,1.618485,11.264,0.4559241291901578,0.21461686915399958,0.28379279144847763,0.6535692333808384,0.2029943285828952,0.26223165053435576,0.4679000441783761,1.8925600285008755,0.11334885770029582,0.32115430688683977,0.4458488145461599,0.11918652257591708,1.0464502947684031,0.2045002711006687,0.20462673729005387,0.5236673355102539,0.41700556195852023,0.2749126788966857,0.11389601892395189,0.055886037328392396,0.5177334588952363,0.055886037328392396,
6.0,0.6727511278919821,0.12153639866053896,1.9007325,13.24544,0.5412350858791136,0.22311200802874936,0.2924225516098616,0.6658564829183921,0.2299285011525935,0.27238793785592436,0.49693763888732284,1.9621477455991605,0.11334885770029582,0.36479218606794606,0.4250918833208198,0.10750914246932686,0.9439236198511071,0.2045002711006687,0.20457421804375336,0.5228198170661926,0.41824905884584485,0.2761200236696161,0.11389601892395189,0.026517919001694305,0.4157903519226238,,0.026517919001694305
7.0,0.6588763519664569,0.2108323764786173,2.18298,15.22688,0.5412350858791136,0.23088105207132575,0.30178782451706243,0.6750451088209003,0.2317132373891187,0.2754648092166992,0.5173443536156264,2.033973948366155,0.11334885770029582,0.3687065199305439,0.4309050278073262,0.11075299780044937,0.9724044689779622,0.2045002711006687,0.20454853732423023,0.5235509872436523,0.41988011693503285,0.2774448454817839,0.11389601892395189,0.021185084956431482,0.3630496257392224,,0.021185084956431482
8.0,0.6486093831692994,0.22072530339322854,2.4652275,17.20832,0.5412350858791136,0.2380669957708679,0.3082004417481557,0.6811863131953423,0.22415434440454096,0.28026924846871154,0.5070558225495587,2.0983504356830864,0.11334885770029582,0.3586392759202043,0.4279160621386605,0.10962351602802316,0.9624876888912028,0.2045002711006687,0.20459271313624447,0.5233443975448608,0.4209789896630528,0.27841674886798584,0.11389601892395189,0.01862098204892957,0.34931324965145905,,0.01862098204892957
9.0,0.6438734095238969,0.4119704594263102,2.747475,19.18976,0.5412350858791136,0.24115916810751534,0.31127483241611537,0.68770629575097,0.22180534888908254,0.2832279765268945,0.5190750935771812,2.1283932651775683,0.11334885770029582,0.35604815700688286,0.4237483264678629,0.10911351575301732,0.9580099180277071,0.2045002711006687,0.2046225519019404,0.5234984159469604,0.4213480785188344,0.2787298550190067,0.11389601892395189,0.01802881817776793,0.3699943251267541,,0.01802881817776793
10.0,0.6627295314221948,0.23296424794156487,3.27447,22.84032,0.9971592150692714,0.21596233850978908,0.28371512681897165,0.6540140383259979,0.22138634556130374,0.26070714756829744,0.48468660326944557,1.9061434731263764,0.11334885770029582,0.3533300722145782,0.42901484193538847,0.10852107234734751,0.9528083015773078,0.2045002711006687,0.20470375395748533,0.5242535471916199,0.4218369911508859,0.27914085369673325,0.11389601892395189,0.020307610860278665,0.6719755562953651,0.03593667402405624,0.01227280828949583
11.0,0.6553722146565945,0.2091584988461726,3.5567175,24.82176,0.5412350858791136,0.2272832411707611,0.2968292163191973,0.6685406379674058,0.2225936157232734,0.2760038118297373,0.514264569947865,2.0098705076401155,0.11334885770029582,0.3558963457688307,0.4277032861843738,0.10645669830786413,0.9346832252226921,0.2045002711006687,0.20464821848435522,0.5241628289222717,0.4231884771321175,0.2803592554733463,0.11389601892395189,0.012395716438100493,0.2861113070102874,,0.012395716438100493
12.0,0.6402954661800256,0.28466245841925675,3.838965,26.8032,0.5412350858791136,0.2344068288989805,0.30079709516887504,0.6787563014783017,0.21539713742154812,0.2818297230223199,0.5172375833697839,2.076445034256693,0.11334885770029582,0.34588073105120787,0.4297211376288835,0.10725187327184177,0.9416648122130906,0.2045002711006687,0.20454648167397296,0.523668646812439,0.42334409494801767,0.28048789723240963,0.11389601892395189,0.01238135684089441,0.3052379172295332,,0.01238135684089441
13.0,0.632147758530389,0.390231406796314,4.1212125,28.78464,0.5412350858791136,0.24080939027637385,0.3103943363303182,0.68637234183244,0.2166994274279221,0.28723371146321625,0.5286959443700662,2.1332030193721936,0.11334885770029582,0.3485675994028971,0.45361692517449637,0.12136590283058409,1.0655851185774967,0.2045002711006687,0.20451875282422052,0.5236066579818726,0.42488194839710425,0.2816632269204964,0.11389601892395189,0.012398070749858707,0.32812973493128084,,0.012398070749858707
14.0,0.6185606834447919,0.46447402709098434,4.40346,30.76608,0.5412350858791136,0.24745142677819779,0.3140885906808775,0.691110095086836,0.21586758229316763,0.29151750827347095,0.520177427345199,2.19563704829894,0.11334885770029582,0.3476060048103018,0.4463305754490859,0.11550403550322394,1.0141182860864146,0.2045002711006687,0.20450951154489178,0.5239118337631226,0.4257531642607831,0.2825107211279432,0.11389601892395189,0.010999765186794975,0.31339190268772654,,0.010999765186794975
15.0,0.6478004518140585,0.3803444486434283,4.6482075,32.4352,0.4559241291901578,0.2166739009408953,0.2873189994908665,0.6560702287564721,0.19667554687489416,0.2647184332085132,0.47041019018364566,1.9167498118520057,0.11334885770029582,0.3120485739479417,0.44597275293156446,0.11430119618186338,1.0035574312582605,0.2045002711006687,0.20450951154489178,0.5237640738487244,0.42630108731809,0.2830351709603155,0.11389601892395189,0.02565393656709153,0.34443563589593396,0.02565393656709153,
16.0,0.6471399768368794,0.3470877610978418,4.930455,34.41664,0.5412350858791136,0.22757542648101173,0.29879309029837675,0.6709479384822659,0.21905099969689396,0.273275121826083,0.5019882978531854,2.0164649885301524,0.11334885770029582,0.3503843197922957,0.45138861942427233,0.11726574900767872,1.029586021667507,0.2045002711006687,0.2045002711006687,0.5232176184654236,0.426618204985467,0.28327082396711484,0.11389601892395189,0.008510545853745473,0.2547084428661037,,0.008510545853745473
17.0,0.6334859398573912,0.42789464277568284,5.2127025,36.39808,0.5412350858791136,0.23686315700960456,0.3058457741889587,0.6800345036322241,0.21356959304593864,0.28298029078192993,0.5296069257370709,2.101539546493546,0.11334885770029582,0.34260216160067847,0.46582947433509114,0.12794648324156563,1.123362207479747,0.2045002711006687,0.20469259378300197,0.5258091688156128,0.42785117470376344,0.2841252527874902,0.11389601892395189,0.007786977275521529,0.2434211469371803,,0.007786977275521529
18.0,0.6284832303505679,0.6531072214573685,5.49495,38.37952,0.5412350858791136,0.24468511401996654,0.31371730528674835,0.6871209609730071,0.21946921606753556,0.28476594106827513,0.5371066216979381,2.172109331481899,0.11334885770029582,0.3510764685505566,0.46399497038053306,0.12590340673984812,1.105424122189148,0.2045002711006687,0.20454648167397296,0.524259090423584,0.429085887518183,0.28523731352128934,0.11389601892395189,0.008044097342595431,0.2648058808117639,,0.008044097342595431
19.0,0.6138971170349559,0.5720277873421813,5.7771975,40.36096,0.5412350858791136,0.2504246926328823,0.3131502589000837,0.6905518110778962,0.20328768917512013,0.2922840674258931,0.5338205855971161,2.2273001096783904,0.11334885770029582,0.32676569312675857,0.4482589618521264,0.11501249594835451,1.0098025992036481,0.2045002711006687,0.20454853732423023,0.5238129496574402,0.4302166043269124,0.2864829534428556,0.11389601892395189,0.008054454971261548,0.27979948531719856,,0.008054454971261548
20.0,0.6439311609720917,0.5360925221176764,6.3041925,44.01152,0.9971592150692714,0.2161701866260311,0.28693687339024937,0.6556078002154351,0.20206230062989278,0.2599432624693346,0.4837955788666024,1.9105837557908623,0.11334885770029582,0.3226848658549643,0.4338183077325354,0.10512803401898076,0.9230176349638217,0.2045002711006687,0.20457835685848716,0.5238644480705261,0.43084481588469054,0.2873413917685105,0.11389601892395189,0.009589824569977253,0.4969589898828417,0.018590549112078494,0.0056808979970660615
21.0,0.6484132613382962,0.49717691091929905,6.58644,45.99296,0.5412350858791136,0.22912642967015384,0.30079948185640787,0.6718694863437753,0.21417635450488187,0.28218225260870616,0.5162017582755415,2.04038988845258,0.11334885770029582,0.34203963843659313,0.4340318115550232,0.10412395574611583,0.9142018898451504,0.2045002711006687,0.20451359052055537,0.5224406719207764,0.42965860598472144,0.2863248470116418,0.11389601892395189,0.005671705804194165,0.2092783199623227,,0.005671705804194165
22.0,0.6298024690306351,0.47870784937929267,6.8686875,47.9744,0.5412350858791136,0.24023446066982068,0.30991243679655783,0.6818842420909724,0.21625189238167936,0.28216740453883876,0.523693609717089,2.1514037959484784,0.11334885770029582,0.3463291954667651,0.43558626194450545,0.1053064194368958,0.9245838478973409,0.2045002711006687,0.20456703594845127,0.5224840641021729,0.4300485950296506,0.2866480364428574,0.11389601892395189,0.005564621053729826,0.21295182201720309,,0.005564621053729826
23.0,0.6145175323168461,0.5191658790280423,7.150935,49.95584,0.5412350858791136,0.24765818660853797,0.31356724823384785,0.6886807102711142,0.2140863509853473,0.2919353010942972,0.5362980222640505,2.21412855877394,0.11334885770029582,0.34331605698922957,0.42681852473765497,0.10025599611978059,0.8802414436164032,0.2045002711006687,0.20452998048204804,0.5216284990310669,0.4301758783081648,0.2869520575818953,0.11389601892395189,0.006506501820926212,0.2573144127964042,,0.006506501820926212
24.0,0.6048416525820746,0.708047381714678,7.4331825,51.93728,0.5412350858791136,0.25660247345429066,0.3278544371523652,0.69537699007089,0.2098454260796843,0.30386078577666453,0.5364737990493105,2.305702884833198,0.11334885770029582,0.33698076271170135,0.4279994406960348,0.10100555602958158,0.8868225332530961,0.2045002711006687,0.204578488372093,0.5207365155220032,0.4296187192128118,0.28647324766903626,0.11389601892395189,0.005888143439227978,0.24446601857198402,,0.005888143439227978
25.0,0.6445799792731409,0.6296480273733711,7.67793,53.6064,0.4559241291901578,0.21873295637486445,0.2884248624349929,0.6578518924338713,0.19886027892336178,0.2684546702802426,0.49214446601667206,1.9389647126674627,0.11334885770029582,0.31337709639420025,0.431876003987513,0.1012464852409854,0.8889378768241886,0.2045002711006687,0.20451875282422052,0.5189900994300842,0.4296745036495392,0.28651900417521403,0.11389601892395189,0.01667868848422323,0.30019992499728687,0.01667868848422323,
26.0,0.6428602818870846,0.5564983725764574,7.9601775,55.58784,0.5412350858791136,0.2318298678583183,0.29927752497707605,0.6712506287650701,0.20669899381095339,0.28152854155814344,0.5170767226703248,2.0716383120392536,0.11334885770029582,0.32968884308342,0.43317665426496377,0.10187307038961216,0.8944392556655784,0.2045002711006687,0.20451875282422052,0.5191712379455566,0.4296979998581075,0.2865160993529884,0.11389601892395189,0.004745442295297931,0.20151022794743767,,0.004745442295297931
27.0,0.6256181087235286,0.5431514417157108,8.242425,57.56928,0.5412350858791136,0.24161406646831343,0.31004642877120286,0.6824772747477719,0.21223606663142494,0.2823518035885731,0.547073536679506,2.1635152624687146,0.11334885770029582,0.3384196757810728,0.4400802582616931,0.10640576780334887,0.9342360585438527,0.2045002711006687,0.2046246436490339,0.5194186568260193,0.4295066999971516,0.28623972877426884,0.11389601892395189,0.004841278888326682,0.2105702691624174,,0.004841278888326682
28.0,0.6145083042537577,0.7194461274328184,8.5246725,59.55072,0.5412350858791136,0.25251358380647154,0.3181048804422282,0.6904426063134471,0.21200855818119152,0.2922701206546092,0.5251615459311714,2.2551203322476066,0.11334885770029582,0.33925665729134696,0.45187529971228124,0.11299081214916508,0.9920523405177909,0.2045002711006687,0.20459271313624447,0.5220965147018433,0.43202155703980877,0.2882078474109959,0.11389601892395189,0.005596065300862954,0.251483729458414,,0.005596065300862954
29.0,0.6018314303721914,0.831244401823992,8.80692,61.53216,0.5412350858791136,0.2590433536033739,0.32273718158586007,0.6953669579033266,0.20776100873153502,0.2946221732766645,0.5401316022016126,2.3131323138931106,0.11334885770029582,0.33383239168912665,0.45254700911677515,0.11385664304401578,0.9996542822101412,0.2045002711006687,0.20453723788864786,0.5221682786941528,0.4321295842142108,0.2882879546497023,0.11389601892395189,0.006087668516494536,0.28523194856825285,,0.006087668516494536
30.0,0.644710448669992,0.7953474626575376,9.333915,65.18272,0.9971592150692714,0.21728584799674425,0.2861414474495166,0.6568726597034564,0.20230416340686214,0.26557179075979903,0.49481009088601535,1.92297023586081,0.11334885770029582,0.319897798719224,0.4541647087430373,0.11434108666221501,1.003907667207932,0.2045002711006687,0.2045649717514124,0.522219181060791,0.4330738180056511,0.28913277197286325,0.11389601892395189,0.0077408221462769424,0.5314040853118058,0.014278187531703183,0.0049482468726994916
31.0,0.6416727931296119,0.5985823048661805,9.6161625,67.16416,0.5412350858791136,0.2348939710922785,0.3020308845149996,0.6733823253881482,0.21076679217188501,0.2821686465980176,0.521576823516522,2.120886230389969,0.11334885770029582,0.3355201657284003,0.45764710630474914,0.11718012334818756,1.0288342336743874,0.2045002711006687,0.20457421804375336,0.5219498872756958,0.4329543237003624,0.2889624559359244,0.11389601892395189,0.0036162904220945497,0.17594784051470924,,0.0036162904220945497
32.0,0.6294620147718424,0.8234166680184873,9.89841,69.1456,0.5412350858791136,0.24394189095394592,0.31299123991334826,0.6823993844771904,0.20988753603117227,0.28629006034508114,0.5447208569662649,2.2035563470461446,0.11334885770029582,0.33479886048071505,0.44880316882692095,0.11013687020676748,0.9669949068220339,0.2045002711006687,0.20454648167397296,0.5224127769470215,0.43391410654039575,0.28997385416738186,0.11389601892395189,0.0037440632845008146,0.1847716142219724,,0.0037440632845008146
33.0,0.6074745040591814,0.6616448044678505,10.1806575,71.12704,0.5412350858791136,0.25333046315671354,0.3224558934693881,0.6905487182826461,0.21134345976929728,0.2911438928180896,0.5561909043257726,2.2730274274758377,0.11334885770029582,0.33785081045761073,0.45391063254306757,0.11460742085533093,1.006246064946783,0.2045002711006687,0.2045649717514124,0.5223221182823181,0.4334087863386748,0.28942387705645245,0.11389601892395189,0.004192146384702806,0.21342424661270343,,0.004192146384702806
34.0,0.6003668581786672,0.8367871270304551,10.462905,73.10848,0.5412350858791136,0.26094660522739144,0.32488558293802744,0.6964710267507528,0.20532304515117358,0.29912418776236693,0.542449671244995,2.3363136519301433,0.11334885770029582,0.3294872014728049,0.45438112403832925,0.11675555640519054,1.0251065621806146,0.2045002711006687,0.2045649717514124,0.5225867033004761,0.4337092384165778,0.2896695577696262,0.11389601892395189,0.004337905549955625,0.22961268229119014,,0.004337905549955625
35.0,0.6454878415948652,0.844781931340826,10.7076525,74.7776,0.4559241291901578,0.22025064395489768,0.28893842642779183,0.6583278143726394,0.2064232635506783,0.271233976014494,0.5045940025658986,1.9573732449451082,0.11334885770029582,0.3245034394390115,0.45563959560847495,0.11597897273774196,1.018288205623595,0.2045002711006687,0.2046204620462046,0.5225623250007629,0.4334744322437352,0.28945275731688097,0.11389601892395189,0.011195790699713493,0.2597055545193143,0.011195790699713493,
36.0,0.6430027971611589,0.670537538031605,10.9899,76.75904,0.5412350858791136,0.2333015613838848,0.29785837276441957,0.6712876069569489,0.21117346666201578,0.280221189630698,0.5365455166190964,2.0910242301020623,0.11334885770029582,0.3351543539917802,0.4580997399301818,0.11833338152510892,1.038959769121692,0.2045002711006687,0.2046112115732369,0.5219710469245911,0.43331802338309244,0.28927879898598036,0.11389601892395189,0.0035059490768585403,0.1891215725481743,,0.0035059490768585403
37.0,0.6299620840845612,0.7502575979222685,11.2721475,78.74048,0.5412350858791136,0.2457404736130654,0.3141997356467245,0.6826655127469744,0.21257532891813524,0.28963537213883284,0.5462549320757446,2.2064971401554154,0.11334885770029582,0.3398170085907905,0.4634619951650476,0.12426832682976023,1.0910682217324374,0.2045002711006687,0.2046389655016503,0.5212866067886353,0.4323181151665777,0.2882755594941228,0.11389601892395189,0.0032851210645292524,0.18126592269254616,,0.0032851210645292524
