round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_prevalence,fed_ece,fed_auprc,fed_auroc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.1714967972878538,0.026063182012801323,3.66096,3.66096,1.0,0.25134313722062057,0.5097829279511388,0.24742944361977123,0.2805251760490979,0.1138595166163142,0.38528136872805563,0.21047581535060997,0.6453402392031998,1.8666020010096098,0.6557342410636232,0.21297980301210812,1.8699494944973822,0.2586504404686223,0.2744140625,0.5119333267211914,0.38485590654510493,0.24706564415867732,0.11389601892395189,0.021419601716555072,2.315672051136062,0.01866765267873378,0.023416951598911717,0.007838162182695708
2.0,0.16647041966827308,0.02214340150489503,7.32192,7.32192,1.0,0.26631788435226816,0.5105441270840672,0.23421448209821982,0.2891614098855472,0.1138595166163142,0.3693337576840849,0.21762571127378078,0.6538512767186145,1.9306100951792222,0.6628901141392715,0.22034471643282436,1.934612978702513,0.2795643153526971,0.28068165544894746,0.5043083429336548,0.3684688950798113,0.23357373006183332,0.11389601892395189,0.013290139377153945,1.5124930333176962,0.013101398151527896,0.013496600610715757,0.005105196296056379
3.0,0.1642827476196493,0.032877779386323226,10.98288,10.98288,1.0,0.2647300236617094,0.5187876855003509,0.24044306173799362,0.2914203592555723,0.1138595166163142,0.3783270387280984,0.21981093604958485,0.6569538304167875,1.9410406500715627,0.6656959456586653,0.2226874859744896,1.9551823503434085,0.27384181403927527,0.28200180110639395,0.5097223520278931,0.377321842914439,0.23979303501942723,0.11389601892395189,0.010466643811476028,1.253647275545518,0.010851108779313294,0.010251230417291979,0.004927223054146525
4.0,0.1621019998663672,0.02937660676096752,14.64384,14.64384,1.0,0.2666609538536536,0.5217115328443673,0.23871943382626545,0.2930652787288615,0.1138595166163142,0.3766004522588978,0.22398045774178024,0.6600806837961107,1.9759483792962815,0.6658519604427224,0.2228055327542265,1.9562187937665603,0.2764428475185268,0.28136580201164635,0.5114235281944275,0.37542009288390277,0.23817172996503358,0.11389601892395189,0.008801010782535316,1.1090059516463953,0.00922638374901755,0.008535543375795393,0.004270287019830711
5.0,0.16386813239084683,0.04162780814474169,18.3048,18.3048,1.0,0.2712014523387192,0.5165798641020978,0.23404551600607096,0.29782065013102144,0.1138595166163142,0.37041393527901784,0.22599459551253823,0.6623278788834395,1.9925641899512838,0.6684098273451449,0.22410643322613086,1.9676406194299576,0.2799069425737725,0.28456104944500504,0.5125826001167297,0.36951376000590164,0.23356336735053895,0.11389601892395189,0.007904254798026505,1.049226393824938,0.008126694665967774,0.007763643585169422,0.0048127518377211395
6.0,0.16404327781671726,0.037502045687101616,21.96576,21.96576,1.0,0.2713092601322359,0.5185666314897399,0.23804007739246594,0.2960520925124337,0.1138595166163142,0.3758948371958546,0.22847267274789315,0.6648647940805519,2.016060954554754,0.6679732068201351,0.22367354820052215,1.9638399156854505,0.27579493835171964,0.28517635245387224,0.5090041756629944,0.3749638327571164,0.23772459206052357,0.11389601892395189,0.007871916178497081,1.0957937691600819,0.00778675104952003,0.007965852850299174,0.004178148372416671
7.0,0.16236048194500702,0.033391027816177185,25.62672,25.62672,1.0,0.2696574165762205,0.5242542492287666,0.24080795704246374,0.3005007813510532,0.1138595166163142,0.37941126106916534,0.23113205711559687,0.667135318355271,2.036209134467642,0.6677852536813942,0.22382645404679097,1.965182419556204,0.2735966735966736,0.28307421531240834,0.5193693041801453,0.37862243396423867,0.24056759366502808,0.11389601892395189,0.007928252068117612,1.1601420788738324,0.007228155341825038,0.008509716514767817,0.004765007671527701
8.0,0.16259085158762515,0.031198983484705522,29.28768,29.28768,1.0,0.2735704655792597,0.5277390223998139,0.2350028314719915,0.29783417446990934,0.1138595166163142,0.372162482985422,0.2306270669963051,0.6678146782882626,2.0262821247998155,0.6668578993954629,0.22408313656709236,1.9674360762048422,0.27758169190481613,0.2808961695976873,0.5043315887451172,0.37132437198617696,0.2347092195809096,0.11389601892395189,0.00750116625938621,1.1618842801071878,0.006821968952031073,0.00808438867152899,0.004070839688849954
9.0,0.16433756239099545,0.05243890828607376,32.94864,32.94864,1.0,0.2760576905121754,0.5264341799675488,0.23864511557980342,0.3009865081992444,0.1138595166163142,0.37705079864331664,0.23317833845017227,0.6712597570231054,2.056310320341006,0.6670690188221196,0.2234409176135616,1.9617974335235773,0.277229892614508,0.28104497196707623,0.5052710175514221,0.3763292362909083,0.23850685570357483,0.11389601892395189,0.0080738019530428,1.3216191274041194,0.007055335486107644,0.00896883368303856,0.004039147646625078
10.0,0.16283940302614686,0.035700738930657304,36.6096,36.6096,1.0,0.27420335520123124,0.5304157608484122,0.24348020491287403,0.302628118537047,0.1138595166163142,0.3837436184001954,0.2365513179940117,0.6729780979492952,2.0808343600622226,0.6667679574748275,0.22219806401207937,1.9508852557914294,0.2735549872122762,0.2822909809084924,0.5179065465927124,0.3830014276506917,0.24357131298648707,0.11389601892395189,0.007952974462204006,1.3847891992991208,0.006610202681522075,0.009153431183656253,0.003782795072076736
