round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_auprc,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883008593339465,0.11374796955615749,3.65056,3.65056,0.9971592150692714,0.21748106955415084,0.2768809487184223,0.13686823753284108,1.2046759106547162,0.5192011627615817,0.4526895528928968,0.41556932704015725,0.1142299704197873,0.169875608663408,0.5067770553253623,0.12718501966832946,1.1166766044145109,0.20453723788864786,0.20493737520421132,0.5303748250007629,0.4916223852055092,0.3430508479844835,0.11389601892395189,0.027216286314929245,2.930916950572282,0.02303749589802085,0.029990311381142425
2.0,0.6970468658296128,1.3582777064183882,5.632,5.632,0.5412350858791136,0.2516047420423272,0.26642331072676684,0.17640807328595767,1.5380081111053783,0.6013895396894956,0.5288719292951658,0.4074873462768595,0.1142299704197873,0.2204446863240623,0.5481700540063146,0.13911557791443782,1.221426167733966,0.2043570813895557,0.2089374379344588,0.5928102135658264,0.4947382091119945,0.34586476407063427,0.11389601892395189,0.008295421629659041,2.5503084731753916,,0.008295421629659041
3.0,0.6982895994529047,2.1367806208400286,7.61344,7.61344,0.5412350858791136,0.2669278715136844,0.23903502065792048,0.2003938141823223,1.7520970281926462,0.6316094439474887,0.5081148764993195,0.37260757147162965,0.1142299704197873,0.23474030904451615,0.5003168862059388,0.12589900695611822,1.1053854923601913,0.2044468546637744,0.20499795909111523,0.5624513626098633,0.5874194625315665,0.4490267651744832,0.11389601892395189,0.003286341560991224,1.841313439188525,,0.003286341560991224
4.0,0.7115628963677728,4.008095983487543,9.59488,9.59488,0.5412350858791136,0.2788272918146731,0.24320905041482185,0.2088242029145159,1.814507613049338,0.6451896475570963,0.5203451508560838,0.3807649222787043,0.1142299704197873,0.24229969212370314,0.5655083012364372,0.15247861768322482,1.3387528302023834,0.2045002711006687,0.21808898614150254,0.7437348961830139,0.6453105666429948,0.5181105655614491,0.11389601892395189,0.0017510629120254932,1.4102033349918202,,0.0017510629120254932
5.0,0.7197060228942987,4.80770270026146,11.264,11.264,0.4559241291901578,0.2711301099691823,0.21216394567946498,0.19886604257349597,1.7527699433261579,0.6307478671093483,0.47789406241865834,0.3346112499254918,0.1142299704197873,0.2315485754487708,0.5225945850922854,0.13614026741738436,1.1953031256367697,0.2044283777677361,0.20455059483421542,0.5995975136756897,0.6897812555637123,0.5799488426267443,0.11389601892395189,0.003010005755160281,0.766366871073842,0.003010005755160281,
6.0,0.7489061370804592,8.682294458220625,13.24544,13.24544,0.5412350858791136,0.26662197037470925,0.22250470670921427,0.19595968266052854,1.727960946314674,0.6277737368731285,0.498737773504039,0.34998192777285697,0.1142299704197873,0.2432679447061122,0.4888691884806675,0.12243874681476075,1.0750046223873093,0.20418895638770515,0.2045269352648257,0.4784661531448364,0.6498264125188552,0.5295562665229454,0.11389601892395189,0.00154505629063718,1.6102655555587262,,0.00154505629063718
7.0,0.7252224573471623,6.92580576400527,15.22688,15.22688,0.5412350858791136,0.2755729929734376,0.21346781335861692,0.20474668454943246,1.787383264279599,0.6453307393510009,0.4832138487200161,0.337866258036292,0.1142299704197873,0.251863804665446,0.5653673206955669,0.15066751396923878,1.322851451637121,0.204515513560169,0.22110912343470482,0.8033502101898193,0.6449376238484983,0.5202052468098276,0.11389601892395189,0.0009735514994957793,1.2561144068604335,,0.0009735514994957793
8.0,0.7319599223936144,9.158179117911406,17.20832,17.20832,0.5412350858791136,0.28947165457128976,0.2326652373126028,0.21463696093746615,1.8740040474736226,0.6571617296742583,0.5300389582893684,0.3659240403243966,0.1142299704197873,0.26091822398446757,0.5519400850019545,0.14477154492822777,1.2710852082098796,0.2045742180437534,0.2105191995673337,0.8302052617073059,0.7315355127903157,0.6388539362870629,0.11389601892395189,0.0007043874904032007,1.0848811303731054,,0.0007043874904032007
9.0,0.7302640786572574,10.805373632068303,19.18976,19.18976,0.5412350858791136,0.29371706112359547,0.2190675410645685,0.224474852396721,1.9826050073156,0.6670336983579098,0.5138375067963715,0.34778204908823906,0.1142299704197873,0.26961906004445224,0.51503193408787,0.13126534585645608,1.1525016159177754,0.20464821848435522,0.20504186385147433,0.6146551370620728,0.7384644112815446,0.6504539570597271,0.11389601892395189,0.0005471807795339683,0.9840390413301066,,0.0005471807795339683
10.0,0.754387269540534,15.758202426701558,22.84032,22.84032,0.9971592150692714,0.24961784881185922,0.23212523798019136,0.18195971597413071,1.60105756443278,0.6043556823638772,0.5110390888593505,0.36206105740084304,0.1142299704197873,0.23098280123742612,0.4191849818803486,0.09258356551490368,0.8128779775588251,0.20253396988615496,0.2045002711006687,0.045361801981925964,0.7263355853172072,0.6474466355236158,0.11389601892395189,0.0007591829918141457,1.888242055196315,0.001417385031508566,0.0006101705528745912
