round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_brier,fed_f1,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6884822149782077,0.09087375118805552,3.65056,3.65056,0.9971592150692714,0.6017372297481683,0.11468496254799519,0.5056745699884877,0.38490576004827404,1.5755278201674692,0.24837234992910165,0.18954949702612095,0.181087007706657,0.2634319724038671,0.5288911219104442,0.14412178364012854,1.2653803442977083,0.2045002711006687,0.20502691225124686,0.5308026671409607,0.4198539611425558,0.27711411684002973,0.11389601892395189,0.02723856070185791,2.9086444112472236,0.022774413389083464,0.030227226281149395
2.0,0.6817044567216192,0.10870561142206792,5.632,5.632,0.5412350858791136,0.657885158004572,0.11468496254799519,0.5121798431504895,0.3586080041163261,1.9735185520542624,0.22827821776586213,0.24845688058730436,0.22432853611257067,0.29682461945971067,0.649771632606869,0.2054954686821485,1.804237502097043,0.20866307656286584,0.2695248498088476,0.532982587814331,0.4108409231652479,0.2683967156525864,0.11389601892395189,0.022816784528187195,1.5416040141135454,,0.022816784528187195
3.0,0.6668310235797511,0.18336174662833013,7.61344,7.61344,0.5412350858791136,0.6714721662517255,0.11468496254799519,0.5335231354213791,0.3629887047072912,2.082988945586325,0.22959388364903766,0.2697099393269564,0.2367684556968845,0.308300675255332,0.6512564335391827,0.20479493516064567,1.7980868611166012,0.2099976308931533,0.27098831030818277,0.5353740453720093,0.4122133422728256,0.2694115671154576,0.11389601892395189,0.016282725220886068,1.1762054988648742,,0.016282725220886068
4.0,0.6521861114846933,0.2379986400834168,9.59488,9.59488,0.5412350858791136,0.6786680647017249,0.11468496254799519,0.548932149322531,0.3401235392088668,2.151001944611153,0.21507546885818005,0.2842614944675746,0.2437185677607195,0.31693137736560484,0.6506496926463576,0.1982935631280876,1.7410052168767,0.2160573762326925,0.2667178110216085,0.5333224534988403,0.4080036864591368,0.26603012655922176,0.11389601892395189,0.013036528093614216,0.9904960703570396,,0.013036528093614216
5.0,0.6580070664312341,0.27113963519350054,11.264,11.264,0.4559241291901578,0.65866866654612,0.11468496254799519,0.531036093573127,0.34282228235459467,1.9542457703175862,0.21735533006607477,0.2794205861496828,0.2220005250784035,0.2993390650061033,0.6534883158831534,0.20207716590497016,1.7742250151859709,0.22052840294587217,0.2686608890131395,0.5339955687522888,0.4066244200366247,0.2648007841324338,0.11389601892395189,0.018201264785656344,0.829477840103209,0.018201264785656344,
6.0,0.6517142004349599,0.2950186519470125,13.24544,13.24544,0.5412350858791136,0.6702714634337422,0.11468496254799519,0.5406660786575176,0.33104620605815976,2.074713769056687,0.21016239367675135,0.28361253189728464,0.23512049857423487,0.3105768480202751,0.6520024482474415,0.19473859378989444,1.7097928060147647,0.2278353402408289,0.26735725736835614,0.5307900309562683,0.40228016613096007,0.2612612749336583,0.11389601892395189,0.009253786226331636,0.7376795813906938,,0.009253786226331636
7.0,0.634491363956453,0.3805364417927358,15.22688,15.22688,0.5412350858791136,0.6813455478632523,0.11468496254799519,0.5642594452800822,0.36818747637089844,2.1785703578532054,0.23398463672286332,0.28470285676820745,0.24598036660910616,0.31709614520453416,0.6543853632431277,0.20428362182031856,1.7935975616208173,0.2334589121732988,0.27086221236484614,0.534183919429779,0.40162820838749136,0.2603805279945218,0.11389601892395189,0.009555494724021257,0.7876956227701157,,0.009555494724021257
8.0,0.6193423176507868,0.4217512799255709,17.20832,17.20832,0.5412350858791136,0.689057033831203,0.11468496254799519,0.5439568906356531,0.3294369341398625,2.299881143115918,0.20960628906988035,0.2968564782825591,0.25923043788492384,0.32380690225840414,0.654308723741339,0.20577608450421409,1.8067012916545424,0.23523746463612832,0.26939154667905246,0.535900354385376,0.40112177758915474,0.25990573581303134,0.11389601892395189,0.009133883944413612,0.7869861146900803,,0.009133883944413612
9.0,0.6062009186967213,0.6610042278213819,19.18976,19.18976,0.5412350858791136,0.6996249948602647,0.11468496254799519,0.549774610989493,0.3565723665909565,2.411767594293709,0.2245261441493933,0.30319639140980514,0.2714009903063827,0.3370548107984097,0.6535399694265237,0.20536132487434208,1.80305972776328,0.22984601449275363,0.2685541506322155,0.5340108871459961,0.4040864943240056,0.26240079749526724,0.11389601892395189,0.010397696066729656,0.9422230964992195,,0.010397696066729656
10.0,0.6452090381896983,0.4913396233112125,22.84032,22.84032,0.9971592150692714,0.6617974445705522,0.11468496254799519,0.5453214767656489,0.35703318339522844,2.0275033830014486,0.22705679329796322,0.2760463226101122,0.2304457875946269,0.30394618613198204,0.6558243712260348,0.20675187842451817,1.8152687019075349,0.23824839188520536,0.27221438645980256,0.5318809151649475,0.39828256888996527,0.2575494779241354,0.11389601892395189,0.009640717113134587,1.3933313431916758,0.013909070453629248,0.0074058865184041785
11.0,0.6439356852883253,0.41139897826496385,24.82176,24.82176,0.5412350858791136,0.6758658561240597,0.11468496254799519,0.5474001180947804,0.3623234211203584,2.1543002029406626,0.23039087377423767,0.2839564089592318,0.24412064670035027,0.3126199033372579,0.6561763707979479,0.20430173262535578,1.793756573368623,0.24118666923521478,0.2732309242004533,0.5287057161331177,0.3950853500997267,0.25501373839223773,0.11389601892395189,0.007028578334458447,0.6823135640006512,,0.007028578334458447
12.0,0.6229266979781174,0.48435051187954914,26.8032,26.8032,0.5412350858791136,0.6859276450752918,0.11468496254799519,0.5741783443801074,0.35068308585770386,2.265123369450594,0.2224430652173037,0.29131473210109776,0.25632682420332337,0.3215937064413694,0.6534144372607478,0.19161980812305995,1.682410060802951,0.24393828067597356,0.27304301362543415,0.5290495157241821,0.39183130868578353,0.25249888739421833,0.11389601892395189,0.007501359182135505,0.7535500007215887,,0.007501359182135505
13.0,0.6079484702604807,0.596411746234539,28.78464,28.78464,0.5412350858791136,0.6967278026088702,0.11468496254799519,0.5471631774591244,0.33769225794030583,2.4169229465657582,0.2123064109198491,0.30229110410293875,0.2726609217137793,0.331436307612997,0.6550363786016989,0.1961740762952059,1.7223962536055881,0.24592733964964897,0.2720108695652174,0.5300598740577698,0.39023933973602287,0.25115166627932084,0.11389601892395189,0.0075377241759865135,0.789493917953223,,0.0075377241759865135
