round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_f1,fed_ece,fed_auroc,fed_brier,fed_auprc,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6890041127284963,0.09823670128028963,0.5282475,3.66096,1.0,0.28159626015439954,0.4832483472645822,0.0,0.3674393666125947,0.6439004734916924,0.23571845311112663,0.20871527984116653,0.11398539778449143,1.8477715299902078,0.6589719870636237,0.2156004986827009,1.8929590403564225,0.0,0.2770670826833073,0.48324277997016907,0.3674876513067876,0.2356624193303927,0.11389601892395189,0.4501064792744787,9.862868880069072,0.31980668571877924,0.5495783842946037,0.5378217583559912
2.0,0.6854360420656654,0.06635992594949729,1.056495,7.32192,1.0,0.284162993916808,0.48500132479884045,0.15910412565580143,0.3649969048186581,0.6491392131523697,0.23298503201205373,0.2132489604213559,0.11398539778449143,1.8890192669676462,0.6620102218798286,0.21962182405000735,1.928266028302959,0.17694543106231836,0.28041517781180875,0.48716920614242554,0.36511244789734115,0.23279485401655484,0.11389601892395189,0.07044625034861535,1.5486851236801158,0.055787870371818954,0.08097184668027577,0.08883925509941508
3.0,0.6773579495507717,0.08860346111718662,1.5847425,10.98288,1.0,0.28409457568722124,0.4893389489362907,0.24577833597295248,0.3651267801676872,0.650666728656538,0.23187823141524455,0.21569554498244703,0.11398539778449143,1.9155726302973661,0.6643118415271297,0.22186644632991695,1.9479736730574988,0.2559474979491386,0.2804463852498787,0.4923627972602844,0.36464789765813144,0.23151345045027352,0.11389601892395189,0.03316935227047946,0.8499117423416465,0.032558333392424144,0.03358008936972278,0.03874239417424355
4.0,0.6699743973221721,0.11208905377885459,2.11299,14.64384,1.0,0.2860588293336527,0.4929192734118795,0.25460468528985813,0.3633415170599147,0.6519089009446472,0.22995159141957097,0.21659012158595448,0.11398539778449143,1.923119173164835,0.665331835865821,0.22258330939514853,1.9542676864216553,0.27376697641172265,0.2809435462496687,0.48380234837532043,0.3628667298893941,0.2294280926540238,0.11389601892395189,0.02172824307003511,0.6524258292865852,0.021860925500767937,0.021799254982491106,0.007972317616817852
5.0,0.6672122545181429,0.13679630492851083,2.6412375,18.3048,1.0,0.2849124731036694,0.4952101249037702,0.26250875720025535,0.3597855655043147,0.6525907785000378,0.2266657948904894,0.21702349716584327,0.11398539778449143,1.9265499517792197,0.6657362168493055,0.2225073968997873,1.9536011794086936,0.27708058124174373,0.28089887640449446,0.48490110039711,0.35903418181562785,0.2259576691869709,0.11389601892395189,0.016866806321120618,0.585731310353367,0.01571937961084022,0.018070665082007033,0.0020764580092600365
6.0,0.6626300892747445,0.16052345473067411,3.169485,21.96576,1.0,0.2835642166837068,0.5014387248055812,0.26250814416225543,0.3539068079501961,0.6530384685977614,0.22223839502216322,0.21778376125626042,0.11398539778449143,1.9325146958727386,0.6661039785326067,0.22254605467560118,1.9539405922887847,0.2805846838258659,0.28151130380922884,0.4981938898563385,0.35304236374999803,0.22140254829049688,0.11389601892395189,0.013273032176656152,0.5237197243072842,0.01326746357250272,0.01343801331623555,0.0016143727635634967
7.0,0.6593128297604782,0.18826381651080054,3.6977325,25.62672,1.0,0.28601089945093533,0.5060848535356475,0.26449254809255146,0.351566366222945,0.6541965938133562,0.22041057180829596,0.2181999584191278,0.11398539778449143,1.9364145575785845,0.6662514722389312,0.22282376904880843,1.9563789073048055,0.28047464940668826,0.28203936153726944,0.5005051493644714,0.35063874843472287,0.2194445017966574,0.11389601892395189,0.011195221257573228,0.4896536921078223,0.011854631416189934,0.010693097506587384,0.0011042218945712136
8.0,0.6564247192967311,0.1981154524710705,4.22598,29.28768,1.0,0.28701041211097517,0.4941013319603536,0.2646507582330649,0.34697732596479036,0.6539979688827794,0.2172514138716577,0.21883361641874688,0.11398539778449143,1.9428435045263923,0.6665169056927275,0.22278965564622863,1.956079393740573,0.2796865581675708,0.2809261865165665,0.4809839725494385,0.34602396518878487,0.21617744782348988,0.11389601892395189,0.010230692045309122,0.49359596505746595,0.009901089564007672,0.010696391184267946,0.0009349256302405564
9.0,0.6560610537811807,0.24204245711361017,4.7542275,32.94864,1.0,0.2876061326268024,0.5105419046389013,0.26424723478356754,0.3470749889837142,0.6549677157148206,0.21733416487072374,0.21965567645985032,0.11398539778449143,1.9506203726131868,0.6665758755664635,0.22339018052896087,1.9613519650596214,0.279482551143201,0.28089330024813897,0.4778299629688263,0.34613603923177855,0.2162470145128662,0.11389601892395189,0.009875057404048416,0.522316467508972,0.00980706530997363,0.010069975023347989,0.0008393476834657834
10.0,0.6582170237358365,0.2133811795709803,5.282475,36.6096,1.0,0.2874320443443748,0.4981632206442672,0.26483409571115274,0.34847686246735277,0.6549201991718209,0.21823668427176632,0.21984468013859768,0.11398539778449143,1.949432428837546,0.6664669337758906,0.22333998985785297,1.960911294072329,0.2794657272860707,0.28165814877910283,0.4956543743610382,0.34736033110597236,0.2171397985487944,0.11389601892395189,0.007921737030344303,0.45489782904269305,0.007411682343394601,0.008599938108344436,0.0008185582247969493
11.0,0.6563825609845148,0.23187868697646116,5.8107225,40.27056,1.0,0.288051622574702,0.4964812307206825,0.26628242007078984,0.34528837908033105,0.6556239216436386,0.2161010018286677,0.22025768146149602,0.11398539778449143,1.9528279704357132,0.6668772255511455,0.22384588043420633,1.9653529820359017,0.280134091240344,0.28216964800923255,0.498906672000885,0.344157961162277,0.21497255753629171,0.11389601892395189,0.007314684963539611,0.4514466068121692,0.006238332928051412,0.008687779542576239,0.0007538089527957065
