round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_auprc,fed_f1_best,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6890513296271548,0.10006730135845743,3.65056,3.65056,0.9971592150692714,0.5108866234387816,0.19709799393040459,0.6186129905071951,1.725362606831366,0.24939887307450875,0.19677925967820892,0.2666364169970179,0.3865052028357502,0.11467774420946626,0.5864729760859153,0.19012105177352528,1.6692510727742704,0.18969072164948453,0.24715017346770196,0.49335160851478577,0.3769534169499638,0.24249435349414908,0.11389601892395189,0.026741219689170672,2.870891627157107,0.023381131079398255,0.029004560492283473
2.0,0.682067196054275,0.12587131609708424,7.30112,7.30112,0.9971592150692714,0.5008319581128199,0.2345550274372462,0.6431604478006172,1.8342866212568048,0.22418542271080774,0.2090369702771313,0.2837347075440489,0.35455143561423547,0.11467774420946626,0.6320938850587684,0.21347042944543665,1.8742571642295098,0.2572033898305085,0.2820058997050148,0.4909941852092743,0.37613392580142885,0.24120803700925922,0.11389601892395189,0.018276323142881468,2.076480504591018,0.015500826733739644,0.02017283012056904
3.0,0.673100012708251,0.1870404722788293,10.95168,10.95168,0.9971592150692714,0.538517832525322,0.251173313538753,0.6559160426454237,1.9051177594704356,0.2313748415253303,0.21723489315678524,0.2917326396405183,0.3647501635808809,0.11467774420946626,0.6557827446946063,0.21996850907989768,1.9313099014178023,0.267811472415053,0.28197111805865716,0.49449363350868225,0.37622155615029346,0.2410580137076078,0.11389601892395189,0.014045232170833352,1.7179919993504882,0.012691776981781684,0.014998721199882672
4.0,0.6627188339131068,0.20883138847063462,14.60224,14.60224,0.9971592150692714,0.5308229610181348,0.2633174476620514,0.6605583324373858,1.9478641754754396,0.2186837348590074,0.22223056062181545,0.29487249277124333,0.3457454563111953,0.11467774420946626,0.6653474975815952,0.22263783853636637,1.9547464489081146,0.27419910437478473,0.27960371127535777,0.4971519708633423,0.37285131778526975,0.23801533027776442,0.11389601892395189,0.01095889896692672,1.4345882597845048,0.01058323046491161,0.0112334040654624
5.0,0.6601959365692305,0.27394263796342977,18.2528,18.2528,0.9971592150692714,0.5368240038373798,0.2704067382595266,0.6625119531437673,1.9585459858479666,0.2136893948155375,0.22365490461928617,0.29544037541831086,0.33796082689799173,0.11467774420946626,0.6646919769698485,0.22338620857425853,1.961317091543059,0.27188612099644127,0.2824615384615385,0.49571213126182556,0.37414321242320026,0.23925615611298232,0.11389601892395189,0.008916464874940456,1.243136839242652,0.009025545186312933,0.008832832840445072
6.0,0.6570936624944058,0.26546265630787746,21.90336,21.90336,0.9971592150692714,0.5544121754144704,0.2728808046398672,0.6651433212487722,1.985712236632183,0.22179179154980744,0.2269519704012625,0.2937388278384317,0.3497016823738963,0.11467774420946626,0.6628427650578488,0.22229155921340998,1.951706137875052,0.2739432851792402,0.282109743122055,0.4958473742008209,0.37642334817316087,0.2410915490539657,0.11389601892395189,0.00898029427747255,1.3234121507266536,0.008953826535292362,0.00900153207670318
7.0,0.6492063831484376,0.2625145932165168,25.55392,25.55392,0.9971592150692714,0.5377954712507109,0.272858825254133,0.6656334472572207,1.9926981118313505,0.2293380920546489,0.2276534359341181,0.2968923423491936,0.3614985550109444,0.11467774420946626,0.662697279263803,0.22338715984172602,1.9613254436125738,0.27864746399499063,0.2806122448979592,0.5005396604537964,0.3782630782043624,0.24215372350229059,0.11389601892395189,0.008862842231105955,1.3856585803441703,0.008462382257367396,0.009196745450444044
8.0,0.6511217580112854,0.28345014891841736,29.20448,29.20448,0.9971592150692714,0.5321746813030191,0.27402159615778876,0.669197944422857,2.0124008968888907,0.21072582308042084,0.23026613930124556,0.299557888147347,0.3320993838779261,0.11467774420946626,0.6458482724098447,0.21906875200357107,1.9234100899509294,0.2774702231169267,0.2820139226161567,0.49913856387138367,0.3779016893183233,0.2422301434601471,0.11389601892395189,0.008671885566445948,1.4428785392083228,0.007483145284939444,0.009699637731304512
9.0,0.6496101107965535,0.3763575156278539,31.18592,31.18592,0.5412350858791136,0.5416625596447834,0.28741667891235306,0.6833530823709,2.1596752924868974,0.2164126496225792,0.2459116760080767,0.31379832249296197,0.3434591902840098,0.11467774420946626,0.6633813373288111,0.22201653401952653,1.9492914336871288,0.27895515032035484,0.28182759130563356,0.49686452746391296,0.37557214678062806,0.24017322734476199,0.11389601892395189,0.010687076517091814,0.9993789949221537,,0.010687076517091814
10.0,0.6461712688864141,0.376792069112652,34.83648,34.83648,0.9971592150692714,0.538640923557985,0.27734699827966053,0.6721083063901822,2.0434685408646134,0.22346870898929658,0.23387382911485835,0.30162820237636695,0.3531084414993572,0.11467774420946626,0.6661764767153205,0.22296715831613959,1.9576378562012273,0.280920564216778,0.283322390019698,0.5028508305549622,0.3753556904252087,0.23967029855686525,0.11389601892395189,0.007907155709978872,1.4366919042076916,0.007000464505221552,0.008676305346872944
11.0,0.6507918577681362,0.3909797869575243,36.81792,36.81792,0.5412350858791136,0.5490877057377845,0.28873323136276485,0.6875876677087482,2.199027145178341,0.22338525277805585,0.2510421669704575,0.31624822790427287,0.3547206761161651,0.11467774420946626,0.6664628050062674,0.22175580347578505,1.9470022356431167,0.28063551989932356,0.2835236541598695,0.5010834336280823,0.36965449577735254,0.23532190633390515,0.11389601892395189,0.008513228510982403,0.8710751385660842,,0.008513228510982403
12.0,0.6320444885790637,0.38211545843029915,38.79936,38.79936,0.5412350858791136,0.5667984087474097,0.29241911436794715,0.6988750702332983,2.384484434296037,0.2210132146548374,0.2710446205274108,0.3321848837251664,0.35225155538610164,0.11467774420946626,0.665902145700239,0.22021727480153314,1.9334940490639247,0.2800269905533063,0.2811424638678596,0.5005995035171509,0.36916019503270764,0.23495267279880325,0.11389601892395189,0.008966320385085066,0.9594891688320786,,0.008966320385085066
13.0,0.6136616733441667,0.4482617484254317,40.7808,40.7808,0.5412350858791136,0.5844824273750742,0.30190532982786783,0.7060820899783657,2.509430158978001,0.2068746501249148,0.2842817597186629,0.33727156344839926,0.33064840392684164,0.11467774420946626,0.6664014507367004,0.21948175520213686,1.9270362324839847,0.27965043695380776,0.2819015846538782,0.501777172088623,0.3692453999399113,0.23486436842299366,0.11389601892395189,0.009361756417248696,1.0600686671677977,,0.009361756417248696
