round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,fed_ece,fed_f1_best_threshold,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6914737019140694,0.09943729088556495,3.66096,3.66096,1.0,0.1142299704197873,0.22400504861537077,0.20634015592336627,0.6443129190363015,1.7957169576147327,0.2569225516316771,0.35550923651029565,0.4795144985475251,0.27823636548802283,0.6472938437560128,0.20283376653472357,1.7808679219082733,0.26361937616788844,0.26720847186307106,0.4893572926521301,0.35568254844244446,0.22408855071862524,0.11389601892395189,0.007249057164128277,0.7875590645089687,0.006109082819490644,0.007961896922905274,0.011351203602847956
2.0,0.6656799141266658,0.2638394311017035,7.32192,7.32192,1.0,0.1142299704197873,0.21784504421457151,0.21044861616006408,0.6518471383998642,1.8326775704483407,0.2698200654602553,0.3447827512094858,0.49640514845139544,0.2823499327676622,0.6549409274717488,0.20803254508435354,1.8265128759527265,0.27611395178962744,0.2776356192425793,0.5068132877349854,0.3451510163355836,0.21805433433860805,0.11389601892395189,0.005718359433967251,0.6319079413551663,0.005560919217352491,0.005842690643542463,0.004010952114663064
3.0,0.6506707404094051,0.3750256902477623,10.98288,10.98288,1.0,0.1142299704197873,0.22978019200476296,0.21373202204073144,0.6558875524752948,1.8638982684519463,0.2654136019279217,0.3609296747067327,0.5310028515837254,0.28823738482632344,0.6581535494693614,0.2116849923361298,1.8585811368654719,0.26845373016655166,0.2798688524590164,0.5432628393173218,0.3609996650883017,0.22986176220989962,0.11389601892395189,0.004638568074382629,0.5186900583962597,0.004829645098801036,0.00453635331541853,0.002738908897798162
4.0,0.6485056338878956,0.39480572053753493,14.64384,14.64384,1.0,0.1142299704197873,0.2279744675935431,0.21574298186449817,0.6583936217275472,1.8830900040829577,0.2664039517373889,0.35712175226637705,0.5235323397697907,0.29025855946266965,0.6590528306317458,0.2136868683737133,1.876157484629832,0.26657606057664307,0.28152585119798235,0.5741868615150452,0.35726417280646217,0.22828492786183616,0.11389601892395189,0.004044472339113482,0.45626939012981893,0.004412559899418078,0.003813286246081692,0.0030138141765800332
5.0,0.6559933454110115,0.49107330786356396,18.3048,18.3048,1.0,0.1142299704197873,0.20388585000063883,0.2170233772638028,0.6593968506490977,1.8917831704294918,0.2743249197457286,0.31900081676292386,0.5006910052617762,0.29068541728787245,0.6599851419511154,0.21525594873296305,1.8899339131132316,0.279723669858199,0.2824180895246885,0.5493611693382263,0.3192253066797286,0.20439557011085815,0.11389601892395189,0.003643218655388415,0.41428212091341265,0.00405319603995856,0.00337661934383357,0.0030926893535996435
6.0,0.6514453604049378,0.4380652080825921,21.96576,21.96576,1.0,0.1142299704197873,0.20960849448031826,0.21986896837145478,0.6611537833450531,1.9228961075204087,0.275815599285872,0.33143166068370933,0.5150875245671761,0.2937340322389625,0.6611076276621842,0.21741685284000228,1.908906517489176,0.2790642441515259,0.28209860268916426,0.5145997405052185,0.33149700524345715,0.20990118732826593,0.11389601892395189,0.0034599256077336863,0.39671277164416097,0.003923467717875218,0.0031527767231234543,0.003167001612154277
7.0,0.6474770770784777,0.35125821068946794,25.62672,25.62672,1.0,0.1142299704197873,0.22499320507504358,0.22120970185728098,0.6632848419071178,1.93479745267249,0.2717627191423992,0.35269793869284066,0.5419861940670903,0.29596859800825215,0.6621890390177011,0.2188056998128925,1.9211005079904377,0.26975531488166865,0.2811851851851852,0.5631427764892578,0.3524681567310285,0.225335881428077,0.11389601892395189,0.0030806067437249675,0.3558718323138237,0.003546576432072865,0.002766536173873632,0.003057740605783167
8.0,0.6409010353257284,0.38292776609800055,29.28768,29.28768,1.0,0.1142299704197873,0.21274086977953063,0.22323417967297723,0.6654069351531282,1.9523469280504484,0.27693613605879086,0.33606121909142717,0.5250806832161236,0.295656791126188,0.662567279493207,0.21937804312759313,1.9261256468856154,0.27551135721550457,0.28202080237741456,0.5398589968681335,0.33597165712281163,0.21312633027951702,0.11389601892395189,0.0031888553101671194,0.37184776194953884,0.003720226068563978,0.002833015142697572,0.0027234827525022647
9.0,0.6477594016899209,0.5398679207067731,32.94864,32.94864,1.0,0.1142299704197873,0.21495510994507697,0.22360818950625969,0.6660637085739564,1.9607685548282285,0.2816275513438922,0.33961639066809823,0.5135382236614501,0.2961338100570218,0.6626487003361095,0.22045047696000278,1.9355415495882877,0.2745635056487504,0.2826777087646653,0.5343062281608582,0.33960083370162186,0.21550898627887763,0.11389601892395189,0.003128271482954851,0.3679908333988351,0.00355564389042999,0.0028362596113814752,0.0030607528041497562
10.0,0.6454229564326627,0.4906755357284995,36.6096,36.6096,1.0,0.1142299704197873,0.21954315135611072,0.22495668630338342,0.6676401709925954,1.9747454546549479,0.2815254049597985,0.34816893674674726,0.5183653509243972,0.29831642693292776,0.662401275345563,0.2205623925124114,1.936524161214804,0.2756571428571429,0.28342097979518405,0.5306001901626587,0.34847463484024976,0.22016150838183401,0.11389601892395189,0.0031741864091244312,0.3759463437145314,0.003684164064625395,0.002825175409114304,0.0028234551560126046
11.0,0.6453590394365767,0.3229819966393504,40.27056,40.27056,1.0,0.1142299704197873,0.2175513837500081,0.22592192496380264,0.6680151970382829,1.985316286370614,0.2809962904385687,0.3444784725730478,0.5244908516714173,0.29971452036897417,0.6623135170295307,0.22107596541581853,1.9410332995346435,0.27643955035558615,0.28333060690332074,0.5579955577850342,0.3446469149864507,0.21823928878823998,0.11389601892395189,0.002842061364719512,0.3387826090092858,0.0032448608227714074,0.002549819698732732,0.0038042748375292307
12.0,0.641230454985761,0.3397515853101235,43.93152,43.93152,1.0,0.1142299704197873,0.21388120805237312,0.2269928363840147,0.6694151070282055,1.992677865070942,0.2817965373069512,0.3350947967772254,0.5340710244925134,0.300718165500807,0.6630566453638886,0.22129623145786537,1.9429672217571041,0.2739938080495356,0.2846557579499846,0.5652675032615662,0.33532832684268643,0.21479179781508217,0.11389601892395189,0.0028797398855431974,0.3468159472140542,0.00326667991015804,0.002608444742956902,0.0027708168702907845
13.0,0.643687690609617,0.45529289949726104,47.59248,47.59248,1.0,0.1142299704197873,0.21907473819667855,0.22763441465671108,0.6700947009722504,1.9963819635364821,0.2811445737032248,0.34321317083998115,0.5453515229032193,0.3035300068425346,0.663104508972833,0.22208073463744352,1.9498551111406828,0.27446274680920696,0.28554607006181926,0.5634136199951172,0.34334942388515943,0.21999116355117027,0.11389601892395189,0.003042473186851151,0.36973867665437865,0.003483876502288218,0.00272605109098751,0.0033376633955926193
14.0,0.6442716810601273,0.5147937190632261,51.25344,51.25344,1.0,0.1142299704197873,0.21349518622645192,0.22884153108951114,0.6707855688096371,2.0079620078002005,0.2830951202999085,0.33632393107141745,0.5498298933210559,0.30226721059220424,0.6636412741227444,0.22322736301940502,1.9599224373983908,0.27589326096788785,0.2857142857142857,0.5499598979949951,0.33641401547716404,0.21436247781457743,0.11389601892395189,0.002952729358742549,0.36174613440925896,0.0034093464628630068,0.002628720804208431,0.002725920592914149
15.0,0.6414302721878231,0.45309259126067875,54.9144,54.9144,1.0,0.1142299704197873,0.20743768371140983,0.2289653206725156,0.671435726877044,2.0074391807604934,0.28605460875467376,0.3271851271308387,0.515901438436572,0.3041672666814104,0.6633304744009005,0.22321745840174484,1.9598354754680813,0.2772228989037759,0.2845481049562682,0.5379912257194519,0.3275014544091004,0.20852842023276516,0.11389601892395189,0.0029034658963879335,0.35903475002851337,0.0034231593757990423,0.0025350203829789114,0.00235706008733547
16.0,0.6440685497542676,0.4337999733715088,58.57536,58.57536,1.0,0.1142299704197873,0.21904400805642132,0.23063988643569425,0.6724597298640241,2.0224133752406224,0.28604630368591033,0.3465915209801835,0.5275868933322679,0.3044657204368423,0.6639402648104991,0.22403719598554755,1.9670327207409828,0.2784180790960452,0.28536247498845624,0.5533266067504883,0.34672288842995364,0.22004320193562746,0.11389601892395189,0.0029647915919465842,0.36943766909280384,0.003372597548895875,0.0026749359970604566,0.002365231183489297
17.0,0.6419895176570707,0.374692412771486,62.23632,62.23632,1.0,0.1142299704197873,0.21900315430503503,0.23101919000206278,0.6729902922856885,2.0261374686585016,0.28420754640402096,0.3448155135107623,0.5585337842442599,0.3039603583997015,0.6636313851547716,0.22394339223938525,1.9662091296528261,0.27686179041717385,0.28804751299183373,0.5572670102119446,0.3451062010284206,0.22025300548521282,0.11389601892395189,0.0028372483371512684,0.35639241100398067,0.0032431483726440328,0.0025420940801560037,0.002586064977317703
