round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_f1,fed_ece,fed_brier,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.34858373774601,98.43907773742806,12.667776,12.667776,0.9991046702896288,,,,,,,,,,0.24134980542922782,0.9365707626157513,0.9684499118332035,0.0,0.9832657200811359,0.4825839102268219,0.4843994723591126,0.26647855567718914,0.9670822942643391,0.00526775656049316,3.15212262622299,0.001096634796564436,0.0059654690062642774
2.0,0.3277125171672195,27.661797556743526,25.335552,25.335552,0.9991046702896288,,,,,,,,,,0.28416318939784646,0.9487355897920614,0.9810288073919975,0.0,0.9832657200811359,0.4824259877204895,0.4845461464136318,0.26662068977574804,0.9670822942643391,0.0009254917722546992,0.5569857540504017,0.00012158595010321283,0.0010592479156971903
3.0,0.2562690612125319,19.430405988438206,38.003328,38.003328,0.9991046702896288,,,,,,,,,,0.32620297873005455,0.9525260819598115,0.984948320953802,0.0,0.9832657200811359,0.4825093150138855,0.4844504377937079,0.26652783622771303,0.9670822942643391,0.0006739255686581027,0.40606363005338153,0.00010861243385814586,0.0007678285623408992
4.0,0.23677062953563865,17.68957914926459,50.671104,50.671104,0.9991046702896288,,,,,,,,,,0.44460202853704656,0.9677429528729757,1.0006831462147068,0.0,0.9832657200811359,0.4824163615703583,0.4846097277732858,0.2666809920083756,0.9670822942643391,0.0009697197443937584,0.5848071652904991,0.00016960458299724617,0.0011024585781850935
5.0,0.1614633762250982,8.401394365512106,63.33888,63.33888,0.9991046702896288,,,,,,,,,,0.36664869426602276,0.9616396001995813,0.9943720466220529,0.0,0.9832657200811359,0.48240214586257935,0.4846180267018867,0.26668937178922025,0.9670822942643391,0.0013050995756971892,0.7880487682932653,0.00031598738142303643,0.0014689618173160898
6.0,0.1765085936188873,9.032481505970525,76.006656,76.006656,0.9991046702896288,,,,,,,,,,0.44513338646912654,0.9680077271218881,1.000956932892927,0.0,0.9832657200811359,0.4825592339038849,0.4844789551529206,0.2665541779732514,0.9670822942643391,0.00029452732184739405,0.1781298874490176,4.139754333407892e-05,0.0003363908256357234
7.0,0.14889832651909216,6.364687793065534,88.674432,88.674432,0.9991046702896288,,,,,,,,,,0.3657305390157376,0.9614646215845108,0.9941911120561858,0.0,0.9832657200811359,0.48255568742752075,0.4844541152665145,0.26653061738141587,0.9670822942643391,0.0006212057188527161,0.37602509458190525,0.0002509642778387134,0.0006823758778108843
8.0,0.16638177897303805,8.246822714483695,101.342208,101.342208,0.9991046702896288,,,,,,,,,,0.33562676793723734,0.9596155018698798,0.9922790517014487,0.0,0.9832657200811359,0.482616126537323,0.48434982203188676,0.26643030161285225,0.9670822942643391,0.0008346369629374392,0.505758531561014,0.0002152683366184094,0.0009368732923898138
9.0,0.16323153103243568,7.592079689420403,114.009984,114.009984,0.9991046702896288,,,,,,,,,,0.3231906481003954,0.9528125241845287,0.9852445131459412,0.0,0.9832657200811359,0.4826272130012512,0.48435974764705,0.2664395001184222,0.9670822942643391,0.0006753362090981632,0.40987264561579195,0.0001835726683916002,0.0007563969689625956
10.0,0.18823908059252734,12.841625806924332,126.67776,126.67776,0.9991046702896288,,,,,,,,,,0.33998312157156924,0.9524863508312387,0.9849072374505589,0.0,0.9832657200811359,0.4826839566230774,0.4843385891426828,0.26641860454280253,0.9670822942643391,0.000682374225531433,0.4147288826311524,0.000361763932808342,0.000735161527511782
11.0,0.15012016927402985,7.3352104960324915,127.129728,127.129728,0.035646615445478584,,,,,,,,,,0.6339529904511854,0.9821683600773327,1.015599567795282,0.0,0.9832657200811359,0.4826482832431793,0.48439232289345185,0.266469722160184,0.9670822942643391,0.00010440188159537252,0.00897232217249666,0.00010440188159537252,
12.0,0.16496374066150798,9.36853159113772,139.797504,139.797504,0.9991046702896288,,,,,,,,,,0.571920858924469,0.9776029786032255,1.0108787891178275,0.0,0.9832657200811359,0.48267459869384766,0.48436359633828635,0.26644201954245167,0.9670822942643391,0.00036485964806959244,0.2220056834286197,8.077243477265457e-05,0.0004115813250623632
13.0,0.20426268644481835,11.776786622609025,140.249472,140.249472,0.035646615445478584,,,,,,,,,,0.47755012736962194,0.9672455295516654,1.0001687915168072,0.0,0.9832657200811359,0.48265230655670166,0.4843675458223147,0.26644610663306423,0.9670822942643391,0.00018985391026703945,0.016316958098286705,0.00018985391026703945,
14.0,0.11252508391854098,4.531018493898096,152.917248,152.917248,0.9991046702896288,,,,,,,,,,0.4935572850735306,0.97082941272298,1.0038746634912712,0.0,0.9832657200811359,0.48273971676826477,0.48428789221140506,0.2663688865829946,0.9670822942643391,0.00023635224754637693,0.14395665478335218,7.434875454634228e-05,0.00026297971320182615
15.0,0.19985154851626047,12.889653660330303,153.369216,153.369216,0.035646615445478584,,,,,,,,,,0.5215004610311469,0.9741139058084656,1.0072709546910643,0.0,0.9832657200811359,0.4827444553375244,0.4842846807547638,0.26636566680233065,0.9670822942643391,3.403455839465907e-05,0.002926995441271174,3.403455839465907e-05,
16.0,0.1530177472664463,7.9617122294344,166.036992,166.036992,0.9991046702896288,,,,,,,,,,0.42360557613265193,0.9620851137181512,0.994832724602833,0.0,0.9832657200811359,0.4827970266342163,0.4842242934311417,0.26630748295666673,0.9670822942643391,0.00030234869596596213,0.18431157440781476,8.205157127610295e-05,0.00033853956667363635
17.0,0.1331662732924045,6.614713351438317,166.48896,166.48896,0.035646615445478584,,,,,,,,,,0.5043719818088049,0.9731703318019573,1.0062952631577744,0.0,0.9832657200811359,0.48278364539146423,0.4842546674973352,0.2663366610274346,0.9670822942643391,3.599688630320306e-05,0.003096705906727948,3.599688630320306e-05,
18.0,0.1521789689249762,11.05154380735958,179.156736,179.156736,0.9991046702896288,,,,,,,,,,0.6138043665119477,0.9806690778923345,1.0140492527973857,0.0,0.9832657200811359,0.48275497555732727,0.484279328777903,0.2663601108969161,0.9670822942643391,0.00010762999052819786,0.06565868825754251,1.9016689914575084e-05,0.00012218041738725705
19.0,0.0981940738555787,3.5755452521382085,179.608704,179.608704,0.035646615445478584,,,,,,,,,,0.6111358557206933,0.9801589901532972,1.0135218026082315,0.0,0.9832657200811359,0.48274704813957214,0.4842834826865398,0.2663641212363671,0.9670822942643391,8.875254149020641e-06,0.0007637354908069938,8.875254149020641e-06,
20.0,0.12301540866385272,7.029726695874884,192.27648,192.27648,0.9991046702896288,,,,,,,,,,0.6202158250894713,0.9808136767323875,1.0141987735164708,0.0,0.9832657200811359,0.48274531960487366,0.48428195924532974,0.26636258421294084,0.9670822942643391,4.1284039311646684e-05,0.025198694535180977,5.710723051549975e-06,4.7122595099003774e-05
21.0,0.17042643924030612,13.105393308739737,192.728448,192.728448,0.035646615445478584,,,,,,,,,,0.6260763905168237,0.9812901403007039,1.0146914550298667,0.0,0.9832657200811359,0.48273777961730957,0.4842862208585192,0.2663666470909875,0.9670822942643391,5.316191037060647e-06,0.0004574967907444716,5.316191037060647e-06,
22.0,0.14062732222529073,6.247821882195185,205.396224,205.396224,0.9991046702896288,,,,,,,,,,0.4985348586431619,0.9699741448095048,1.0029902838282916,0.0,0.9832657200811359,0.48275357484817505,0.48427173966481496,0.2663532389582282,0.9670822942643391,6.600374785582064e-05,0.04030037550434429,1.5512979250142095e-05,7.42879772616247e-05
23.0,0.12597300139220502,7.335299189644437,205.848192,205.848192,0.035646615445478584,,,,,,,,,,0.5381093034522637,0.9739014965171764,1.0070513153774825,0.0,0.9832657200811359,0.4827495813369751,0.48427744547922413,0.26635861928941007,0.9670822942643391,6.34873703909874e-06,0.0005463977445607782,6.34873703909874e-06,
24.0,0.10765482475423051,4.535930956053354,218.515968,218.515968,0.9991046702896288,,,,,,,,,,0.5847476831231344,0.9784161774786757,1.0117196677899665,0.0,0.9832657200811359,0.4827645421028137,0.48425802199025997,0.26633958623166937,0.9670822942643391,3.0570155985239e-05,0.01867136771018174,5.094117482218688e-06,3.4749015026434885e-05
