round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_brier,fed_prevalence,fed_auprc,fed_f1,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6877171189372941,0.09341430845301998,3.66096,3.66096,1.0,0.6585111210437148,0.3453062372722955,0.21584446607895688,0.11367069486404835,0.2302930536181619,0.27821770829506093,0.29933062228084584,2.0624678653024073,0.5022867906328444,0.6598514149933521,0.21443849432128742,1.8827567139503578,0.27207207207207207,0.27568238213399504,0.48856136202812195,0.344879414246699,0.21622991779706657,0.11389601892395189,0.026092647117263706,2.840508675762976,0.02255515123303442,0.02856882745483958,0.013983674511424368
2.0,0.6630598420853187,0.2371207714682578,7.32192,7.32192,1.0,0.6640193148320237,0.3534829144554602,0.22306776882440038,0.11367069486404835,0.23569354330402378,0.27119079780451893,0.3077390106195941,2.1074986768351245,0.5602843772567442,0.6659269810652366,0.2198749420178859,1.930488388401845,0.2735972599979853,0.28233351678591084,0.5391418933868408,0.35356725924621857,0.223880501179969,0.11389601892395189,0.017831443810986076,2.0867346711675054,0.016969119272104777,0.01851314696650819,0.006389491553607164
3.0,0.6495926509523571,0.31774677344215113,10.98288,10.98288,1.0,0.6659176387945908,0.3512211261000128,0.22128056016628775,0.11367069486404835,0.239343595860424,0.27973915134340155,0.3047894326911265,2.139792449643369,0.5459217189924654,0.6673455459912558,0.22234647732435636,1.9521883154916644,0.27983630129410464,0.28754738990959466,0.5381569266319275,0.35143237259461885,0.22239902611562573,0.11389601892395189,0.011758849628564223,1.4759884877394143,0.012068411656154266,0.011604044003357258,0.004888891693342391
4.0,0.6496469799355873,0.3595647947060644,14.64384,14.64384,1.0,0.6681680895869868,0.34745612485129823,0.21852352429167457,0.11367069486404835,0.2419269390818605,0.28214558899795955,0.30645135947806573,2.150222282723468,0.5329791512040182,0.6679772602930478,0.22275883916266992,1.9558088269213825,0.281508739650414,0.28770612682665236,0.5220996737480164,0.34777487670282115,0.21983743777328388,0.11389601892395189,0.010426608213608246,1.3815876292064786,0.01031321341322123,0.010547286544782855,0.005307480990063675
5.0,0.64685181479936,0.38100008883604464,18.3048,18.3048,1.0,0.6703948660230612,0.3377529309043982,0.21195545190310544,0.11367069486404835,0.24410500207541905,0.2885788884801356,0.30882902924243383,2.164393987876972,0.5321427705938752,0.669592136292668,0.22367733523482575,1.963873165612352,0.2838471023427867,0.2868379653906659,0.5095459818840027,0.3385967019437465,0.2135728450812792,0.11389601892395189,0.009070368559335087,1.2747724286873563,0.009102793776169007,0.009078863939705082,0.004675290462990411
6.0,0.642891584768053,0.34970383526284,21.96576,21.96576,1.0,0.6717911409017301,0.3613058795012,0.22742905076842534,0.11367069486404835,0.2456243103651712,0.27973368695826595,0.31130683329359665,2.1802501170878155,0.5413990628146843,0.6687445588714609,0.22434411167643423,1.9697274215196958,0.27959509856153436,0.28781570913127946,0.5348701477050781,0.361956945001236,0.22906038208660812,0.11389601892395189,0.00865997604842206,1.2837801779560323,0.008686454919697436,0.008669524985480912,0.004408984279076875
7.0,0.6434421663612107,0.30160571154245436,25.62672,25.62672,1.0,0.673261147719525,0.35027657519493244,0.22045161763114823,0.11367069486404835,0.24755957438647486,0.28371463937421115,0.3106759776521551,2.1988417075227584,0.5381387413947395,0.669322887805542,0.22393612529883467,1.9661453263643596,0.2821241258741259,0.2874881900391416,0.5319909453392029,0.35111347241567625,0.2223460804986617,0.11389601892395189,0.00803879700355475,1.2640016262066638,0.00766680661400205,0.008359146012221352,0.004434344105802495
8.0,0.6411021448371161,0.3520350582540272,29.28768,29.28768,1.0,0.6741617770241612,0.35445861141445917,0.2235806350800745,0.11367069486404835,0.25002381807356927,0.283047564719691,0.31291948794823393,2.2333393848699545,0.5542669807169641,0.6698410672174235,0.22602464589928972,1.9844824080304848,0.2811296534017972,0.288989602772594,0.5312187075614929,0.35553272920616846,0.22571874059662564,0.11389601892395189,0.0080146960803033,1.337306370583974,0.007447580530438287,0.008501052786802252,0.004495726201048316
9.0,0.6349309813133702,0.3495921888401635,32.94864,32.94864,1.0,0.6774347766433063,0.3583620177912042,0.22612236258418236,0.11367069486404835,0.2520094190671372,0.2801721627538249,0.31300417010800263,2.2492658485853703,0.5683361763774238,0.6702399640904969,0.22510349622537879,1.97639477088027,0.27977315689981097,0.2911660777385159,0.5483343005180359,0.3593213359417376,0.22850125901451898,0.11389601892395189,0.007538573041565218,1.3361708582706342,0.006688261724630707,0.00827592014588234,0.00449698590025922
10.0,0.6398408975169837,0.4125736556343633,36.6096,36.6096,1.0,0.6790479990737932,0.3452106214682727,0.21636786655721735,0.11367069486404835,0.25391943223779473,0.2919515544028438,0.31494370299711566,2.2664508609520193,0.5625426667345705,0.6703680939927833,0.22352095170395583,1.962500127885947,0.2861088732880654,0.2907488986784141,0.5405282378196716,0.34606197505260883,0.2187656004877793,0.11389601892395189,0.007530103487487207,1.412251689981531,0.006450861629991635,0.00849527039507426,0.003793064596250854
