round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6887413147715111,0.09966564109719445,3.66096,3.66096,1.0,0.2877969971004736,0.5017026930456459,0.3687353875038944,0.11022977651872835,1.902496728144318,0.26898385462372765,0.663605676966146,0.20908405913500983,0.23038308592166853,0.6616442045703196,0.2113993314772591,1.8560730521969335,0.27207232659980224,0.2744648318042814,0.4942784011363983,0.3655005953990373,0.23083406085717917,0.11389601892395189,0.024819368738893417,2.691439557514059,0.02193707539527374,0.026885908794422424,0.009186263036866258
2.0,0.6643378894044412,0.17485053153461177,7.32192,7.32192,1.0,0.29836092006625387,0.5585992845511113,0.37323281964979577,0.11022977651872835,1.956743505576721,0.2706099050704013,0.6708555678937645,0.21508523598223087,0.23389293826411367,0.6651395155178739,0.21602659873170485,1.8967001724260908,0.27356020942408377,0.2826454260197924,0.5161604285240173,0.3703447418118935,0.2347768589366113,0.11389601892395189,0.017796024000261517,2.0670648686827917,0.017203366012077777,0.018314083468807873,0.0054053933156120075
3.0,0.6524095077311894,0.31132047399657053,10.98288,10.98288,1.0,0.29958840009978305,0.5652008523496772,0.35061636865795653,0.11022977651872835,1.9736363033261348,0.2716565325765324,0.6722139213516525,0.21683977450912173,0.22045226190325032,0.6683519869220657,0.2206748997439262,1.937511967747269,0.2747974600394132,0.28155619596541787,0.5580926537513733,0.3478287634310349,0.22167253307060764,0.11389601892395189,0.011688046723780909,1.4557832067612253,0.01193902203496134,0.011588146904329482,0.004540241565908453
4.0,0.6473906015068933,0.3712346939756596,14.64384,14.64384,1.0,0.2982135271600623,0.5602858878904293,0.35798881952309336,0.11022977651872835,2.006646513966963,0.2736654991833441,0.6749018433344164,0.2198100082963168,0.22390497214038213,0.6692816001093107,0.22229467442908404,1.9517334892759481,0.27487315243767924,0.2834603556625217,0.5349761843681335,0.35498518830151105,0.2249150466140518,0.11389601892395189,0.010492262772889284,1.3761705215820257,0.010690408069549875,0.01040627391377862,0.004666958943704196
5.0,0.6439686239622658,0.3246822642397133,18.3048,18.3048,1.0,0.29852817431052614,0.5609733944517806,0.35205754398230227,0.11022977651872835,2.013093225780342,0.27628824739861196,0.6762962448114598,0.22097995185027292,0.2204068530830498,0.66956635971879,0.2226753028629744,1.9550753833780108,0.2766347086071313,0.27988614800759015,0.5192042589187622,0.3491556047515784,0.22174198930124953,0.11389601892395189,0.008609063807794647,1.1925210907011206,0.008759805026479236,0.008539983142048672,0.0036848329770105734
6.0,0.6452057429354165,0.42251268589724617,21.96576,21.96576,1.0,0.2990539971007899,0.5453770359544811,0.35202407865056007,0.11022977651872835,2.0147047760388315,0.28005874404071496,0.6761727341332356,0.22116767393227488,0.22051103937380487,0.6694778107872978,0.22281887132272626,1.9563359055728007,0.27657402155416905,0.2794979079497908,0.48323264718055725,0.3489903539720663,0.22172007206247576,0.11389601892395189,0.008451816248035402,1.230649071816515,0.008242593555162185,0.008640562065050148,0.004604641035004384
7.0,0.6430437808833206,0.31505196083375936,25.62672,25.62672,1.0,0.2992464804380545,0.5212438362272124,0.34442414442416747,0.11022977651872835,2.045108052607849,0.28145663273277244,0.6779448829347224,0.22456389329761697,0.21372015283779308,0.6703612419921321,0.22351828664349488,1.9624767288199734,0.27981152591518665,0.28449540061325157,0.5166243314743042,0.341123506657802,0.21484870819123314,0.11389601892395189,0.007747741937887364,1.1899692737842997,0.0077326613643274675,0.007784476318130528,0.0044024184435315005
8.0,0.6419109903356407,0.3284069672079925,29.28768,29.28768,1.0,0.30284522839447053,0.5387250356397278,0.3461779459996684,0.11022977651872835,2.069441048678639,0.28217995196503665,0.6794880363426201,0.22698179392690981,0.2159999877454073,0.6698616985160877,0.22237027742897655,1.9523972789378414,0.2806568068009782,0.2836837429671306,0.54543536901474,0.3427787671014055,0.21727390200320373,0.11389601892395189,0.008362934865587464,1.3582321258618322,0.007391547374748061,0.009186518846170473,0.0045624141376592806
9.0,0.6426550165496061,0.41995699101971906,32.94864,32.94864,1.0,0.30712684629352166,0.5478478870040634,0.3405002307649825,0.11022977651872835,2.092599303226234,0.2816154371423829,0.6818470198093979,0.22930805045164954,0.21299679884319536,0.6704759063326993,0.22301911240301564,1.9580940098698707,0.2785651018600531,0.2825581395348837,0.547584593296051,0.3373605755491835,0.2146372951850696,0.11389601892395189,0.00848609811986135,1.4662935266569548,0.007503307604019488,0.009347352229774914,0.003779692190392192
10.0,0.6412673289835108,0.43690011801352985,36.6096,36.6096,1.0,0.3070912314742984,0.553522190944106,0.3479217353935019,0.11022977651872835,2.102324987985305,0.2816230316585085,0.6840632323699484,0.23058804766387977,0.217314099771277,0.6679797952822997,0.22149354053065545,1.9446995832097185,0.27901422212571925,0.28071005917159764,0.5173949003219604,0.34495029442593167,0.2193541087637472,0.11389601892395189,0.007704410355054321,1.418003338996641,0.006406836802676908,0.008852489714602353,0.004275655550633483
