round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6899105639021698,0.08242048573533645,3.66096,3.66096,1.0,0.5217832736865594,0.3813203877159217,0.6477881244407113,0.21179508969690827,0.2625951764188301,1.8706943046996019,0.11462201800214009,0.28553086269020983,0.2433383884217393,0.6498682508358312,0.20854689815012578,1.831028864049867,0.256961676316515,0.2677966101694915,0.5119665861129761,0.38139432495292774,0.2431558016788419,0.11389601892395189,0.025480898208098963,2.742313213918351,0.023189732463881486,0.027152153625609174,0.011446422137877194
2.0,0.6612425829529262,0.16429320077563642,7.32192,7.32192,1.0,0.5284997907295366,0.3426933685213172,0.6530769037388006,0.21717475887203974,0.274433788524316,1.9172208388895604,0.11462201800214009,0.2930309837339605,0.21701448475109603,0.6553685249409561,0.21304341118476772,1.870507970318228,0.26894293732460245,0.27112676056338025,0.5189502835273743,0.34241661126942163,0.21647241074777165,0.11389601892395189,0.01862235101690733,2.1550818869764043,0.016999904035138288,0.019827223793103557,0.006175594356951458
3.0,0.6469942107438439,0.3109067152652496,10.98288,10.98288,1.0,0.5514765627029865,0.3545989617644378,0.6589722594828847,0.22539759243507393,0.27320858658165353,1.9915745705763752,0.11462201800214009,0.29856805654699686,0.22490984136077577,0.6585241598782081,0.21559492065717561,1.8929100656373938,0.2695299660348417,0.27302042278753136,0.5104234218597412,0.35416875416343113,0.22450215883727936,0.11389601892395189,0.012820086520413393,1.60999691406505,0.01281521221081764,0.012893514389219093,0.004971393600061586
4.0,0.6489061609772244,0.29795618711969357,14.64384,14.64384,1.0,0.542270951638507,0.3411593610189736,0.6605606840717902,0.22968451614508437,0.27625522518460505,2.0240595265435837,0.11462201800214009,0.30249828948930346,0.21710304513490605,0.6587782862759848,0.21513857018759971,1.8889033367465393,0.2702261599440429,0.2736129905277402,0.523245096206665,0.34050950963184934,0.2167910516580001,0.11389601892395189,0.00996885524841284,1.3277899361819436,0.010174106930254724,0.009867981296194641,0.004577306026619681
5.0,0.6440541099589077,0.3245671675842987,18.3048,18.3048,1.0,0.5350883094447446,0.3359624877409795,0.6625014249892401,0.23170484925002796,0.2793395217333828,2.0433243148402265,0.11462201800214009,0.3042208062317777,0.21269584790842813,0.6599379936609205,0.2152290938383098,1.889698128799548,0.27258320126782887,0.27468037432450243,0.5115656852722168,0.33548032572908537,0.2125916643577167,0.11389601892395189,0.009195732278429465,1.2975972283838928,0.009406949383849545,0.009078956921873426,0.004153827143282902
6.0,0.6415399301374405,0.3413531652197632,21.96576,21.96576,1.0,0.5437755224526457,0.32953032289576617,0.6648784919438886,0.2371617220074418,0.28114886602853595,2.0892065564488504,0.11462201800214009,0.3043550147422927,0.21026240997626677,0.6601446831311123,0.21438208085107088,1.8822614071718635,0.2730732635585157,0.2769270364174494,0.5171703100204468,0.329002485644059,0.21040977480783865,0.11389601892395189,0.008459688534133925,1.2666107694385573,0.008398691592819895,0.008534515019546206,0.004725388442491784
7.0,0.6386651041768467,0.4066977005250861,25.62672,25.62672,1.0,0.5706068323430956,0.3694338937967502,0.666577456703433,0.23883529429119085,0.27012932524139727,2.101977036226765,0.11462201800214009,0.30547726112233187,0.23622026562361279,0.6604787871848413,0.21546817274864408,1.8917972268417185,0.26829018725058834,0.2790224032586558,0.5435558557510376,0.36927989143476053,0.23662007058102233,0.11389601892395189,0.008734075208841159,1.382673513933696,0.008003517180251605,0.009351169041928363,0.004442098904985093
8.0,0.6376934179647815,0.36445178887478974,29.28768,29.28768,1.0,0.5455829466429246,0.3265725811361298,0.6683780609879229,0.24308509252908742,0.27897907561842245,2.138267668377579,0.11462201800214009,0.30833740217337147,0.2080230972951966,0.6602785104844896,0.21381002091986395,1.8772387563662292,0.2739393939393939,0.2748871465906391,0.49611884355545044,0.32592659778178645,0.2085589161806861,0.11389601892395189,0.007978653845253637,1.3394140954824252,0.007364310060238317,0.008513489944683362,0.004185827056580825
9.0,0.6439866750718799,0.4814697090837238,32.94864,32.94864,1.0,0.5525214188745864,0.357429335121392,0.6721797887148071,0.24711061168575182,0.27552738871708116,2.1740386077243246,0.11462201800214009,0.3136022528510475,0.22628680509155483,0.6603709497460217,0.21515306079458837,1.8890305633794415,0.27036956991571215,0.2770738704279226,0.5175068974494934,0.35708095446417226,0.22716860810688883,0.11389601892395189,0.008038024144703114,1.4332067498344259,0.007114244814288187,0.008858724688585035,0.00382995900104276
10.0,0.6385943160820333,0.34646538583341047,36.6096,36.6096,1.0,0.5510172061103925,0.34968219913484583,0.6734215501862074,0.24970918380994891,0.28361772765944954,2.195782028195064,0.11462201800214009,0.31436422781576023,0.22060080758418557,0.659579493473005,0.21461503953158215,1.8843067699748146,0.2737651444547996,0.27635402906208717,0.5227531790733337,0.3490924161791688,0.22169119776506868,0.11389601892395189,0.008202332079275839,1.5568459433688986,0.00648176338423026,0.009747768643541238,0.00421863844632241
