round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.63074983110488,0.12056736653936191,3.66096,3.66096,1.0,0.10957882107142505,0.6601040515073012,0.0,0.2554863169798694,0.22127214462560438,1.9541167643229453,0.29062672545949586,0.10810627782196518,0.11519576986025432,0.6544186820375029,0.21402121848335234,1.8790930579079663,0.0,0.27513672696676483,0.25376200675964355,0.10928400665933358,0.10906826491022913,0.11389601892395189,0.019681098151326612,2.1428928893001284,0.018786476933967088,0.020386760313328915,0.007800138693953872
2.0,0.6337944509963949,0.4236231152528955,7.32192,7.32192,1.0,0.10278853914389807,0.6660610617391438,0.0,0.22499172445412444,0.22976818174851402,2.039024867276969,0.30052107278323803,0.07430150065323436,0.11519576986025432,0.6616586489892746,0.22088901916462444,1.9393919230145484,0.0,0.2865039152464302,0.23112262785434723,0.07514742705490084,0.10229518798572246,0.11389601892395189,0.013263236840987938,1.5150608770782128,0.013737173246731012,0.013019915534661279,0.005045217124746795
3.0,0.6324023599892603,0.5079343900812445,10.98288,10.98288,1.0,0.10323643609884553,0.6678868946522982,0.003261572034076126,0.2306783411187068,0.23145050846728238,2.0480801114575047,0.3029989740210739,0.07737274473549682,0.11519576986025432,0.663586069084531,0.22335395368075858,1.9610338955735713,0.0008833922261484099,0.28509719222462204,0.2333984076976776,0.07870911494534162,0.10281212910070707,0.11389601892395189,0.01077160651097139,1.2906573657528497,0.011354929870428217,0.010409265408339566,0.005817287497777445
4.0,0.6330544661944191,0.5332111921706187,14.64384,14.64384,1.0,0.10252034071841236,0.6720167624601283,0.0075826295114149985,0.22389795476117902,0.23648079853682827,2.10277646578783,0.30735090071751947,0.07452279564880102,0.11519576986025432,0.6626829603393652,0.22373129612733084,1.964346938910268,0.014847161572052401,0.2831516489581896,0.2240530401468277,0.0752709741129548,0.10225774088332047,0.11389601892395189,0.009179028860325953,1.1566036845906638,0.009553198669795478,0.008938631796367318,0.0056632606060511145
5.0,0.6343872144324391,0.5214455170140893,18.3048,18.3048,1.0,0.10332097197158785,0.6724524906247737,0.007602192456294508,0.23333944451008998,0.23915881415947338,2.125558124546377,0.3097982406298665,0.08119369081047871,0.11519576986025432,0.6620925588327082,0.22510634689187065,1.9764197995557127,0.01828471919895516,0.2821344339622641,0.23056350648403168,0.0811924299884154,0.10306054201646855,0.11389601892395189,0.009229142380957166,1.2231225483701564,0.008662718409098996,0.009690924260906297,0.005395180148163038
6.0,0.63167565114185,0.4776693176459026,21.96576,21.96576,1.0,0.10107426345572447,0.6751692446930995,0.010441071132604268,0.21780248170447233,0.24207914701615815,2.153012152685098,0.3102917005963252,0.06702622488618505,0.11519576986025432,0.6626300644002725,0.22429507550138522,1.9692968869363778,0.025043177892918825,0.28289380905373007,0.21699418127536774,0.06636946998407967,0.10094915242908663,0.11389601892395189,0.008795808741960736,1.2331229451519903,0.00792811396418701,0.009497005731278499,0.006466225360623856
7.0,0.6379250681977838,0.5972824846445636,25.62672,25.62672,1.0,0.09996921264904894,0.6761085419386591,0.016271134500897802,0.21357083448655478,0.2436713603904254,2.1602198486079778,0.31244472969649045,0.06096271898029516,0.11519576986025432,0.662573114988267,0.22454644576644792,1.9715039023126617,0.02330599913681485,0.28462585034013604,0.20339027047157288,0.058655454990219597,0.09991328259274439,0.11389601892395189,0.008750284664906786,1.2978108197567053,0.007678065882078337,0.009648256385799407,0.005444934821223437
8.0,0.6448203935954562,0.6519662955267644,29.28768,29.28768,1.0,0.09972627966112521,0.6788317501004317,0.02719668127665722,0.208468274549297,0.2465131861359026,2.1860233544374728,0.3120714150649446,0.05835507244756228,0.11519576986025432,0.6628364777825259,0.2247702194483273,1.973468621395853,0.03654908627284318,0.28434197886647455,0.20182093977928162,0.058440323654693274,0.09983524933576728,0.11389601892395189,0.008019294289941413,1.257775014732033,0.007132930675680363,0.008786220374296848,0.0059279947023987475
9.0,0.6386942746201238,0.7194818639823329,32.94864,32.94864,1.0,0.10011451050782444,0.681211638766713,0.026311672796411494,0.21215042346099092,0.2506278060929457,2.221729045182647,0.3173390808962595,0.06344067641648467,0.11519576986025432,0.6623038539516893,0.22552784740775064,1.9801205480091018,0.032520325203252036,0.28596312962694154,0.2081378549337387,0.06334471937053916,0.10039605683617352,0.11389601892395189,0.008045365394116486,1.3323117177351378,0.00675747292065611,0.009195767323827087,0.005600450086003723
10.0,0.6374384683323557,0.6984320209205015,36.6096,36.6096,1.0,0.09919583959661295,0.6816445101422411,0.028674943239553247,0.2125395586831165,0.25441921079557356,2.255296201950912,0.3195810380473901,0.05934766485342546,0.11519576986025432,0.6614677718282779,0.22537892576918794,1.9788130252355258,0.035057716973065416,0.2858323007021892,0.19654443860054016,0.05724611761849686,0.09964645610617932,0.11389601892395189,0.008349785795953343,1.4620718117512297,0.006396908533425186,0.010150846890955224,0.0050034090908450965
