round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1,fed_prevalence,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6875758901746013,0.10321077352239957,3.65056,3.65056,0.9971592150692714,0.387858669994791,0.5147947018829148,0.27900045384436994,0.6425741595298499,1.7849348182953018,0.24099180642746407,0.11467774420946626,0.24959784058496481,0.20230052860188025,0.44255068058437674,0.10160713335003105,0.8921043449101931,0.015980823012385136,0.2045002711006687,0.41670191287994385,0.37512102481181203,0.2422974758180232,0.11389601892395189,0.029118797956144717,3.134201764361933,0.02375242670024443,0.03277043188044095
2.0,0.6781790745890555,0.1365792585015484,7.30112,7.30112,0.9971592150692714,0.36912506444741705,0.5111043180234933,0.29242606702828045,0.6583712264074465,1.85630095560616,0.2714018644482183,0.11467774420946626,0.23450517258723325,0.211976274229641,0.45986465717483027,0.10764094432536683,0.945080831993245,0.06598828245451742,0.2045002711006687,0.3839806318283081,0.37244150320472885,0.2404556079777953,0.11389601892395189,0.01876136077104774,2.165906561072916,0.015755095850539313,0.02081147769126968
3.0,0.6680016655898822,0.17904261869933744,10.95168,10.95168,0.9971592150692714,0.34871910241397774,0.5016824849482631,0.29298717486804554,0.662632376153542,1.9376304937934996,0.27970977061170893,0.11467774420946626,0.21994585127750174,0.22068637019193005,0.4410766094333024,0.10507194305176269,0.9225251597417026,0.12322274881516587,0.2045002711006687,0.3694620728492737,0.3753645810614031,0.24283173579867068,0.11389601892395189,0.013083702524416985,1.6196539585944265,0.011179959576580092,0.014412301686288976
4.0,0.6592727527052193,0.2125877675465962,14.60224,14.60224,0.9971592150692714,0.35463989728710954,0.5178665106821606,0.2974220932644825,0.6687516686118596,2.002741139363904,0.2826256821790107,0.11467774420946626,0.22390186475676382,0.2281069951520375,0.4300053952602929,0.102451169165407,0.8995149271531028,0.13594040968342644,0.2045002711006687,0.39137592911720276,0.37781904562891533,0.24470431783152366,0.11389601892395189,0.010160672099079934,1.3406635432038456,0.009653378147066145,0.01052553397415889
5.0,0.6556993569178818,0.2317876091849572,18.2528,18.2528,0.9971592150692714,0.3586335266487296,0.5255437017721383,0.3004572784406731,0.6736224038294626,2.0443641526022316,0.2846759722486918,0.11467774420946626,0.2265116741170946,0.23320289422714943,0.42919674623838966,0.10060472274273559,0.8833032417920519,0.06283987915407856,0.2045002711006687,0.35665208101272583,0.3740445779781528,0.24179196460460797,0.11389601892395189,0.008289108637843929,1.1559962530154735,0.008410636985734344,0.008198400646247338
6.0,0.6506117872387411,0.25634182232728364,18.2528,18.2528,0.0,0.3571400868172747,0.541174827970767,0.31308023393054596,0.6884081745000187,2.211642152039774,0.2905327959489197,0.11467774420946626,0.22618596187421858,0.2503026121136589,0.42919674623838966,0.10060472274273559,0.8833032417920519,0.06283987915407856,0.2045002711006687,0.35665208101272583,0.3740445779781528,0.24179196460460797,0.11389601892395189,0.0,0.0,,
7.0,0.6427046158680834,0.2881818447538026,19.92192,19.92192,0.4559241291901578,0.3340312061120436,0.529799923854097,0.30590371691263984,0.6813572482191834,2.136813350170974,0.29319080958102905,0.11467774420946626,0.21088904246642487,0.24320558704362943,0.43636132863354693,0.10259566777954959,0.9007836160458996,0.04580152671755725,0.2045002711006687,0.362202525138855,0.37403465580421863,0.24185132951967991,0.11389601892395189,0.00817158290305646,0.5259318999014795,0.00817158290305646,
8.0,0.6439240060729153,0.36605739252076835,19.92192,19.92192,0.0,0.3533726354642638,0.5673024521020785,0.31907643000064567,0.6922967186798292,2.27537826835502,0.28931208884033205,0.11467774420946626,0.22434134185544322,0.2579620825055882,0.43636132863354693,0.10259566777954959,0.9007836160458996,0.04580152671755725,0.2045002711006687,0.362202525138855,0.37403465580421863,0.24185132951967991,0.11389601892395189,0.0,0.0,,
9.0,0.6470318790717153,0.24075821913536966,23.57248,23.57248,0.9971592150692714,0.34749090113308495,0.518170878349279,0.30349204625312487,0.6775105391494368,2.0869408406399086,0.28931691785945063,0.11467774420946626,0.21867052182940155,0.23838658872460494,0.4575404485143934,0.10540555601508524,0.9254542609207814,0.007614213197969543,0.2045002711006687,0.3956529498100281,0.37175617625431484,0.23976993482494988,0.11389601892395189,0.00927768059974832,1.4133374483790249,0.006661366414762722,0.011480020856825958
10.0,0.6418486870238101,0.2762529051246977,23.57248,23.57248,0.0,0.3356917296359943,0.5340500151511556,0.3193499654511541,0.6926619784519633,2.230078148853237,0.30006158660999444,0.11467774420946626,0.21136483540647852,0.2531150940973234,0.4575404485143934,0.10540555601508524,0.9254542609207814,0.007614213197969543,0.2045002711006687,0.3956529498100281,0.37175617625431484,0.23976993482494988,0.11389601892395189,0.0,0.0,,
11.0,0.6337573524145361,0.3119427098125082,25.55392,25.55392,0.5412350858791136,0.3234735521575115,0.5221772003442441,0.32717311360152623,0.7002715529933508,2.3493000560740627,0.30375956882829364,0.11467774420946626,0.20249755024901556,0.2650562492081195,0.4616466793222031,0.10824879947903067,0.9504177626375874,0.04479131319986427,0.2045002711006687,0.36354953050613403,0.36989386170102057,0.23867019973161202,0.11389601892395189,0.011886468650983747,1.0488830374088138,,0.011886468650983747
12.0,0.6200897330298185,0.4147461242464504,25.55392,25.55392,0.0,0.32771039395492285,0.5913555093657333,0.337707760746104,0.7105996207659888,2.4657569668370827,0.30759721850490473,0.11467774420946626,0.20758656949750423,0.27675313935681506,0.4616466793222031,0.10824879947903067,0.9504177626375874,0.04479131319986427,0.2045002711006687,0.36354953050613403,0.36989386170102057,0.23867019973161202,0.11389601892395189,0.0,0.0,,
13.0,0.6401421198901426,0.3388977969918065,29.20448,29.20448,0.9971592150692714,0.32664794201492775,0.5188304092566233,0.3093336140095583,0.6812057599581126,2.1278559922228872,0.294539742006072,0.11467774420946626,0.20601533579459905,0.24285412081767466,0.502030626786383,0.11775383562723533,1.033871391991842,0.0349146110056926,0.2045002711006687,0.38029944896698,0.3664575124778087,0.23554911500714956,0.11389601892395189,0.008328033947480173,1.4117819552775472,0.007083985474145239,0.009311710545949365
14.0,0.6410671169211458,0.33348457179072377,29.20448,29.20448,0.0,0.3340515617510043,0.5390920123649989,0.32043907881640127,0.6946198236981458,2.283850987565095,0.3009372928243562,0.11467774420946626,0.20951019195771975,0.2594595619849612,0.502030626786383,0.11775383562723533,1.033871391991842,0.0349146110056926,0.2045002711006687,0.38029944896698,0.3664575124778087,0.23554911500714956,0.11389601892395189,0.0,0.0,,
