round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_ece,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6879647300154902,0.10791043910259086,3.65056,3.65056,0.9971592150692714,0.27867554395210586,1.8012186750802295,0.23904023030134283,0.5146692621034887,0.20392084338650981,0.24954533442429488,0.38782032395920296,0.11467774420946628,0.6437591784559524,0.44182549796601,0.10146248261603932,0.8908343204145317,0.01520608243297319,0.2045002711006687,0.4165343642234802,0.3750741614765752,0.24226802532907732,0.11389601892395189,0.029124065922025277,3.1346936421468854,0.02374322409048293,0.03278608053951744
2.0,0.678072552262225,0.13800725012914508,5.632,5.632,0.5412350858791136,0.30089927269623673,1.9839542042448761,0.2734302294161648,0.5158583183621862,0.22387915859725072,0.23256937272724493,0.3668286356857387,0.11467774420946628,0.6718318290791707,0.4610151281632838,0.10659456037041029,0.9358936456030411,0.09530483531885074,0.2045002711006687,0.39327389001846313,0.3746457131908286,0.2420506420156004,0.11389601892395189,0.02115322046013953,1.4520045979879797,,0.02115322046013953
3.0,0.6651244743643016,0.17876416776530363,7.61344,7.61344,0.5412350858791136,0.31129358033253895,2.119731424554714,0.28978065383921303,0.5155797333935837,0.23765420678402,0.22010949880491534,0.3504560141658179,0.11467774420946628,0.6806774386874591,0.4475231247492306,0.10456030887630635,0.9180330433333322,0.15588633288227335,0.2045002711006687,0.3728194534778595,0.3776010962654909,0.24446147886671,0.11389601892395189,0.015162838088483918,1.1089204323943704,,0.015162838088483918
4.0,0.6526512115302007,0.24333751659467356,9.59488,9.59488,0.5412350858791136,0.3180030504239924,2.2271895077972697,0.28883456013067754,0.5423186279173045,0.24943249680539042,0.2271460938212463,0.36127488549108455,0.11467774420946628,0.6944340881666076,0.4495900445500517,0.10623947463434724,0.9327760148077089,0.1720647773279352,0.2045002711006687,0.3996082544326782,0.38151945789091074,0.2474566367628524,0.11389601892395189,0.012111162597235088,0.9337510988116264,,0.012111162597235088
5.0,0.6610560691187013,0.23645476626967538,11.264,11.264,0.4559241291901578,0.2970940681037505,1.9992067839467418,0.28071401858207345,0.5175695816750853,0.2272884006565799,0.22768427271979702,0.3588500888408552,0.11467774420946628,0.6697811038572301,0.4443186849941537,0.10545519141028331,0.9258900566199377,0.16302311055590257,0.2045002711006687,0.3926537334918976,0.3799984557554595,0.24621399875411526,0.11389601892395189,0.01695485068288166,0.7940608421340585,0.01695485068288166,
6.0,0.6536163610197236,0.22721582740906893,13.24544,13.24544,0.5412350858791136,0.3095439660768196,2.1403089129122375,0.28793964160109414,0.5260318501403203,0.24266480880021332,0.2257649140742196,0.3584344934283832,0.11467774420946628,0.6824499502648255,0.4952367928440416,0.11381515588802546,0.99929002754714,0.11018199704869651,0.2045002711006687,0.4183320999145508,0.3745238482592132,0.24143254766774858,0.11389601892395189,0.009754420202002376,0.7860531450714916,,0.009754420202002376
7.0,0.6406396759367824,0.3047876724281446,15.22688,15.22688,0.5412350858791136,0.3172793266832667,2.275014082970628,0.29554436915082194,0.5506038046165296,0.25634842530790536,0.21012042203165956,0.3358194052775401,0.11467774420946628,0.6926676933249682,0.5038737898626433,0.1179458596296375,1.0355573508534102,0.01007979840403192,0.2045002711006687,0.4020247161388397,0.3670849150950514,0.2359554084981236,0.11389601892395189,0.009186496737023543,0.7756082562264055,,0.009186496737023543
8.0,0.6295967666534552,0.4300512896827581,17.20832,17.20832,0.5412350858791136,0.32577897038783876,2.4143107477144263,0.30208346951609,0.5620920297850114,0.27070283587185595,0.21842042240231999,0.34772806100721765,0.11467774420946628,0.7033875388894135,0.4792483395443916,0.11140362898744889,0.978116970548662,0.03664345914254306,0.2045002711006687,0.3793829381465912,0.3682285454425138,0.23703505155169693,0.11389601892395189,0.009174447097910168,0.809290548786521,,0.009174447097910168
9.0,0.6128266290937479,0.4765025267470949,19.18976,19.18976,0.5412350858791136,0.33367577653592767,2.5066236474131576,0.30373455881930156,0.5608251733069514,0.2809168592196726,0.20693222924242188,0.33184224039256144,0.11467774420946628,0.7117672878343563,0.4866378583125736,0.11315293288605863,0.9934757505581524,0.10547770700636942,0.20450951154489178,0.39242228865623474,0.36866404920646934,0.23736262568501632,0.11389601892395189,0.010031138920976117,0.927306012250483,,0.010031138920976117
10.0,0.6431354338684738,0.4485937501310396,22.84032,22.84032,0.9971592150692714,0.29953997425794676,2.0491510694417614,0.28536302314943657,0.49791092618039373,0.23401390368747904,0.20872707609277083,0.3304370803343955,0.11467774420946628,0.6721459058977868,0.48946988053775303,0.11443382007689568,1.0047218608518957,0.062025734081161334,0.2045002711006687,0.37233224511146545,0.3683686332830671,0.2371949605552176,0.11389601892395189,0.009626221168784223,1.4219461281318218,0.013321791623776216,0.007672750707341159
