round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6890262902621662,0.09957912709963705,7.32192,3.66096,1.0,0.2113675731332436,0.26259996246838324,0.6490815806939739,0.5086773735417609,0.233548753558528,1.8693524877419303,0.2826923165451993,0.11423716012084593,0.3686890976854261,0.6587318533045391,0.21515892394991948,1.8890820415205258,0.27584569732937686,0.27914422936981514,0.5117130279541016,0.3675904034596275,0.23240752303842208,0.11389601892395189,0.025316810528651628,2.741670626486666,0.02224020553071835,0.027551798268407555,0.01022745236058259
2.0,0.6655632909246827,0.18418665747978408,14.64384,7.32192,1.0,0.21733031939871328,0.26847379626038187,0.6564397353505034,0.49807995302679564,0.20344540658848884,1.9244777272412132,0.2907335032369727,0.11423716012084593,0.3248729091803547,0.6623698264194974,0.220448628847577,1.9355253232755223,0.28013811739978983,0.282258064516129,0.5107932090759277,0.3231443218248252,0.2019518868919721,0.11389601892395189,0.01584548956490349,1.842089476255751,0.016003173038379788,0.015845603926697673,0.005761549389005947
3.0,0.6553773216291867,0.3014102849930761,21.96576,10.98288,1.0,0.2228279923797285,0.27123092341925514,0.6607424272691927,0.5349701380869232,0.22123600565822532,1.9731040076432036,0.29704957887279476,0.11423716012084593,0.35060024218988295,0.6654318047983983,0.22353434317792528,1.9626177041989383,0.27844205043210607,0.2832196452933151,0.5229483246803284,0.34888324054430814,0.21973116670422327,0.11389601892395189,0.012045204976188455,1.49904348723976,0.012342598816890834,0.011919103465102965,0.003973366981672399
4.0,0.6499117263700819,0.3107629948772751,29.28768,14.64384,1.0,0.2253762593557563,0.2735157869243485,0.6629991764329027,0.5390926343290376,0.21528512746304418,1.9926968460413033,0.298330309545987,0.11423716012084593,0.34140340063987296,0.6663461578523249,0.2237528607737016,1.9645362751713111,0.27803133094856297,0.28354139761802266,0.5279630422592163,0.3394858345897096,0.21397137464735527,0.11389601892395189,0.009887096411590267,1.311801985692,0.010276169784999846,0.009663697438738924,0.0038977797721403582
5.0,0.6492711520220791,0.3498364337282279,36.6096,18.3048,1.0,0.22780492362659943,0.2757119853820023,0.6654625720702386,0.5286746372535361,0.2085700897227734,2.009018177962008,0.29898480354898976,0.11423716012084593,0.33086598951328255,0.66789911485705,0.22496581049304584,1.9751858986682844,0.28166080957959133,0.2853542425091011,0.5162628293037415,0.32889621916870937,0.20725715681464663,0.11389601892395189,0.008813650337916194,1.239283258702926,0.009027055821646354,0.008692115570073858,0.004524949875492189
6.0,0.6459309857710581,0.32905646546134876,43.93152,21.96576,1.0,0.22919276970522756,0.277266293480898,0.6681768826697692,0.5490827624388752,0.21497376931225812,2.018930495344372,0.29870000386415235,0.11423716012084593,0.34100971815400455,0.6679935871297642,0.22455335165957957,1.971564535627126,0.2807059384688767,0.2843045739431924,0.5207448601722717,0.33923532506487103,0.21402896540442293,0.11389601892395189,0.008757811050852878,1.300364128770525,0.008552495797207488,0.008963279205511786,0.0036387290250728447
7.0,0.6428616040651617,0.33226940697369317,51.25344,25.62672,1.0,0.23017774901047103,0.2804968130010079,0.6691906444890978,0.5423340800463073,0.21968247068105218,2.0279504588991086,0.29792565576723,0.11423716012084593,0.34883319632940873,0.6675755272438809,0.22456323645558304,1.9716513235245159,0.2817074670931234,0.28359927619674286,0.5523793697357178,0.3474377829417818,0.21894148589418908,0.11389601892395189,0.008832813251132726,1.3909462669807908,0.0077414207087560345,0.009764000630415865,0.0038606255947633943
8.0,0.646076520235274,0.3053420087170068,58.57536,29.28768,1.0,0.23196296451423307,0.2807245801225983,0.670066728449937,0.5338263261204159,0.20742559964849555,2.0423452907002844,0.3013347299792379,0.11423716012084593,0.32678967670041387,0.667997151174059,0.22433148175041304,1.9696165315505774,0.28101869276125957,0.2834034293109026,0.5541632175445557,0.3249586114509067,0.206609008003469,0.11389601892395189,0.007670180086032126,1.2913659739951981,0.006801619353536585,0.008429607875662175,0.0038162420957126883
9.0,0.6477491257345136,0.4537739251580393,65.89728,32.94864,1.0,0.23454765529710686,0.28410817904900515,0.6731781777120268,0.535952751469411,0.21393729178762474,2.065522333569448,0.3050381318056133,0.11423716012084593,0.339049819130957,0.6671093904083737,0.22494922209528959,1.975040253562222,0.27863852629010616,0.28251779862131315,0.48521688580513,0.3372684172107383,0.21341496680782626,0.11389601892395189,0.007899010080846125,1.4079524449098244,0.006715987480363816,0.00895832307339316,0.00322749243623418
10.0,0.6503873002889458,0.3672784254765072,73.2192,36.6096,1.0,0.2383835256952267,0.2796846493927823,0.6748576875111283,0.5587932520319989,0.22051054715140872,2.0956870409278596,0.3074284589800204,0.11423716012084593,0.34871515158042377,0.6673529501677837,0.22242501404633563,1.9528778630519852,0.27878648586531835,0.28363812522708004,0.5118018984794617,0.34730245996594905,0.22042128081625315,0.11389601892395189,0.007644143025276812,1.446281292801359,0.006303649491069167,0.008868545807031824,0.003219050551192631
11.0,0.6434994591242061,0.39392815149327226,80.54112,40.27056,1.0,0.24041314481212148,0.28173693349186985,0.6767082961311174,0.554642244348113,0.21910488173553655,2.111076121017276,0.3049167624820904,0.11423716012084593,0.34632648808238253,0.6673561251790744,0.22251536145210837,1.9536711076853475,0.27648636566830576,0.282640586797066,0.5184178352355957,0.3447326030815618,0.2191645110956648,0.11389601892395189,0.00723115676525835,1.4459528231909644,0.005789972577136851,0.008578952460635643,0.0032325043046372865
12.0,0.6430375384421273,0.4183828938442954,87.86304,43.93152,1.0,0.24379595507431942,0.28234740655433865,0.6787537329556749,0.5596947384658687,0.22138150629857756,2.1379994106501155,0.30370834814290903,0.11423716012084593,0.35058714229283405,0.6657396804979863,0.2208679270843918,1.9392067358549625,0.274236177185749,0.2770241325146366,0.5531283020973206,0.3490391053824475,0.221759900372667,0.11389601892395189,0.007056274633913751,1.4946813853784988,0.00549894208719992,0.008545521774148213,0.0035321963937371705
13.0,0.6423115099143838,0.4323804717621348,95.18496,47.59248,1.0,0.24460420736591731,0.28072498729036083,0.6788788752189893,0.5686778318725924,0.2126196273833688,2.1456637625886748,0.30815431521832,0.11423716012084593,0.33515790512941007,0.6664526901481633,0.2211957139355883,1.942084684130006,0.2769993533089028,0.28023598820059,0.5227612853050232,0.3334023538987969,0.21305917787172396,0.11389601892395189,0.007103013054470571,1.589681109688172,0.005110971910726513,0.009044666865670275,0.003372685566719376
14.0,0.6391916530190318,0.5062086243776904,102.50688,51.25344,1.0,0.24657723967775905,0.28180936244061416,0.680437366721733,0.5248171372914994,0.19673779409455736,2.1631383521242804,0.30779080828288996,0.11423716012084593,0.31023409369721444,0.6672837901392332,0.2207663244757509,1.9383146712367187,0.2810145655449523,0.2836988585353341,0.5044199228286743,0.30852391021228215,0.19743726883306487,0.11389601892395189,0.006358405448108709,1.5116528465746342,0.0046503132374518695,0.00804786096864766,0.0037271373794445653
15.0,0.6452611265774952,0.5850482866525222,109.8288,54.9144,1.0,0.2511407355213282,0.28430686479181555,0.6847679716005152,0.5585332282266438,0.21517255534104093,2.199889336436884,0.3101520358313191,0.11423716012084593,0.34091601465441373,0.6660987705101337,0.2198140065428139,1.9299533787004726,0.2787231676120565,0.28073373590064943,0.5049254298210144,0.33943584102891083,0.21629404344015085,0.11389601892395189,0.0058273976254724445,1.4587490009162138,0.004410063075888441,0.007260776059437817,0.003168200506564985
16.0,0.6414864388124921,0.5284506392180199,117.15072,58.57536,1.0,0.2546710628653891,0.2873243642933696,0.68473091013017,0.5599232668775507,0.21173689483480937,2.229100731339438,0.31206113185085854,0.11423716012084593,0.3348719049451454,0.6659608771343919,0.22213390424481236,1.950321937004055,0.2757694459988808,0.28240678422398713,0.5389000177383423,0.3336447577487991,0.21321543597460663,0.11389601892395189,0.0061437702914330615,1.617588613236876,0.0043441024752868635,0.007990974292520384,0.0037329452416117884
17.0,0.6411768147649901,0.5716367107390805,124.47264,62.23632,1.0,0.2574829582952377,0.29008230539055224,0.6882688143912369,0.5547236461334928,0.20672259619909317,2.2616841622654063,0.31613209222366995,0.11423716012084593,0.32589844340404117,0.6670148804873043,0.22288732081254695,1.9569368878588136,0.2780045351473923,0.2837689969604863,0.5160461664199829,0.32395630362471045,0.20820985333954412,0.11389601892395189,0.005634461623912159,1.56391514810457,0.004141906511723005,0.0071899436698416135,0.0033231753561803567
18.0,0.6418973905950722,0.7215445856724295,131.79456,65.89728,1.0,0.2596356129757778,0.28634659702860554,0.6910468265478839,0.5681017667752918,0.21241614858345356,2.273177609070163,0.3144112708929632,0.11423716012084593,0.3360365454786554,0.6649098731004459,0.21900645666443871,1.922863140727235,0.27559745669809255,0.28052884615384616,0.5183585286140442,0.33434916067056814,0.21434512980603154,0.11389601892395189,0.005855147469485227,1.7057936221808632,0.004086714926593589,0.007734530671995194,0.0036683913456127294
