round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_brier,fed_f1_best,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6874360308165218,0.10034831297837798,0.91652,3.66096,1.0,1.916142598184718,0.6509720743597719,0.474588211761322,0.34154966953905064,0.11157960981749523,0.21221282246834416,0.27889270542685296,0.25802693286214073,0.2096430849963506,0.649405276462163,0.19863992313316875,1.7440462362938267,0.258074252942952,0.27084361124815,0.48159822821617126,0.3391112957787782,0.21270374755354884,0.11389601892395189,0.024591536313259648,2.644737438208722,0.021690997422529657,0.02669975960256931,0.00903616496230534
2.0,0.6600546980970514,0.22207044621072664,1.83304,7.32192,1.0,1.9893235238726652,0.6581179645136123,0.5177923087581587,0.3576016413820397,0.11157960981749523,0.22442051794894682,0.2920656832185933,0.26898655723090814,0.21688445121453728,0.6577768902247751,0.20535492777532766,1.8030035616296884,0.2750986409469531,0.2760457117496949,0.5013389587402344,0.355269623470808,0.224795754393763,0.11389601892395189,0.0172154133137293,1.9807038217259105,0.016573466476614385,0.017772245213001973,0.005338070308232195
3.0,0.6468833613866894,0.26946798862670585,2.74956,10.98288,1.0,2.0543569558868944,0.6616921109801364,0.48692552317531695,0.3262143532178774,0.11157960981749523,0.20338518860986268,0.2956640164491074,0.2755852217286108,0.2231828653741958,0.6599817535991451,0.20833305173704483,1.829151305772578,0.2710173838700484,0.27603217158176946,0.4645174443721771,0.32369383174142885,0.20397397385803318,0.11389601892395189,0.01288671308609445,1.589396786848738,0.013118510956625366,0.012811079315618786,0.004981423446052619
4.0,0.6465917519394979,0.3458796989742721,3.66608,14.64384,1.0,2.082280247788505,0.6644016881695252,0.5110674505323038,0.3337435234645164,0.11157960981749523,0.2087810972838369,0.30042299834577035,0.28039507283108905,0.22621324340363302,0.6606710071371743,0.2103143345399547,1.8465468462104992,0.27318548387096775,0.2766317213391951,0.48457542061805725,0.330929070681887,0.20922906861583335,0.11389601892395189,0.010099542965379757,1.3267708401081109,0.010490135472225555,0.009874835388245212,0.004650141384486182
5.0,0.6470764052396498,0.3588099859732857,4.5826,18.3048,1.0,2.09257867917704,0.6659337073494025,0.519724966837896,0.3463234621438311,0.11157960981749523,0.21731569390534014,0.29827243672358467,0.27770140385831565,0.2280757380828185,0.6607139639104874,0.21086870392897827,1.8514141751501851,0.2727381665668065,0.27535777708137477,0.4741476774215698,0.3436587613277151,0.2179166688254155,0.11389601892395189,0.008803820638966451,1.2244574318247032,0.00914558235928641,0.008595242822130327,0.0037256220623453776
6.0,0.6472199646150332,0.32751021859093243,5.49912,21.96576,1.0,2.107561641112338,0.6692180012476167,0.5365407052525487,0.3426207806570414,0.11157960981749523,0.2156678061747479,0.29771690543490165,0.27925736110466054,0.2302730747853992,0.6608133806671882,0.21165804067188532,1.8583445029207641,0.27274795268425844,0.27564894932014833,0.5159922242164612,0.33971527215068814,0.21638698447745078,0.11389601892395189,0.008850696930817852,1.3007931168031064,0.008332475059732728,0.009290562172878523,0.004436862523485504
7.0,0.6417152139489937,0.3593886567089336,6.41564,25.62672,1.0,2.1158894785613884,0.6723738879970301,0.5321666029693946,0.34436702169173156,0.11157960981749523,0.21593496953599614,0.29923581064499977,0.28078816126314915,0.2314273393228515,0.6608533632204383,0.21210408423497207,1.8622607378102782,0.27322033898305087,0.27603074772886094,0.505156397819519,0.34130138769349094,0.21681321136490045,0.11389601892395189,0.00799028921200442,1.25126919437389,0.007640419090442871,0.008301660478144332,0.004121738583063946
8.0,0.6399169762767197,0.4001014199664289,7.33216,29.28768,1.0,2.138545345417989,0.6735968158654008,0.5312335838792905,0.3328252702426279,0.11157960981749523,0.20827921120770357,0.3004679168117869,0.2842331555277648,0.2337935175168425,0.6602846848147468,0.21158727538717848,1.857723188098917,0.27185840707964604,0.2751691613696945,0.46852636337280273,0.32970794249168306,0.20944924617970506,0.11389601892395189,0.007884529902723644,1.3114753243280575,0.007018056768541561,0.00863730729752403,0.004257657619391367
9.0,0.6393200267969873,0.3997101177295262,8.24868,32.94864,1.0,2.151476558353673,0.6743407822348554,0.5163110707918751,0.32747444119269253,0.11157960981749523,0.20547616207040242,0.3026771671014393,0.2911971239235249,0.23543551345430275,0.6603179659607666,0.21160402366178538,1.8578702369138371,0.27196179464622344,0.27442317133038785,0.494758665561676,0.32435447537843226,0.2067190634982316,0.11389601892395189,0.007765162718878566,1.3746640970239241,0.006683498398723103,0.008729323025645563,0.0037533488427169753
10.0,0.6424086284566658,0.4988480885894683,9.1652,36.6096,1.0,2.177114397669416,0.6769086461192345,0.5280341498614707,0.3299437741585464,0.11157960981749523,0.20681088447141546,0.3069163791702062,0.28809440991248336,0.23866817774449753,0.6598500345536603,0.21002661791713167,1.844020712061639,0.2695716395864106,0.27419527323280934,0.4668434262275696,0.32678162478590367,0.20839646589514024,0.11389601892395189,0.007109751679795785,1.345175884594937,0.0059910410407872944,0.008133677008828884,0.0036230298081808476
