round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6896784556485919,0.09674191140420349,0.08724,3.65056,0.9971592150692714,0.5881041701933589,0.11035568146049733,0.3901507416685535,1.632460509392203,0.12599017027002055,0.24944055711795157,0.5006021137315596,0.18084600411114526,0.2508222205155153,0.5566554285489687,0.17707875638902923,1.554740526157146,0.0,0.23231871083258732,0.4908730685710907,0.3767273237288367,0.242814583162982,0.11389601892395189,0.9952791888182579,8.621639845892787,0.652931771244966,1.302527564761108
2.0,0.6882795056759093,0.06439965741388612,0.17448,7.30112,0.9971592150692714,0.6346523964717814,0.11035568146049733,0.38809937246948206,1.8452629962633325,0.13598083368316582,0.2793332551132587,0.5011932413045962,0.20227727660388922,0.24850216818661094,0.5751950222449072,0.1922382227764485,1.6878397032016152,0.03634826711749789,0.26627626593179465,0.4934940040111542,0.37948391350713945,0.24482050473812836,0.11389601892395189,0.12175513175749375,1.1100499766180292,0.10333300688863492,0.13571541690301694
3.0,0.6835072470345881,0.0864447308126361,0.26172,10.95168,0.9971592150692714,0.6529557943136189,0.11035568146049733,0.3888812494964618,1.91032428077237,0.16824614048584624,0.2869432841258874,0.5058836305876891,0.209382457291594,0.24866150444168664,0.6219876484280129,0.20819835965956635,1.8279687176650126,0.18618988902589395,0.2798552472858866,0.49739646911621094,0.38354383358550276,0.2478733161204044,0.11389601892395189,0.15206297731084165,1.379498736115238,0.08596220379826935,0.2209396537320775
4.0,0.6815769317430693,0.09788530680206417,0.34896,14.60224,0.9971592150692714,0.6609557057652639,0.11035568146049733,0.38350684533038154,1.9321400160264657,0.1908914710044559,0.2896162339599007,0.4998718124029582,0.21202122286765632,0.24420244698422391,0.5577606462144402,0.18853722541275703,1.6553451753097963,0.0396457191058625,0.2537534362444491,0.49641793966293335,0.3821185994333647,0.2468632610565606,0.11389601892395189,0.1151272588357787,1.2416178477815265,0.06094958901467866,0.17748869955546615
5.0,0.6790279271422535,0.11042993426142185,0.4362,18.2528,0.9971592150692714,0.6628195667654645,0.11035568146049733,0.37920560577886075,1.9273616221323888,0.2268274769538951,0.2879699467606822,0.4998418590690041,0.21154393753181985,0.24050812414954656,0.6359621406131933,0.21041231708572466,1.8474071269006909,0.02414833980163864,0.275961399971194,0.4945102632045746,0.38059550064326086,0.2456909928870814,0.11389601892395189,0.09139989934363442,1.1402615429378784,0.045218888910477636,0.1513645430522355
6.0,0.6767958552180307,0.10988574054243228,0.4362,18.2528,0.0,0.6804746067854182,0.11035568146049733,0.33570205664293234,2.0799457399707175,0.2772841002160777,0.30700411320217424,0.5177726637896855,0.22684030246125564,0.20949888637011296,0.6359621406131933,0.21041231708572466,1.8474071269006909,0.02414833980163864,0.275961399971194,0.4945102632045746,0.38059550064326086,0.2456909928870814,0.11389601892395189,0.0,0.0,,
7.0,0.6549593033178697,0.2239804851419865,0.4362,18.2528,0.0,0.6910367134122998,0.11035568146049733,0.3374695128325325,2.1630045666363404,0.2863670903248579,0.3135080372437141,0.5389461312423085,0.23488753513897678,0.20950775989894083,0.6359621406131933,0.21041231708572466,1.8474071269006909,0.02414833980163864,0.275961399971194,0.4945102632045746,0.38059550064326086,0.2456909928870814,0.11389601892395189,0.0,0.0,,
8.0,0.6311559987942275,0.37625994869037105,0.4362,18.2528,0.0,0.6983389171604417,0.11035568146049733,0.34345316851571994,2.248173043423574,0.29520286717732674,0.32402346968774465,0.5669185156281129,0.2435588966048497,0.2153840116290187,0.6359621406131933,0.21041231708572466,1.8474071269006909,0.02414833980163864,0.275961399971194,0.4945102632045746,0.38059550064326086,0.2456909928870814,0.11389601892395189,0.0,0.0,,
9.0,0.6766010375771845,0.1059376397021008,0.52344,21.90336,0.9971592150692714,0.6695265564776729,0.11035568146049733,0.37445866258068583,1.987391751092041,0.2530631994526866,0.2927725933596369,0.4962484624237995,0.2175712476927379,0.23640310499514824,0.662931979110283,0.21838988517570518,1.9174496812002149,0.016586643387167175,0.28195544924502913,0.49433329701423645,0.3794281971152232,0.24473540413374942,0.11389601892395189,0.06106624701525915,0.8752046869776677,0.03175951807489879,0.10123946059998573
10.0,0.67566975827565,0.13042339996607152,0.52344,21.90336,0.0,0.6801123267091417,0.11035568146049733,0.35199058802295935,2.072997032654189,0.2759908967637695,0.30726930847227746,0.5516843059676827,0.22635428789389866,0.22123178172299351,0.662931979110283,0.21838988517570518,1.9174496812002149,0.016586643387167175,0.28195544924502913,0.49433329701423645,0.3794281971152232,0.24473540413374942,0.11389601892395189,0.0,0.0,,
