round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auroc,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.509021964975467,254.11922322246932,3.65056,3.65056,0.9971592150692714,0.1935538398428484,0.21541238178641495,0.6234059985888442,1.7295824293748194,0.2471471880322565,0.2711130384957276,0.5000981168173603,0.11060749134403523,0.3871015883764081,0.411214674485544,0.10661998514387533,0.9361168735411661,0.2040686296818823,0.20454648167397296,0.4965519309043884,0.3939666902675766,0.2562378581580272,0.11389601892395189,0.02407524174288092,2.5880530974827707,0.02022633608153806,0.02661794211467419
2.0,11.219854845676554,287.58414809575174,5.632,5.632,0.5412350858791136,0.21673980408119392,0.2582674377007595,0.6655346907910882,1.9697678843441457,0.24681220595336267,0.3029406099167471,0.5352767806402873,0.11060749134403523,0.3890803348860502,0.4110653736581687,0.0970842954574821,0.8523941080179901,0.20408903395439504,0.20468735861008053,0.4988382160663605,0.3973750759547427,0.2590127056675574,0.11389601892395189,0.019618482643405797,1.3273923490196466,,0.019618482643405797
3.0,10.742976449776329,364.93185043379225,7.61344,7.61344,0.5412350858791136,0.227941114282343,0.26397787381584586,0.6810050710846576,2.091369702139979,0.244758413045517,0.3063092952175319,0.5609681837094217,0.11060749134403523,0.3873902814359008,0.3754557019663836,0.08491435027737815,0.745542742227674,0.19961258186514158,0.20459271313624447,0.49207547307014465,0.39566619654559504,0.2579280899501589,0.11389601892395189,0.013512025984818035,0.9614335377700627,,0.013512025984818035
4.0,10.342062653707222,424.99649822729396,9.59488,9.59488,0.5412350858791136,0.23260084809163703,0.27435604124302776,0.6887212635488581,2.136600833670129,0.2407944174333226,0.32006711519222125,0.5725350281409509,0.11060749134403523,0.38293912790652374,0.37198077132845836,0.08449434067115891,0.7418550838688716,0.20059510185397117,0.20450951154489178,0.4875338673591614,0.3973440240182324,0.25933798025718025,0.11389601892395189,0.011774102952131075,0.8743551375810057,,0.011774102952131075
5.0,10.539403010166321,447.186981552202,11.264,11.264,0.4559241291901578,0.21731003910206803,0.2659040162817511,0.6714711856882206,1.9842444296544615,0.24588888105106652,0.2964969003639233,0.5780869874351611,0.11060749134403523,0.3882631354805505,0.38079182924272237,0.08519356139397202,0.7479941985580336,0.20305766002812684,0.20452799493876814,0.4905381202697754,0.39783602533123746,0.2596586447612291,0.11389601892395189,0.0173640734876808,0.78237066231668,0.0173640734876808,
6.0,10.218674593487515,439.11535171674115,13.24544,13.24544,0.5412350858791136,0.22747434905805966,0.287502457094483,0.682287306437566,2.0913939986050076,0.23293111749734394,0.30900696998167104,0.5369943099893186,0.11060749134403523,0.372466009026021,0.41738933102838394,0.09134783976834976,0.8020283819519847,0.2033898305084746,0.2046204620462046,0.49382779002189636,0.39739465686352055,0.25912688872180656,0.11389601892395189,0.010397347968929153,0.8042224908713251,,0.010397347968929153
7.0,9.74510806360967,482.9464755771426,15.22688,15.22688,0.5412350858791136,0.23727869504649413,0.28480965275220044,0.6922647695429517,2.184178305657355,0.23654074405609207,0.3186534826484742,0.5744542826392721,0.11060749134403523,0.37764810141730615,0.5689861433471667,0.18442631941376966,1.6192516749589878,0.2038158553799918,0.2506482281763181,0.5139492154121399,0.3951804411597878,0.2567547274026548,0.11389601892395189,0.009194195027125342,0.7389525125036016,,0.009194195027125342
8.0,9.281613426572637,594.131913767119,17.20832,17.20832,0.5412350858791136,0.24501293508961441,0.293570981134099,0.6984837992311098,2.2608951514876754,0.23854152854885888,0.3277407806531463,0.5843105116767031,0.11060749134403523,0.3807577469306132,0.40564502701118893,0.08964812686918108,0.7871050078496504,0.20335113911336347,0.20479638009049772,0.4940332770347595,0.39551871150433554,0.25758721897718273,0.11389601892395189,0.007714262485676222,0.6426906484412029,,0.007714262485676222
9.0,8.846772547222258,660.2272492542409,19.18976,19.18976,0.5412350858791136,0.2524923240775743,0.2957733642083033,0.7028822156852254,2.3355087947607234,0.24401569210234653,0.3381281120908444,0.6024733377077085,0.11060749134403523,0.3880608456086767,0.3964458898512534,0.08782902879862174,0.7711334393282436,0.2022982114725234,0.20466672696029664,0.4907952547073364,0.39395876107539146,0.2564276083918643,0.11389601892395189,0.007044805270493007,0.6045845424523577,,0.007044805270493007
10.0,9.682242826321403,707.2187714245383,22.84032,22.84032,0.9971592150692714,0.22341238362142565,0.2748471286473551,0.6774585328053289,2.0470322631510705,0.2452825097224358,0.3007325936248462,0.5916164252530637,0.11060749134403523,0.38739446330115523,0.35438566192007914,0.08215040922513386,0.7212755107795779,0.1861603797152136,0.20450951154489178,0.47016650438308716,0.39591008330862615,0.2584860234291984,0.11389601892395189,0.009305376362265359,1.273280309746042,0.012375684025183438,0.0076137811949330385
11.0,9.590675699456382,745.2190941305028,24.82176,24.82176,0.5412350858791136,0.22841032034267775,0.2838104449787168,0.6854380644157635,2.0952250998676165,0.23878112389549463,0.31303058409048745,0.5802518156102366,0.11060749134403523,0.3801033414776009,0.35829058697249444,0.08285758153893553,0.727484439945696,0.1983132193280835,0.20460404323639816,0.49455928802490234,0.3974180792285065,0.25956960588596023,0.11389601892395189,0.007076152557740229,0.6421034849481657,,0.007076152557740229
12.0,9.153756202883313,765.1944385022912,26.8032,26.8032,0.5412350858791136,0.23337743935630426,0.28493667862642286,0.6901855370588833,2.146157274548812,0.24924238103133226,0.31901030583836637,0.5996944102994819,0.11060749134403523,0.3934201557173983,0.3706348677280257,0.0852645615784428,0.7486175757852761,0.20378974218821172,0.20460612641961903,0.4972890615463257,0.39779680577196347,0.25968269656874843,0.11389601892395189,0.006891475911006296,0.6442839527735487,,0.006891475911006296
13.0,8.625226947565103,695.4916664500842,28.78464,28.78464,0.5412350858791136,0.24039589607990694,0.30542657186593364,0.6957088061150396,2.21243507145754,0.23628085361745219,0.32955982126688527,0.5815126603734843,0.11060749134403523,0.37822661673193425,0.363597825410923,0.08353842910621037,0.7334622394658833,0.204401376562217,0.20458042907576715,0.4998188316822052,0.3996774938522441,0.26135073979588935,0.11389601892395189,0.007054563955546175,0.6822103327140212,,0.007054563955546175
14.0,8.412415552721146,810.3151169003348,30.76608,30.76608,0.5412350858791136,0.24125748565651414,0.3031364441305635,0.6980327124941642,2.219474976397475,0.23530631264540902,0.3304656681808151,0.5735246693633957,0.11060749134403523,0.3769248045237513,0.38676272033762643,0.08667592339703298,0.7610092452389077,0.20473796258549623,0.20476578780465707,0.5000124573707581,0.39752024041969775,0.2593424652595966,0.11389601892395189,0.005942504051173087,0.5921415212797001,,0.005942504051173087
15.0,9.488212602692595,870.4134719131025,32.4352,32.4352,0.4559241291901578,0.2228763069883113,0.2768822913284942,0.6793447989774141,2.0352198108371473,0.23756523579961683,0.3053478040332647,0.582568500700108,0.11060749134403523,0.37749220175040676,0.3866602164157973,0.08706488068715146,0.7644242661833903,0.20434447417350687,0.20463180749050114,0.49806538224220276,0.39801166781638064,0.25977858546532673,0.11389601892395189,0.010256420911997612,0.5380767555907369,0.010256420911997612,
