round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.1726001099252947,0.024570750631237807,3.66096,3.66096,1.0,0.11469218179529145,0.3836351221324844,0.264446424035689,0.29148261229770855,0.509584569368602,0.21616905360067232,0.66003309940041,1.906342772514089,0.2463109874588819,0.6523434670490802,0.21206753195369077,1.8619398110419274,0.2595500661667402,0.2709243697478992,0.5074579119682312,0.3845285810655805,0.24649843609184285,0.11389601892395189,0.02060514319378708,2.228400476344177,0.01773190989446738,0.022624575869167465,0.008318826921893084
2.0,0.16581744532395046,0.023398867954765035,7.32192,7.32192,1.0,0.11469218179529145,0.3724344853664936,0.27540770060761244,0.29928876598355386,0.5151518611719308,0.22440555068774473,0.6667354612486865,1.9859172365913071,0.23678830150555197,0.6610300469515148,0.22076543192356085,1.9383068346837076,0.2732686369651522,0.28137512080629573,0.509769082069397,0.37355302325900097,0.23714459502139956,0.11389601892395189,0.013830431477440378,1.5678333089635998,0.013903245191911493,0.013856399025212506,0.005205471031206263
3.0,0.16375251456459905,0.032769948402330266,10.98288,10.98288,1.0,0.11469218179529145,0.370936383025766,0.27511833258072477,0.3049185936272265,0.511510287718825,0.23023882351280917,0.6708247055797598,2.0376939019168705,0.2351365819706024,0.6627286403437064,0.22311028043125555,1.9588944595177271,0.27419527323280934,0.2831118411228908,0.5169671177864075,0.37197750216581793,0.23561989001284883,0.11389601892395189,0.010763929851497291,1.2896461237996846,0.010918179162309279,0.010702307471303938,0.005296981145213005
4.0,0.163698712914417,0.034434521831346,14.64384,14.64384,1.0,0.11469218179529145,0.3803702209505494,0.27603224518354125,0.3078335865575131,0.521715430827746,0.2319866627778137,0.6730845319545194,2.0521175708422326,0.24210930030296451,0.6615604620788449,0.22362367359225593,1.9634020197103548,0.26690729483282677,0.2799195440831378,0.531043529510498,0.38152854028252814,0.24271551989986806,0.11389601892395189,0.009257306680137398,1.1696901468403667,0.009639444803038006,0.009022076882366581,0.004404125598617837
5.0,0.1624083918660559,0.030848024736299866,18.3048,18.3048,1.0,0.11469218179529145,0.38121565880004626,0.27620804013772876,0.3093450838228318,0.5235500166514622,0.2327091492133905,0.6741727538368255,2.0569708754585894,0.24286635454766045,0.6610918530013444,0.22284423523054958,1.9565585991143568,0.2659846547314578,0.2798483891345546,0.5257918834686279,0.3823234932436677,0.2435229690104777,0.11389601892395189,0.008958168661858086,1.1937091524287098,0.00873324453886297,0.0091450827057119,0.005986390653043089
6.0,0.16245189972438873,0.028404117742864148,21.96576,21.96576,1.0,0.11469218179529145,0.37587306866954373,0.278052624498164,0.3124408963296697,0.5264049562724428,0.23600822109994143,0.6765727715446691,2.0852465880029767,0.23858458149861334,0.6630721313873383,0.22558699366575236,1.9806398484952865,0.26814756049186833,0.28320251177394035,0.5259336233139038,0.37700005715251766,0.23929615429544057,0.11389601892395189,0.008534049787023225,1.2032245804020931,0.008138313859506138,0.008866420771935982,0.004370929920391939
7.0,0.16157463402908573,0.03261211846164819,25.62672,25.62672,1.0,0.11469218179529145,0.36926231537134785,0.28699553315509696,0.31581009349628547,0.5133303307352326,0.23845210515271692,0.6778164917210895,2.1029229309424493,0.23387580455080162,0.6626483615009124,0.22568364139107272,1.9814884095445089,0.2753303964757709,0.28341678045820057,0.5169840455055237,0.37049492712295423,0.23464041877827715,0.11389601892395189,0.007653907683131438,1.1420004478295596,0.007065417263793582,0.008138580331106848,0.005286111993085924
8.0,0.16303153973357132,0.03616940590978145,29.28768,29.28768,1.0,0.11469218179529145,0.371202220666338,0.28444737272779735,0.3146514954589785,0.5212105268962615,0.2404603890606284,0.6793271481438252,2.1195828191603154,0.23474062498522236,0.6636931912046012,0.2265892891216672,1.9894399405914298,0.27759088442756374,0.2830075187969925,0.5243946313858032,0.37248133741271566,0.235640959881059,0.11389601892395189,0.007383030366254352,1.1611913859742344,0.006882929396058648,0.007804382894156345,0.0060551837258300545
9.0,0.16148617140204644,0.03906335447891072,32.94864,32.94864,1.0,0.11469218179529145,0.37279449401409964,0.2857015283026793,0.31755347784064347,0.5202162556822049,0.24341213846088872,0.68197725085489,2.141822807524338,0.23572960886428881,0.6629216760104027,0.22697269674756282,1.9928062358273644,0.2719887674255341,0.28305199189736663,0.5222455859184265,0.37393162297646937,0.23682599817729583,0.11389601892395189,0.007553680371567486,1.25511911238209,0.00675539045609913,0.008253113570568574,0.004668779693190874
10.0,0.16129722212961145,0.037513890084964543,36.6096,36.6096,1.0,0.11469218179529145,0.38121799269371487,0.28359095093153514,0.3175952849531639,0.5222864715567948,0.2445349288884654,0.6838240193101285,2.153090186722006,0.24236342167392513,0.6628871148203053,0.22567419526252142,1.981405473120211,0.27010192525481314,0.2824601366742596,0.5212708115577698,0.3825127501478492,0.24339360624731757,0.11389601892395189,0.007597478582011532,1.3358593586199277,0.0067744688274484705,0.008344112307765567,0.004220117065452169
