round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.33871762198348,321.64327247996584,3.65056,3.65056,0.9971592150692714,0.2725295964359458,0.2511966897288562,0.203817833250469,0.11398539778449145,1.7459598232395757,0.5144117068150433,0.6075179385473506,0.19959978545098614,0.38911563306784286,0.4868873916110128,0.11775522459640463,1.0338835870552203,0.0,0.20450951154489178,0.4363568425178528,0.36458267152348417,0.2339556379206666,0.11389601892395189,0.024072255723632356,2.5974419191479683,0.01930395966412492,0.027262389301054946
2.0,11.136652931227962,303.2351174873337,7.30112,7.30112,0.9971592150692714,0.2884622849877682,0.2473217814987049,0.2398644756991095,0.11398539778449145,1.8863929768248755,0.5441144615381746,0.6379798705326093,0.21652441085784294,0.38571886260959076,0.43818524085083477,0.10501921734812249,0.9220622313256057,0.0,0.20451875282422052,0.43076568841934204,0.36264497900118353,0.23263087009876515,0.11389601892395189,0.017419453055589416,1.964782731141895,0.013583733097814995,0.020010304217761246
3.0,10.751765921396805,351.69839769664253,10.95168,10.95168,0.9971592150692714,0.2928502161837692,0.24458082129324812,0.25540860245153907,0.11398539778449145,1.9588186734979691,0.5541183840021985,0.6518046182697851,0.2249499262745063,0.3830875814550023,0.3923324933064989,0.0904463977018484,0.794113776375619,0.0,0.20451875282422052,0.4271431267261505,0.36186960678982794,0.2321555022415644,0.11389601892395189,0.012682531808536216,1.517582030268386,0.011023557233113816,0.013822929660940442
4.0,10.531088556655238,372.1623100208584,14.60224,14.60224,0.9971592150692714,0.30319068227716217,0.24191443584246952,0.2683171285107831,0.11398539778449145,2.0849809336514378,0.5630896476013931,0.666720324967363,0.23858169171728502,0.38000953789849184,0.41711233952953314,0.09893843205563958,0.8686733126440578,0.0,0.20451875282422052,0.426440566778183,0.3596446205681827,0.23058951304261416,0.11389601892395189,0.010154721091953634,1.2840229738503695,0.009603068421896576,0.01054302149696095
5.0,10.229915609728533,427.9427669972841,18.2528,18.2528,0.9971592150692714,0.3064454198876409,0.2364533789974645,0.2780456018037379,0.11398539778449145,2.1111658514283413,0.5600317883036078,0.6691500074011689,0.24053001493296655,0.37307763706671393,0.37639801519879157,0.08657784680503373,0.7601481388286413,0.0,0.20451875282422052,0.43782156705856323,0.362326211887983,0.23254279716889728,0.11389601892395189,0.008857820552252484,1.1789463928434998,0.008595118513460663,0.009048207035930431
6.0,10.092790827297062,440.81653724433517,18.2528,18.2528,0.0,0.3200372954742299,0.237213236340636,0.2867959099144642,0.11398539778449145,2.2062329974117953,0.5796507982460245,0.6803043052323069,0.25064468415312574,0.3754138806787922,0.37639801519879157,0.08657784680503373,0.7601481388286413,0.0,0.20451875282422052,0.43782156705856323,0.362326211887983,0.23254279716889728,0.11389601892395189,0.0,0.0,,
7.0,9.398702168885261,458.08743789998414,18.2528,18.2528,0.0,0.3261625594750534,0.2357278656016899,0.3017609405817381,0.11398539778449145,2.289050663410052,0.5795140329500791,0.6886591121711201,0.2592416202597741,0.3740353652942937,0.37639801519879157,0.08657784680503373,0.7601481388286413,0.0,0.20451875282422052,0.43782156705856323,0.362326211887983,0.23254279716889728,0.11389601892395189,0.0,0.0,,
8.0,9.04197144267079,465.68027305520684,18.2528,18.2528,0.0,0.33339542390065036,0.23641490734563655,0.3038538161928054,0.11398539778449145,2.3061154424236667,0.5762249580495368,0.6921624667395909,0.26123989776230716,0.37533831050336236,0.37639801519879157,0.08657784680503373,0.7601481388286413,0.0,0.20451875282422052,0.43782156705856323,0.362326211887983,0.23254279716889728,0.11389601892395189,0.0,0.0,,
9.0,9.847545344519986,505.37889950295585,21.90336,21.90336,0.9971592150692714,0.3099616270934274,0.24408562617706722,0.27820325818984215,0.11398539778449145,2.140597334707483,0.580952747043106,0.6700620942541116,0.2426756908358273,0.38328251455350587,0.4651676287996665,0.11363481490089686,0.9977066448369066,0.0,0.20451875282422052,0.42775410413742065,0.36264624178928556,0.23257572044755498,0.11389601892395189,0.009278668081669019,1.29352435877081,0.0080958076236886,0.010164104920730853
10.0,9.609704522960296,500.83982534555264,21.90336,21.90336,0.0,0.31950371914557824,0.24099408971122874,0.28923614059014874,0.11398539778449145,2.2077587348026766,0.5629267290362119,0.6794305912578822,0.2502692506552092,0.3800342874910987,0.4651676287996665,0.11363481490089686,0.9977066448369066,0.0,0.20451875282422052,0.42775410413742065,0.36264624178928556,0.23257572044755498,0.11389601892395189,0.0,0.0,,
11.0,9.081893153176228,495.821042588436,21.90336,21.90336,0.0,0.32510880621945404,0.22879870491750334,0.3024195948636653,0.11398539778449145,2.269593167220148,0.5419514132991867,0.6869646886870047,0.25690070517297847,0.36453213970189074,0.4651676287996665,0.11363481490089686,0.9977066448369066,0.0,0.20451875282422052,0.42775410413742065,0.36264624178928556,0.23257572044755498,0.11389601892395189,0.0,0.0,,
12.0,8.825287012865628,478.3279536164291,21.90336,21.90336,0.0,0.33535191151345145,0.24150488459152236,0.30173027485822385,0.11398539778449145,2.3392135947233417,0.5695995487993037,0.6941898710101058,0.26501656649619343,0.3817115729057567,0.4651676287996665,0.11363481490089686,0.9977066448369066,0.0,0.20451875282422052,0.42775410413742065,0.36264624178928556,0.23257572044755498,0.11389601892395189,0.0,0.0,,
