round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,fed_auprc,fed_f1_best,fed_f1,fed_brier,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6886429345860356,0.10337160965046721,3.65056,3.65056,0.9971592150692714,0.5110645234764883,1.7461701091890194,0.621337197836935,0.19862954543741754,0.2678123496421924,0.19824849618830953,0.2494915233556185,0.11442598187311179,0.38700242307363497,0.5869074506546772,0.1903030700073248,1.6708491816065119,0.19027982326951398,0.24686054196959686,0.49336859583854675,0.3769770915779819,0.24251132319964214,0.11389601892395189,0.02671996396770906,2.868565723998472,0.02339431755905864,0.02896000677280172
2.0,0.6819604334745575,0.11977568968705318,7.30112,7.30112,0.9971592150692714,0.5117142162448001,1.8788027218520567,0.6466367889977013,0.21257801687923236,0.2856576746305211,0.23576464858755886,0.22549714981209212,0.11442598187311179,0.3567053797408143,0.5980155100180014,0.20443313342452857,1.7949102642562784,0.25813221406086045,0.2786666666666667,0.4928416609764099,0.3763891507079434,0.24149483614266667,0.11389601892395189,0.018703482204259925,2.125112922396511,0.016069801494062584,0.02050287948768433
3.0,0.6728975002403279,0.18180523129980758,10.95168,10.95168,0.9971592150692714,0.535746284358181,1.9315062740326556,0.6559214494918756,0.21878984804448523,0.29311503734197236,0.2562939967949793,0.23301258247136672,0.11442598187311179,0.3676642689006056,0.6283114050070003,0.21499431818811532,1.8876368131151848,0.27529960053262315,0.2826944757609921,0.49391961097717285,0.37820933954279784,0.24244003525902272,0.11389601892395189,0.013830812202835609,1.694816421251744,0.012298061008519726,0.01491147433347096
4.0,0.6622399435010189,0.20326604304608836,14.60224,14.60224,0.9971592150692714,0.5370377953476597,1.9639666709021715,0.6617225556659073,0.22304430265869157,0.2982110669651482,0.26631114451527377,0.2196431132657617,0.11442598187311179,0.3480198076913979,0.6601587510665152,0.2222891059916082,1.9516845987394005,0.27550851661981146,0.28093023255813954,0.4972190856933594,0.3718434647021893,0.23700208012971302,0.11389601892395189,0.011856457857798633,1.5529571229126304,0.010991023034538406,0.012490563863699513
5.0,0.6586952131220768,0.25976072761091873,18.2528,18.2528,0.9971592150692714,0.5180545548147786,1.9752409706779426,0.6627804055315882,0.22469555162889887,0.2959921242167404,0.2738214184609735,0.2134156084615344,0.11442598187311179,0.338027881857004,0.6594188604907066,0.22196947355262223,1.9488782456990945,0.2780389523169913,0.2834319526627219,0.4954775869846344,0.3732847473111868,0.23831740281489397,0.11389601892395189,0.00939062024722429,1.3161110759247094,0.009204383860194452,0.009533362758573196
6.0,0.6559405187977767,0.27707488146584647,18.2528,18.2528,0.0,0.5339047149975464,2.13620788707065,0.6764389032779131,0.24188743908560853,0.30728918791641546,0.28376553896999773,0.2161190315751628,0.11442598187311179,0.34193323405078746,0.6594188604907066,0.22196947355262223,1.9488782456990945,0.2780389523169913,0.2834319526627219,0.4954775869846344,0.3732847473111868,0.23831740281489397,0.11389601892395189,0.0,0.0,,
7.0,0.6524199048208315,0.2969317369817361,21.90336,21.90336,0.9971592150692714,0.5267756139204912,1.9897258588645437,0.6651923006125972,0.22714036826804532,0.29825798356901806,0.27698320752130573,0.22468687853147548,0.11442598187311179,0.35548223480057023,0.6542060943249924,0.22116156271311227,1.9417848385094245,0.28008487420430433,0.2827796501364147,0.5020363926887512,0.37687653722379805,0.2411394554581705,0.11389601892395189,0.009211259964651048,1.3689047181978822,0.008712903933469214,0.00960948369352455
8.0,0.6499959893340321,0.25938484365494957,21.90336,21.90336,0.0,0.5432925934435316,2.133040123891524,0.6786430304071217,0.2422367124545447,0.3113347971257871,0.29192038093896,0.19989938782934907,0.11442598187311179,0.314780252569703,0.6542060943249924,0.22116156271311227,1.9417848385094245,0.28008487420430433,0.2827796501364147,0.5020363926887512,0.37687653722379805,0.2411394554581705,0.11389601892395189,0.0,0.0,,
9.0,0.6490466532607515,0.2963978017072957,25.55392,25.55392,0.9971592150692714,0.5341341709446119,2.003852461738317,0.6684947920463139,0.229008478229502,0.3003167219377759,0.2782775215112578,0.219497457401733,0.11442598187311179,0.34705658518678295,0.6588433175349122,0.22205111215762685,1.9495950276004808,0.27704370553216207,0.2807201997634381,0.49542883038520813,0.37846523913765256,0.2420479877128669,0.11389601892395189,0.008657303332115653,1.3707030647201464,0.007579032470839082,0.009546415959692345
10.0,0.6518966835316738,0.3661680361821698,25.55392,25.55392,0.0,0.5549814524926237,2.160135261001557,0.6810274457438168,0.2459175967895134,0.3136647552775878,0.2849616273958939,0.21781656711336497,0.11442598187311179,0.34626182229497277,0.6588433175349122,0.22205111215762685,1.9495950276004808,0.27704370553216207,0.2807201997634381,0.49542883038520813,0.37846523913765256,0.2420479877128669,0.11389601892395189,0.0,0.0,,
