round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_f1_best,fed_f1,fed_brier,fed_ece,fed_auprc_lift,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17160100678136875,0.03081568059237604,3.65056,3.65056,0.9971592150692714,0.11467774420946628,0.6080201218653091,0.27527274278576946,0.20675180070820967,0.2501977202628495,0.38705989852367567,1.7793335373625412,0.5079812127515329,0.20629375380115075,0.47858434805271916,0.11200674334195965,0.9834122772697288,0.0,0.20451875282422052,0.43557360768318176,0.3621027492449108,0.2322044464793418,0.11389601892395189,0.023287733557832768,2.5119045635219663,0.01896379783011284,0.026179431570962978
2.0,0.1698281924863476,0.02357339935207625,5.632,5.632,0.5412350858791136,0.11467774420946628,0.6551534229927904,0.29896308419952844,0.24835685464180046,0.24765531918944952,0.38610964241622386,2.0213259285027183,0.5206853162332213,0.23286104486247491,0.35242250098626143,0.08280635475951989,0.7270346719915601,0.0,0.20450951154489178,0.41738030314445496,0.3624239612405041,0.2329099020729892,0.11389601892395189,0.018310816426406903,1.2326224555727094,,0.018310816426406903
3.0,0.16961169999778405,0.034221059442222916,7.61344,7.61344,0.5412350858791136,0.11467774420946628,0.6796617149084577,0.31146983702076797,0.26792285967800317,0.2452493755679585,0.3841235094346398,2.15924122149506,0.5144556874553753,0.24935701971598104,0.37070052645954016,0.08770067282579122,0.7700064818275059,0.0,0.20450951154489178,0.4084164500236511,0.36249109848413547,0.23312234486235237,0.11389601892395189,0.014261020699135643,1.0107098299777135,,0.014261020699135643
4.0,0.1654134408032206,0.033246866159741414,9.59488,9.59488,0.5412350858791136,0.11467774420946628,0.689615725343085,0.32014355418181595,0.28635129320481784,0.24024263217486247,0.37860183036639483,2.2840002257380783,0.5186922207928647,0.26092166708001097,0.34793731438419667,0.08209113353919942,0.7207550739241507,0.0,0.20450951154489178,0.41492441296577454,0.36395966551301345,0.23427901710991753,0.11389601892395189,0.012196563973147775,0.9080975961405784,,0.012196563973147775
5.0,0.16789111694100428,0.033565124127120385,11.264,11.264,0.4559241291901578,0.11467774420946628,0.6671379752283065,0.30552650799279973,0.279460936362909,0.23249824770168873,0.3674809152855044,2.0935196335648683,0.5127293770178057,0.2411125957342111,0.3509057993476193,0.08261750950013783,0.7253766222970564,0.0,0.20450951154489178,0.40859851241111755,0.36362952636366874,0.2340763704057861,0.11389601892395189,0.01508833553838566,0.6846486171707511,0.01508833553838566,
6.0,0.16422545925948434,0.03193686523448637,13.24544,13.24544,0.5412350858791136,0.11467774420946628,0.6810512529487417,0.3156007972408866,0.28453435082322287,0.2430205597286748,0.3818650171160697,2.204224108138599,0.525417967985524,0.25291758445493806,0.3397616979588919,0.08100804947435503,0.7112456628395758,0.0,0.20450951154489178,0.4195677936077118,0.3635419433859323,0.23390231058023436,0.11389601892395189,0.009336083786769502,0.7273393174400553,,0.009336083786769502
7.0,0.16324972853657221,0.0481770935250669,15.22688,15.22688,0.5412350858791136,0.11467774420946628,0.6899889358262938,0.32284726831597343,0.2922913809605028,0.23835653314777636,0.3768961763408969,2.3103383410519402,0.5212759411043121,0.2641293390823912,0.33963651717776483,0.0809241824313183,0.7105093153901295,0.0,0.20450951154489178,0.4242349863052368,0.363657524303855,0.23394711570464188,0.11389601892395189,0.008972237347169336,0.7278514637146145,,0.008972237347169336
8.0,0.15786948027834963,0.04464519564152607,17.20832,17.20832,0.5412350858791136,0.11467774420946628,0.6972159589520115,0.3263631369755846,0.28927261065160775,0.24038192388120314,0.38013310011284945,2.4075098516907607,0.5289412878551273,0.27327927234044314,0.3388556526420185,0.08065318349682613,0.708129961510578,0.0,0.20450951154489178,0.4332151710987091,0.36375861597580733,0.23392888519134808,0.11389601892395189,0.009213072572018382,0.7832704008324072,,0.009213072572018382
9.0,0.1569546747764602,0.05066101266152438,19.18976,19.18976,0.5412350858791136,0.11467774420946628,0.7061997031846581,0.33119796097506776,0.295199027312751,0.2386830605002271,0.3791698036886084,2.527178439796673,0.5365725906972829,0.28507529782825847,0.3569740992869451,0.08325201503216326,0.7309475416146937,0.0,0.2045002711006687,0.443595290184021,0.3637605209890325,0.233703277241922,0.11389601892395189,0.01039927089928257,0.9250488230027258,,0.01039927089928257
10.0,0.16312857020829924,0.06340724835498815,22.84032,22.84032,0.9971592150692714,0.11467774420946628,0.6691902146377083,0.3070726520242113,0.2741925548846916,0.24054161878448127,0.37878953201428045,2.1736591210535,0.5295949788540902,0.24726822950348193,0.3625202918359943,0.084295815100654,0.7401120416415794,0.0,0.2045002711006687,0.4374983012676239,0.3631399092499542,0.23324331073486873,0.11389601892395189,0.009873836704794007,1.4007883961312473,0.013413177566688333,0.008017876841996651
