round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_f1,fed_auprc,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885136831912658,0.1257952571286611,3.65056,3.65056,0.9971592150692714,0.38894924053727065,0.27004957010000213,0.21474672138545145,0.19052243708916025,0.11406987724268176,0.6154910459705565,1.6601149806018722,0.511418229240196,0.25032833986058634,0.6414205246484033,0.17481339535973378,1.5348507964659965,0.2641318636869249,0.26665215498476275,0.5009479522705078,0.3811263540660593,0.24541124617644353,0.11389601892395189,0.027606282024615836,2.9829138598870486,0.023293386193520876,0.030458825577982428
2.0,0.6814656249213776,0.1343633367630912,7.30112,7.30112,0.9971592150692714,0.3662950551806286,0.2777360548660427,0.2513566596342182,0.21406619178678277,0.11406987724268176,0.6426413168784043,1.8614322027874513,0.5054698817940827,0.23227648417890326,0.6350595338460973,0.1657116381285882,1.4549379310547585,0.23690595119166546,0.26127357201421153,0.4923832416534424,0.36994943214720377,0.23649463267552923,0.11389601892395189,0.0187883473529292,2.164960501715541,0.015618302034200114,0.020895285046424572
3.0,0.6698420298033823,0.22270721440712968,10.95168,10.95168,0.9971592150692714,0.3536728277703971,0.2838578301767097,0.2554353764300359,0.22306303429245367,0.11406987724268176,0.6536109779492684,1.9375684429151596,0.4991493065120065,0.22384242534262358,0.5880583608739418,0.13723611060528318,1.2049245610324222,0.1771686444927294,0.23446799973249516,0.47755321860313416,0.36740480016807686,0.23498403679915703,0.11389601892395189,0.01378668331851968,1.7113092404324561,0.012600471681946654,0.01459173925521122
4.0,0.6612773886652562,0.2358626586270963,14.60224,14.60224,0.9971592150692714,0.34288383017818547,0.2884888431528595,0.2633443897119021,0.2293464724658935,0.11406987724268176,0.658339229571156,1.9996683324734978,0.5051727531783267,0.21679640135240716,0.5921547654610375,0.14130288099321536,1.2406305534486062,0.17865306840161774,0.23499051233396587,0.47822487354278564,0.36262090735385333,0.231401176624009,0.11389601892395189,0.010951620375868052,1.4487798844929785,0.010478277401832636,0.011284525148607366
5.0,0.654171904290917,0.28623252332084936,18.2528,18.2528,0.9971592150692714,0.35048032110503613,0.2901248887485005,0.265870644792983,0.2303101265299948,0.11406987724268176,0.6599134351918637,2.0048639864238007,0.5223339618828299,0.22235141608641873,0.5558869503220918,0.13028418497506083,1.1438870840784285,0.18492051917748287,0.2200830750972506,0.4752945303916931,0.3669533044935275,0.23519068311680005,0.11389601892395189,0.009362447696586904,1.3135478186886758,0.009291188908089717,0.009414509662428374
6.0,0.649354518156434,0.36777667797324526,21.90336,21.90336,0.9971592150692714,0.3437929942542589,0.2940322425105051,0.2709608684028769,0.23381029422638944,0.11406987724268176,0.6623656929687964,2.0291639914615223,0.5244458277044636,0.21723813262316402,0.5629685933906857,0.13484666701752934,1.1839453941543483,0.1952662721893491,0.22032754707722502,0.47554710507392883,0.3703299621188998,0.23759629549906136,0.11389601892395189,0.008639607531240465,1.281177546363324,0.008057986622984655,0.009082286861127723
7.0,0.6455810793774545,0.3572837549489936,25.55392,25.55392,0.9971592150692714,0.3452012306654419,0.29586073036351845,0.27257429985274023,0.23746496309888535,0.11406987724268176,0.6650415269480195,2.065356875276881,0.5064668311463387,0.21690023435205402,0.5751518646803662,0.14113780019152936,1.2391811542224909,0.2020624303232999,0.2252809362324623,0.4797598123550415,0.36927078464885704,0.23669226205399657,0.11389601892395189,0.008981455336485054,1.4088960954686627,0.008290397294899356,0.009523907085176031
8.0,0.64738459501909,0.318712280063271,29.20448,29.20448,0.9971592150692714,0.3506850689086743,0.2979001035550673,0.27500470333525046,0.23891960646261795,0.11406987724268176,0.6679688917887787,2.077727614408348,0.5094018884000818,0.221036005380524,0.5833704002306288,0.14232229576401623,1.249580952070366,0.2044709388971684,0.22696382900986484,0.4845810532569885,0.3694578655515213,0.23673396845851036,0.11389601892395189,0.00853314089309981,1.418721305206418,0.00786434467247748,0.00907547108242484
9.0,0.6456074796706296,0.34637615321991017,32.85504,32.85504,0.9971592150692714,0.3376637897473257,0.299690311195899,0.276177179001409,0.24119289151045695,0.11406987724268176,0.6692619848987915,2.0968153366169844,0.5157742609420887,0.2127713370741537,0.5996042580590948,0.1434466866156507,1.2594530341875225,0.22658881652818325,0.23859375,0.4892210364341736,0.37045530441261043,0.2371065948251394,0.11389601892395189,0.008813146751724121,1.5570130278356373,0.007807423359085406,0.009651372845758873
10.0,0.6379416806616537,0.36877787897897935,36.5056,36.5056,0.9971592150692714,0.316399562240191,0.2979044812944787,0.2829933093867003,0.24350878003642715,0.11406987724268176,0.6715899368531295,2.119835520912075,0.5005379124636316,0.20007683326900147,0.6109937388777346,0.14923865407730585,1.3103061501820548,0.2290537986644828,0.2446400828586225,0.4964369535446167,0.36814555160394163,0.23524210225683032,0.11389601892395189,0.008001739497404771,1.5099950038129464,0.0069551981424506425,0.008897236195038176
