round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.17360227228700284,0.024597274879696367,3.66096,3.66096,1.0,0.11462201800214009,0.21329337375941612,0.28533179019935967,0.6476608143263024,0.5144377160666608,0.39123558321473056,1.8855298986664935,0.2524562652153654,0.2436243416965524,0.650768385360934,0.20929234619015089,1.8375738517243074,0.24827981651376146,0.2661942199092016,0.5100306868553162,0.3914895851041873,0.2523635037516685,0.11389601892395189,0.02109300582361374,2.2676399244301138,0.018892200367533717,0.022686059045002725,0.008738697335215036
2.0,0.16676941479585616,0.02293109861661325,7.32192,7.32192,1.0,0.11462201800214009,0.21855121895055618,0.2935341787494813,0.651462489980474,0.5144954750065446,0.37391680664763155,1.9308983588912856,0.2378928973384522,0.267496368523624,0.6554732877640987,0.21326597380387574,1.8724620563452086,0.2668233283486435,0.2717313984919619,0.5130947828292847,0.3740395298976232,0.23766305943548005,0.11389601892395189,0.015049333090127518,1.7052790416164498,0.014354688131540781,0.015606057091201263,0.004947769077154744
3.0,0.16349667639196847,0.03590823587184439,10.98288,10.98288,1.0,0.11462201800214009,0.22493473899557387,0.29741861315465834,0.657721673061604,0.5202583578959986,0.3851525477674359,1.9836976679714737,0.24596744817868385,0.2621879207273867,0.6587432231078175,0.2158299310373567,1.894973442236518,0.2601523980277902,0.2732033426183844,0.5095029473304749,0.3848907527061898,0.24580990171546058,0.11389601892395189,0.01143656894931711,1.38296997591533,0.011728960186676199,0.011289539477627501,0.0047661656852512144
4.0,0.16303964773646518,0.0323570302849822,14.64384,14.64384,1.0,0.11462201800214009,0.22749525381165725,0.30159178707227263,0.6590099040779461,0.5201142135283685,0.37589212200629163,2.0023504881244683,0.23862496620698326,0.27071794129564564,0.6586731344198381,0.2148656954337424,1.886507513289009,0.26437255305996293,0.274424898511502,0.5148077011108398,0.3757265836346928,0.23849178041126998,0.11389601892395189,0.009226647514591166,1.1835002637617436,0.009240448139819465,0.009255679029261416,0.004014620198320708
5.0,0.16271785507104025,0.040326202190402595,18.3048,18.3048,1.0,0.11462201800214009,0.23034090827278356,0.30384650162040955,0.6613814340796802,0.5151875908078244,0.3724864990526473,2.0249072683897413,0.23617122143785652,0.2749199551642239,0.6602762641326279,0.21495224485383277,1.8872674118430417,0.2716861322145368,0.27542156361778236,0.5059948563575745,0.37234156732260654,0.23613210062083817,0.11389601892395189,0.008379915581771391,1.139222939606043,0.008482010565684957,0.008322771251567024,0.005744252635982456
6.0,0.161942641143124,0.032914905250063194,21.96576,21.96576,1.0,0.11462201800214009,0.23574240647742378,0.3036440863881913,0.6636136390923686,0.5191207506110085,0.37140038693544725,2.0671141395043406,0.23489077770832484,0.27826954347103056,0.6599199977471225,0.21309653732946973,1.8709744145820741,0.2725099601593626,0.2749474789915966,0.5107343196868896,0.3711019687767423,0.23505115107186228,0.11389601892395189,0.007959362229298092,1.1421255481600383,0.007944386406779696,0.007996640973189275,0.003939596578517335
7.0,0.16347904577460484,0.047219615999263116,25.62672,25.62672,1.0,0.11462201800214009,0.23943521765905554,0.30671005146533564,0.6666314268934594,0.5336052623885823,0.3896830092200834,2.099459481474188,0.24873259320654176,0.2644613027450719,0.660888551883123,0.21559511366331116,1.8929117602193235,0.2646766169154229,0.2773399014778325,0.5225176215171814,0.389487777858323,0.2489149882164243,0.11389601892395189,0.008709884144433038,1.3188087912749324,0.00794762648537229,0.009339063829025555,0.0059096072059710795
8.0,0.16170620893251192,0.031214668225904334,29.28768,29.28768,1.0,0.11462201800214009,0.24440767248347578,0.3107068272292604,0.6684748761789762,0.5225952383652052,0.368752916083054,2.143518747977136,0.23272164686288455,0.2771199239581882,0.6602180095776411,0.21346389373969102,1.8741997811373932,0.2740031187346848,0.2757080738042073,0.5041936635971069,0.36835920308669307,0.23297489429280188,0.11389601892395189,0.007936167257027808,1.27435072330627,0.007137914130397907,0.008614919619585326,0.005514141971360316
9.0,0.1615056174743258,0.044457934179618804,32.94864,32.94864,1.0,0.11462201800214009,0.24729515088081436,0.3152087983779934,0.6721222902268171,0.5267193231760025,0.3804769265296783,2.1675915308249176,0.2417137355283844,0.27279667581542216,0.6604298945208542,0.21532272412223158,1.8905201968999643,0.2665597755286101,0.2761890197277871,0.5256645679473877,0.38026506801401283,0.24207925030069716,0.11389601892395189,0.0077735519142218806,1.3267744568584021,0.00682210421968135,0.008604301947008277,0.0052868694871530545
10.0,0.1611374254790397,0.0312393225454368,36.6096,36.6096,1.0,0.11462201800214009,0.2489279184272321,0.3166429936793015,0.6723575949871818,0.5253813082972848,0.3777038418879749,2.178847890840563,0.23947336176043985,0.2749792843135957,0.6607956482918766,0.2153147993272354,1.8904506176901636,0.2699095996556177,0.2762678621462595,0.5188792943954468,0.377541580106719,0.23981498810873045,0.11389601892395189,0.0071500437217674375,1.2946471673258202,0.006246823173047273,0.007959870195309181,0.004563317080219429
