round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.4540086329896156,93.99792890057617,20.729088,20.729088,0.9991046702896288,0.9869565217391303,0.9856745297936701,0.8859645768028238,0.09984882175922394,0.3803230543318649,0.7978102903182837,0.0,0.9987010654297099,0.9934354485776805,0.5009376904683763,0.9697614762553699,1.0027703764270328,0.9832657200811359,0.9832657200811359,0.504995584487915,0.46200892633928026,0.24528635810236338,0.9670822942643391,0.003721459473194175,2.2247385856435358,0.0008208599960945432,0.004205829690234372
2.0,0.4012403781867726,40.0841951880104,41.458176,41.458176,0.9991046702896288,0.9869565217391303,0.9972568701887583,0.7894792203022085,0.18960948288440704,0.814977973568282,0.6360606677976312,0.0,1.0104364764027067,0.9934354485776805,0.4560965508618938,0.968937789317408,1.0019186526979904,0.9832657200811359,0.9832657200811359,0.5056653618812561,0.46134107315034933,0.24466995690360807,0.9670822942643391,0.0009636662079016906,0.5794383038520436,0.00017661318901253487,0.0010943897175528432
3.0,0.3371672305565401,36.60761383654784,62.187264,62.187264,0.9991046702896288,0.9869565217391303,0.9986075216650718,0.6490485783504403,0.27430465817451477,0.9074889867841408,0.43429274634683496,0.0,1.011804977898531,0.9934354485776805,0.47388532045571763,0.9709348100470341,1.0039836483467268,0.9832657200811359,0.9832657200811359,0.5060509443283081,0.4609721178128534,0.24432949353548564,0.9670822942643391,0.0006434179465047664,0.38721346857471417,0.0001186602338731672,0.0007304807925120621
4.0,0.2971788868972442,34.62477686323273,82.916352,82.916352,0.9991046702896288,0.9869565217391303,0.9995964889486544,0.6573827827106351,0.24588647484779358,0.9706314243759178,0.44562444561096437,0.0,1.0128070152343194,0.9978021978021978,0.5307875037116914,0.975348055367353,1.0085471124350402,0.9832657200811359,0.9832657200811359,0.5063416361808777,0.4606838456413097,0.24406355917044878,0.9670822942643391,0.0004699711780110944,0.28302119014136906,9.560077539636297e-05,0.0005320237757520007
5.0,0.24641399226719443,29.548384238812186,103.64544,103.64544,0.9991046702896288,0.9869565217391303,0.999668201343848,0.5816361258859221,0.21436971426010135,0.9750367107195301,0.3598933296504781,0.3669064748201439,1.0128796753704188,0.9934354485776805,0.6130893775298107,0.9807212932255349,1.014103245444661,0.9832657200811359,0.9832657200811359,0.506115734577179,0.4609035865921629,0.24426560969866903,0.9670822942643391,0.0004402159460678826,0.26527129212490763,9.850471229376354e-05,0.0004968056930798635
6.0,0.24379105892192346,33.82446811599169,124.374528,124.374528,0.9991046702896288,0.9869565217391303,0.9997023170751619,0.5033149920727895,0.24904069304466248,0.9779735682819383,0.27352974107521927,0.6283987915407855,1.0129142419704285,0.9956140350877194,0.6566802631784581,0.9831596410103431,1.0166245901112625,0.9832657200811359,0.9832657200811359,0.5063307881355286,0.46069323329854184,0.24407154370998882,0.9670822942643391,0.00032928749535636497,0.19855557824132575,7.47089331097208e-05,0.0003714117538965613
7.0,0.23978017709926303,31.652067415151553,145.103616,145.103616,0.9991046702896288,0.9869565217391303,0.9995242510488579,0.48240266027657885,0.31043004989624023,0.9647577092511012,0.2538402570297793,0.6325301204819277,1.0127338226486227,0.9934354485776805,0.6697219747761264,0.983801349027343,1.0172881406909864,0.9832657200811359,0.9832657200811359,0.506721556186676,0.46027759108460153,0.24368849456984334,0.9670822942643391,0.00032252263102174766,0.19459424182429075,9.579454305604631e-05,0.0003600072596881577
8.0,0.17550157329144375,18.963762844603885,165.832704,165.832704,0.9991046702896288,0.9869565217391303,0.9997866778460714,0.5951718333622684,0.23143509030342102,0.9838472834067546,0.37234518890884954,0.25384615384615383,1.012999717641394,0.9934354485776805,0.6413685592385954,0.9820417105511332,1.0154686073517392,0.9832657200811359,0.9832657200811359,0.5072527527809143,0.4597566536537132,0.24320924234955768,0.9670822942643391,0.00029203965770401344,0.17630288188399845,9.168480246996225e-05,0.0003251378291082838
9.0,0.19345595542698424,23.13424802930023,186.561792,186.561792,0.9991046702896288,0.9869565217391303,0.9997852927161246,0.463646905577701,0.29324764013290405,0.9838472834067546,0.23996341777424698,0.7028571428571428,1.012998314205765,0.9956140350877194,0.6245643646365668,0.9810600240283839,1.0144535060221298,0.9832657200811359,0.9832657200811359,0.5075497627258301,0.45946575236736686,0.24294232629031795,0.9670822942643391,0.0002636264178917212,0.15923913179261717,8.286707342634774e-05,0.00029346243095632594
10.0,0.18015395493739217,16.659659419266852,207.29088,207.29088,0.9991046702896288,0.9869565217391303,0.9990695821051575,0.48860622871181236,0.24899552762508392,0.9324522760646109,0.2625166800650585,0.6840579710144927,1.0122731448642566,0.9956140350877194,0.5561989154046916,0.9768898346488406,1.010141371052566,0.9832657200811359,0.9832657200811359,0.5076221227645874,0.4593787835720471,0.24286243261741988,0.9670822942643391,0.0002209938605543768,0.13356355740285153,5.9073001304547604e-05,0.0002476993909722703
