round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_f1,fed_brier,fed_f1_best_threshold,fed_auroc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6899001723742137,0.08419435569069246,3.66096,3.66096,1.0,1.8711397342067446,0.11468496254799516,0.2850231831449614,0.21225928297115085,0.260799745429636,0.24336596204922697,0.5214517852047011,0.6466872888643792,0.38144993012364287,0.6498551743071159,0.20853367098048714,1.8309127303187356,0.2563489142436511,0.2677663540842843,0.5119079947471619,0.3812985841980385,0.24308095735304858,0.11389601892395189,0.025413130608053742,2.735243318207722,0.02313538752493665,0.027075292566951112,0.011395937471878483
2.0,0.662648713400151,0.16236140698194684,7.32192,7.32192,1.0,1.9285825453292933,0.11468496254799516,0.29433682205485323,0.21896162526349955,0.2734884440097861,0.21783503110018856,0.5269747920338558,0.6521327161251101,0.3435732102984259,0.655581827972216,0.21349934778621876,1.8745110654725499,0.26889985086612367,0.27244414353419094,0.521012544631958,0.3431911411140626,0.2170513177390442,0.11389601892395189,0.01860271914020727,2.1522879004041897,0.016642070159358025,0.020035518890869183,0.006025741693394871
3.0,0.6470051615022371,0.2913207633679188,10.98288,10.98288,1.0,1.9879245172200068,0.11468496254799516,0.3000703549635902,0.22534130433228314,0.27193468212809807,0.22459885481577185,0.5508108455088646,0.6581092377945945,0.353818384367606,0.6584479596072303,0.21548388987454636,1.891935222234804,0.2679446683367825,0.27321450828867005,0.5162838101387024,0.35317081076202844,0.22396455248267017,0.11389601892395189,0.01271713569348915,1.593037765533154,0.01258076684410531,0.012872327908061393,0.005733297882900778
4.0,0.6457346362839019,0.29818756606763663,14.64384,14.64384,1.0,2.023354584263671,0.11468496254799516,0.30260922558464926,0.22978739700443676,0.27724460785535004,0.21625368690251168,0.5463210802782982,0.6596116191362181,0.3391355582863295,0.6585115853275625,0.21483446940532946,1.886233350691335,0.2702008407286315,0.2729065334560274,0.518032968044281,0.33835514341721723,0.21567735182181852,0.11389601892395189,0.010010508174305415,1.332884100240335,0.010049952397255259,0.010028924171331693,0.0044993125496775345
5.0,0.638641654330631,0.348898826007949,18.3048,18.3048,1.0,2.045284801094571,0.11468496254799516,0.306325852766301,0.23184217867445728,0.2779576069340464,0.21142766233293037,0.5370378779792465,0.6616489311766872,0.33375411199984617,0.659327374987507,0.21453310819757834,1.8835874179309253,0.27402046418767156,0.27571814387429416,0.49779897928237915,0.3330806518253187,0.21110232193884196,0.11389601892395189,0.00924571024665076,1.3041692213882925,0.009206293151249913,0.009312889931392485,0.004420556864986903
6.0,0.6408491848397011,0.3525029619613715,21.96576,21.96576,1.0,2.088587822685081,0.11468496254799516,0.3052700542834768,0.23710963146264713,0.2779344832777771,0.2099484699504773,0.5326416893546978,0.6640386403109256,0.32848770727747034,0.6595093169388635,0.21353457227233985,1.874820334281538,0.2724458204334365,0.2749104418203529,0.5242420434951782,0.3275826354579283,0.20983088945690673,0.11389601892395189,0.00863465914197256,1.289757142027156,0.008397687483094926,0.008845247204448148,0.004643705515612189
7.0,0.6435388791806848,0.46463408367873926,25.62672,25.62672,1.0,2.0957789141355643,0.11468496254799516,0.3058613948263286,0.23811071860520858,0.27152614260737323,0.23571793129863317,0.565803711981007,0.666307887951262,0.36885820757830995,0.660477293800084,0.2150799314950002,1.8883884926531855,0.26737422185937343,0.2774788624135281,0.5438202023506165,0.36835277475995265,0.2358576968728457,0.11389601892395189,0.009380141465579897,1.4787042683774416,0.00835478206133659,0.010226864472470178,0.004179560310610574
8.0,0.6406343074108591,0.34202715649784465,29.28768,29.28768,1.0,2.1499354878470784,0.11468496254799516,0.30720766916883135,0.24450962796180817,0.2808653952350164,0.20699145352969678,0.5425259346605403,0.6682430010109626,0.324399412208254,0.6594738898365957,0.21392419442758265,1.8782411927006804,0.2756619513964454,0.27601156069364163,0.49910569190979004,0.3235924582894858,0.20742092284475067,0.11389601892395189,0.008133695002480207,1.3609942567036342,0.007369110858153386,0.008784890460844276,0.004278537328368692
9.0,0.6413990889543901,0.489669288622935,32.94864,32.94864,1.0,2.1887544609653644,0.11468496254799516,0.3126410886864579,0.24880863003850912,0.28014426338208637,0.2214205671570458,0.5451127204828536,0.6717598785746162,0.3505536573997353,0.6602166040390461,0.2151300276717505,1.888828333985864,0.2753507471198814,0.27917262911408874,0.5223968029022217,0.3499447584483708,0.22206019685837355,0.11389601892395189,0.008051560197466794,1.4316377300983731,0.007124318787214738,0.008863851109851115,0.003963884780295946
10.0,0.6396433725106692,0.36571780394583225,36.6096,36.6096,1.0,2.212262254495851,0.11468496254799516,0.3159686023574962,0.25173912242131896,0.2824008710383061,0.22038270718929018,0.5567343558907666,0.6730732870080409,0.34857251570486936,0.6585996573798883,0.21312814518630072,1.871251929609637,0.27655547669742137,0.27805362462760674,0.5107133388519287,0.3477999541204092,0.22133398265267867,0.11389601892395189,0.007722665064581474,1.459448932966552,0.0063586958050534555,0.008939352536914425,0.0033545739403528555
