round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_ece,fed_auprc_lift,fed_f1,fed_brier,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6896421179478348,0.0891095732726974,0.08724,3.65056,0.9971592150692714,0.11016682404784386,0.5005840332169634,0.5892781551944047,0.39031972130364806,1.6222625452670316,0.12608391452666384,0.2507948599690691,0.18044596499896526,0.24748955505669124,0.553299278471782,0.17496013211751024,1.5361391361214365,0.0,0.22448979591836735,0.49086055159568787,0.3767183458380901,0.2428101773759223,0.11389601892395189,0.998372212953131,8.636652944609523,0.6525066950521003,1.309773768604574
2.0,0.6879866515346156,0.07210772282978674,0.13276,5.632,0.5412350858791136,0.11016682404784386,0.5040711858098448,0.6306388356744327,0.38898980385821164,1.8813370372605416,0.15045222424510746,0.2488647502900083,0.20507086232301414,0.28014971638309544,0.6070618701524291,0.1997203607814799,1.7535324120049598,0.03484912877178071,0.27880386983289357,0.4920426607131958,0.37816558765461483,0.24379599820924505,0.11389601892395189,0.13249343288790552,0.6875914266911423,,0.13249343288790552
3.0,0.6821333603722322,0.0881287827294726,0.17828,7.61344,0.5412350858791136,0.11016682404784386,0.5038218970658233,0.6696010840575431,0.3861115441200003,2.01550577178169,0.1935254651132714,0.24579914078013612,0.2189661406245523,0.2986149808112122,0.6469446176129346,0.2084148856358653,1.8298698023415854,0.02330599913681485,0.2754390855868414,0.4939425587654114,0.3798818231720924,0.24512314242278896,0.11389601892395189,0.21402226537670327,0.9498262645938667,,0.21402226537670327
4.0,0.6774878883364661,0.10414068738299856,0.2238,9.59488,0.5412350858791136,0.11016682404784386,0.5025691362533473,0.6819767426022221,0.3801185124150079,2.074365460345703,0.21668481330187284,0.2407018975430834,0.22595592650244675,0.3046299413475731,0.6544305663683025,0.20830485325923648,1.828903724881913,0.03484912877178071,0.2763713080168776,0.4949435591697693,0.38065746120294436,0.24569558649307682,0.11389601892395189,0.16768927403532644,0.8342291324988764,,0.16768927403532644
5.0,0.6822161878551576,0.09736896527439569,0.26552,11.264,0.4559241291901578,0.11016682404784386,0.5114878452777262,0.6717540560435937,0.35107834425256207,1.9550886125118028,0.25489008388170936,0.21784525747186856,0.21346791586762487,0.2880114212667689,0.6580269004023807,0.2121569240319492,1.862724667958815,0.029940119760479042,0.2821034282393957,0.49472227692604065,0.3805611097606861,0.24562813957844137,0.11389601892395189,0.11510285299548173,0.4545034826733172,0.11510285299548173,
6.0,0.679619363557173,0.1055217747447487,0.31104,13.24544,0.5412350858791136,0.11016682404784386,0.4888670843541341,0.6805279940183794,0.37224449987001756,2.061288213943123,0.22688692162250648,0.23464804019974903,0.22355114756861086,0.3051393501366463,0.6242287671684656,0.20472094618659487,1.7974372425017469,0.023336214347450302,0.27986658580958157,0.4940025806427002,0.380011866925029,0.24523829065540345,0.11389601892395189,0.14021327878718384,0.7464259304938423,,0.14021327878718384
7.0,0.6724384537768111,0.12090304336127851,0.35656,15.22688,0.5412350858791136,0.11016682404784386,0.4896180755111981,0.6873089091182234,0.3677841211626054,2.117568581632077,0.22909291886685898,0.2310019937934406,0.22896509878476895,0.311212794211308,0.5772463179783094,0.19388426252402058,1.7022918303534091,0.04513163393230255,0.2755956213779781,0.49550002813339233,0.38157009176965795,0.24642746876081395,0.11389601892395189,0.11919216672235501,0.6930364781296703,,0.11919216672235501
8.0,0.6630844573095708,0.1482163450499262,0.40208,17.20832,0.5412350858791136,0.11016682404784386,0.4919501794952997,0.6917524177886657,0.36763159144889046,2.176638686748902,0.26636600241035946,0.229977746579566,0.23401752487354432,0.3192650429076679,0.5616541512657703,0.18664715772237556,1.6387504979168712,0.029927319367250963,0.25913370998116764,0.4958154261112213,0.38171549958049744,0.24656335260760096,0.11389601892395189,0.10091357884525726,0.6472099805578182,,0.10091357884525726
9.0,0.6531885924935311,0.18324180402686788,0.4476,19.18976,0.5412350858791136,0.11016682404784386,0.4961282209457749,0.6941109141138238,0.36252287036974107,2.2059971193548678,0.2761477703303552,0.2255718876994991,0.236892835985939,0.32525698061993735,0.653166685984456,0.21118255917288298,1.8541698047750825,0.04355108877721943,0.2786591253966064,0.49543651938438416,0.38118855903058535,0.24608305183230922,0.11389601892395189,0.08055217266371675,0.5872895789216273,,0.08055217266371675
10.0,0.6755484817396231,0.16083610409799826,0.53484,22.84032,0.9971592150692714,0.11016682404784386,0.486703533399469,0.6705718744198744,0.3603182797428943,1.97650227395497,0.2123038077534767,0.2256998187988885,0.21505916249391552,0.2901496835919359,0.6450181638254624,0.20344462854667192,1.786231252582335,0.03722504230118443,0.2668555240793201,0.4953615963459015,0.3811699208270574,0.24611260850393116,0.11389601892395189,0.09171136850235144,1.137472385486035,0.12063834923300314,0.07531886059219155
11.0,0.6715607094808442,0.14974897701845152,0.58036,24.82176,0.5412350858791136,0.11016682404784386,0.5023777235950131,0.6825679576758472,0.36362574188109653,2.0756000990752135,0.2760186852561415,0.22654399063940148,0.22536728609838957,0.30813062570611643,0.6396962299790439,0.19854855830015214,1.7432440587122062,0.03795866722901729,0.26155525900764287,0.49528682231903076,0.3812722609476784,0.24619855650562594,0.11389601892395189,0.07029766768374089,0.5939335203511291,,0.07029766768374089
12.0,0.6627082030265662,0.18719436532722114,0.62588,26.8032,0.5412350858791136,0.11016682404784386,0.4965314176985405,0.6887448660586071,0.3631516111246025,2.143659064648062,0.28690922033312705,0.22567236848087854,0.2307791442576496,0.31397788811830774,0.6290718892331175,0.19430485869371597,1.7059846387032447,0.055463576158940396,0.25142083897158324,0.4953746199607849,0.38132311068589614,0.24623611409214485,0.11389601892395189,0.05303493152548218,0.48648893248537206,,0.05303493152548218
13.0,0.6504587246398229,0.23659821629282013,0.6714,28.78464,0.5412350858791136,0.11016682404784386,0.5010600962708647,0.6934879107480084,0.3621071275953306,2.2220655717073723,0.29832252922153113,0.22433373706040108,0.23861247586719758,0.32054045575177176,0.594935360032978,0.18811256144862493,1.65161665197646,0.059113300492610835,0.2433254477864143,0.4952983558177948,0.38129836880354967,0.24622220278134857,0.11389601892395189,0.043395534412582815,0.42564146899894695,,0.043395534412582815
14.0,0.6391712683027613,0.2667435870542028,0.71692,30.76608,0.5412350858791136,0.11016682404784386,0.5095824760219232,0.6958810784918315,0.35738654028217415,2.2536630220545395,0.2966228912901502,0.22074087245688534,0.24121515736630056,0.3241932273207473,0.656624310928429,0.20941826179190398,1.8386793829179584,0.08056872037914692,0.2735313531353135,0.49507811665534973,0.38096757489707717,0.24584538548781343,0.11389601892395189,0.04618080420893639,0.48672490845638094,,0.04618080420893639
15.0,0.6643004409510487,0.2250875322290263,0.75864,32.4352,0.4559241291901578,0.11016682404784386,0.5206159888084557,0.6693347784924893,0.34943074513370975,1.978048411107133,0.26881085767414015,0.21661816176219614,0.21532434040089493,0.2912021467760742,0.6586598947482502,0.2095902720593592,1.8401896224248377,0.09147286821705426,0.2737940026075619,0.4951726794242859,0.3810077026779635,0.24584971491121893,0.11389601892395189,0.07531337558069369,0.4274742235429585,0.07531337558069369,
16.0,0.6623120735473758,0.2181963352971521,0.80416,34.41664,0.5412350858791136,0.11016682404784386,0.5072498547137816,0.6795849282041672,0.36120904828716377,2.0838154567644627,0.28619504838350757,0.22379526780617506,0.22561616966259068,0.3070679128503619,0.6619215223549157,0.21238221903613594,1.8647027441577484,0.11015361558636193,0.2772431729518856,0.4951411485671997,0.38071562649409457,0.24556881932925062,0.11389601892395189,0.04132350187463177,0.4555293234261626,,0.04132350187463177
17.0,0.6499311263021721,0.3337444344988859,0.84968,36.39808,0.5412350858791136,0.11016682404784386,0.5095377628593878,0.686666172463022,0.3587101331344746,2.1485405480300037,0.2855840997043113,0.22180094473311207,0.23184051264026956,0.3138873824590852,0.6616105092923921,0.21299621628046497,1.8700936019781522,0.12718023255813954,0.27756550218340614,0.4954081177711487,0.38105311807241454,0.24581603128762758,0.11389601892395189,0.034673860340756854,0.4059778723767522,,0.034673860340756854
18.0,0.6389190878364684,0.4054123705504119,0.8952,38.37952,0.5412350858791136,0.11016682404784386,0.5125549386836163,0.6905123697675816,0.3590151162212436,2.193153282598797,0.2911623953303047,0.2218546529513207,0.23588498272772285,0.31950995779460084,0.6577089474930436,0.21054970011282897,1.8486133413794956,0.11140186915887851,0.2762546816479401,0.4957411289215088,0.38142291425524677,0.2461578306385732,0.11389601892395189,0.03147326259382125,0.39465593546265154,,0.03147326259382125
19.0,0.6290296949009355,0.44541834677555237,0.94072,40.36096,0.5412350858791136,0.11016682404784386,0.5133445908579016,0.6947116026598154,0.3532632986995309,2.2437242929559216,0.2886779450520433,0.21745362364890275,0.24106113013772368,0.32628283048928014,0.6619000251440814,0.21239343981423547,1.8648012618952914,0.1270878721859114,0.27939020815010257,0.4961470067501068,0.38144213286684037,0.24611663923650334,0.11389601892395189,0.030308182866500676,0.3990878223303298,,0.030308182866500676
20.0,0.663517001278048,0.29970703594884823,1.02796,44.01152,0.9971592150692714,0.11016682404784386,0.4963342041724652,0.6681349502265392,0.35373938276890055,1.968285041224102,0.2717439137907875,0.21926173725217143,0.2143258331234697,0.29374928847985127,0.6573142421368523,0.21164430295030684,1.8582238865751863,0.12613926358002187,0.2787496415256668,0.4958946704864502,0.38155813804599875,0.24624408537688253,0.11389601892395189,0.03233339527137499,0.6634730352634506,0.04774538956619434,0.024585044947822845
21.0,0.6592244090456771,0.2818408049931127,1.07348,45.99296,0.5412350858791136,0.11016682404784386,0.5152333253578905,0.6794738254970356,0.36182655186483537,2.0723048968645603,0.28348731010961986,0.2244040806635589,0.22468074579897648,0.3042030607206401,0.6031581749462847,0.19823651479644389,1.7405043360541508,0.12668365489625044,0.2689128061144907,0.4958677291870117,0.3819177060459885,0.2465698127585909,0.11389601892395189,0.02188263753011042,0.3056141509550798,,0.02188263753011042
22.0,0.6454050347174328,0.32150084734479956,1.119,47.9744,0.5412350858791136,0.11016682404784386,0.5087283851142046,0.6858406770588704,0.35490621344394796,2.1452829487401073,0.29239618766897785,0.2189716711123341,0.2316385522239857,0.3149256240433697,0.5928987095097586,0.19686798722409693,1.7284887486326035,0.15296495956873316,0.2717428087986463,0.4966887831687927,0.38251583899229624,0.24702715235228692,0.11389601892395189,0.02094282812082035,0.30371805146569386,,0.02094282812082035
23.0,0.6339936890917992,0.4166400586888311,1.16452,49.95584,0.5412350858791136,0.11016682404784386,0.5173026905762989,0.6916051660503901,0.3579537245240045,2.2015164090288133,0.2938840516275642,0.22087104126279705,0.2369080481282489,0.3186179077200791,0.614218345601761,0.20325984722827733,1.7846088840382865,0.16432078559738134,0.27660571964369435,0.49630579352378845,0.3821726694573357,0.24670117728193713,0.11389601892395189,0.013379799788609899,0.2051819252956193,,0.013379799788609899
24.0,0.6248772099203487,0.4655704749025934,1.21004,51.93728,0.5412350858791136,0.11016682404784386,0.5188061862893175,0.6958843691071727,0.3539156084376609,2.2677781360252447,0.2951183962977799,0.21804723830025824,0.24341725035318718,0.3245090977405115,0.6150150098972507,0.20387955647348083,1.7900498928729962,0.17010309278350516,0.27754597434708705,0.49676281213760376,0.38257761439929594,0.24700921868438241,0.11389601892395189,0.012878402057664199,0.2095389854257519,,0.012878402057664199
25.0,0.6550357656348993,0.36399201937145775,1.25176,53.6064,0.4559241291901578,0.11016682404784386,0.5309555059995972,0.6697388008724475,0.33653830905774124,1.9847647457648099,0.2741398251275251,0.20837076424562442,0.21618246055127702,0.29264241993845364,0.6064667751508206,0.20197433109817453,1.773322131944158,0.17832388153749212,0.27515151515151515,0.4967614412307739,0.3826728705893322,0.24703630226625092,0.11389601892395189,0.04186921422374396,0.3445330421673134,0.04186921422374396,
