round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_auprc,fed_brier,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auprc_lift,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6890107752037654,0.10069455331736496,3.66096,3.66096,1.0,0.11392245720040282,0.6442799230886366,0.20701241503286644,0.23176442199800085,0.2594315515456834,0.5116924498519089,0.2781229522141507,1.8382878284829824,0.3662105130457507,0.6575918360093869,0.21478772545384334,1.885822941689091,0.27356051703877793,0.2754780924715566,0.5019001364707947,0.3649323410861019,0.23044642404129034,0.11389601892395189,0.0249267919474568,2.698510867688128,0.022936611043431487,0.026419768732571167,0.010774393102975068
2.0,0.664040252427402,0.1792740759279314,7.32192,7.32192,1.0,0.11392245720040282,0.6523490042150059,0.21385430940570757,0.20389307959918365,0.2666658612115394,0.5142110039509105,0.2878369666449602,1.8991882031387177,0.3254617216845848,0.6636602363443266,0.2213901351581394,1.9437916904361785,0.27905569007263925,0.2799439645108569,0.4655352234840393,0.32357379735698105,0.20207865672209419,0.11389601892395189,0.016859118880581614,1.9498367859387145,0.016814914833779254,0.017011824254632456,0.0052270840569984735
3.0,0.654177099208878,0.28439844476572634,10.98288,10.98288,1.0,0.11392245720040282,0.6574382532770268,0.21941840278402625,0.21639435683927122,0.2680791367822657,0.5282402186404093,0.29249881799949773,1.9455304127664994,0.34349929535815876,0.666200785003345,0.22420362428574148,1.9684939509206352,0.27990913679959617,0.28370156900416266,0.5419803261756897,0.3413149078540037,0.2146069978402862,0.11389601892395189,0.011428555236397716,1.4206652634584316,0.01250226878983319,0.010759506003153615,0.0035133604556461767
4.0,0.6480905307755631,0.3078911631833675,14.64384,14.64384,1.0,0.11392245720040282,0.6589823540736802,0.22209816234914956,0.21406955871592873,0.2692934234255203,0.5343644536285092,0.2950109965196263,1.9679388090838685,0.33974853125358634,0.6658160188129333,0.22356950810676784,1.9629264500987054,0.2772831340625795,0.2840105394536125,0.5167436599731445,0.33782852626352644,0.212581676163326,0.11389601892395189,0.010082852865411522,1.3319523983836916,0.010450692454920574,0.009875162006545174,0.0038844556391205423
5.0,0.6471921462578079,0.3239319751469883,18.3048,18.3048,1.0,0.11392245720040282,0.6610387467691689,0.22460756106919938,0.2131857830925323,0.27053458686247256,0.5339703779284957,0.2970394601444433,1.9869941767023829,0.3369789090258897,0.6672615901591015,0.22423890365086419,1.9688037015638622,0.28105236529218314,0.28719966277926096,0.5232324600219727,0.3349995738598186,0.21168546296942714,0.11389601892395189,0.008792945024745698,1.2318540201886208,0.008920487171594337,0.008738792287906439,0.0041062797949511865
6.0,0.6473308343392941,0.36531722515561216,21.96576,21.96576,1.0,0.11392245720040282,0.6644692306112235,0.22634638802166762,0.22000591973649508,0.27125563347631104,0.5592053517237802,0.29919848866065685,2.0000786110059465,0.34765731174431264,0.6674358267470882,0.22382033456809175,1.965128690911805,0.27953598378195743,0.28522483940042825,0.5420962572097778,0.345809942484952,0.21880825932908995,0.11389601892395189,0.008761794627749602,1.3030260190553236,0.008463323960084894,0.009044389068038398,0.0034659673881208978
7.0,0.6439669256287782,0.34304111304087925,25.62672,25.62672,1.0,0.11392245720040282,0.6655608137593393,0.2277434181834911,0.2229553547846305,0.2771119712428601,0.5315110917106526,0.2971942387459356,2.0119607603184537,0.3536580848908061,0.6661515660536126,0.2231261658279552,1.9590339323180033,0.2768530714884445,0.2810330463760067,0.5245404243469238,0.35207266127993,0.2221581554743248,0.11389601892395189,0.008714593601907643,1.372599119024926,0.007936730966395503,0.009395805442827592,0.004195677688992744
8.0,0.6442589575507112,0.30017731278497567,29.28768,29.28768,1.0,0.11392245720040282,0.6669641373391259,0.23084425763045335,0.21182596883016078,0.27738325105769884,0.5338449252662432,0.3013119966120691,2.0341127667580072,0.33613289196573176,0.6673146115927117,0.22285195658064733,1.9566263920905353,0.27948282617213005,0.283021646296569,0.5271844863891602,0.3343259869215083,0.21122721401324984,0.11389601892395189,0.0079454713044642,1.3352985861620255,0.0069587192167354294,0.008820859132485061,0.004780600473591489
9.0,0.6471420356451065,0.45563228968288516,32.94864,32.94864,1.0,0.11392245720040282,0.6707401773214327,0.2340848508311014,0.2165807768205055,0.2805385339170505,0.5408112376530665,0.303638632554493,2.0622991729143925,0.343423927469181,0.6663657475464944,0.22318240775477305,1.9595277329560696,0.28336755646817247,0.28493007450006536,0.503724217414856,0.34195679298473286,0.216438346579399,0.11389601892395189,0.007985606658067882,1.4240033020605551,0.006718825477112518,0.009142051763562085,0.00435878791651448
10.0,0.6485281648949899,0.41415364841999436,36.6096,36.6096,1.0,0.11392245720040282,0.6722460097181259,0.23805330127608174,0.21750073896331212,0.28057582465344777,0.5551333824680952,0.30536514494936323,2.0969156762786887,0.344213465769838,0.6646208090290192,0.2214177590538055,1.9440342265311805,0.27795765877957657,0.28112033195020747,0.5094861388206482,0.3428523477041834,0.21785931819102183,0.11389601892395189,0.0075460781447041795,1.428933346625854,0.006283333338410974,0.008739135946638188,0.0032678304637733502
11.0,0.6442642295817411,0.48000035633347277,40.27056,40.27056,1.0,0.11392245720040282,0.6742946436197597,0.2400275194273734,0.21691581893106823,0.27844712348022177,0.5613231774276987,0.3103131115693006,2.113695326240852,0.34327700912806114,0.6660364624822344,0.22252314573076298,1.9537394531703622,0.2787060078208318,0.280540741659432,0.5101337432861328,0.34137420696460213,0.21695982122530041,0.11389601892395189,0.0075495348671301,1.517146555484942,0.006006328826208944,0.009034662363489092,0.0038766428663033125
12.0,0.6432699631747945,0.4659562331569343,43.93152,43.93152,1.0,0.11392245720040282,0.675696781290249,0.24450301760758794,0.22109150020573148,0.2760884569383925,0.5587718182816457,0.30844019999890376,2.1510427572015813,0.350007950398632,0.6640432832598496,0.21870416413883303,1.9202090310536781,0.2742504409171076,0.2796121961500633,0.5428093075752258,0.3483089087385195,0.22154686236779947,0.11389601892395189,0.007020739166772038,1.5010368620423833,0.005473598281627618,0.008546752145858462,0.003638481239614667
13.0,0.641146464033621,0.48625659489472517,47.59248,47.59248,1.0,0.11392245720040282,0.6746904080497191,0.24434039439701044,0.21286027739709765,0.2801814792502854,0.5654405554754647,0.31057743800530896,2.149492732772374,0.33576670335418163,0.666568408642677,0.22091080305581787,1.939583184231571,0.2749914704878881,0.2830589484864578,0.5282362699508667,0.33361464717396666,0.21302361847993215,0.11389601892395189,0.006460618557273393,1.4660539294109185,0.005165327521524063,0.007766987042187482,0.002274069844600745
14.0,0.6403136796085505,0.5765348408416958,51.25344,51.25344,1.0,0.11392245720040282,0.6763962879898212,0.24486202768652765,0.20060488334161777,0.2800034004195881,0.564483719691259,0.3097262102339131,2.146399408688784,0.31556612989032395,0.6652688501675277,0.22059801370214896,1.936836913057003,0.2773294203961849,0.28312473025463963,0.5315102934837341,0.313316799882503,0.2010128302550061,0.11389601892395189,0.006927876344456373,1.6669712856728438,0.00507304194094955,0.008820504617822694,0.0033122585293294047
