round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_auroc,fed_ece,fed_f1_best_threshold,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6868947525237179,0.11011249291517763,3.66096,3.66096,1.0,0.2731388278041964,0.2956087948997528,0.11417421953675731,1.9220153521159955,0.6577312116805564,0.35614916048043627,0.5184790675302315,0.22395640041623355,0.21749051058987806,0.6645411702082641,0.21387970543631782,1.8778505821096767,0.2776767309324603,0.2787216347867411,0.49817878007888794,0.3558968324502021,0.22358424569765717,0.11389601892395189,0.024424869104414104,2.639116593525614,0.022027598491546736,0.026101805290427535,0.013835939815586036
2.0,0.660236247336324,0.22540311946750044,7.32192,7.32192,1.0,0.2752964715853918,0.29821059095862845,0.11417421953675731,1.9790673228504223,0.6639079869134702,0.33672738732152957,0.5220312252884576,0.21259625415715766,0.22358871897361693,0.6705117099185194,0.21981444811584616,1.9299572556843778,0.2802417056207958,0.28821078101895414,0.5292757749557495,0.3366047421342695,0.21206293362395512,0.11389601892395189,0.0160402165983991,1.8505070176779554,0.01607780324041339,0.01610281624064461,0.006092210138881629
3.0,0.647155396953203,0.3223219374567307,10.98288,10.98288,1.0,0.27205987368655826,0.29723519274029986,0.11417421953675731,2.0177623610510635,0.6666856988991798,0.3604434582912189,0.5753347355204617,0.22845310409953962,0.22818523341821798,0.6711689247062512,0.22253969526183462,1.953884757029338,0.2755472559394128,0.2877488737102165,0.5562410950660706,0.3601215028603524,0.22802339255663276,0.11389601892395189,0.011261424132746774,1.3930196885194164,0.011825946154022635,0.010919405687483149,0.005766695736138735
4.0,0.6448871606339864,0.32904829128852764,14.64384,14.64384,1.0,0.2799970885971029,0.29828155937728684,0.11417421953675731,2.036917070329294,0.6686938287181318,0.3450168608204806,0.5381781789553909,0.21713774438383265,0.23064516496985102,0.6717918543918238,0.2233211304263085,1.960745709430103,0.2785250463821892,0.2888921410800527,0.539250910282135,0.34451678679510067,0.2167529662168555,0.11389601892395189,0.009929483836773674,1.3075296377710401,0.010129172028119193,0.009824467588019841,0.004967910425555492
5.0,0.6485486872358767,0.3757946199965025,18.3048,18.3048,1.0,0.2802464506148372,0.30006745013297603,0.11417421953675731,2.0750247042728214,0.6713054927452061,0.3314289322792583,0.5284339682595788,0.20881853402844303,0.23458040121826446,0.6734954173669052,0.22496643002041464,1.9751913380802555,0.2858543760725668,0.2896472612560941,0.5284428000450134,0.33094605090267865,0.2083709207593757,0.11389601892395189,0.009456100754863146,1.3195061275600892,0.00942491330250649,0.00950773138882636,0.005253352969525126
6.0,0.6455641342696989,0.3421961171278463,21.96576,21.96576,1.0,0.27773613004076464,0.3033591429815578,0.11417421953675731,2.1044276169102436,0.6733183144084085,0.34625002256550524,0.5568651838203721,0.21909872156214005,0.23802951332348185,0.6730672049745625,0.22523206110281951,1.9775235625505616,0.2801984469370147,0.288496652465003,0.5603764057159424,0.34568418068556783,0.21890843171997432,0.11389601892395189,0.008377385660672072,1.2419294805986283,0.008007652177106925,0.008682107229185325,0.004920122901310128
7.0,0.6521071960483634,0.4343994366865642,25.62672,25.62672,1.0,0.27927117512450106,0.3069948384537453,0.11417421953675731,2.1285685032689714,0.6748712582291195,0.3452142668899227,0.5516165770226404,0.21686030086447206,0.24110695935648258,0.6738019753740603,0.22761051663038445,1.9984062549399508,0.2828096118299446,0.2920183622093884,0.5412958860397339,0.3444796119527817,0.2165994624098454,0.11389601892395189,0.008298638502264293,1.3007106470276995,0.007840057875456283,0.008680284813957563,0.0051898094645315964
8.0,0.646185199505075,0.3176012420058635,29.28768,29.28768,1.0,0.28196706379956465,0.3083976531613765,0.11417421953675731,2.1386369603470214,0.6759307154530353,0.33456182933420936,0.5507237394354405,0.2107373774519166,0.2424630507322849,0.6733695087175772,0.2272672867793663,1.9953927180818511,0.28454501685122774,0.2897389863278553,0.5292385220527649,0.33364034639048495,0.2105686645454134,0.11389601892395189,0.008473377328819118,1.4055532850325108,0.00712016352234673,0.00961528179557501,0.0043961191582064215
9.0,0.6448001802422267,0.4202329021676026,32.94864,32.94864,1.0,0.28546211287078255,0.31241897319553164,0.11417421953675731,2.1697498292871873,0.6781593441487115,0.33299220767067256,0.5637863605918151,0.21107182123655394,0.24585930209280188,0.674021415087222,0.22768034011202218,1.9990193007891155,0.2842130403630284,0.29091442829884046,0.5493398308753967,0.3320400611115868,0.21111020744699147,0.11389601892395189,0.007848753666818843,1.3884603006108591,0.006762822774386334,0.008790531826240618,0.005498731169144088
10.0,0.6438179159440843,0.4528110042434908,36.6096,36.6096,1.0,0.28354312722094316,0.3158169797697183,0.11417421953675731,2.203255632893019,0.680146947357226,0.3326942308534834,0.5635079576503504,0.20953293450304525,0.24963512642503327,0.6739691968185233,0.22872799863864554,2.008217677839703,0.2881395897194058,0.293241695303551,0.5373285412788391,0.3319057681645533,0.20980931248162643,0.11389601892395189,0.008193570728580938,1.5393919424041087,0.006313062342569996,0.009872885736184469,0.004979183487106543
