round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_brier,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6305895667994632,0.14558950604784973,3.65056,3.65056,0.9971592150692714,0.2088909905416374,0.007781300519177539,0.27644865392846035,0.1135662574756059,0.16727769819114632,0.2531591985035813,0.373857595140468,1.8544247706277108,0.6375389025820988,0.6384982718651984,0.19016121829518745,1.6696037323495712,0.054582484725050916,0.2626664625746212,0.4894336760044098,0.36923330307090835,0.23654604097635293,0.11389601892395189,0.02550532983748785,2.7586975963786244,0.020837062671210955,0.028597660432312433
2.0,0.6156264687675692,0.265694608335899,5.632,5.632,0.5412350858791136,0.2318348276183789,0.003644625018637245,0.29502104953784664,0.1135662574756059,0.12379422851719574,0.14623184461365865,0.28344789654963937,2.0590112531382716,0.6669212473172351,0.6367060470135594,0.18958572723929348,1.6645509564814502,0.08413739868776535,0.2571353065539112,0.4874345362186432,0.36782041220703615,0.23542028318036312,0.11389601892395189,0.020001423620876292,1.3607949204742908,,0.020001423620876292
3.0,0.6041726714091313,0.5337470433845632,7.61344,7.61344,0.5412350858791136,0.24120467303680018,0.0047190138550657415,0.2998765759274009,0.1135662574756059,0.11259835202697144,0.10071289441872214,0.23891830599210453,2.144828499740737,0.6761029402890681,0.6409544129117997,0.1988087790246491,1.7455287805747914,0.08726415094339622,0.25865848312143797,0.48055022954940796,0.3626290206862621,0.23144983696138094,0.11389601892395189,0.01255834246273558,0.902636706829071,,0.01255834246273558
4.0,0.5981912160191261,0.5260649373629682,9.59488,9.59488,0.5412350858791136,0.24791778958177357,0.0349471857957435,0.3053190068444049,0.1135662574756059,0.10877470022549911,0.07891552466752584,0.22129188294132288,2.2082578154285555,0.682157980431864,0.6525556657285869,0.2079635487879859,1.8259070927390595,0.022530329289428077,0.2700538450918128,0.46438169479370117,0.3402328117815691,0.21511940713791136,0.11389601892395189,0.01096159439881211,0.8248222393449396,,0.01096159439881211
5.0,0.6075957885267435,0.45725344196736434,11.264,11.264,0.4559241291901578,0.22407532892300575,0.037783995206245945,0.2845437599890925,0.1135662574756059,0.11022060576143296,0.07668781204112193,0.2002483109539321,1.9890499718671764,0.6575487806482329,0.6576700190937398,0.21057293352775117,1.8488173293251824,0.057755775577557754,0.27565982404692085,0.46494877338409424,0.34215356828708143,0.21619236689635232,0.11389601892395189,0.01560081447964536,0.7100863896775991,0.01560081447964536,
6.0,0.5988512769590796,0.5395725631874868,13.24544,13.24544,0.5412350858791136,0.23743708387396367,0.0339019788866632,0.29591912319288605,0.1135662574756059,0.10911631988478966,0.07306336775154747,0.2047528512501514,2.1039898376761603,0.6704829062841244,0.6579458183946751,0.20794257357880902,1.8257229317001133,0.04594820384294068,0.277574047954866,0.470889151096344,0.3449334216976425,0.21815061837985825,0.11389601892395189,0.008866175184636076,0.6943851304240525,,0.008866175184636076
7.0,0.5917916929556278,0.46584708856986756,15.22688,15.22688,0.5412350858791136,0.2516728884651322,0.04652911389488241,0.30626678301063764,0.1135662574756059,0.10874811407847373,0.07841634808948367,0.21843667426854513,2.234121223792395,0.6835075147077155,0.6555345416380518,0.20077505107737098,1.762792527554699,0.002642007926023778,0.2751835535976505,0.47318294644355774,0.3460893635691259,0.21904436959038162,0.11389601892395189,0.00888330165533005,0.7215376619715244,,0.00888330165533005
8.0,0.5817467864620598,0.44420789594124654,17.20832,17.20832,0.5412350858791136,0.26090733250093223,0.06933868969331243,0.31468444443358656,0.1135662574756059,0.10722071275155962,0.07449784044060255,0.2209754781862607,2.318375918292686,0.6906703053071436,0.6553010339894872,0.20021042255271881,1.7578351240388732,0.00700832238282961,0.27514030031851966,0.47398990392684937,0.3471807716846034,0.21988920563567158,0.11389601892395189,0.009131327634044324,0.7691418153699487,,0.009131327634044324
9.0,0.5679643077909736,0.4260431770275617,19.18976,19.18976,0.5412350858791136,0.27356986791045423,0.07657040749164044,0.3212431725806639,0.1135662574756059,0.10759283073619631,0.08295944494165675,0.23889779115308557,2.432553396466352,0.7012549408447248,0.6566478286009937,0.20316426362802,1.7837696659412856,0.07856865033061065,0.2762934966766584,0.46912816166877747,0.34447024708857593,0.21782819662145275,0.11389601892395189,0.009058018004825521,0.7996248882263899,,0.009058018004825521
10.0,0.5935903705072053,0.5052507051032924,22.84032,22.84032,0.9971592150692714,0.23081755262422543,0.05082776714191801,0.2874851619718975,0.1135662574756059,0.10783663597153176,0.07165978675568052,0.18551466840925857,2.0443061569750745,0.6598951062255449,0.65881491812562,0.20735762288436976,1.8205871007907832,0.10025801695539993,0.27913245925744395,0.46021705865859985,0.3308325962422389,0.2079675028493269,0.11389601892395189,0.009643007039366793,1.3537837867625058,0.013885480874893342,0.007383390127870878
