round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_prevalence,fed_auprc_lift,fed_auprc,fed_brier,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6894071716102216,0.09337216164945947,3.65056,3.65056,0.9971592150692714,0.496864135236458,0.27057939311837376,0.3827277077249959,0.11048158640226628,1.7477034744518742,0.19563290559789376,0.24338360608246806,0.6220637233221576,0.21868430816783443,0.4171156274858895,0.11270313627244338,0.9895265641171797,0.19642422175671068,0.2047636297772143,0.49599841237068176,0.39458952409535086,0.2568141352540957,0.11389601892395189,0.027064927406529563,2.9126702514477074,0.02289542409595533,0.02981828320155259
2.0,0.6834897222011757,0.11875616029879817,5.632,5.632,0.5412350858791136,0.5376610877981418,0.29988420475565003,0.38681319137958375,0.11048158640226628,1.9779388205149322,0.21792495691129168,0.2443493039729898,0.6643015544011908,0.2586648237748562,0.45827800489217785,0.13541586377951795,1.1889429065113752,0.2045968690616234,0.20480725623582768,0.500849723815918,0.4012545514277143,0.26174828077081197,0.11389601892395189,0.023552344049039893,1.6172852693125606,,0.023552344049039893
3.0,0.672478199979955,0.1642957185600344,7.61344,7.61344,0.5412350858791136,0.5472253513347438,0.3049473570082327,0.36394425627473836,0.11048158640226628,2.045487857981074,0.22453495277381677,0.22785870784798917,0.6777858597079469,0.27313488796206964,0.4641735490788226,0.13918809764676188,1.2220628864973537,0.20426538129234686,0.20465957928070572,0.4984613060951233,0.40210010761331255,0.2623901012889427,0.11389601892395189,0.01565249970017175,1.1520288775209337,,0.01565249970017175
4.0,0.6592986000747371,0.23399511089236785,9.59488,9.59488,0.5412350858791136,0.5553613165620366,0.3112766501806137,0.36287004307433046,0.11048158640226628,2.1191324487723713,0.2316129624598749,0.2262443674547976,0.6894986461299472,0.28386091900419436,0.45920082882603047,0.1396051606272605,1.2257246736646217,0.19176266693852584,0.20471441523118766,0.49474361538887024,0.39655598809527215,0.2580354733394698,0.11389601892395189,0.012785723948819213,0.9897916439222172,,0.012785723948819213
5.0,0.6656955784714753,0.24313873530664493,11.264,11.264,0.4559241291901578,0.549624337302389,0.2960253769848919,0.35818523390979046,0.11048158640226628,1.976401950221759,0.2171624150671449,0.2252138740852142,0.6720639845656378,0.2730043252480377,0.4802126017678965,0.14788358059371814,1.2984086888274793,0.19463917525773197,0.20463180749050114,0.4936571419239044,0.3976512611365306,0.25876602710361196,0.11389601892395189,0.016877280500002822,0.770328582264483,0.016877280500002822,
6.0,0.6585196993835687,0.29334102649330546,13.24544,13.24544,0.5412350858791136,0.5311275847910484,0.30453738881585024,0.3555491699675625,0.11048158640226628,2.0452958880585244,0.22397190282399865,0.2224875698557981,0.6800071716021322,0.2786265325842613,0.4958601115626181,0.1536388316869406,1.3489394373786223,0.20305087898800112,0.20474871748308895,0.498076468706131,0.40233718289049347,0.26241980636903117,0.11389601892395189,0.01029254253398367,0.833740662666969,,0.01029254253398367
7.0,0.6415373441209826,0.34765601803517343,15.22688,15.22688,0.5412350858791136,0.538642164127685,0.3133200996245673,0.351344218346395,0.11048158640226628,2.145927525015921,0.23418527715364118,0.21769735962564463,0.6947299880305358,0.2854756179983937,0.5408075918560885,0.17861536892544325,1.5682318891646627,0.20329800883904386,0.24135429262394198,0.527058482170105,0.4000071327038574,0.259840841770656,0.11389601892395189,0.010357930733866351,0.8770908034639433,,0.010357930733866351
8.0,0.6274813956273017,0.4021856820813253,17.20832,17.20832,0.5412350858791136,0.5770887884359747,0.3227967382179698,0.3441875885790967,0.11048158640226628,2.2519932067798125,0.2442946942401621,0.2144812805900436,0.7022127429703746,0.2943103484545319,0.5357779849385496,0.17601366554062886,1.5453890943998032,0.20395097859886593,0.23796726117762032,0.5308682322502136,0.4031486231026541,0.262326172646225,0.11389601892395189,0.010358689148429885,0.914052524487488,,0.010358689148429885
9.0,0.6155324633357504,0.5167555175898783,19.18976,19.18976,0.5412350858791136,0.5537480932794953,0.33542413133461385,0.33847406829115473,0.11048158640226628,2.42282324735918,0.257887399882952,0.21048769554990462,0.7119496183984702,0.30562550314001047,0.554609842816109,0.18547606254635368,1.6284683547209462,0.20373640672924992,0.25340817963111467,0.5248734354972839,0.402764451822341,0.26167184087458006,0.11389601892395189,0.010597219800121974,0.9842949582962319,,0.010597219800121974
10.0,0.6486362095897078,0.5199376186624562,22.84032,22.84032,0.9971592150692714,0.5650277404316874,0.2993575031443308,0.35367999512105386,0.11048158640226628,2.1191234651743924,0.22417951505562775,0.2221592880528542,0.6786295514602791,0.2771732350499508,0.5217262257789934,0.1707931628239529,1.499553403512647,0.20460406019972807,0.21341463414634146,0.5299035310745239,0.40141650308833826,0.2612739695866727,0.11389601892395189,0.009915385293866017,1.4529606729047373,0.013815930949997909,0.007946115839726403
11.0,0.6453408228320962,0.4216135003781559,24.82176,24.82176,0.5412350858791136,0.5224263471742077,0.31232439347630375,0.3452006207459521,0.11048158640226628,2.254169802477987,0.23623831580247873,0.21570233708071487,0.690728061743959,0.29047435080268225,0.5493195837858875,0.18596250565805456,1.632739295147983,0.20536659455976436,0.25393403750808363,0.5242364406585693,0.40096897195063375,0.2603786934830443,0.11389601892395189,0.007644156732615071,0.7659432934597135,,0.007644156732615071
12.0,0.6324597542508692,0.5092148574721554,26.8032,26.8032,0.5412350858791136,0.5534856522199604,0.32721596834471056,0.3486623662412823,0.11048158640226628,2.3515353606490126,0.24577576228549203,0.21778825394803078,0.6996013394471605,0.2938567833834892,0.5519569514650957,0.18612778250450554,1.6341904156350069,0.20550356712684148,0.24893435635123612,0.5273718237876892,0.40212550454677526,0.2612951268094664,0.11389601892395189,0.00787116845836702,0.8188533417414874,,0.00787116845836702
13.0,0.6152679016438344,0.5216656045827993,28.78464,28.78464,0.5412350858791136,0.5778602247797995,0.3347133011074233,0.3506704397032875,0.11048158640226628,2.48125317454328,0.25918579231133815,0.2180007132899191,0.7106974390493185,0.3055690587964242,0.5385833646776806,0.17959116403407155,1.5767993098510682,0.2048713862963806,0.22870928829915563,0.5356607437133789,0.40487717334952605,0.26370475730524673,0.11389601892395189,0.0072882546467812346,0.7944573189597577,,0.0072882546467812346
14.0,0.5999916837359985,0.6313605663783297,30.76608,30.76608,0.5412350858791136,0.547483509178615,0.34100878865617223,0.31658357103168494,0.11048158640226628,2.6190049868717344,0.27294805366096364,0.1971682851199918,0.7181604160769232,0.3087882174620401,0.5393359929470073,0.17980537945437441,1.5786801079889372,0.2049718574108818,0.22812576163782597,0.5356931090354919,0.40366136261570745,0.26274191027662486,0.11389601892395189,0.007434050846202699,0.8456258402438834,,0.007434050846202699
15.0,0.646526906010348,0.6139503278626535,32.4352,32.4352,0.4559241291901578,0.5280458084246931,0.3060986730984437,0.3454585971418026,0.11048158640226628,2.184489886105319,0.23002627211502355,0.2167899434311055,0.6818282803981942,0.2829493868053816,0.5188352462295298,0.17184477283555732,1.5087864743569104,0.20368040996971815,0.2152949091724602,0.5320287346839905,0.40322176992632225,0.2626144847900652,0.11389601892395189,0.012120074714762254,0.6443365183658898,0.012120074714762254,
