round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,fed_brier,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885654625044282,0.11253439183293486,3.65056,3.65056,0.9971592150692714,0.1729258884766362,0.2089255360495101,0.2502960574549693,0.1142299704197873,0.2489274744384312,0.5649601746144972,1.5023259753073452,0.38645715142063153,0.4970438140958212,0.39450500419427775,0.08898136450727162,0.781250875561193,0.2045002711006687,0.20450951154489178,0.5216618776321411,0.4214924245741282,0.2790507306925987,0.11389601892395189,0.027150851840667265,2.9241724531166255,0.022997508024551108,0.029907538896603816
2.0,0.6804213302440838,0.13946199850555469,7.30112,7.30112,0.9971592150692714,0.21318871088243938,0.25698875604180954,0.28563347525172195,0.1142299704197873,0.23350398781815612,0.6467994069254808,1.859617989460446,0.36754861849356246,0.5028171220988804,0.36527911310916233,0.08374220137879121,0.735251347412816,0.2045002711006687,0.2045649717514124,0.5155860185623169,0.4256072448156603,0.2836247230276596,0.11389601892395189,0.020386630281859594,2.3219214072450995,0.01700397575942169,0.022645866304371064
3.0,0.6700845147843043,0.20254826139726498,10.95168,10.95168,0.9971592150692714,0.21824469426872758,0.26543440881800545,0.29281330975575587,0.1142299704197873,0.23164755481069968,0.6584344374866775,1.9080672562358476,0.3654707400013948,0.5328056735290637,0.40271516926022843,0.08867080109182277,0.7785241479864898,0.2045002711006687,0.20450951154489178,0.5135769844055176,0.4301629283208721,0.2874866170790787,0.11389601892395189,0.014246764583610535,1.7484893393702805,0.012669529252677902,0.015331220388800514
4.0,0.6605407570275397,0.26585126409681786,14.60224,14.60224,0.9971592150692714,0.22403964801022214,0.27511897269651214,0.2971000358066533,0.1142299704197873,0.2293178950623618,0.6650032565708743,1.9726410938020078,0.36232731929621553,0.5281477459082183,0.38178914672211584,0.08545242799665015,0.7502670313148218,0.2045002711006687,0.20453928926666065,0.5125434994697571,0.4310441658345542,0.2890940697419351,0.11389601892395189,0.011226799337923,1.4739690176211298,0.0110256838459382,0.011371156009814224
5.0,0.6562304417022908,0.3671258489115215,18.2528,18.2528,0.9971592150692714,0.22663162341205587,0.2813021294178468,0.30045024567007933,0.1142299704197873,0.20779799969361223,0.6675355633380919,1.9956081350855437,0.32807267029972,0.526294926484706,0.3789772161691754,0.08510839851849034,0.7472464737798871,0.2045002711006687,0.20453723788864786,0.5161458849906921,0.4490816408707455,0.3064896657315639,0.11389601892395189,0.009633735293498709,1.3477620002813637,0.009229953648133102,0.009936885443575657
6.0,0.6460294261422603,0.3162151253831665,18.2528,18.2528,0.0,0.23816095457108702,0.29272435425400184,0.31068207347533494,0.1142299704197873,0.20655470610496118,0.6807242588185275,2.096714571617039,0.3275352633129216,0.526346278120088,0.3789772161691754,0.08510839851849034,0.7472464737798871,0.2045002711006687,0.20453723788864786,0.5161458849906921,0.4490816408707455,0.3064896657315639,0.11389601892395189,0.0,0.0,,
7.0,0.6433568211533831,0.4518768012084092,19.92192,19.92192,0.4559241291901578,0.23205208893847215,0.28549681520693726,0.3058176178476113,0.1142299704197873,0.22781066667486963,0.6741660845103963,2.0409586289333035,0.35670607358327905,0.5473205350150441,0.3914638704547203,0.08671378223408724,0.7613416434861154,0.2045002711006687,0.20453723788864786,0.514747679233551,0.4416550292247098,0.29916765491723896,0.11389601892395189,0.00855225389273245,0.5580481109209359,0.00855225389273245,
8.0,0.638692526284178,0.45836755313621386,19.92192,19.92192,0.0,0.24604454447867125,0.29516782647405676,0.318753981781591,0.1142299704197873,0.20971848891577902,0.6885310991321634,2.167442530634903,0.3329848539459562,0.5499835389099635,0.3914638704547203,0.08671378223408724,0.7613416434861154,0.2045002711006687,0.20453723788864786,0.514747679233551,0.4416550292247098,0.29916765491723896,0.11389601892395189,0.0,0.0,,
9.0,0.6478381848570144,0.3852518647178269,23.57248,23.57248,0.9971592150692714,0.23128542042931874,0.2851883112541732,0.3022817781968777,0.1142299704197873,0.22096047225979606,0.6717044780470173,2.0311056562385095,0.35070003514356923,0.5475133414201421,0.39596089118977784,0.08745167869389003,0.7678203287533809,0.2045002711006687,0.20452799493876814,0.5133005976676941,0.44135231812807,0.2986170306879667,0.11389601892395189,0.009242010059478358,1.4281404258217663,0.006908227523871002,0.011220199717855851
10.0,0.6394992372845734,0.4179063921090519,23.57248,23.57248,0.0,0.24603143564578472,0.29328546748846895,0.3170111851323163,0.1142299704197873,0.22213929293653992,0.6887849319116194,2.16578506606271,0.35320910706340547,0.5414729160511951,0.39596089118977784,0.08745167869389003,0.7678203287533809,0.2045002711006687,0.20452799493876814,0.5133005976676941,0.44135231812807,0.2986170306879667,0.11389601892395189,0.0,0.0,,
11.0,0.6264859421141259,0.36552859142779315,25.55392,25.55392,0.5412350858791136,0.25363040989953745,0.30593580898370326,0.32220673692936846,0.1142299704197873,0.21169850149300914,0.6954392803771174,2.238919423022595,0.3383032160957252,0.5231518247435291,0.3935566546755819,0.08708274538173316,0.7645811170966222,0.2045002711006687,0.20451875282422052,0.5130825638771057,0.44871763201723214,0.3060545981960316,0.11389601892395189,0.011683105785971693,1.0349527620710433,,0.011683105785971693
12.0,0.611792641722903,0.461031556603937,25.55392,25.55392,0.0,0.264866558962396,0.3105443371703591,0.3336826934194844,0.1142299704197873,0.20222492947078818,0.7053136155474256,2.352109792442324,0.318338009121505,0.548232305602465,0.3935566546755819,0.08708274538173316,0.7645811170966222,0.2045002711006687,0.20451875282422052,0.5130825638771057,0.44871763201723214,0.3060545981960316,0.11389601892395189,0.0,0.0,,
13.0,0.6354856976279591,0.48458453547365776,29.20448,29.20448,0.9971592150692714,0.23496674264471973,0.2849147012350264,0.3068486714513418,0.1142299704197873,0.21902578799861241,0.6753514308528348,2.064336936583399,0.3453868222148291,0.5391672916147212,0.4150073321426748,0.09045081841026277,0.794152589922011,0.2045002711006687,0.20457421804375336,0.517950713634491,0.44500062114561606,0.3016344049700219,0.11389601892395189,0.008459590926277757,1.4389567436883226,0.00764517683506041,0.009121615199220614
14.0,0.6382567639244215,0.4829247121661295,29.20448,29.20448,0.0,0.25143407470213286,0.2994219238542403,0.3204379878295606,0.1142299704197873,0.2085217352334696,0.6912287506163104,2.219218101042181,0.33057732401518053,0.5458145551038843,0.4150073321426748,0.09045081841026277,0.794152589922011,0.2045002711006687,0.20457421804375336,0.517950713634491,0.44500062114561606,0.3016344049700219,0.11389601892395189,0.0,0.0,,
15.0,0.6197182406396495,0.47718785087583776,31.18592,31.18592,0.5412350858791136,0.25985248439786596,0.31098596708228904,0.32620439445417615,0.1142299704197873,0.20109563719287332,0.7003542974388128,2.298393252303132,0.3201020760755346,0.5378226245415205,0.40428782890418835,0.0886090724730258,0.7779821745322799,0.2045002711006687,0.20451875282422052,0.5143948793411255,0.4468017852422161,0.30382950545125814,0.11389601892395189,0.008548561958694476,0.839885292109102,,0.008548561958694476
