round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_ece,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6936697088612956,0.08400779230962911,3.66096,3.66096,1.0,0.2551179847892464,0.11544029709825639,1.815193084937112,0.5199384862213411,0.6379381972599147,0.20628348634036878,0.3837619850144344,0.27972716073385817,0.2461784875644612,0.6428669117089346,0.20286480464629708,1.7811404346077226,0.2535564104858191,0.26066718386346005,0.5182653069496155,0.38454374339945446,0.24581550277440195,0.11389601892395189,0.00712035265693522,0.7659158475489676,0.005803922799508984,0.00793307454406885,0.013729200503678917
2.0,0.6690348970643623,0.16168214283250076,7.32192,7.32192,1.0,0.2664366512450192,0.11544029709825639,1.8354778704181818,0.5037287887219342,0.6428242947449658,0.20865385956345198,0.3296717385716126,0.27976431481615044,0.21002669768795187,0.6472541372907009,0.20553409531102013,1.804576641508908,0.26080383016252995,0.2634247522470615,0.48662158846855164,0.3298733814867581,0.20894142093813167,0.11389601892395189,0.005490333652104916,0.6010120670107426,0.005119286308722709,0.005746101560602325,0.00469437282320423
3.0,0.6552069945134747,0.32911010016481657,10.98288,10.98288,1.0,0.26834982702396853,0.11544029709825639,1.8753892808383252,0.541329705533968,0.6506137235169298,0.21326076653609297,0.351373979370297,0.28851773712163675,0.2246767458949218,0.6521212664565353,0.2083108756055625,1.8289566007100844,0.26191950464396285,0.268237653547255,0.5273898243904114,0.35137834630067,0.22379409936419067,0.11389601892395189,0.004869862226731813,0.5400742618958247,0.005007991409823763,0.004799523641379745,0.0031931987862722105
4.0,0.6516653778131822,0.2636820352823606,14.64384,14.64384,1.0,0.27358313815446533,0.11544029709825639,1.8885213188799777,0.5456051686066409,0.6522733612892684,0.21489186918089626,0.3437015134439058,0.29110380444575906,0.22081045464853313,0.653004572166852,0.20942766912608585,1.8387619787300926,0.2619346733668342,0.26836969001148103,0.5495370030403137,0.3436940955755136,0.21988436229391406,0.11389601892395189,0.004107063561708298,0.4594837855456717,0.004416837462751411,0.003915826051129979,0.0028870762888267313
5.0,0.6452006543297274,0.30547198065905373,18.3048,18.3048,1.0,0.2775182714930149,0.11544029709825639,1.9053851680188165,0.5305013661681124,0.6557169237946193,0.2167395084374129,0.3345607525959274,0.2957530005804969,0.21338685982345604,0.6547659504661093,0.21013632732572482,1.8449839538819384,0.26538370159182706,0.270929287455974,0.5211801528930664,0.33466018744537135,0.21261680840158018,0.11389601892395189,0.0036768181450124375,0.414782676492905,0.004100147841654213,0.003404039189493951,0.002811584579531137
6.0,0.6452241766353815,0.31265099227243753,21.96576,21.96576,1.0,0.275780268040882,0.11544029709825639,1.9264629796895703,0.5377875029339156,0.6577084487328217,0.21916601349850195,0.3276749188423366,0.2978097164607664,0.21092953792432756,0.6559831092411201,0.21145108109602664,1.856527410648234,0.26631912964641885,0.2716970702045329,0.5381119847297668,0.3276539616344127,0.2102329564603543,0.11389601892395189,0.0036139519629720786,0.41062349369713047,0.004051739638424768,0.003323712820387422,0.003209027416561731
7.0,0.6447954170532595,0.3732803176880214,25.62672,25.62672,1.0,0.2679310183507159,0.11544029709825639,1.9385925996974323,0.5778985124590442,0.6600969896197698,0.22068399945062198,0.37243767224414953,0.30030507699095915,0.2404015680720176,0.6568519956313854,0.2124305815831394,1.8651273643285005,0.2631140716069942,0.2723588219400162,0.5658064484596252,0.37294427606010605,0.24003919564384896,0.11389601892395189,0.0034929538362724073,0.40015881687077126,0.003963182222598357,0.003173770956407761,0.0035021174831175866
8.0,0.6425000937908134,0.30540211387569194,29.28768,29.28768,1.0,0.27938483565778577,0.11544029709825639,1.9746520007491588,0.5412261023739476,0.6605262131769498,0.2244564506320928,0.3280494242255635,0.30132256773228333,0.21105534122591482,0.6567189212451124,0.2131968364641214,1.871855034779332,0.2685642143922874,0.27222376073109944,0.5364919304847717,0.32816372556129375,0.2107437550223268,0.11389601892395189,0.0033464153460517477,0.38624278349016095,0.0038834217003964047,0.0029806038207331404,0.003214406830159213
9.0,0.6494425860861812,0.3914465619568804,32.94864,32.94864,1.0,0.2755771902202339,0.11544029709825639,1.9905124257389253,0.5467470326057169,0.6626292770716116,0.2264590305900042,0.35239951640448164,0.3035111500061478,0.22432327914018194,0.6572146496878273,0.2138256471300785,1.877375953525201,0.2627055702917772,0.27379437137604296,0.5400202870368958,0.3527952198731689,0.22417731375293165,0.11389601892395189,0.003483229401838232,0.40564794002602866,0.004048585704697356,0.003100096400476723,0.0029673574612872097
10.0,0.6448102040153587,0.2806366612648946,36.6096,36.6096,1.0,0.2768153696229482,0.11544029709825639,1.9962033964650112,0.5462674789415354,0.6625228121275849,0.22712150028075567,0.3474583800279704,0.3052381696315603,0.22112859018046113,0.6589576053919273,0.2150242269969302,1.8878994106062774,0.2703014901235994,0.27522935779816515,0.5269526243209839,0.34745267842495003,0.2206567724786309,0.11389601892395189,0.003108785952614818,0.36411008941831824,0.0035726920067587985,0.002791515605830223,0.002626240917624786
