round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auprc_lift,fed_f1_best,fed_f1,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877790095284159,0.10512097911927272,0.526995,3.65056,0.9971592150692714,0.6429734556177562,0.5030771820915699,0.20477275490239896,0.2515371556446635,1.7863084692423554,0.28170893036846284,0.21394169966076568,0.11524420946626383,0.3872169006713417,0.46154371107065945,0.10659288985457158,0.9358789785773233,0.18170151328805947,0.2045002711006687,0.4888317286968231,0.3869514544843889,0.25073763819824996,0.11389601892395189,0.5060134996048667,10.68903754837811,0.33068268678588947,0.6474069178864937
2.0,0.6847919377406864,0.07924466490092809,1.05399,7.30112,0.9971592150692714,0.6556215350498057,0.5041417178734462,0.2182336605732502,0.24279871591800412,1.9030669001841478,0.28879503206420926,0.24385203573414607,0.11524420946626383,0.37724436738332295,0.5089415847618333,0.12316640283890154,1.0813933972629848,0.19681673487949067,0.2045002711006687,0.4794228971004486,0.3853551371314516,0.2494790510747566,0.11389601892395189,0.06733117807016542,1.4457463399739936,0.05914169183708335,0.07365879690250574
3.0,0.6774993778107775,0.09396889355959037,1.580985,10.95168,0.9971592150692714,0.6607855245639496,0.5024009978122941,0.22378395455490402,0.23242396164581874,1.9555828003359692,0.29298429246807367,0.27254469205774695,0.11524420946626383,0.3648124397615083,0.5380352297244908,0.13065043176412316,1.1471027082286183,0.1870583344880144,0.21031968592260236,0.49664267897605896,0.3834059256748114,0.24789431828000577,0.11389601892395189,0.03618692107810857,0.8934771934873424,0.02875852269301897,0.042594657989781085
4.0,0.6713944272489828,0.10917180953809143,2.10798,14.60224,0.9971592150692714,0.6659567052921569,0.5060076408785996,0.22824185498503455,0.2311230967876631,1.9941455230428222,0.2956431950275734,0.27707441194637744,0.11524420946626383,0.36413985000658794,0.5703722930393362,0.13521386657559467,1.1871693835574417,0.17512953367875647,0.22347122302158273,0.49616730213165283,0.3825454778466433,0.2471122901827106,0.11389601892395189,0.024199706060613446,0.6890973345434759,0.021504251448681087,0.026710040638786847
5.0,0.6658285986306998,0.12336799630917761,2.634975,18.2528,0.9971592150692714,0.6689186196405726,0.5052748640768479,0.2307541596285955,0.22759311989783806,2.0153566566053795,0.298390645382353,0.2804596883765516,0.11524420946626383,0.3601463061850237,0.5606127601118588,0.13440410852178533,1.1800597579405006,0.19849507005708356,0.2228107929150803,0.4975986182689667,0.3835136673084964,0.24789965638331524,0.11389601892395189,0.017819720526386234,0.5773119389778003,0.015723265647833433,0.019891911486066255
6.0,0.6625700890628435,0.15571848922583062,2.634975,18.2528,0.0,0.6823633471385768,0.5466805780015713,0.24466118767537387,0.22881167762575363,2.145404111774501,0.3114633592296595,0.28247892436750405,0.11524420946626383,0.36022784671683356,0.5606127601118588,0.13440410852178533,1.1800597579405006,0.19849507005708356,0.2228107929150803,0.4975986182689667,0.3835136673084964,0.24789965638331524,0.11389601892395189,0.0,0.0,,
7.0,0.6418956564238926,0.2749462249328694,2.634975,18.2528,0.0,0.6904711883872379,0.5342444936929632,0.2524089240104801,0.21011124836902229,2.2177447944583735,0.319770096400513,0.2957330698237512,0.11524420946626383,0.3324527866469672,0.5606127601118588,0.13440410852178533,1.1800597579405006,0.19849507005708356,0.2228107929150803,0.4975986182689667,0.3835136673084964,0.24789965638331524,0.11389601892395189,0.0,0.0,,
8.0,0.6237642681228419,0.3666782655334274,2.634975,18.2528,0.0,0.6954594368909621,0.5567791158312787,0.2602553146357374,0.22225881342411866,2.2897415908861114,0.3221023711914057,0.29558159908628456,0.11524420946626383,0.3486914130421084,0.5606127601118588,0.13440410852178533,1.1800597579405006,0.19849507005708356,0.2228107929150803,0.4975986182689667,0.3835136673084964,0.24789965638331524,0.11389601892395189,0.0,0.0,,
9.0,0.6618878620594797,0.14523559096827826,3.16197,21.90336,0.9971592150692714,0.6701124597982816,0.5088582398409299,0.23123115542542752,0.22123298558666052,2.01741046501346,0.29791399219715975,0.2809331498919399,0.11524420946626383,0.3518510765179406,0.5763923152378103,0.13560199284176475,1.1905771081630683,0.17272727272727273,0.22876423450021086,0.49515801668167114,0.38023196615800325,0.24522807197628824,0.11389601892395189,0.017000438231895478,0.6136936791008338,0.013542109237725069,0.020619882514742047
10.0,0.6557443194236534,0.16351201848561292,3.16197,21.90336,0.0,0.6804667233637162,0.5060308889091045,0.23782218850409112,0.21457597184924143,2.0820444838576355,0.3085305210907429,0.292647259725337,0.11524420946626383,0.3388978615309387,0.5763923152378103,0.13560199284176475,1.1905771081630683,0.17272727272727273,0.22876423450021086,0.49515801668167114,0.38023196615800325,0.24522807197628824,0.11389601892395189,0.0,0.0,,
