round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_prevalence,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6354713444627614,0.14367307252955347,3.66096,3.66096,1.0,0.12002435288687953,0.6530204476025713,0.0,0.2515161645214376,0.11153164208516417,1.8611693531383335,0.11429290704260812,0.21247855493996373,0.2873486509953242,0.6563948567527772,0.2126225371863918,1.866812722649765,0.0,0.2800212539851222,0.25758594274520874,0.11940637383529576,0.1112547821582222,0.11389601892395189,0.019925448105023492,2.17786650423659,0.019983449678667883,0.02000985734819364,0.007473419153822508
2.0,0.6236451917615231,0.4674667956017677,7.32192,7.32192,1.0,0.08272157059566845,0.6592708168963672,0.0,0.22334525350567322,0.10364190676992102,1.9193628327322123,0.11429290704260812,0.2188609664717414,0.2900320877167507,0.6608398851092673,0.2167390015286178,1.9029550249103433,0.0008833922261484099,0.28362408553742263,0.22893044352531433,0.08064457644192427,0.10338370497693453,0.11389601892395189,0.013242008797662812,1.5191584379062988,0.013862022005827666,0.012889684423080453,0.006006798087784902
3.0,0.6298122492270235,0.604873201382693,10.98288,10.98288,1.0,0.09340612984201038,0.661918603054084,0.0027505433717404325,0.2437949449984961,0.10533625167725713,1.9622222876849436,0.11429290704260812,0.2239036339996013,0.2926171085760907,0.6605074752315235,0.21874383825327465,1.920557367324045,0.00176522506619594,0.28212851405622486,0.23209448158740997,0.09160507923726427,0.10524841874613988,0.11389601892395189,0.010687173647693157,1.2877867731731385,0.011014828587875726,0.010506611645970453,0.005097316008353454
4.0,0.6273840276027298,0.5037714100606961,14.64384,14.64384,1.0,0.0760777162005685,0.6658833804104247,0.007655867693536972,0.21760456683040902,0.10218657235991113,1.9805154650906303,0.11429290704260812,0.22578319425208287,0.2948175603902066,0.6610248138301383,0.22013190768865606,1.9327445310940818,0.005277044854881266,0.2796744291205065,0.20804356038570404,0.072899030515606,0.10217398160720412,0.11389601892395189,0.008988793341283344,1.1428352434304543,0.009439223660701712,0.008691074979480814,0.005535613619491161
5.0,0.6395385051021225,0.6640347440126372,18.3048,18.3048,1.0,0.062065785961875446,0.6674312325805456,0.025234816239364424,0.21866420638201875,0.10011962297189973,2.0047452917248325,0.11429290704260812,0.22914121493485226,0.29524325733370754,0.6629759398397355,0.2221700108466691,1.9506389507346302,0.03423192126658109,0.2833950441469667,0.2111397683620453,0.05861720436528408,0.10017283467898802,0.11389601892395189,0.008803664995388663,1.1772462253575213,0.008768476792695688,0.008844504462951552,0.007187813151421232
6.0,0.6377495089390257,0.6940809195446073,21.96576,21.96576,1.0,0.06507492851236407,0.6696126741374818,0.020044851148006415,0.22810799557361863,0.10023955013357146,2.038142203488058,0.11429290704260812,0.23242001985092875,0.2983371156229726,0.6623043935781142,0.22287126514421812,1.956795920084167,0.022510822510822513,0.28407067524996577,0.2082088738679886,0.061868733735113396,0.10039892306214557,0.11389601892395189,0.008762706762560244,1.2403965124976821,0.008354400351863713,0.009119368148814649,0.00535200212479441
7.0,0.6369668824691856,0.6581409320157532,25.62672,25.62672,1.0,0.07353249764829206,0.671538688862634,0.03753429205045749,0.21359470072308182,0.10117815685929743,2.058694197174475,0.11429290704260812,0.2350136778144648,0.2994408052620061,0.6634958385265055,0.2249647464956687,1.975176556837137,0.04003407155025554,0.2853779754119801,0.2121843695640564,0.06998165268588782,0.10141356195422072,0.11389601892395189,0.00862030644228975,1.2980358324712142,0.007807940840200649,0.009326223831583729,0.0056422901220132314
8.0,0.6350934707528186,0.6855442281113426,29.28768,29.28768,1.0,0.06268665109567575,0.674910050333956,0.01968953620794111,0.21225915586054078,0.09943065386054134,2.1051733872966114,0.11429290704260812,0.24024179572248572,0.30146928737876466,0.6635619992360897,0.22536713885981394,1.9787095369004166,0.016557734204793027,0.2840085287846482,0.20407673716545105,0.058379264146343035,0.09977695791936839,0.11389601892395189,0.008704099382349693,1.3920644478057511,0.0073849003214623435,0.009863325560708854,0.00751182860572837
9.0,0.6414317177281879,0.6850265298760877,32.94864,32.94864,1.0,0.05812207458014325,0.6775267055653724,0.010702929370240104,0.20975729365733403,0.09888507571818392,2.123557894740458,0.11429290704260812,0.24197654103785263,0.30348360581072187,0.6625293048522354,0.22664700796839887,1.98994670849497,0.008771929824561403,0.28372954615622104,0.20570190250873566,0.053990591348726504,0.09942372626227115,0.11389601892395189,0.00796021458209042,1.348390679107979,0.006735781846066955,0.009089830230986338,0.005207950294676693
10.0,0.644054405363512,0.8094460313823738,36.6096,36.6096,1.0,0.07181933973320061,0.6798840395533287,0.012283489562004707,0.21701578716006875,0.10030630727755208,2.1531054436103445,0.11429290704260812,0.24494246414706472,0.3054104792240946,0.6601344176795872,0.2257513835575785,1.9820831815755755,0.010507880910683012,0.28028907467762504,0.20827743411064148,0.06747208451974543,0.10101416424669828,0.11389601892395189,0.007874322345383293,1.4194858354749158,0.00645451965982261,0.009224871304487339,0.005345528577608014
