round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,fed_brier,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6625528257780747,105.02927811938227,17.27424,17.27424,0.9991046702896288,0.87233290355867,0.46915039312893136,0.6014697569248163,0.9798421312018856,0.9922861859053116,1.0357152909185623,0.26460446770633783,0.9580209895052474,0.2757586178661644,0.6446739181396222,0.981224179322733,1.0146232488613098,0.9832657200811359,0.9832657200811359,0.5147614479064941,0.4522296256852566,0.23634471774506163,0.9670822942643391,0.003441422638391051,2.0609571859076823,0.0007864823511497514,0.0038889639520116137
2.0,0.4967239427995346,25.714237785303972,34.54848,34.54848,0.9991046702896288,0.8863281699449823,0.35655067590759254,0.9606607156009951,0.9793407210439292,0.9942187480135352,1.0391654410454887,0.1639238308039569,0.9580209895052474,0.33029860852361626,0.5275798209011205,0.9761694456129115,1.0093964612964867,0.9832657200811359,0.9832657200811359,0.5140815377235413,0.45279482635773916,0.23685671975184647,0.9670822942643391,0.0013876389739853011,0.8363059683538268,0.0003263541993454736,0.0015656402512535302
3.0,0.4466648774390611,26.54718300829942,51.82272,51.82272,0.9991046702896288,0.8729005403254486,0.5207119263719763,0.5378110944527736,0.9800599700149927,0.9930941997113816,1.0379933021412064,0.3162776945170239,0.9580209895052474,0.16983302129709024,0.3831129760732649,0.9646588756426604,0.997494092657831,0.9832657200811359,0.9832657200811359,0.5129470229148865,0.4538257238573564,0.23779336249113617,0.9670822942643391,0.0008922737435461326,0.539825833695204,0.00024034974220079653,0.0010013380663580573
4.0,0.3961463998950851,16.770174124615174,69.09696,69.09696,0.9991046702896288,0.9134728177534361,0.32270234050243163,0.9467461391255592,0.9793407210439292,0.995978848830833,1.0410000288879702,0.14143966751275208,0.9580209895052474,0.26665114418141317,0.29617344148030067,0.9508156888518404,0.9831797092047139,0.9832657200811359,0.9832657200811359,0.5126876831054688,0.4538439640380497,0.23781272155585162,0.9670822942643391,0.0007389409627632248,0.4486182084050938,0.00022436598847862496,0.0008248411730083366
5.0,0.3908616492617204,20.978906051085243,86.3712,86.3712,0.9991046702896288,0.9107058278593199,0.2381407240966986,0.9613660207227602,0.9789058958892646,0.9944935518885478,1.0380160720766376,0.09412761809768568,0.9580209895052474,0.4146818359573742,0.3034327285229812,0.9453926020088785,0.9775720304423938,0.9832657200811359,0.9832657200811359,0.5127800703048706,0.4540335059760514,0.23798254830752374,0.9670822942643391,0.0006760138754993443,0.4116195065824968,0.0002050808652217013,0.0007545504193480443
6.0,0.3388645416710507,11.191288396943298,86.3712,86.3712,0.0,0.8772413688662462,0.23122028987491683,0.8752037593768561,0.9793407210439292,0.9940115573785566,1.038949482154798,0.14555544103602047,0.9580209895052474,0.06693337490220834,0.3034327285229812,0.9453926020088785,0.9775720304423938,0.9832657200811359,0.9832657200811359,0.5127800703048706,0.4540335059760514,0.23798254830752374,0.9670822942643391,0.0,0.0,,
7.0,0.2183198695842683,5.869198061029948,86.3712,86.3712,0.0,0.922049859779271,0.12047088720362405,0.9458940180032035,0.9805089727161149,0.9951533157855961,1.038703757016351,0.06765783853035859,0.9580209895052474,0.15876412460918368,0.3034327285229812,0.9453926020088785,0.9775720304423938,0.9832657200811359,0.9832657200811359,0.5127800703048706,0.4540335059760514,0.23798254830752374,0.9670822942643391,0.0,0.0,,
8.0,0.15498220467278273,16.644069344810315,86.3712,86.3712,0.0,0.8910852828549155,0.11589049004197037,0.9279023854409431,0.9783412207940543,0.9936315545959771,1.0371175952748202,0.08736202348290656,0.9580209895052474,0.029375246788809328,0.3034327285229812,0.9453926020088785,0.9775720304423938,0.9832657200811359,0.9832657200811359,0.5127800703048706,0.4540335059760514,0.23798254830752374,0.9670822942643391,0.0,0.0,,
9.0,0.31426760680863275,9.030828001605318,103.64544,103.64544,0.9991046702896288,0.8604679722138234,0.1507866222193574,0.9722696791139314,0.9783412207940543,0.9914756934668609,1.0348704986433748,0.05914637642020326,0.9580209895052474,0.37601720991878135,0.22049400659508964,0.938907989121462,0.9708666932380254,0.9832657200811359,0.9832657200811359,0.5115228891372681,0.45509840776200894,0.23895454580025344,0.9670822942643391,0.0008758818566170465,0.5350698486375904,0.00031532810998995717,0.000969213762591906
10.0,0.25884332263624343,13.623244892846897,103.64544,103.64544,0.0,0.9292266963000562,0.1380065085402671,0.9431536277687671,0.9783412207940543,0.9954627479051855,1.0390262842256408,0.07411381046898372,0.9580209895052474,0.07317312947590311,0.22049400659508964,0.938907989121462,0.9708666932380254,0.9832657200811359,0.9832657200811359,0.5115228891372681,0.45509840776200894,0.23895454580025344,0.9670822942643391,0.0,0.0,,
