round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6898326441990902,0.10030280363367639,3.65056,3.65056,0.9971592150692714,0.20357352676967672,0.2360597510430087,0.259848389347604,0.5940449081048982,0.18455938731916832,0.48345403948281823,1.653033813176368,0.11195720578980486,0.37102678715432486,0.4440347034506825,0.10751736300892764,0.9439957956802401,0.05618340329350985,0.20452799493876814,0.4668136239051819,0.36831986893794705,0.23690160942390295,0.11389601892395189,0.028691650867705053,3.055589940864593,0.0239313321874563,0.03187021303419081
2.0,0.6843720617347021,0.14325066246226528,5.632,5.632,0.5412350858791136,0.240090343835837,0.24078529930686943,0.2854229235475919,0.6499492982301047,0.213325871558434,0.5183522650923946,1.956941373492174,0.11195720578980486,0.3801500976310726,0.43843162423688664,0.10295778951592477,0.9039630224886916,0.0873499901632894,0.2045002711006687,0.46468502283096313,0.37192010308639156,0.23983825785289936,0.11389601892395189,0.02256853917311468,1.5250234014820307,,0.02256853917311468
3.0,0.6721919637320061,0.16330386549936288,7.61344,7.61344,0.5412350858791136,0.2668587369134119,0.2173414748523144,0.30006553510845363,0.6687718378625465,0.22800443109322235,0.49451157046497196,2.0913608500202647,0.11195720578980486,0.34800446038916844,0.4158151529007631,0.09236624585944364,0.8109699244283188,0.09412444059477407,0.20452799493876814,0.4670943319797516,0.37593876373108476,0.24331631343155735,0.11389601892395189,0.015776420639560407,1.1319090730976313,,0.015776420639560407
4.0,0.6579889367216601,0.22737875652542439,9.59488,9.59488,0.5412350858791136,0.28022701567296315,0.21162384505231016,0.30703359814733594,0.6813391784835747,0.23609765053376452,0.5147097441480922,2.155876835889881,0.11195720578980486,0.33938879839105374,0.4063438808798009,0.08952161688792437,0.7859942580407288,0.09498069498069497,0.20452799493876814,0.4645920991897583,0.37660319672910486,0.2442330933338847,0.11389601892395189,0.012533699177906005,0.9505213673692197,,0.012533699177906005
5.0,0.6604520681458494,0.27419273994673865,11.264,11.264,0.4559241291901578,0.26965511701694284,0.22476751135335277,0.29173501438463956,0.6608184671919468,0.2220163558285252,0.5185537613323455,2.0218377964112815,0.11195720578980486,0.3567605136484,0.4065508087895757,0.08934130862519755,0.7844111626487186,0.09713135379969803,0.20451875282422052,0.46542173624038696,0.37678793716175074,0.24449199109118633,0.11389601892395189,0.017432547375784632,0.7940218793228269,0.017432547375784632,
6.0,0.6561609341677963,0.2674538105243692,13.24544,13.24544,0.5412350858791136,0.2752351390599632,0.22484776359503583,0.3029348091046278,0.6719914872158979,0.2329301066847556,0.552132628525181,2.1227319803109057,0.11195720578980486,0.35685746093603565,0.4378782185139652,0.10014315779774259,0.8792507301296277,0.1130001278281989,0.20464526644632589,0.4680708944797516,0.37719852970005124,0.24426475606799203,0.11389601892395189,0.010112819622104943,0.804450556403026,,0.010112819622104943
7.0,0.6385079074587716,0.4030645287304263,15.22688,15.22688,0.5412350858791136,0.2855820748066177,0.21727985760229138,0.3097456261195487,0.6820960780950894,0.24211598045958674,0.5320623405348059,2.2149970001132333,0.11195720578980486,0.34647050377115124,0.419364589633681,0.09290318627518669,0.8156842280608415,0.11455631976547526,0.20450951154489178,0.4675135314464569,0.3803815962405034,0.2472319272235605,0.11389601892395189,0.009054662462421712,0.7557019316591322,,0.009054662462421712
8.0,0.6246120352448638,0.5314829678156034,17.20832,17.20832,0.5412350858791136,0.2924250380357078,0.2099457123240918,0.31516530662131004,0.6912158690099937,0.25042434661261964,0.5333671093793542,2.2993623410533823,0.11195720578980486,0.33482882645171036,0.3912531651599711,0.08641338609578589,0.758704183975771,0.1154836990317136,0.2045002711006687,0.4654049575328827,0.3897965814007253,0.2562089022247396,0.11389601892395189,0.00892335009920929,0.7760966189671308,,0.00892335009920929
9.0,0.609370535956381,0.47272621662598474,19.18976,19.18976,0.5412350858791136,0.2997540989032929,0.20380663280768999,0.32207249010465616,0.6983080533157185,0.25878956956052196,0.5418578136241082,2.389867651614055,0.11195720578980486,0.3255841105991167,0.39818341164274884,0.0874695786273467,0.7679774890617549,0.12430632630410655,0.20450951154489178,0.46919044852256775,0.3921184146870447,0.25768561467052414,0.11389601892395189,0.009656439348859807,0.8820031427312642,,0.009656439348859807
10.0,0.6470599627294313,0.48721024023738996,22.84032,22.84032,0.9971592150692714,0.2788192786323883,0.21383044059427334,0.2947863552687015,0.6629250799506226,0.2251747686535507,0.5042354001160159,2.041775169061706,0.11195720578980486,0.3403335627555246,0.40629742280945175,0.08888858428542504,0.7804362709532081,0.12107035928143713,0.20450951154489178,0.4705274999141693,0.3886927195473462,0.2546646684764605,0.11389601892395189,0.009665611565362494,1.4102365120779723,0.013935485269625857,0.007450790816553588
