round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_auroc,fed_auprc,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882641150987241,0.10435327983625817,0.526995,3.65056,0.9971592150692714,0.2700413014526383,0.11341893252769385,0.6219870545355766,0.1950344643916852,1.7334790716199662,0.2573038536671509,0.5123932505512285,0.39581666661713416,0.16390754873480837,0.6145291829719601,0.1952923603683773,1.714654842315196,0.0,0.24263399120755777,0.48605963587760925,0.37219423425984166,0.23939763852414897,0.11389601892395189,0.48773761021457634,10.331731664016843,0.3317663042876352,0.6121413859979039
2.0,0.6860087529554446,0.07332166381710278,1.05399,7.30112,0.9971592150692714,0.2798038599419481,0.11341893252769385,0.6396616023530374,0.2061247329001419,1.8422297431159889,0.24552240498912473,0.5056450956886538,0.3819699174361557,0.19736596726273303,0.5368379869293947,0.1826399994339503,1.6035678960464685,0.016536118363794605,0.2480234922069121,0.48724982142448425,0.37232203018059934,0.2393869888433357,0.11389601892395189,0.0709178379380931,1.462940075667575,0.06262418279713386,0.07750502188020539
3.0,0.6808088523725628,0.09700613680042032,1.580985,10.95168,0.9971592150692714,0.2829014341481213,0.11341893252769385,0.6483401683998884,0.21203854327591568,1.8967192908626804,0.24148600068496578,0.5073348683683053,0.377739103409684,0.21974308451188965,0.6653252474036565,0.22172244345715575,1.9467093367433617,0.05659592176446109,0.28155981493721083,0.4857882559299469,0.37199524087288866,0.23890259307266384,0.11389601892395189,0.04175634568418111,1.0039267399988603,0.032646355263149685,0.04997488052205587
4.0,0.674123632561343,0.11031383165386618,2.10798,14.60224,0.9971592150692714,0.2848738258444177,0.11341893252769385,0.6511184874748205,0.21550537219579424,1.930974029103473,0.23676436714968224,0.5072745393571506,0.37243341973796107,0.23826813826263266,0.6666444206718787,0.22273268922291797,1.9555792320681207,0.07518189167340339,0.28295011936172887,0.4848881959915161,0.3692661347140951,0.2366072417295009,0.11389601892395189,0.028310217298681127,0.7879355548648164,0.021641268223920422,0.03486034560309124
5.0,0.6707844790726323,0.1287046506511606,2.634975,18.2528,0.9971592150692714,0.28651850091407016,0.11341893252769385,0.654490958994319,0.2168940708365612,1.9448320880500738,0.22790608191048525,0.4981931419470999,0.3610766755580182,0.24705309198736203,0.6676457414263777,0.22294502405919703,1.9574435187946027,0.12458532989310726,0.2829696394686907,0.4839351177215576,0.3679234937738596,0.23539148405327293,0.11389601892395189,0.01962036373081767,0.6322092218324542,0.01573599242542771,0.023697054096195443
6.0,0.668486204524428,0.14220903121250664,2.634975,18.2528,0.0,0.29899918766134936,0.11341893252769385,0.6664989154447037,0.22823683216649948,2.0456948507137693,0.2174827790074241,0.5285998644628014,0.3434100699979598,0.2722676658461213,0.6676457414263777,0.22294502405919703,1.9574435187946027,0.12458532989310726,0.2829696394686907,0.4839351177215576,0.3679234937738596,0.23539148405327293,0.11389601892395189,0.0,0.0,,
7.0,0.647906773533593,0.2543906203978342,2.634975,18.2528,0.0,0.30444498342327087,0.11341893252769385,0.6764458629861804,0.23561060415249582,2.1151977212554094,0.2192453698048548,0.5383351383391254,0.34716618735031846,0.28016936970246037,0.6676457414263777,0.22294502405919703,1.9574435187946027,0.12458532989310726,0.2829696394686907,0.4839351177215576,0.3679234937738596,0.23539148405327293,0.11389601892395189,0.0,0.0,,
8.0,0.6326366135191319,0.36560190524108477,2.634975,18.2528,0.0,0.3118932886157707,0.11341893252769385,0.6861344289760886,0.2479671496992258,2.2329355649939204,0.19974546539103616,0.5404393475686555,0.31446742193636457,0.2899285424384484,0.6676457414263777,0.22294502405919703,1.9574435187946027,0.12458532989310726,0.2829696394686907,0.4839351177215576,0.3679234937738596,0.23539148405327293,0.11389601892395189,0.0,0.0,,
9.0,0.6652117005860696,0.15129554877416335,3.16197,21.90336,0.9971592150692714,0.2858087022950933,0.11341893252769385,0.6550502217712211,0.21738444034454293,1.9460144351649722,0.22521497703878854,0.5049237085868343,0.3582875049388841,0.2578879238263461,0.6679232725516534,0.22260759369217975,1.9544809010472468,0.15542622389592606,0.2824991208533583,0.4838850200176239,0.3682964906952175,0.23563867976155467,0.11389601892395189,0.018456432695219738,0.668387378915213,0.01468941199035121,0.02264591610152351
10.0,0.6668850563432765,0.15836622328374447,3.16197,21.90336,0.0,0.2948314697333103,0.11341893252769385,0.6665164027023527,0.22770130063083063,2.040017052246043,0.2234091744254517,0.5257779892218887,0.3536873413615627,0.27333567995487956,0.6679232725516534,0.22260759369217975,1.9544809010472468,0.15542622389592606,0.2824991208533583,0.4838850200176239,0.3682964906952175,0.23563867976155467,0.11389601892395189,0.0,0.0,,
11.0,0.6486946968721946,0.24530115521269963,3.16197,21.90336,0.0,0.30713776114674857,0.11341893252769385,0.6788313846330662,0.23827743192660136,2.1395307966365587,0.21809209273186062,0.5432345472493803,0.34611607409970535,0.28481723374008183,0.6679232725516534,0.22260759369217975,1.9544809010472468,0.15542622389592606,0.2824991208533583,0.4838850200176239,0.3682964906952175,0.23563867976155467,0.11389601892395189,0.0,0.0,,
12.0,0.6364440269606766,0.3721522250769893,3.16197,21.90336,0.0,0.3164892213671212,0.11341893252769385,0.6897899898454749,0.2499066247791988,2.244414947010234,0.22076359814191074,0.5670278444098381,0.35044144081891576,0.28621837994547455,0.6679232725516534,0.22260759369217975,1.9544809010472468,0.15542622389592606,0.2824991208533583,0.4838850200176239,0.3682964906952175,0.23563867976155467,0.11389601892395189,0.0,0.0,,
13.0,0.6602836809303521,0.17144077493709536,3.688965,25.55392,0.9971592150692714,0.2858397099454887,0.11341893252769385,0.6550399490221847,0.21683815672626483,1.9401633384924686,0.21760076564160982,0.4989775824215177,0.3473300097776579,0.2618503561060128,0.6683940777832086,0.2223616169145234,1.9523212401567236,0.16363636363636364,0.2828042328042328,0.4849860668182373,0.3692243899236034,0.23635668281707553,0.11389601892395189,0.015068563347790873,0.6131493158900412,0.010150569490349707,0.020732092179550604
14.0,0.6567860240479828,0.2058839899675508,3.688965,25.55392,0.0,0.29760066865291096,0.11341893252769385,0.6659017777235172,0.22772797254360955,2.039646522437955,0.19710489737920786,0.5306549158438755,0.3109982370001274,0.27756003638104765,0.6683940777832086,0.2223616169145234,1.9523212401567236,0.16363636363636364,0.2828042328042328,0.4849860668182373,0.3692243899236034,0.23635668281707553,0.11389601892395189,0.0,0.0,,
15.0,0.6459419827306561,0.2794396155174671,3.688965,25.55392,0.0,0.3052683985305724,0.11341893252769385,0.6779459044833653,0.23869570167288626,2.1449413526178693,0.21622037027257102,0.5386775680156453,0.34198928984587357,0.2827909346184912,0.6683940777832086,0.2223616169145234,1.9523212401567236,0.16363636363636364,0.2828042328042328,0.4849860668182373,0.3692243899236034,0.23635668281707553,0.11389601892395189,0.0,0.0,,
