round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auprc,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6886728198130656,0.10358984315271427,3.65056,3.65056,0.9971592150692714,1.7599929677669097,0.5108657442239627,0.11398539778449143,0.19783143750652024,0.24940931898279056,0.2671767968469296,0.19762905211252235,0.3872344065588887,0.6196797358825308,0.5861167097004099,0.18993096770110954,1.6675821463779696,0.19047619047619047,0.24614374794880206,0.49328556656837463,0.376944648914425,0.24249027633881087,0.11389601892395189,0.026720486304746733,2.8685362690594047,0.02336803512029796,0.02897894234463662
2.0,0.6822085983731045,0.12397997256509534,7.30112,7.30112,0.9971592150692714,1.8749264857644097,0.5029196599657831,0.11398539778449143,0.23238856532175398,0.22359991748504562,0.2855066511263617,0.20984922977344644,0.3545807259343002,0.6457042288203314,0.6125811943252986,0.20826877921986647,1.8285869970479571,0.2593443307579871,0.28005284015852044,0.490005761384964,0.37634231066678603,0.24137604046576314,0.11389601892395189,0.018118507148507414,2.059216206194833,0.015441525692719926,0.019947023685406722
3.0,0.6725877161193038,0.18616940362772003,10.95168,10.95168,0.9971592150692714,1.9344463968519976,0.5278238607692454,0.11398539778449143,0.2542633752294834,0.23111979532236954,0.29061963100364485,0.21673233953569668,0.3652809825158432,0.6528822380635331,0.6537471859736886,0.22009784921659675,1.932445499816421,0.2788169464428457,0.28186443008387185,0.4945625960826874,0.3782535049901395,0.24217511190050225,0.11389601892395189,0.013021447641005367,1.5943771274760365,0.01219902491601529,0.013599664039224963
4.0,0.6629762731323686,0.20455484825067588,14.60224,14.60224,0.9971592150692714,1.965382375437599,0.5373310414475856,0.11398539778449143,0.2682340108032716,0.21757406237279012,0.2928740105447547,0.22105493985052327,0.3445529889743044,0.6579913268111388,0.6620523880376818,0.22256294032674234,1.954088847261177,0.2790174987959544,0.2826321467098166,0.4983454644680023,0.3762058250433942,0.24032452510796767,0.11389601892395189,0.01023184395338946,1.3343012279365212,0.010013522429595927,0.010392192057172405
5.0,0.6601435323364235,0.2550442086935049,18.2528,18.2528,0.9971592150692714,1.9850548686022735,0.5305145027721815,0.11398539778449143,0.2739486930718776,0.2149851958566628,0.29561154838337933,0.22345365998207767,0.3404311781490273,0.6605783924947757,0.6609017664558074,0.22323908702248577,1.9600253734201367,0.2811232449297972,0.2830274533596238,0.4990306794643402,0.3782229473230986,0.24200980471232034,0.11389601892395189,0.008908776257638034,1.235872897785157,0.009166505546758847,0.008709900303024456
6.0,0.6556306060271255,0.26093714882301594,18.2528,18.2528,0.0,2.1264104143156852,0.5348471956156862,0.11398539778449143,0.2815096556574636,0.21565002443255443,0.3057281424984448,0.23869418663245914,0.34137678861595533,0.6749078893352661,0.6609017664558074,0.22323908702248577,1.9600253734201367,0.2811232449297972,0.2830274533596238,0.4990306794643402,0.3782229473230986,0.24200980471232034,0.11389601892395189,0.0,0.0,,
7.0,0.6445612974340914,0.3208726436066832,19.92192,19.92192,0.4559241291901578,2.067273694113288,0.5361554862111656,0.11398539778449143,0.2750816061858503,0.22217320810403982,0.30187449236772324,0.23250689665957092,0.35108855985196963,0.6660029575459242,0.6620611224560944,0.2247058148550923,1.9729031530516257,0.28161546857944797,0.28242585214696775,0.498325377702713,0.3781467809432454,0.24205579259254698,0.11389601892395189,0.009070916573566394,0.5950323189608753,0.009070916573566394,
8.0,0.6429846008255573,0.3543194566831407,19.92192,19.92192,0.0,2.1812975124751164,0.5394817866396239,0.11398539778449143,0.2920053338437916,0.2007969408078764,0.3115058014224595,0.24428628953505999,0.31686528352153,0.6790380815329716,0.6620611224560944,0.2247058148550923,1.9729031530516257,0.28161546857944797,0.28242585214696775,0.498325377702713,0.3781467809432454,0.24205579259254698,0.11389601892395189,0.0,0.0,,
9.0,0.6499457723224538,0.2722163974382312,23.57248,23.57248,0.9971592150692714,2.0313296414438637,0.5413490320046592,0.11398539778449143,0.27535837926445855,0.22058287906986582,0.2997768932780679,0.22894345853135722,0.3490329849489657,0.6657274003998569,0.6123039894857681,0.21333473636740383,1.8730657873990042,0.2759015455065827,0.28338870431893687,0.5043247938156128,0.38448677196363007,0.2470771837859406,0.11389601892395189,0.009903744791678357,1.5091175633715466,0.007029762442069824,0.012419688560581402
10.0,0.6508343042546144,0.32457200184612295,23.57248,23.57248,0.0,2.195401922122025,0.5523537278404199,0.11398539778449143,0.28574124642262233,0.22008274530641037,0.3120999602852677,0.2465028185211909,0.3498193101656378,0.6797984328091456,0.6123039894857681,0.21333473636740383,1.8730657873990042,0.2759015455065827,0.28338870431893687,0.5043247938156128,0.38448677196363007,0.2470771837859406,0.11389601892395189,0.0,0.0,,
