round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1_best,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17452950563622932,0.04092999495489834,3.65056,3.65056,0.9971592150692714,0.25292590319056163,0.6164274635040644,0.2701896665704365,0.19333767140310193,0.39096555692094026,0.510352086000077,1.6961348132927427,0.23278652404624636,0.11392245720040282,0.41199153574618463,0.09477775051226034,0.8321427860928416,0.16186127962974545,0.2045002711006687,0.4736773371696472,0.38709019033086517,0.2509720517629042,0.11389601892395189,0.022965282059671868,2.4603426239918917,0.018769074409187396,0.025740345985908856
2.0,0.17257020179442267,0.028264474700135135,7.30112,7.30112,0.9971592150692714,0.24844660822887304,0.6447801340832167,0.28774764027669614,0.2138980994595568,0.38685090848303816,0.5202184203348131,1.8892350121288715,0.24961094272002696,0.11392245720040282,0.34820288588196213,0.08182362143464111,0.7184063341957067,0.15654917319408182,0.2045002711006687,0.4871385991573334,0.3910070294294464,0.2543939180916644,0.11389601892395189,0.015462233130395535,1.728478931589052,0.013688528643004398,0.016639105054752246
3.0,0.1692073178729268,0.024746650632212524,10.95168,10.95168,0.9971592150692714,0.2502622955507712,0.6595902890349421,0.2960926741140975,0.22256958512056893,0.390262680334552,0.5253739762180911,1.9680391584581853,0.2564658990848107,0.11392245720040282,0.338164315895,0.08048850643537583,0.706684107098755,0.1410648898493307,0.2045002711006687,0.4445473849773407,0.3889810968668726,0.2529146136893355,0.11389601892395189,0.011819532408545472,1.3912564967758954,0.010903314706207073,0.012442223945096191
4.0,0.16835224077556302,0.03161531081338942,14.60224,14.60224,0.9971592150692714,0.24472048866286072,0.6650844950600703,0.2985898160719314,0.22850637387717898,0.38339160503547604,0.5211347060621325,2.020396529113362,0.2685493381924872,0.11392245720040282,0.3465781334638209,0.08302420258786065,0.7289473624472839,0.12541300527240773,0.2045002711006687,0.39889103174209595,0.38499029317693656,0.24974918402946827,0.11389601892395189,0.009500774797296368,1.1794728677487,0.009089465858639565,0.009789978381638033
5.0,0.16790450341441082,0.038391476525908734,18.2528,18.2528,0.9971592150692714,0.23827374913121982,0.6700322510259834,0.30182485184053404,0.23252992809756654,0.37548421812501676,0.5207827286072607,2.056523106442096,0.27942777514564193,0.11392245720040282,0.39324250425012286,0.09371454735907926,0.8228079281827423,0.13878254211332314,0.20450951154489178,0.4208039343357086,0.3839249392644503,0.24889178133322598,0.11389601892395189,0.008805768552003301,1.1509453170001507,0.008667447854203049,0.008906630644834608
6.0,0.1659692518992225,0.03523239372247638,18.2528,18.2528,0.0,0.23752196140892734,0.6872648409953068,0.31434311780113944,0.24902087331302836,0.3761616788189277,0.5305293704732907,2.2080234904813243,0.2821236954848001,0.11392245720040282,0.39324250425012286,0.09371454735907926,0.8228079281827423,0.13878254211332314,0.20450951154489178,0.4208039343357086,0.3839249392644503,0.24889178133322598,0.11389601892395189,0.0,0.0,,
7.0,0.16476924937355203,0.0880633926336635,18.2528,18.2528,0.0,0.2367395267544471,0.6999516988627315,0.33152741489188803,0.2655188943895937,0.3754989206040613,0.527401563472303,2.3580168663862837,0.29676570511338923,0.11392245720040282,0.39324250425012286,0.09371454735907926,0.8228079281827423,0.13878254211332314,0.20450951154489178,0.4208039343357086,0.3839249392644503,0.24889178133322598,0.11389601892395189,0.0,0.0,,
8.0,0.15642789584332956,0.043016560361521725,18.2528,18.2528,0.0,0.22843787155011205,0.707989888589673,0.3370150604544893,0.27378330071196244,0.36538982774578377,0.5264760284231598,2.4328579358240874,0.310934367996258,0.11392245720040282,0.39324250425012286,0.09371454735907926,0.8228079281827423,0.13878254211332314,0.20450951154489178,0.4208039343357086,0.3839249392644503,0.24889178133322598,0.11389601892395189,0.0,0.0,,
9.0,0.16520957881570408,0.03829265471495327,21.90336,21.90336,0.9971592150692714,0.23495654819833786,0.6745204153797798,0.3097345071459484,0.238008625990831,0.372013677826971,0.5267654960845621,2.105486147577682,0.27926330192484655,0.11392245720040282,0.39459602536776295,0.09603034824784104,0.8431405167195553,0.1228776474706809,0.2045002711006687,0.41493403911590576,0.3818762216332082,0.24732256147013945,0.11389601892395189,0.008100114682414524,1.115949872881174,0.007162070170079268,0.008810937349071249
10.0,0.1636152891766205,0.038695135586543805,21.90336,21.90336,0.0,0.23371339607717287,0.6885032056799283,0.32202301527209587,0.25510080775604577,0.37079804125434207,0.5249477258648005,2.2672142725444693,0.28920264739968843,0.11392245720040282,0.39459602536776295,0.09603034824784104,0.8431405167195553,0.1228776474706809,0.2045002711006687,0.41493403911590576,0.3818762216332082,0.24732256147013945,0.11389601892395189,0.0,0.0,,
