round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auroc,fed_auprc,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883233351617706,0.11308345533636162,3.65056,3.65056,0.9971592150692714,1.5060917161575225,0.24890985216490097,0.49725688517982725,0.2087830452838176,0.11378941406004155,0.5665220564005374,0.1726404644267656,0.24954795591304277,0.3869050899895062,0.3954436278878735,0.08914772459829613,0.7827115068685576,0.2045002711006687,0.20450951154489178,0.5218818187713623,0.4215784894813498,0.2791162009532697,0.11389601892395189,0.027199256889581802,2.9290581953246146,0.023001573218781837,0.02998546070333577
2.0,0.6810520633998202,0.13214796449123856,5.632,5.632,0.5412350858791136,1.8993080732093353,0.23341470239885334,0.5210194159757501,0.2540995128742033,0.11378941406004155,0.6581634469921094,0.2174247618592456,0.2885261399384522,0.3682642225292152,0.35591000617483226,0.08254917283936718,0.7247766306431226,0.2045002711006687,0.20450951154489178,0.5076175332069397,0.4202548230178547,0.27875335845899973,0.11389601892395189,0.023625488902746728,1.612690781475976,,0.023625488902746728
3.0,0.6689572374880768,0.2048841298935454,7.61344,7.61344,0.5412350858791136,2.003384240444986,0.23516398926341112,0.5398360226893938,0.2691084292044368,0.11378941406004155,0.6771314107644453,0.2273361838488331,0.30012285583650883,0.371880194442944,0.37000990503127096,0.0843333563913404,0.7404416518513223,0.2045002711006687,0.20455572629485672,0.5120571851730347,0.4204828094401737,0.2787510601189081,0.11389601892395189,0.016485425870756232,1.2011298995930701,,0.016485425870756232
4.0,0.6549796576439548,0.2961642369494142,9.59488,9.59488,0.5412350858791136,2.083696197770476,0.22693798110287822,0.5319191464765445,0.28257985370927396,0.11378941406004155,0.6881990564030126,0.236132826379975,0.30789171036054647,0.3607452177198248,0.3585543387997574,0.08283015531577376,0.7272436394030529,0.2045002711006687,0.2045649717514124,0.506815493106842,0.4238477450617307,0.28229686413541527,0.11389601892395189,0.01228772789109945,0.9484832831658423,,0.01228772789109945
5.0,0.6635881413778595,0.3506277045195153,11.264,11.264,0.4559241291901578,1.9349572131399209,0.20182830909391414,0.5306972558783934,0.2729281987867673,0.11378941406004155,0.6636508771890419,0.21940761073705972,0.2912423717342779,0.3166928582530699,0.35410245844261606,0.08228232521695218,0.7224337250267887,0.2045002711006687,0.20459271313624447,0.5081874132156372,0.4277578560561669,0.28604862298428274,0.11389601892395189,0.016991959151340694,0.7752014873549342,0.016991959151340694,
6.0,0.6539489669481537,0.2764789866821237,13.24544,13.24544,0.5412350858791136,2.0353366287853136,0.21309336229129583,0.5059773501838024,0.2817987453184628,0.11378941406004155,0.6772018200369239,0.2305057623576356,0.3006576268103221,0.340373741438326,0.3433494105196231,0.08121076446569803,0.7130254879226487,0.20286180039847854,0.2045002711006687,0.474399596452713,0.4212393717407862,0.2803181707959439,0.11389601892395189,0.009751191709076313,0.7845936444355175,,0.009751191709076313
7.0,0.64065493352092,0.3521128831043798,15.22688,15.22688,0.5412350858791136,2.124627497422834,0.22829377761066338,0.5868263465506337,0.28445005022534997,0.11378941406004155,0.6876005683058538,0.24015016322562993,0.3107015062745661,0.3599075433139955,0.35104703087752437,0.08197905174429458,0.719771002698802,0.20434723665777937,0.2045002711006687,0.49719125032424927,0.4198263319133002,0.2787027938938123,0.11389601892395189,0.008605943492044263,0.7223534371005371,,0.008605943492044263
8.0,0.623813355088155,0.4520356933424807,17.20832,17.20832,0.5412350858791136,2.2301944415473156,0.20917085876512778,0.5454329960153705,0.3004003917795418,0.11378941406004155,0.69848096453002,0.25148588449377923,0.3216504449898818,0.33422122818979794,0.34968281762700004,0.0819455189460182,0.7194765868044346,0.20434723665777937,0.2045002711006687,0.49485698342323303,0.4194004729782379,0.27828066754362335,0.11389601892395189,0.009619876542951175,0.8415930123301223,,0.009619876542951175
9.0,0.6117768953848919,0.6385451624419308,19.18976,19.18976,0.5412350858791136,2.3072071699292818,0.2133497462858446,0.5540316451960586,0.303648527879709,0.11378941406004155,0.7059591733099354,0.2602972827865033,0.3264158888853188,0.34146089299756455,0.3551835058640325,0.08238979586256373,0.7233773106466101,0.2045002711006687,0.20455572629485672,0.503484845161438,0.42350593278713916,0.28205496502276617,0.11389601892395189,0.009731310345923786,0.8938563377596438,,0.009731310345923786
10.0,0.643530580146558,0.5628554045842538,22.84032,22.84032,0.9971592150692714,2.002387107368386,0.2232845548185704,0.5125733272448174,0.2766913095745823,0.11378941406004155,0.6682276200972188,0.22640443835539406,0.29731021524238216,0.3544575862018644,0.3492465735855425,0.0820363678585456,0.7202742346360771,0.20367188206565975,0.2045002711006687,0.48167261481285095,0.41668314986784766,0.27590507308715406,0.11389601892395189,0.009755176280439051,1.4169291374273598,0.014394196134039687,0.0073462955800485475
