round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_f1,fed_auroc,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6901482654191761,0.09406149782290091,0.9136,3.65056,0.9971592150692714,0.19362203958029728,0.27006545799440196,0.21499750268088544,0.6198803039855947,0.49609030816102506,1.7383987945318637,0.10978910922253697,0.2433513831597061,0.38342365328155675,0.4169473769863837,0.11266465565201217,0.9891887066503887,0.19671971577359226,0.20473581744917826,0.49597299098968506,0.39463792136447584,0.25685440618795646,0.11389601892395189,0.0271212093496748,2.9186466760002077,0.022986423334692314,0.0298514879567375
2.0,0.6829422597158662,0.11723642173242259,1.4096,5.632,0.5412350858791136,0.21589105404249176,0.300184922443135,0.2589343292500267,0.666097867176313,0.5371491248648159,1.967895502940751,0.10978910922253697,0.24634011655718233,0.390100141613972,0.4531350262276012,0.13157127023089016,1.1551876129993621,0.20466591166477915,0.20472369554376899,0.5001108646392822,0.4011652479099635,0.26175535989514787,0.11389601892395189,0.02309122469751036,1.5852078867610544,,0.02309122469751036
3.0,0.6719938050323062,0.16373527293656448,1.9056,7.61344,0.5412350858791136,0.2251925285643445,0.30430382505603176,0.27195532091044455,0.6816702201855055,0.5404206696474443,2.0818195590225206,0.10978910922253697,0.22711037299513442,0.3636662822841736,0.4598235451709233,0.13613081778894082,1.1952201584836346,0.20416933345524366,0.20468657934097811,0.4987305998802185,0.4026029983265326,0.26289889612793316,0.11389601892395189,0.014946765408502477,1.0938224175479263,,0.014946765408502477
4.0,0.6615327131890028,0.23746154929001145,2.4016,9.59488,0.5412350858791136,0.23197144683962842,0.3141357578466829,0.2779568429573175,0.6918636891644712,0.5618374574116877,2.139830390970342,0.10978910922253697,0.22732262573401865,0.36499289759476683,0.45721709934080734,0.13776607046186556,1.209577575787365,0.1994023620926813,0.20466049523462082,0.497735857963562,0.39929099781079186,0.2602112384740675,0.11389601892395189,0.013396667366802454,1.029041506582871,,0.013396667366802454
5.0,0.6659911853509621,0.23491063839633664,2.8192,11.264,0.4559241291901578,0.21991830010222432,0.2988950281648334,0.2714690347983153,0.6743983178802361,0.5440676619168305,2.0257426711317827,0.10978910922253697,0.2238327659692088,0.357694558541768,0.48807871106488676,0.15136568425852667,1.3289813435849167,0.2014160611142165,0.20471301280021711,0.4973963499069214,0.4004500077360439,0.26093845733016996,0.11389601892395189,0.017012178121073453,0.7763924128375947,0.017012178121073453,
6.0,0.6589523570176476,0.29554959719197765,3.3152,13.24544,0.5412350858791136,0.2260838998443316,0.3097415163298191,0.2803326000487283,0.6835293503288044,0.5296657365599932,2.084666196666131,0.10978910922253697,0.2216124627042098,0.35527049046118825,0.49005496107687146,0.149701588537882,1.3143706861065743,0.20439013351436977,0.20472512494320763,0.5008973479270935,0.4065225451901189,0.2658319241277244,0.11389601892395189,0.010978789568733192,0.8845534806605428,,0.010978789568733192
7.0,0.645346065846973,0.3225253180961395,3.8112,15.22688,0.5412350858791136,0.23598294184333823,0.31789922004141646,0.2896251204443583,0.6967808438190287,0.5198393817063506,2.179114382844248,0.10978910922253697,0.21566683522354838,0.349539645733344,0.5241037821587858,0.1707556623758057,1.4992241518978715,0.20404058871926137,0.2239732569245463,0.5309104919433594,0.40277220857383994,0.26224116404662273,0.11389601892395189,0.009862955328496889,0.8343832436949015,,0.009862955328496889
8.0,0.6260184830193571,0.3613891312283433,4.3072,17.20832,0.5412350858791136,0.24569608390951425,0.325605584432833,0.29354860261866866,0.7035507242321836,0.5588260602906022,2.2756188885915516,0.10978910922253697,0.2136722516928785,0.3445675281651241,0.5210011561056923,0.1694609518786406,1.4878566738297436,0.20467598245376023,0.2222780990696505,0.536872148513794,0.4065816329913169,0.26531337720935466,0.11389601892395189,0.010186914414324457,0.8981848508119583,,0.010186914414324457
9.0,0.6179541525512819,0.5980756887699082,4.8032,19.18976,0.5412350858791136,0.25867348332497125,0.33414048978212163,0.29737204438676446,0.7127901752314014,0.581190667532884,2.419129044643177,0.10978910922253697,0.2114274569335755,0.34073514227746865,0.5452671650271477,0.1809271627155487,1.5885292956231716,0.20447139753801594,0.24435464701687665,0.5341860055923462,0.4052455861775203,0.2637948350716906,0.11389601892395189,0.009993518594993258,0.929216361604631,,0.009993518594993258
10.0,0.6489556185360488,0.4809631812302433,5.7168,22.84032,0.9971592150692714,0.22332449814728692,0.2951928241756795,0.2732978412837082,0.6781959270445284,0.564480301254682,2.065418260751905,0.10978910922253697,0.22205279999477537,0.3550141327789004,0.5118408845978019,0.16612356381471705,1.4585546130952773,0.20405136049691744,0.2056718791412669,0.5345203876495361,0.4023379052379505,0.2621663601739876,0.11389601892395189,0.01014746107972286,1.4847538240719587,0.014180070132164338,0.00809865509716186
