round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_auroc,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6884448339532827,0.08804039244875565,0.4589,3.66096,1.0,0.23022380757389974,0.11022977651872835,0.6642618159390149,0.2664912728320245,0.5048316722119571,0.36862734350761905,0.21159051407942528,1.9293067714224925,0.2897601203150286,0.661726704666072,0.21121938979737132,1.8544931753795717,0.2713898014569347,0.2743012614395251,0.49261388182640076,0.36533317423153605,0.23074941264944154,0.11389601892395189,0.031635410791117445,3.430640103954829,0.029246409600651592,0.033401302624065314,0.013641063016543001
2.0,0.6643171540101935,0.17231925520357222,0.9178,7.32192,1.0,0.23386300545355684,0.11022977651872835,0.6711236894631035,0.2701495632853369,0.5593144108485906,0.3734285580631618,0.21671575580250388,1.9769657651486634,0.296705337104185,0.6645405301862253,0.21635222928578235,1.8995591885458283,0.2737576285963383,0.28195255247795303,0.5200505256652832,0.3703860729832289,0.2347913385778988,0.11389601892395189,0.029294483973529115,3.4171591633948992,0.03259694507945671,0.027334385669420064,0.009216526076127603
3.0,0.6536192588984868,0.35708939664492834,1.3767,10.98288,1.0,0.2179192142416157,0.11022977651872835,0.6733234161911449,0.272473814933632,0.5693108479763527,0.34712944848754335,0.21878760368949643,1.9974229535480177,0.2979321416070737,0.6675406899658449,0.22028038938186223,1.9340481911746445,0.2748414376321353,0.28133971291866033,0.5435431003570557,0.34477885184758283,0.2193407463076158,0.11389601892395189,0.02581176899185609,3.215632065232967,0.031675529850776596,0.022088597992677463,0.009091350417646514
4.0,0.6512951847869293,0.3943098379662552,1.8356,14.64384,1.0,0.22242294460231826,0.11022977651872835,0.6752757294905932,0.2779957708793046,0.5595319564645681,0.35609787131654114,0.22059740847102938,2.01535201624538,0.29670227291170737,0.6691505336353167,0.2222220445163925,1.95109580313575,0.27980702963473464,0.2839237057220709,0.5320807695388794,0.3533538247013951,0.2234178093174663,0.11389601892395189,0.026451229738522482,3.329272871596004,0.03638620017447153,0.02056695014423489,0.009239116233327425
5.0,0.6441919914835684,0.29009887509601506,2.2945,18.3048,1.0,0.21821543675893135,0.11022977651872835,0.6763604842086742,0.27529929420876287,0.558987819413025,0.34900701507611737,0.22227016303697877,2.0296795397110885,0.2955880459417317,0.6689693572005164,0.2224274750504821,1.9528994705161418,0.2793061540161308,0.2827102803738318,0.5497503280639648,0.3464918074424137,0.21962495685999717,0.11389601892395189,0.02452344916126029,3.366958435810375,0.03117068100891258,0.02010501740437436,0.007432814317245992
6.0,0.6486016456283357,0.4042757428314335,2.7534,21.96576,1.0,0.22328511213112875,0.11022977651872835,0.6759098405712681,0.27981110945254134,0.5541847314442858,0.3563058069049092,0.22267993403462552,2.0318470007174367,0.296376838305751,0.668658632775383,0.22301843633930196,1.9580880740722892,0.2767787333854574,0.279917671273155,0.5486662983894348,0.3535585917989551,0.2245279700180525,0.11389601892395189,0.02150524724286137,3.15393331260384,0.020713095073340126,0.02218502358521179,0.008548742867285483
7.0,0.6442275341509237,0.30809737441981927,3.2123,25.62672,1.0,0.21150999391050013,0.11022977651872835,0.6774915923056344,0.2812608225239356,0.5247728157820175,0.3408343944040754,0.22440656254942762,2.046856969322844,0.2976857966797013,0.6697240686788324,0.22367659320238847,1.9638666506134583,0.27547931382441976,0.28169435713216584,0.529630184173584,0.3377226785637542,0.21272487489499575,0.11389601892395189,0.022250577524328873,3.562830565866534,0.022927155279395723,0.021808477389523073,0.009810313353727946
8.0,0.6434260734175853,0.3362077725396261,3.6712,29.28768,1.0,0.21025292418323677,0.11022977651872835,0.6798593574560337,0.2843745602985339,0.5398527292436799,0.3364172571094524,0.2271701322855151,2.071242880118841,0.30051143572222044,0.6699417514687502,0.22299173592592117,1.9578536460946212,0.27978762810223484,0.2810721062618595,0.4917958974838257,0.33340223740665004,0.2118085728783955,0.11389601892395189,0.0199304950964213,3.4683707824533485,0.020634446607969786,0.019388947085130837,0.012937296750493576
9.0,0.6407309370827917,0.3799429555623557,4.1301,32.94864,1.0,0.2139695781168002,0.11022977651872835,0.6810460877307503,0.28046119850384926,0.5428033662491487,0.3418345780390631,0.22908226115430183,2.0889779827503645,0.3022371290249795,0.6705573020766983,0.2241741570818065,1.9682352306930682,0.2797265493668049,0.28251434971300576,0.539985179901123,0.33908915778716614,0.21559753939514292,0.11389601892395189,0.021934208142276503,4.070183267642278,0.01985962399374978,0.02387232485973635,0.009580761587758741
10.0,0.6440308009751798,0.40513044568534645,4.589,36.6096,1.0,0.2193837520383091,0.11022977651872835,0.6823805563149252,0.27927903756398886,0.5502558549151392,0.3512878979156705,0.2310501305103659,2.1085709143484626,0.3012669653239758,0.668863615520138,0.22308139506200383,1.958640847762684,0.2762961382547472,0.2813129858911604,0.5517235994338989,0.3484874908105075,0.2212723882388556,0.11389601892395189,0.01952096426034449,3.9486656346925884,0.01779301469169096,0.021245491613038202,0.009468585746361577
