round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_brier,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.434088177819977,320.93316074510597,3.66096,3.66096,1.0,0.28879639396397505,0.6561600845552539,0.23641514769438582,1.834492185411748,0.3726679148773352,0.1138595166163142,0.5007048236301839,0.27149186829659583,0.20703050367751932,0.6485015653433135,0.20623610402832412,1.8107402346172214,0.26196185908416125,0.26446474584211765,0.5022010207176208,0.372674506972292,0.23683104828708496,0.11389601892395189,0.021337149155410486,2.312925904896474,0.01833932327374487,0.023464674867249572,0.011783743298016524
2.0,10.16855527367387,423.16781111800583,7.32192,7.32192,1.0,0.2930027682252248,0.6648061427661676,0.2426119568784289,1.9162611733847583,0.3813415095360137,0.1138595166163142,0.5459592521850917,0.27782606700933427,0.21593273963543186,0.6556257008555061,0.21113290831855283,1.8537338733457032,0.2650498051104374,0.2700502753172133,0.5220664739608765,0.38166291596929214,0.24354486298076797,0.11389601892395189,0.013894951460927325,1.5826607557137322,0.01345891257157782,0.014268222056440617,0.005564631071128623
3.0,9.561882728174007,507.61723743086134,10.98288,10.98288,1.0,0.2956753167825332,0.6670964337324615,0.2419564773291462,1.9606168933267547,0.3805810259683254,0.1138595166163142,0.5308279671180104,0.2771510230543349,0.2213929030495656,0.658545130012069,0.21422182444209395,1.8808543658152739,0.27034662610018473,0.27125860989355044,0.540468692779541,0.3805529355276837,0.24279504529118381,0.11389601892395189,0.010300220971178404,1.2324478073387581,0.009601951042193402,0.01084859377275808,0.0034815818096221207
4.0,9.4990051649102,531.1870590467701,14.64384,14.64384,1.0,0.29990060680256064,0.6702846323757974,0.2411265145968707,2.0250982003970037,0.3792787654135913,0.1138595166163142,0.5633579347308908,0.28030409535477246,0.22889836044747058,0.6600621453870048,0.2175829141004657,1.9103645250827013,0.2715187021180712,0.27463175122749595,0.5999174118041992,0.3793062344009716,0.2419223310042918,0.11389601892395189,0.008398807486010657,1.0529804198122292,0.00807471549174943,0.00867912946310986,0.002962775013721432
5.0,9.385014817460611,531.287405415798,18.3048,18.3048,1.0,0.30412157970796616,0.6711463757330345,0.24110825169439706,2.041013726541232,0.3791697727964604,0.1138595166163142,0.5693862523568451,0.28108491300759675,0.2309723539340773,0.6606703294667803,0.21771116092527554,1.9114905242705698,0.27171592313743115,0.2755867408661989,0.5275255441665649,0.37937938349555006,0.24204990744625943,0.11389601892395189,0.007018905983968775,0.9182506316774379,0.007302552497612636,0.006850301593318299,0.0031511278248842443
6.0,9.373177384026093,526.2698501910875,21.96576,21.96576,1.0,0.3048669306438147,0.6737467060879795,0.24376556787217799,2.0577491157065912,0.38251215713389397,0.1138595166163142,0.5819901905856344,0.27992525584564976,0.23294460609892276,0.6622591402551323,0.21808398973432275,1.9147639381490316,0.27042194969860733,0.27725267800882164,0.6048337817192078,0.3826879672857997,0.24481165765628285,0.11389601892395189,0.006753732294188916,0.9204247570160078,0.006869228066867117,0.006706898489719811,0.002621704556234524
7.0,9.286400356861122,606.2019353714384,25.62672,25.62672,1.0,0.30272862599149375,0.6736978573863482,0.23995209575586177,2.0612804769310515,0.3774618535205977,0.1138595166163142,0.5808927787323402,0.281758171254748,0.23347245415357193,0.6606619966308236,0.21759868502317598,1.9105029928084327,0.27291508100467543,0.27831123304374333,0.6064607501029968,0.37755487730929177,0.2410795273219113,0.11389601892395189,0.006881099221269347,0.9791649976450572,0.006964176048797594,0.0068646049103239775,0.0017795606385245795
8.0,9.37336273885454,582.0683224157327,29.28768,29.28768,1.0,0.3038415888976474,0.6756271960674568,0.24781980715872942,2.0650459927474802,0.3875999596787753,0.1138595166163142,0.5860184217687818,0.2779889844685071,0.2341855961910826,0.6623120738425804,0.2178409209690727,1.9126298094275322,0.26986951364175565,0.2782165605095542,0.5942524075508118,0.38797648828008874,0.2491465994809798,0.11389601892395189,0.006353777089884976,0.9477109232775547,0.006236223224713822,0.006483138149774575,0.0021344419943692926
9.0,9.303339487259613,635.07136685337,32.94864,32.94864,1.0,0.3059452069404527,0.6749841548500145,0.23475624599156317,2.0616704338192253,0.37086657578198756,0.1138595166163142,0.5323784415650464,0.289168344834964,0.2337233666414439,0.6616791798923247,0.2174379367901243,1.9090916332668932,0.27526514689747655,0.2787610619469026,0.5377222299575806,0.3711077754072985,0.23611205396110094,0.11389601892395189,0.006767382745648682,1.0521744196676082,0.006212313500523106,0.00724936914629957,0.002123907562882375
10.0,9.281781349440946,742.0826342338742,36.6096,36.6096,1.0,0.30688356639476183,0.6777323203005877,0.2358614644563164,2.0986014231028642,0.3725659635071788,0.1138595166163142,0.553429354685626,0.28919264660486815,0.23763141448924577,0.6631026767528786,0.2167253027160159,1.9028347501831726,0.27206979680863275,0.2793329362715902,0.6001272201538086,0.37292576417408674,0.23761126828524154,0.11389601892395189,0.005788469046427417,0.9422558445021423,0.005705458787044538,0.005884476684661328,0.0023012351289259615
11.0,9.332819646316645,729.9672525374825,40.27056,40.27056,1.0,0.3096725475621959,0.6772372137400033,0.23614445324154548,2.0806211388876665,0.37261197438758065,0.1138595166163142,0.5656970122909739,0.28630345994442363,0.23611815730599878,0.6619615300070694,0.2166234525497582,1.9019405120243684,0.2720556279878314,0.27801814375436146,0.5917071104049683,0.3731052272527626,0.23790383972187992,0.11389601892395189,0.005829343506169817,0.9875445613288321,0.005549232506698802,0.006089235260945142,0.0024104522886114962
12.0,9.29902776364009,624.9634967005744,43.93152,43.93152,1.0,0.30917818895926613,0.6790483419865785,0.23703745505377827,2.104245692568896,0.3741893390791954,0.1138595166163142,0.5600176516109994,0.29135869916065277,0.2383818110382368,0.6624227976553005,0.21749962271251283,1.9096332318492786,0.27468208092485547,0.2768745450133463,0.5328158140182495,0.3745103583697542,0.2389408747650835,0.11389601892395189,0.005749681752736445,1.0167809328377189,0.004763725461204453,0.006610246599687698,0.002369291947744144
13.0,9.350770381382429,721.5731602381499,47.59248,47.59248,1.0,0.30995595248188695,0.6803549828017719,0.23704265154194284,2.12323684081541,0.3743494893428903,0.1138595166163142,0.5593420655446921,0.2899349272064421,0.2404855961547459,0.660928208150628,0.21716101957856299,1.9066603172808076,0.27369126018528855,0.2787975525405693,0.5794270634651184,0.3743721716635792,0.2387099274037361,0.11389601892395189,0.006632468513566068,1.2231484113226543,0.005160536357666793,0.007929828581937925,0.0021457449183960916
14.0,9.340655528548458,698.3720482295009,51.25344,51.25344,1.0,0.31165937887515266,0.6808633555001774,0.236303116423265,2.1324666863727244,0.3733601567165669,0.1138595166163142,0.5632329727283868,0.2883721333519183,0.24132876551008473,0.662898359129066,0.21617417455234028,1.897995879001524,0.2701845770580908,0.27848101265822783,0.5966546535491943,0.37326381541179227,0.2378961859821152,0.11389601892395189,0.005848322734283352,1.1239839422732985,0.004726679812353204,0.006849847595344611,0.0024645929148533526
15.0,9.322667539516768,831.0873187384616,54.9144,54.9144,1.0,0.31521164002356605,0.6822299268851781,0.24131206175533185,2.1538240883612745,0.3799131225141784,0.1138595166163142,0.591795792596833,0.28920268028642354,0.24362461314887723,0.6609134499953793,0.21593391540918822,1.8958864185882283,0.2695604991861096,0.27624797526137534,0.6091063618659973,0.3798027494136218,0.24304225864538914,0.11389601892395189,0.006011170321845235,1.2004932826293953,0.004832999903867865,0.007081136063974203,0.0025264236041472416
