round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_ece,fed_auroc,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6884968008721201,0.11800694141329977,3.66096,3.66096,1.0,0.21276611225236267,0.25890616590292387,0.3710231117156079,0.6465973713721281,0.5016723259443902,0.23458971855556293,0.28134048701467484,0.11344035253383694,1.8774879224090852,0.6541509520340377,0.2078836376615235,1.825205477992404,0.27007136485280997,0.2758117475373951,0.5052897930145264,0.37060440089719526,0.23479894562742282,0.11389601892395189,0.02498327583069291,2.7208288207666556,0.02232983135079712,0.026871720666575855,0.011086938310381848
2.0,0.6636456386619727,0.20593916850542757,7.32192,7.32192,1.0,0.2183381914146604,0.2606308561959923,0.3477228427537402,0.6520945993830928,0.508917581708618,0.21957455959277838,0.2828646457978901,0.11344035253383694,1.9257254775586659,0.660485701932751,0.21391949401282812,1.8781999233499256,0.27717452143736704,0.28161278242416676,0.5170548558235168,0.3478352082151251,0.21991071906916337,0.11389601892395189,0.015494145475599498,1.8085810398006288,0.015615354543403565,0.015510841527697371,0.005229682294156194
3.0,0.6477022862080817,0.3629604385495002,10.98288,10.98288,1.0,0.2235266918620363,0.2612906308559974,0.3442389263928894,0.6558776022438818,0.5090301688696026,0.21823367413790143,0.2851061177211446,0.11344035253383694,1.9715805542831262,0.6602967197389673,0.2177279978417251,1.911638351355385,0.27405123843946,0.2787682333873582,0.547458291053772,0.3440069841060013,0.21864038037513045,0.11389601892395189,0.012080723098224428,1.5064335086817664,0.013009457030566048,0.011508472089868505,0.005246405021227354
4.0,0.6440989372300547,0.3230496325903704,14.64384,14.64384,1.0,0.22755543707310796,0.266611556738671,0.3402260054835066,0.659138561570058,0.5176648624839368,0.21583933726311824,0.28861537387654446,0.11344035253383694,2.004705524645069,0.662574181691665,0.2206030249516962,1.936880911518008,0.27891866805893956,0.28212109425645016,0.5166183710098267,0.34012973114470896,0.2164196510612271,0.11389601892395189,0.010337624930074148,1.3728171165193999,0.011070070116515666,0.009869254927711369,0.004446365164985716
5.0,0.640589901768277,0.3346882511484479,18.3048,18.3048,1.0,0.23060307639387806,0.2653963862288898,0.3583427901083394,0.6610837713092016,0.5377769910017198,0.2276821553407648,0.29009597938839077,0.11344035253383694,2.0295238208965203,0.6626046894088501,0.22237396240110774,1.952429632765183,0.27760185771585394,0.28080808080808084,0.5324437022209167,0.35791945412460274,0.22807609641457072,0.11389601892395189,0.008988941428145582,1.267860198242488,0.00955123984428757,0.008612070303609526,0.004305702511037343
6.0,0.6437155470317457,0.44123655235002246,21.96576,21.96576,1.0,0.2328292731226474,0.2705054663688157,0.3424029469114825,0.6634027774984179,0.531063896044268,0.21638746080737611,0.2923465398341014,0.11344035253383694,2.0452929875537893,0.6654245135669362,0.22387892762329886,1.965643134311677,0.28451882845188287,0.2863280262825373,0.5097930431365967,0.3419500462573238,0.2169379081835945,0.11389601892395189,0.008178173152061478,1.219758771861052,0.007981978896107063,0.008353971246906063,0.004704980497079564
7.0,0.6436203714856202,0.3731095841079621,25.62672,25.62672,1.0,0.2366473000022224,0.2737500523836872,0.3474840029253312,0.6666377436105155,0.5282327706272736,0.21800904463294088,0.2941437053511137,0.11344035253383694,2.075191479279126,0.6656849272400358,0.22623714030037906,1.9863480957261297,0.2851264673847271,0.28669183577159035,0.49733564257621765,0.3472288880875764,0.21870866527277352,0.11389601892395189,0.007970195806502958,1.2592702619549527,0.007776245693581785,0.00815102927539283,0.004070308621061086
8.0,0.6410417196245844,0.35821967978105357,29.28768,29.28768,1.0,0.23820232794238372,0.27608789345080165,0.3503658228853719,0.668322162916432,0.5173795314885026,0.2205183790074103,0.29715984349819236,0.11344035253383694,2.0939395451382956,0.6648898567249173,0.22555285650982532,1.9803401263781348,0.28527205619716633,0.2870801667075264,0.5046491026878357,0.3500480532917669,0.22145107162520308,0.11389601892395189,0.008424510839865887,1.4152621609564449,0.007348326229220512,0.009337151475912723,0.004686966086811678
9.0,0.6455597444999822,0.3964379784914972,32.94864,32.94864,1.0,0.2409638337503757,0.27784655935024904,0.3387482776951782,0.6707236022380473,0.5213194308807761,0.21323370238037184,0.29928353322144524,0.11344035253383694,2.116942395355558,0.6644593101345506,0.2268562320619418,1.991783683092674,0.27991401958442796,0.2819124943617501,0.49233517050743103,0.33846199279165906,0.21439392880777236,0.11389601892395189,0.008140645563133292,1.4569982674529456,0.006917688970383318,0.009202334441853567,0.005055756363855112
10.0,0.6392666404054286,0.4428049805195572,36.6096,36.6096,1.0,0.24333534169536242,0.2808866298786676,0.3133661808778476,0.6714058147169293,0.5129949190480025,0.1982841232919807,0.2968316217838702,0.11344035253383694,2.136465554507895,0.6636580652891753,0.22803578186108148,2.00214005735653,0.2795014584990719,0.2815227014038194,0.4922339916229248,0.3127069556224573,0.19951934970746438,0.11389601892395189,0.007808113705863459,1.4881424007216992,0.0063977823500559715,0.009065423416407098,0.0054114296604411425
11.0,0.6412885029721496,0.49261108881199994,40.27056,40.27056,1.0,0.2474203572925797,0.279477831706861,0.33457719892976345,0.6761718734519468,0.5646362252305955,0.21026414253007525,0.3039334939901867,0.11344035253383694,2.169958454570473,0.6649360136084247,0.2285418536005513,2.0065833359210576,0.28161764705882353,0.2819350887936314,0.499872624874115,0.334105913273023,0.21180735867883926,0.11389601892395189,0.007349834095877481,1.4875759577316785,0.005874122559730919,0.008697369392266051,0.004995318508115076
12.0,0.6407744097173044,0.4965903617949164,43.93152,43.93152,1.0,0.24756568293472525,0.27873605159602366,0.3447420767424314,0.6768505799500579,0.5680102782238945,0.21750130566574039,0.30278534730976087,0.11344035253383694,2.1723082501552042,0.6628527795203388,0.22748937390237947,1.9973426292825354,0.28024485253199777,0.2818193400433176,0.5239753723144531,0.34416392422652675,0.21919612854441012,0.11389601892395189,0.00749775550893007,1.6109292585997537,0.005720741120812313,0.009155477156908726,0.004845614046497118
13.0,0.6369595768928302,0.5721602970119822,47.59248,47.59248,1.0,0.25237473633061563,0.2806474886648086,0.34166198247796825,0.6783238526860624,0.5732979362570794,0.21644270436414909,0.3045632628834437,0.11344035253383694,2.2128508901679926,0.6623638026826613,0.22921988629104073,2.0125364209972108,0.27905412977698085,0.28332736603413294,0.5142720937728882,0.3411535682329457,0.21843126294440798,0.11389601892395189,0.007505002051522168,1.7115247243946214,0.005237055643854708,0.009658562925460655,0.005231143432136631
14.0,0.6354895762518015,0.6370264293186878,51.25344,51.25344,1.0,0.2553172512330927,0.28129582763740224,0.34210550603314627,0.6823115131694983,0.5725739369123735,0.21624329984657767,0.30831242646165835,0.11344035253383694,2.237929800304045,0.6626415596980683,0.2285379342982411,2.0065489246892407,0.2800846042524769,0.2833333333333333,0.5076289772987366,0.3414594185484171,0.21859708311394793,0.11389601892395189,0.007184757276768008,1.7364127734299473,0.005169692563874515,0.009125512302624835,0.0041741670582675595
