round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689956137166089,0.09603540565090954,0.08724,3.65056,0.9971592150692714,0.05422338791898067,1.536030596227874,0.24928797658321852,0.4869580658878299,0.5809060669700882,0.1122718691000629,0.24121276855133045,0.3749953517229621,0.17441292421716445,0.3713918130087516,0.08422607318965196,0.7394997119775496,0.0,0.20451875282422052,0.46769222617149353,0.3553596209646369,0.2272682250508189,0.11389601892395189,0.9958919467058793,8.628070169128478,0.6420396046435901,1.319915560038527
2.0,0.6900892098339252,0.07128087582661427,0.17448,7.30112,0.9971592150692714,0.07325424153843645,1.6635525117592929,0.26514026609580404,0.48910253515702645,0.5985208197331345,0.1122718691000629,0.2413783913938754,0.3761955308794149,0.187560534438569,0.3535165747385861,0.08184480183357294,0.7185922967880074,0.0,0.20455059483421542,0.46762222051620483,0.3564312310729151,0.2281626571122559,0.11389601892395189,0.1073522390161191,0.9953604997790535,0.0995015963665379,0.11311933831967631
3.0,0.6852001949310326,0.08783242081192837,0.26172,10.95168,0.9971592150692714,0.12855749222726126,1.723917127575936,0.26981055320150943,0.4882281972917089,0.6116178979044606,0.1122718691000629,0.23872586382080666,0.37343137498881696,0.19277170122150086,0.3420948041806139,0.08063714474554862,0.7079891422665954,0.0,0.2045002711006687,0.4547104239463806,0.35713657587084174,0.22892670704244944,0.11389601892395189,0.13089693290210797,1.2679482241219375,0.0876354046644381,0.17194799210553127
4.0,0.682961835494673,0.09105845766582886,0.34896,14.60224,0.9971592150692714,0.17668451190077747,1.8259247193930601,0.27910904371018974,0.49392392299998994,0.6381692809013293,0.1122718691000629,0.2408523286568354,0.3768853455313051,0.20406289831677663,0.342315636882919,0.08069951021833638,0.7085367072594456,0.0,0.2045002711006687,0.4513985514640808,0.35741635124926613,0.229299521675,0.11389601892395189,0.09470672069938806,1.088113452133257,0.05848872624487501,0.13307329178181476
5.0,0.6787031845520477,0.09742355763116907,0.4362,18.2528,0.9971592150692714,0.19315997581477412,1.9145214519953428,0.28771980242672524,0.4910800287977114,0.6461442804039593,0.1122718691000629,0.237531986709747,0.37259235825645165,0.21209063846840884,0.34304497336981243,0.08081695478442386,0.7095678632840113,0.0,0.2045002711006687,0.45897844433784485,0.35904393171986915,0.23036913062079759,0.11389601892395189,0.07213146248535528,0.9684740484226495,0.037682868530961415,0.11494024883381423
6.0,0.6759117498066407,0.11358598921932661,0.4362,18.2528,0.0,0.26303753024831406,2.027991269662516,0.2940749374086854,0.5412224863031662,0.6629077508898051,0.1122718691000629,0.22480861432746818,0.3525889937423023,0.22624165394716683,0.34304497336981243,0.08081695478442386,0.7095678632840113,0.0,0.2045002711006687,0.45897844433784485,0.35904393171986915,0.23036913062079759,0.11389601892395189,0.0,0.0,,
7.0,0.6548540246515282,0.24977995482912277,0.4362,18.2528,0.0,0.28146782723173136,2.0824308541542664,0.30548758845719853,0.5261151716328777,0.6730444343294246,0.1122718691000629,0.21437029521289624,0.34008361545090704,0.23193145511389401,0.34304497336981243,0.08081695478442386,0.7095678632840113,0.0,0.2045002711006687,0.45897844433784485,0.35904393171986915,0.23036913062079759,0.11389601892395189,0.0,0.0,,
8.0,0.6303998815260866,0.4328764201285285,0.4362,18.2528,0.0,0.28500981499924744,2.1669036615217983,0.31044590932977373,0.5428190471504827,0.6818944305370852,0.1122718691000629,0.20823554214304918,0.32897006494723974,0.2400233366965191,0.34304497336981243,0.08081695478442386,0.7095678632840113,0.0,0.2045002711006687,0.45897844433784485,0.35904393171986915,0.23036913062079759,0.11389601892395189,0.0,0.0,,
9.0,0.679675942844666,0.097399995960849,0.52344,21.90336,0.9971592150692714,0.23334065405499127,1.912792497185014,0.28562623025453265,0.4912343322142929,0.6492615837583775,0.1122718691000629,0.23476406189312338,0.36974712311096203,0.2133460307694631,0.3423627851731139,0.08076051869915121,0.7090723579467235,0.0,0.2045002711006687,0.4589264392852783,0.36001564097564076,0.23115318469590607,0.11389601892395189,0.052969445479426835,0.819290745712351,0.024701788458252723,0.093454031565311
10.0,0.6743560990210058,0.12863556463991574,0.52344,21.90336,0.0,0.26709128276533617,2.004252602421014,0.2944394183024942,0.5356747183374371,0.6617587710139031,0.1122718691000629,0.22626236513889778,0.3568763841438247,0.22314761778985923,0.3423627851731139,0.08076051869915121,0.7090723579467235,0.0,0.2045002711006687,0.4589264392852783,0.36001564097564076,0.23115318469590607,0.11389601892395189,0.0,0.0,,
11.0,0.6567303744748021,0.20554154916347622,0.52344,21.90336,0.0,0.27712767899488044,2.027377326104064,0.29441358301156934,0.5427961615888932,0.6645452687184022,0.1122718691000629,0.20435046305693186,0.3187378697556808,0.22494312301467037,0.3423627851731139,0.08076051869915121,0.7090723579467235,0.0,0.2045002711006687,0.4589264392852783,0.36001564097564076,0.23115318469590607,0.11389601892395189,0.0,0.0,,
12.0,0.6376524564951895,0.37398644357806615,0.52344,21.90336,0.0,0.28925928812927565,2.161963980570934,0.30815982708909917,0.5533710834607153,0.6801090683522473,0.1122718691000629,0.2176930134058791,0.34380201776931024,0.23912342906102763,0.3423627851731139,0.08076051869915121,0.7090723579467235,0.0,0.2045002711006687,0.4589264392852783,0.36001564097564076,0.23115318469590607,0.11389601892395189,0.0,0.0,,
