round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_ece,fed_brier,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6894918857134346,0.08949452784488629,3.66096,3.66096,1.0,0.21034812148579568,0.28076047703990253,1.8573165509486185,0.508901249259065,0.36856453662620037,0.23376119953398322,0.11448892245720041,0.6448586459062428,0.26144111422936767,0.6587216631497246,0.21515531928928447,1.889050392823152,0.2758375754705813,0.2788867842051581,0.511946439743042,0.3676893668596767,0.23247789775005073,0.11389601892395189,0.025348192347372088,2.7449510685873975,0.022249926798452776,0.027599239733043027,0.010168715423820227
2.0,0.6643255535615792,0.1826900524753894,7.32192,7.32192,1.0,0.21547303447821745,0.28812014888689214,1.9053577136455282,0.5129053024734556,0.3252675538856353,0.20419243090073766,0.11448892245720041,0.6525652033519815,0.2676865466815472,0.662802707207888,0.22080745746621103,1.9386758163482751,0.2781359906213365,0.2810900082576383,0.5188442468643188,0.32372300224753225,0.20232374049023036,0.11389601892395189,0.015729314171520927,1.8284752161443976,0.01569054832265756,0.015855178009379016,0.006283746057061332
3.0,0.6566773874334152,0.29649878646321315,10.98288,10.98288,1.0,0.2195198562018398,0.29301185838545,1.9345533328342748,0.5299878155405578,0.3496678549438069,0.22115169677529015,0.11448892245720041,0.6562617326131484,0.26874312748096246,0.6657038518132627,0.22338429397032353,1.9613002814389562,0.2810054541142993,0.2825653963617049,0.5191523432731628,0.3481340803537079,0.219239663367779,0.11389601892395189,0.011584973855972732,1.4384912172590703,0.012042741018759639,0.011342925678323847,0.003942488977073524
4.0,0.6509206732629716,0.29816226187738,14.64384,14.64384,1.0,0.2226301767991622,0.2948650405013333,1.960861170729998,0.5391695244239655,0.34309130700442036,0.21703879174915247,0.11448892245720041,0.6579214062028161,0.27093376950893405,0.6664713637323556,0.22407264231365007,1.9673439373088435,0.27769110764430577,0.281455501972819,0.5351365804672241,0.3412021271289339,0.21519299456176927,0.11389601892395189,0.009962451370873376,1.3142783139655876,0.01040150956014971,0.009703767813369013,0.003838947716169252
5.0,0.6493774881123102,0.3367858042865938,18.3048,18.3048,1.0,0.2243406740130301,0.29504414711167504,1.9708407371624213,0.5463852373412308,0.33200863301885297,0.20974492485110352,0.11448892245720041,0.6609108547948441,0.27271758688622005,0.6675588113741604,0.22517412328847028,1.9770148721248855,0.2829447209850668,0.2849788007268323,0.530479371547699,0.3303828035906461,0.20807127187114038,0.11389601892395189,0.008450208926517636,1.182618642316811,0.008358672286059212,0.008551469496383458,0.004821991854052432
6.0,0.6495666265379705,0.3311354236264191,21.96576,21.96576,1.0,0.2263487865889758,0.29333410869770005,1.9875293523763713,0.54451504381034,0.3439880651023242,0.21762675695221714,0.11448892245720041,0.6643536322486624,0.2742299058608903,0.6683104105884443,0.22475161295820786,1.9733052575636907,0.2786081270434376,0.2848484848484848,0.5326023697853088,0.3424152532928309,0.21620755724875668,0.11389601892395189,0.008887761988863188,1.3114829156656924,0.00813698453800811,0.00951708142061697,0.003826283757363418
7.0,0.6448802356402824,0.34116183986839654,25.62672,25.62672,1.0,0.22813193779880384,0.2945191460303515,2.0019825319463402,0.542200837106128,0.34875993110232,0.22016032556271709,0.11448892245720041,0.6657872185874323,0.2780567784701217,0.6671486074450677,0.22441268069995193,1.9703294533041735,0.28064243448858833,0.28343815513626835,0.5249127149581909,0.3475070401138961,0.2191049396709115,0.11389601892395189,0.008399294341198326,1.3173475853527634,0.007677431930353944,0.009017899975829633,0.00392759801890461
8.0,0.6466747011018361,0.31298091073986917,29.28768,29.28768,1.0,0.23029530273401852,0.2993082840599654,2.0209368684089495,0.5444314825964748,0.3318647752419368,0.2110595874074277,0.11448892245720041,0.6669809765934178,0.2758047338722614,0.6675037945777231,0.2242226170930479,1.9686607065937995,0.2801650886137412,0.28293121534542187,0.5448104739189148,0.33014965038098804,0.20987056529504206,0.11389601892395189,0.008204000800995485,1.3692979373990966,0.006934583177868225,0.009299906777755907,0.003913191757344784
9.0,0.6461032373010048,0.4473084608904572,32.94864,32.94864,1.0,0.232853442148822,0.2997016878212992,2.039767004088154,0.5407520432816771,0.34406816400118617,0.21762259715967275,0.11448892245720041,0.6706998379256636,0.27863793660072256,0.6670260745982581,0.22491396362831112,1.9747306864034084,0.2782962431203637,0.2829884045207691,0.5383669137954712,0.3424841891296425,0.2167977703555114,0.11389601892395189,0.008708854297201498,1.5437651746306074,0.0070354499565007935,0.010190364807048663,0.003700409542809767
10.0,0.6478886683845438,0.37233250812316543,36.6096,36.6096,1.0,0.23616218585281964,0.3042642005476803,2.0678754073673344,0.5647980310585563,0.3496477194167936,0.2212599385723846,0.11448892245720041,0.6729400902230364,0.2784481482060127,0.6677177125321185,0.2224371886579024,1.952984755388362,0.27820423354268436,0.28258992805755395,0.5415467619895935,0.3483712883703938,0.2209060398725001,0.11389601892395189,0.008040319651978798,1.5172762310485268,0.006352625869068699,0.009564089339013624,0.003915551933450094
