round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_prevalence,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6871116731768623,0.09564447465713216,7.32192,3.66096,1.0,0.3407076577895688,0.279074499498938,0.21261289013962978,0.20908739039063134,0.4720455886058794,1.8615299866330566,0.2566861863728928,0.11271239773442412,0.6468020376413045,0.6494039462202783,0.19865040936757133,1.7441383047831527,0.25877391173369485,0.27067481601596605,0.48278284072875977,0.339252602184681,0.21279327337459525,0.11389601892395189,0.024539341638593705,2.63891836424591,0.02167059147239419,0.026627964992808742,0.008861536573742659
2.0,0.6607749425497592,0.21741828689471152,14.64384,7.32192,1.0,0.35754837148627666,0.29055620668312815,0.22563638948957354,0.21620312293925617,0.5229868947596876,1.9341018910504588,0.26261900769880203,0.11271239773442412,0.6541478041000173,0.6581301572913144,0.2054040023532243,1.803434433387633,0.2757083731295766,0.27614795918367346,0.5002018213272095,0.3562537278265482,0.2256128785339595,0.11389601892395189,0.017551811022722304,2.0186581359512275,0.01661337171096643,0.01830097783180878,0.006022632979707588
3.0,0.6477690971131289,0.3245139791972375,21.96576,10.98288,1.0,0.32386581523659236,0.29448076436286696,0.2030954187519743,0.22135503473459053,0.48880303453318785,1.9830728808065747,0.2717582259666264,0.11271239773442412,0.6578566654830348,0.6600523819135494,0.2087052623332492,1.832419291780525,0.26991961641517415,0.27605244996549344,0.47349703311920166,0.32228385487766265,0.20317874479424444,0.11389601892395189,0.012705307656840276,1.5673257750495395,0.012583791533015642,0.01287247163642433,0.004531094631171708
4.0,0.6447398235308142,0.3075169224590696,29.28768,14.64384,1.0,0.33340367553855277,0.29776294233811207,0.20956576321106904,0.22403980386567574,0.5059347607697083,2.008261356832648,0.27784990013682204,0.11271239773442412,0.6613593119967205,0.6611117187834521,0.21059456181437097,1.849007224343675,0.2738244908222278,0.2764024528730411,0.4852719008922577,0.3317841777783394,0.2095609585594625,0.11389601892395189,0.010238102217456076,1.345193601298888,0.010286681731200701,0.010253609678319356,0.005000259519296017
5.0,0.6454634757755547,0.3317589521044725,36.6096,18.3048,1.0,0.34668097218452865,0.29685316706328846,0.21868117850862218,0.225839811545431,0.5320896155789934,2.0176125231293076,0.2776673294631172,0.11271239773442412,0.6637105093582922,0.6614860563794661,0.21122391889236214,1.8545329405533995,0.27468413664014973,0.27600301172421216,0.48516470193862915,0.3449604286247378,0.218826922819878,0.11389601892395189,0.008673617833514126,1.206295429601596,0.009160261330100606,0.008352037041601219,0.004246404906762879
6.0,0.6482541022216677,0.35802838017318295,43.93152,21.96576,1.0,0.3409055621716644,0.29892904677394594,0.21541247407881964,0.22891268887431307,0.5240738308921108,2.0469509188747845,0.2769139686123203,0.11271239773442412,0.6669429764261617,0.6610321803583109,0.21224909259783148,1.8635339022652733,0.27072523924824166,0.2748231595493843,0.5236718654632568,0.33906095612390486,0.2157451317339938,0.11389601892395189,0.008391810976078044,1.2369173169063288,0.008222056949221564,0.008558672317865987,0.00426754752237366
7.0,0.6432459584072873,0.3953293625433932,51.25344,25.62672,1.0,0.3430094724747278,0.2989168709535924,0.2159222702334127,0.2304274400988322,0.5253304348455575,2.0551269358702733,0.2802096522860319,0.11271239773442412,0.6700715276206195,0.6610654866032343,0.21228795403495676,1.863875103279079,0.273698567856331,0.2770142180094787,0.5072584748268127,0.3412959048363912,0.21649161290804944,0.11389601892395189,0.008108019354068645,1.2682843120019243,0.007445459197780656,0.008673970495762337,0.00457729682385263
8.0,0.6399339905881762,0.3937624316838588,58.57536,29.28768,1.0,0.32974031119600933,0.3011429199235119,0.20747540454750246,0.2328186565566209,0.522899650443343,2.0757863137184147,0.2842749191305571,0.11271239773442412,0.672100573092707,0.6604039046062964,0.21216212604735385,1.8627703413322463,0.2740019011406844,0.275425219941349,0.49752193689346313,0.3275538348668331,0.20825900843062395,0.11389601892395189,0.007975204867234284,1.3283308417703665,0.006659741343908156,0.009110488642729982,0.004811555348179305
9.0,0.6366113222601676,0.44867542046570524,65.89728,32.94864,1.0,0.3284920937070462,0.30252018634130834,0.20671965757682367,0.23375224707607206,0.5135486094249425,2.0835109414925466,0.2872101269873455,0.11271239773442412,0.672120821326372,0.6604409882361941,0.21324080873072387,1.872241108559767,0.2734958951108933,0.27496875355073286,0.48539474606513977,0.32630323001574824,0.20750540541434206,0.11389601892395189,0.0077661436548785295,1.3825747579230665,0.006583199602499175,0.008814252469644289,0.004894215954913672
10.0,0.643773799068309,0.48556218303296356,73.2192,36.6096,1.0,0.3300921641351142,0.30765565963797586,0.2077944500308918,0.23702196537808848,0.5334574421953298,2.106721428552664,0.2884991651220066,0.11271239773442412,0.6736135224358346,0.660327729434222,0.21203790477287981,1.8616796862272862,0.2734365325077399,0.2747469436045747,0.5138538479804993,0.3280280631856222,0.2089839106874681,0.11389601892395189,0.006746468381952991,1.2823980919383757,0.005765138999482702,0.007650339911617168,0.004012483690246368
11.0,0.643258908811426,0.5057429199590767,80.54112,40.27056,1.0,0.31504116406777943,0.3064003076157823,0.19889251823942342,0.23834227173931555,0.5142493648338496,2.130421346841802,0.2889817702405254,0.11271239773442412,0.6746742350216733,0.6605811656121529,0.21221145258272422,1.8632034252612228,0.2725852642541005,0.2733572281959379,0.4802684485912323,0.31322460774589334,0.20055189517127034,0.11389601892395189,0.007589777755996751,1.5322971736059117,0.005842784916020094,0.009236897017612164,0.004598633096603826
12.0,0.6408971302246134,0.5382465649261696,87.86304,43.93152,1.0,0.33407726116980146,0.3145849982379035,0.21025404004515483,0.24306874848449303,0.5429205183378174,2.168771155078034,0.2869409201355279,0.11271239773442412,0.677805689967019,0.6585585704748849,0.21139605656633814,1.8560442986816492,0.27191328934967013,0.2740478994895956,0.5229300260543823,0.33216566215519805,0.21210334779321188,0.11389601892395189,0.007093462626080128,1.5268405623828585,0.005215054265685478,0.008905459160328396,0.004500585532800834
13.0,0.6386405300000093,0.5289321132882188,95.18496,47.59248,1.0,0.3364475496183632,0.31388074415200745,0.2115481816967221,0.24411889544402754,0.561359523862244,2.1817289500262125,0.28714991273186724,0.11271239773442412,0.679317548657213,0.6583709812702445,0.21140003415097966,1.8560792216287294,0.27076566125290025,0.2729712460063898,0.5225069522857666,0.3346630663764879,0.21378444227344573,0.11389601892395189,0.006582820763285746,1.5019932800187235,0.004775890751303487,0.008370714975316931,0.0032942370216013325
14.0,0.6376024336429927,0.5220418726076398,102.50688,51.25344,1.0,0.3390027034997265,0.3171713675001106,0.21282527644796412,0.24771005062699408,0.5529822582959226,2.2101956713476767,0.29175408292498006,0.11271239773442412,0.6819848754281208,0.6595621124823423,0.21197395593508428,1.8611182193876223,0.2720056035489143,0.274495502066618,0.5086339712142944,0.3371633149042626,0.21512290458732858,0.11389601892395189,0.005778357527611295,1.399783193206531,0.00444410002527718,0.007125263224493676,0.0034539310514069906
15.0,0.636936864791485,0.5746955049638751,109.8288,54.9144,1.0,0.3214064202860438,0.31918196796534526,0.20174945236680583,0.2511305972843208,0.5462301626660825,2.2373063580840533,0.29238260469190946,0.11271239773442412,0.6844731113791849,0.6576482959927743,0.21056681184834375,1.8487635813587016,0.2701099715803781,0.27261081219574684,0.5086203217506409,0.3196242556954251,0.20451534813296932,0.11389601892395189,0.005371802630357032,1.3732166375530142,0.004051399800265563,0.006743308303461314,0.0029849375462131598
16.0,0.6407297102280939,0.6198745720821097,117.15072,58.57536,1.0,0.34223282415070494,0.321595630074243,0.21465358245368105,0.25216357825247737,0.5572578389364041,2.247256155418891,0.2960133631294909,0.11271239773442412,0.6873984615565277,0.6560707671615384,0.21085640795557126,1.8513062172643593,0.2691908114971719,0.270886382927125,0.5098552107810974,0.3405779777775789,0.21773767500507107,0.11389601892395189,0.005603039570095668,1.511826214429675,0.0040170656836051545,0.007276556311290167,0.0037688798755172244
17.0,0.6391047982929378,0.6105846889953346,124.47264,62.23632,1.0,0.333828437119216,0.32311239459297203,0.20924656421483426,0.2559253623493709,0.5471966148979486,2.277201702970634,0.29524093285863406,0.11271239773442412,0.6886928560642951,0.656733102125581,0.20839667799388428,1.8297099403714037,0.27060763071125765,0.27179006560449864,0.4989447295665741,0.33225932912315603,0.21271821349048142,0.11389601892395189,0.005620151274171189,1.6026663995835406,0.0037581678850353434,0.00761998485031328,0.002873842357793208
18.0,0.6389675077978432,0.6886147772135154,131.79456,65.89728,1.0,0.3235511763228831,0.3240502662363286,0.2027672716769899,0.2560143736538225,0.5491692167265448,2.2732759966962974,0.2981773444716415,0.11271239773442412,0.688540165703951,0.6561412825308771,0.211058527360036,1.853080813131487,0.2725896012115093,0.2752413253326376,0.50675368309021,0.32190768803987363,0.20639216286132528,0.11389601892395189,0.005516890969971145,1.6511251034498855,0.0037107164834824695,0.007483806667385257,0.004617519200466395
19.0,0.6380323621434119,0.7254077000461614,139.11648,69.55824,1.0,0.30543068648533406,0.32301976319767495,0.192283469400474,0.2570135815355659,0.5251043188864513,2.281828093228074,0.2999255591242156,0.11271239773442412,0.6895080939499522,0.6568647709732587,0.21049098829002866,1.848097855207503,0.2694809504845347,0.2743457999761023,0.47756558656692505,0.3042941273664578,0.1962858182801478,0.11389601892395189,0.0049183651733037915,1.5474353498357232,0.0032304676955049226,0.006793926261425912,0.0037925391077922813
20.0,0.6393443929827651,0.7982598067802797,146.4384,73.2192,1.0,0.34647478480864946,0.3280577943366536,0.2172308111672734,0.2608823847184225,0.552206493703129,2.3175692213074788,0.2924216403312279,0.11271239773442412,0.6923204587723372,0.6544383972261897,0.2108964509194693,1.851657792010135,0.2676437429537768,0.2717553455992044,0.5199427008628845,0.345363103416526,0.22135520108527068,0.11389601892395189,0.005123146592772917,1.6883743407161091,0.003141552764395507,0.0073639515506563795,0.003885305596612065
21.0,0.6412938524328808,0.7437352666601205,153.76032,76.88016,1.0,0.3288572784541368,0.3309227509660079,0.20587805891626323,0.2652943128741115,0.551207515520446,2.356111624487104,0.29716705306501573,0.11271239773442412,0.6964146298430431,0.6502907657770829,0.20710376795685784,1.818358270231908,0.26753591693830736,0.26944885461555906,0.48719507455825806,0.32787008935206796,0.21127259260017947,0.11389601892395189,0.004917351897097987,1.6978428094989795,0.003090571740614097,0.007002788233022367,0.0045067329127828236
22.0,0.6389649513791943,0.951682663657618,161.08224,80.54112,1.0,0.3295650614289563,0.3335358207924015,0.20740032520960705,0.2669474392794221,0.5602093293540802,2.367381611287172,0.2979712228022128,0.11271239773442412,0.6958250229046464,0.6518448773313681,0.20811334320366656,1.827222278441737,0.2676733013040494,0.2716638815946526,0.5089959502220154,0.32842021420354484,0.21250750346008232,0.11389601892395189,0.004918296764493815,1.7804303487228026,0.0028531180257195866,0.007302656318636679,0.004264095611067521
23.0,0.6402155143184844,0.9379878114951387,168.40416,84.20208,1.0,0.3393884340288261,0.33255351765583707,0.21308196182871195,0.2667300099766838,0.5672444215017417,2.3558579948552025,0.2967563508531426,0.11271239773442412,0.6974321352062642,0.6510365043974031,0.20915727826644764,1.8363879637101406,0.26606414636834563,0.2711412648412891,0.5187188982963562,0.3380044234301686,0.21817064891692603,0.11389601892395189,0.004602651155881276,1.7361954737807537,0.0026873194108912703,0.006846543253443014,0.0034668004443623546
24.0,0.6423813549469721,0.9472413721509879,175.72608,87.86304,1.0,0.32878083974835703,0.33397143955842107,0.20556417377793565,0.26878092114169627,0.5510544343179243,2.3765460874451776,0.3009408869167766,0.11271239773442412,0.6989660063793418,0.6480099531207701,0.20799596431685213,1.8261916990771254,0.26601941747572816,0.26905467277134393,0.52204430103302,0.32758458619129205,0.21133938482347986,0.11389601892395189,0.004755269771692914,1.8730076406154694,0.002531690525870248,0.0073794994569123,0.0052546355081000955
25.0,0.6436900505118399,1.0783142108442711,183.048,91.524,1.0,0.32603685652404596,0.33515272085965603,0.20417886991620116,0.2699213090572604,0.5650382987240562,2.3816505530843433,0.3081966224594877,0.11271239773442412,0.7002104483777153,0.6485444844682715,0.20752420403251012,1.8220496729659494,0.2638224837562829,0.2671666882193198,0.5117475390434265,0.3249150841651145,0.21030280733492934,0.11389601892395189,0.004585429273754477,1.8871116865866497,0.002403355222788563,0.007167030627187058,0.004241249154530851
