round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6899041789844476,0.10213266922149408,0.9136,3.65056,0.9971592150692714,0.26134400126396645,0.23607372417274783,0.11271239773442412,0.20264171678364024,0.4832788278052759,1.6484765320746653,0.18675883007751676,0.37016238444739724,0.5937468424675769,0.44461524108827033,0.10784548344003325,0.9468766727662487,0.05701328150307742,0.20452799493876814,0.46685388684272766,0.3683654681366352,0.23692801754253173,0.11389601892395189,0.02868470302304948,3.0555554549209774,0.02392122853069912,0.03186455543262325
2.0,0.6834431019492017,0.13573888182865346,1.4096,5.632,0.5412350858791136,0.2871959298876568,0.2421695296215351,0.11271239773442412,0.2403124501623613,0.5201256150566157,1.9541236188171174,0.2167138292240726,0.38139970252317323,0.6501759821179531,0.45239371756374586,0.10902173007706903,0.9572040454711819,0.10114135206321334,0.2045194114681212,0.4719576835632324,0.37342422982665907,0.24083967851320523,0.11389601892395189,0.02259409691239394,1.5267949420958757,,0.02259409691239394
3.0,0.6712936170384542,0.16869113844272116,1.9056,7.61344,0.5412350858791136,0.29809511273372513,0.21561476030330015,0.11271239773442412,0.2682447968825646,0.4947108763523863,2.0369733394587715,0.22770803195303632,0.3446107697850731,0.6688188444229295,0.43903111154660496,0.09980329813655703,0.876266783329762,0.10710412147505423,0.20451875282422052,0.46859657764434814,0.37706812881422636,0.24402513219049435,0.11389601892395189,0.01656881459738274,1.1896647945977747,,0.01656881459738274
4.0,0.6584151193769593,0.23106580043371472,2.4016,9.59488,0.5412350858791136,0.30933788571751103,0.21122543683369763,0.11271239773442412,0.2852898666991991,0.510755404666807,2.1128873420924505,0.23558516845200092,0.3383199657187513,0.6808374203659592,0.43204089123395195,0.09644592603404639,0.8467892639728094,0.11530299457675076,0.20451875282422052,0.4653729796409607,0.3789896327297055,0.24583387739705775,0.11389601892395189,0.013286504586075026,1.0121350018307567,,0.013286504586075026
5.0,0.6598954119670641,0.2600159502389345,2.8192,11.264,0.4559241291901578,0.29611116791008874,0.22370665878236037,0.11271239773442412,0.2741498691468491,0.5106744792980543,2.027551587203744,0.22353865786578836,0.35438735662971815,0.6612191929372447,0.437494406081886,0.0975354390298303,0.856355120673309,0.11671401515151515,0.20516082137016173,0.4667752683162689,0.378727826608242,0.24569039915407048,0.11389601892395189,0.01830906093132539,0.8339195372536778,0.01830906093132539,
6.0,0.6564255357165879,0.2776521472728645,3.3152,13.24544,0.5412350858791136,0.30427084498167434,0.2231870017354685,0.11271239773442412,0.2765093842525858,0.5357119834182994,2.12305722713881,0.2340519976224135,0.35398651136025605,0.6728163844739184,0.44412148290947895,0.10073230474798103,0.884423403905274,0.12467116550383164,0.20516807683512467,0.4650968015193939,0.37879835947769824,0.24576620022891338,0.11389601892395189,0.011045951282996458,0.8855484341038391,,0.011045951282996458
7.0,0.6371165977625909,0.3757305945589601,3.8112,15.22688,0.5412350858791136,0.31023600771206133,0.21810481650303185,0.11271239773442412,0.28529857461283653,0.5486735060670375,2.1974659365801212,0.24219586444051003,0.34729165116276955,0.6819237467054939,0.4335689375769689,0.09621932715480228,0.8447997398315361,0.12695761119231572,0.2048011661276363,0.4681617021560669,0.38279674425207433,0.24925183275331644,0.11389601892395189,0.01004719619314569,0.8457649098709226,,0.01004719619314569
8.0,0.6243772034135728,0.5353098575209129,4.3072,17.20832,0.5412350858791136,0.3198328354516307,0.21159711716938304,0.11271239773442412,0.2936406385927544,0.5385462738475084,2.2898157494863134,0.251753664179977,0.33743831092565585,0.6915636281200762,0.4040756678730371,0.08829378125608536,0.775213937152965,0.11832925613844342,0.20455572629485672,0.46460896730422974,0.38992271300074716,0.2564047447566704,0.11389601892395189,0.009706780597144435,0.8561985642882064,,0.009706780597144435
9.0,0.606236626113486,0.49574951351495933,4.8032,19.18976,0.5412350858791136,0.32640433214695524,0.20423348356742535,0.11271239773442412,0.29823680835972627,0.540207225523181,2.3660605354579998,0.2597840971715735,0.32660914309407224,0.6982587873644683,0.4121193519121775,0.08984094224863737,0.7887979149527953,0.1281779661016949,0.20458346517199294,0.4685314893722534,0.39080937090124757,0.2565479797819349,0.11389601892395189,0.009953747475070046,0.9233895912766457,,0.009953747475070046
10.0,0.649104258142625,0.5686611573500232,5.7168,22.84032,0.9971592150692714,0.298687486895065,0.21550573044614216,0.11271239773442412,0.28126222659860506,0.503695193908363,2.069638046602963,0.2286565877456211,0.34190666424057775,0.6628083296706581,0.41581983384626287,0.09046050808514944,0.7942376646680663,0.13435599047870933,0.20461538461538462,0.471196711063385,0.3918187195977301,0.257313019886102,0.11389601892395189,0.010206344664332234,1.4993862337432802,0.014174802146399143,0.008156992657553349
11.0,0.6454533028492321,0.46691268695121035,6.2128,24.82176,0.5412350858791136,0.30404989877424515,0.2044128776969588,0.11271239773442412,0.2870717530893155,0.5157393451341673,2.190533550113881,0.2404688889293612,0.32345873162553623,0.6732379560450971,0.3981192211970882,0.08735923942776957,0.7670087177155782,0.1272879932829555,0.2045002711006687,0.4701755940914154,0.39599463703606075,0.261301740699932,0.11389601892395189,0.0066233373145155785,0.6604400019859895,,0.0066233373145155785
