round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auroc,fed_brier,fed_auprc_lift,fed_prevalence,fed_f1,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.4540086329896156,93.99792890057617,20.729088,20.729088,0.9991046702896288,0.09984882175922394,0.8859645768028238,0.3803230543318649,0.7978102903182837,0.9987010654297099,0.9869565217391303,0.0,0.9856745297936701,0.9934354485776805,0.5009376904683763,0.9697614762553699,1.0027703764270328,0.9832657200811359,0.9832657200811359,0.504995584487915,0.46200892633928026,0.24528635810236338,0.9670822942643391,0.003721459473194175,2.2247385856435358,0.0008208599960945432,0.004205829690234372
2.0,0.4012403781867726,40.0841951880104,41.458176,41.458176,0.9991046702896288,0.18960948288440704,0.7894792203022085,0.814977973568282,0.6360606677976312,1.0104364764027067,0.9869565217391303,0.0,0.9972568701887583,0.9934354485776805,0.4560965508618938,0.968937789317408,1.0019186526979904,0.9832657200811359,0.9832657200811359,0.5056653618812561,0.46134107315034933,0.24466995690360807,0.9670822942643391,0.0009636662079016906,0.5794383038520436,0.00017661318901253487,0.0010943897175528432
3.0,0.3371672305565401,36.60761383654784,62.187264,62.187264,0.9991046702896288,0.27430465817451477,0.6490485783504403,0.9074889867841408,0.43429274634683496,1.011804977898531,0.9869565217391303,0.0,0.9986075216650718,0.9934354485776805,0.47388532045571763,0.9709348100470341,1.0039836483467268,0.9832657200811359,0.9832657200811359,0.5060509443283081,0.4609721178128534,0.24432949353548564,0.9670822942643391,0.0006434179465047664,0.38721346857471417,0.0001186602338731672,0.0007304807925120621
4.0,0.2971788868972442,34.62477686323273,82.916352,82.916352,0.9991046702896288,0.24588647484779358,0.6573827827106351,0.9706314243759178,0.44562444561096437,1.0128070152343194,0.9869565217391303,0.0,0.9995964889486544,0.9978021978021978,0.5307875037116914,0.975348055367353,1.0085471124350402,0.9832657200811359,0.9832657200811359,0.5063416361808777,0.4606838456413097,0.24406355917044878,0.9670822942643391,0.0004699711780110944,0.28302119014136906,9.560077539636297e-05,0.0005320237757520007
5.0,0.24641399226719443,29.548384238812186,103.64544,103.64544,0.9991046702896288,0.21436971426010135,0.5816361258859221,0.9750367107195301,0.3598933296504781,1.0128796753704188,0.9869565217391303,0.3669064748201439,0.999668201343848,0.9934354485776805,0.6130893775298107,0.9807212932255349,1.014103245444661,0.9832657200811359,0.9832657200811359,0.506115734577179,0.4609035865921629,0.24426560969866903,0.9670822942643391,0.0004402159460678826,0.26527129212490763,9.850471229376354e-05,0.0004968056930798635
6.0,0.24379105892192346,33.82446811599169,103.64544,103.64544,0.0,0.09454134106636047,0.19805190197151637,0.7195301027900147,0.14373853082616056,1.0086590188102214,0.9869565217391303,0.8746928746928748,0.9955025968257402,0.9934354485776805,0.6130893775298107,0.9807212932255349,1.014103245444661,0.9832657200811359,0.9832657200811359,0.506115734577179,0.4609035865921629,0.24426560969866903,0.9670822942643391,0.0,0.0,,
7.0,0.13373413185576147,7.236318651913377,103.64544,103.64544,0.0,0.2235531061887741,0.09551938195591388,0.9089574155653452,0.04343081932485834,1.0119290158723844,0.9869565217391303,0.9590909090909091,0.9987299417523097,0.9934354485776805,0.6130893775298107,0.9807212932255349,1.014103245444661,0.9832657200811359,0.9832657200811359,0.506115734577179,0.4609035865921629,0.24426560969866903,0.9670822942643391,0.0,0.0,,
8.0,0.08005457392418001,2.688003669052149,103.64544,103.64544,0.0,0.07463572174310684,0.20193414856558264,0.8898678414096916,0.1398730921621361,1.0116243982026802,0.9869565217391303,0.8953771289537713,0.9984292973565584,0.9934354485776805,0.6130893775298107,0.9807212932255349,1.014103245444661,0.9832657200811359,0.9832657200811359,0.506115734577179,0.4609035865921629,0.24426560969866903,0.9670822942643391,0.0,0.0,,
9.0,0.19865207526139037,19.83679046054042,124.374528,124.374528,0.9991046702896288,0.3019925355911255,0.5519898046617924,0.9368575624082233,0.32282491787330586,1.0123308270249736,0.9869565217391303,0.3669064748201439,0.999126511889865,0.9934354485776805,0.6392782909028396,0.9821969500070877,1.015629130873755,0.9832657200811359,0.9832657200811359,0.5067799091339111,0.46025459552346315,0.24366787015168961,0.9670822942643391,0.0002484627558672,0.14980593722913227,6.147893046448017e-05,0.00027940466347523674
10.0,0.1924144132372735,20.34321702074645,124.374528,124.374528,0.0,0.040288764983415604,0.40696970799370946,0.8472834067547723,0.3081635866887912,1.010964894435056,0.9869565217391303,0.7458563535911602,0.99777839581199,0.9934354485776805,0.6392782909028396,0.9821969500070877,1.015629130873755,0.9832657200811359,0.9832657200811359,0.5067799091339111,0.46025459552346315,0.24366787015168961,0.9670822942643391,0.0,0.0,,
