round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_brier,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888699189566261,0.10888081986348927,3.65056,3.65056,0.9971592150692714,0.2741885267309181,0.11430010070493454,0.24505189357499743,1.692732039771582,0.38106677578415155,0.6171668222012484,0.24448490904695883,0.193988857134739,0.5131205111828306,0.3702521721971515,0.08512344733781804,0.7473786014825924,0.1443565976008724,0.2045002711006687,0.4691486656665802,0.3868831302626599,0.25104901375242983,0.11389601892395189,0.027900778916276382,2.9931586128659546,0.023487965934885394,0.03081596260098315
2.0,0.6827062714626277,0.1285886855493892,7.30112,7.30112,0.9971592150692714,0.2862717873737926,0.11430010070493454,0.2354653420571423,1.887967165500337,0.36900021387442333,0.6458228246780491,0.2554304338124082,0.21437289015822342,0.5385696111455154,0.3340947922335359,0.07996285601996148,0.7020689289706649,0.1385846153846154,0.2045002711006687,0.40972039103507996,0.39139019494250127,0.25523069744589827,0.11389601892395189,0.01855085232543585,2.1113718319684267,0.016270809773033357,0.0200693246045226
3.0,0.6751554048079168,0.19625780843398138,10.95168,10.95168,0.9971592150692714,0.2963387765926019,0.11430010070493454,0.23716287624485388,1.9545353676196797,0.37235385315138236,0.6615189944840991,0.2640127844145947,0.22176729292956673,0.5461301275182887,0.3288847116504944,0.07923865875868996,0.6957105218190061,0.12940942004915965,0.20450951154489178,0.3465769588947296,0.3886342428864995,0.25441304133295034,0.11389601892395189,0.012419261633572052,1.5152272749692202,0.011917297180477047,0.012764317840308292
4.0,0.6661685356311768,0.2067132481607544,14.60224,14.60224,0.9971592150692714,0.299557790066029,0.11430010070493454,0.22548578952447204,1.9983166578778677,0.35735090759330523,0.6669523876037752,0.27155552258341165,0.2266677096975937,0.5313548301210607,0.3296959082111013,0.0793316659517602,0.6965271192202931,0.13164885001619694,0.20450951154489178,0.2963801324367523,0.3853753867738049,0.251689177462691,0.11389601892395189,0.010061902831618754,1.306088094599545,0.010056202090603008,0.010066008761810205
5.0,0.6586897292212832,0.21582161921094817,18.2528,18.2528,0.9971592150692714,0.3003751143001278,0.11430010070493454,0.21369957778974633,2.0317906893006663,0.33881737816467317,0.6707315154690008,0.28002431827691093,0.23042614210875811,0.5416912932984328,0.3365605587096232,0.08042552406752862,0.7061311258054468,0.13456348459172787,0.2045002711006687,0.34132274985313416,0.3851506492621082,0.25097823540096637,0.11389601892395189,0.009318413541558032,1.278290350921452,0.009255983041941244,0.009365522426096985
6.0,0.6528686161820487,0.2811354382706345,18.2528,18.2528,0.0,0.31505918903545643,0.11430010070493454,0.21680085097758992,2.1912062585280987,0.34339415228316955,0.6850763736222641,0.2873827833208938,0.24788244653497662,0.5506289675662975,0.3365605587096232,0.08042552406752862,0.7061311258054468,0.13456348459172787,0.2045002711006687,0.34132274985313416,0.3851506492621082,0.25097823540096637,0.11389601892395189,0.0,0.0,,
7.0,0.6380100205376782,0.3557453220726921,18.2528,18.2528,0.0,0.32847453829530965,0.11430010070493454,0.2152549155739651,2.335327257333184,0.3423651566120261,0.698103515711447,0.3006439851171374,0.26275172270530667,0.5505062809583524,0.3365605587096232,0.08042552406752862,0.7061311258054468,0.13456348459172787,0.2045002711006687,0.34132274985313416,0.3851506492621082,0.25097823540096637,0.11389601892395189,0.0,0.0,,
8.0,0.622225533604251,0.43324671992389147,18.2528,18.2528,0.0,0.33813718616628224,0.11430010070493454,0.1975809105168366,2.406422553660605,0.3155590327998693,0.7071003160944006,0.31557986307861297,0.27101422041152323,0.5485979172402067,0.3365605587096232,0.08042552406752862,0.7061311258054468,0.13456348459172787,0.2045002711006687,0.34132274985313416,0.3851506492621082,0.25097823540096637,0.11389601892395189,0.0,0.0,,
9.0,0.6517883322372107,0.29179355454536077,21.90336,21.90336,0.9971592150692714,0.30795020217453895,0.11430010070493454,0.2107372032594861,2.0791656614638097,0.33327936501948446,0.6753019771203886,0.28075579799939493,0.23657616606279436,0.5536252852446754,0.3277736208416074,0.07901966781348624,0.6937877948679443,0.13199372056514913,0.2045002711006687,0.3096364438533783,0.38593149578765107,0.252464304948119,0.11389601892395189,0.00867905501937697,1.2630191545467824,0.007414326384735778,0.0096708118583175
10.0,0.6474676895492344,0.28028618021481366,21.90336,21.90336,0.0,0.32072728038184517,0.11430010070493454,0.2054592932874593,2.2609806179267418,0.32666240940489477,0.6883877023910386,0.2961992845162837,0.2544698633257047,0.5435947007448051,0.3277736208416074,0.07901966781348624,0.6937877948679443,0.13199372056514913,0.2045002711006687,0.3096364438533783,0.38593149578765107,0.252464304948119,0.11389601892395189,0.0,0.0,,
11.0,0.630981364600346,0.36038521505809373,21.90336,21.90336,0.0,0.3292455284428781,0.11430010070493454,0.22160803500823045,2.3414967170125776,0.35113173571071976,0.6993268304935533,0.29569708065541206,0.26415313721657785,0.5798022993723042,0.3277736208416074,0.07901966781348624,0.6937877948679443,0.13199372056514913,0.2045002711006687,0.3096364438533783,0.38593149578765107,0.252464304948119,0.11389601892395189,0.0,0.0,,
12.0,0.6202706500932416,0.47459850640029977,21.90336,21.90336,0.0,0.33823788563644147,0.11430010070493454,0.21351790531982606,2.464490350344226,0.3378470070565857,0.7090378434139257,0.3042635081000924,0.27734731449483974,0.5782400648928391,0.3277736208416074,0.07901966781348624,0.6937877948679443,0.13199372056514913,0.2045002711006687,0.3096364438533783,0.38593149578765107,0.252464304948119,0.11389601892395189,0.0,0.0,,
13.0,0.6511166007709079,0.3455726738379092,25.55392,25.55392,0.9971592150692714,0.31150458543265264,0.11430010070493454,0.20277356945946312,2.140898715812488,0.3200755657966757,0.6770728628648458,0.28183693479364563,0.24255094018744533,0.5513386775318379,0.3266464416355871,0.0789815342950089,0.6934529849348351,0.12680771290840923,0.2045002711006687,0.3038346767425537,0.3870728726316587,0.25386664991379926,0.11389601892395189,0.007825296312064755,1.2063579594250768,0.006538575634410112,0.008864313611089107
14.0,0.6457885845102569,0.39349086038230585,25.55392,25.55392,0.0,0.32457328904821964,0.11430010070493454,0.21413365785575178,2.277200341781397,0.34100603977685334,0.6914780971539916,0.291882375523654,0.2566567217008817,0.5545978301804052,0.3266464416355871,0.0789815342950089,0.6934529849348351,0.12680771290840923,0.2045002711006687,0.3038346767425537,0.3870728726316587,0.25386664991379926,0.11389601892395189,0.0,0.0,,
15.0,0.6276525867750896,0.4212710140237398,25.55392,25.55392,0.0,0.32935028768651675,0.11430010070493454,0.21824018563517975,2.393025274325989,0.3443602444802168,0.7015405824347443,0.29666578022246015,0.2699716119599019,0.5714888758957386,0.3266464416355871,0.0789815342950089,0.6934529849348351,0.12680771290840923,0.2045002711006687,0.3038346767425537,0.3870728726316587,0.25386664991379926,0.11389601892395189,0.0,0.0,,
16.0,0.6149700816438295,0.4970297872043562,25.55392,25.55392,0.0,0.3446418059896143,0.11430010070493454,0.19210751086455258,2.485493909167035,0.3073296908063867,0.7097859049136545,0.31356972729995414,0.27946922070678015,0.5351172514402375,0.3266464416355871,0.0789815342950089,0.6934529849348351,0.12680771290840923,0.2045002711006687,0.3038346767425537,0.3870728726316587,0.25386664991379926,0.11389601892395189,0.0,0.0,,
17.0,0.6452642282107659,0.4753947137334934,29.20448,29.20448,0.9971592150692714,0.31353015832822106,0.11430010070493454,0.2156004670989965,2.174165878508215,0.3416602132201368,0.6793287545913749,0.2811980460061756,0.246173067325759,0.5556759345743801,0.32691062014420924,0.07903509103142972,0.6939232097673341,0.12128435221536736,0.2045002711006687,0.3415268063545227,0.3883673421413455,0.25465039442835735,0.11389601892395189,0.007199132274895719,1.1749431770294905,0.0061514048819330275,0.008066791637174978
18.0,0.6403618018271114,0.37274177030041267,29.20448,29.20448,0.0,0.3237461734823158,0.11430010070493454,0.2249594720812859,2.309829018737363,0.35471069061995486,0.6934142957610762,0.2914857324504606,0.26114960674844206,0.595649530360811,0.32691062014420924,0.07903509103142972,0.6939232097673341,0.12128435221536736,0.2045002711006687,0.3415268063545227,0.3883673421413455,0.25465039442835735,0.11389601892395189,0.0,0.0,,
19.0,0.6265407951691654,0.44827294057285194,29.20448,29.20448,0.0,0.3354420756887322,0.11430010070493454,0.2016172740837308,2.4877163777843765,0.3223882400351487,0.7032273831061443,0.3070845803403053,0.2763568974216228,0.5631332774960773,0.32691062014420924,0.07903509103142972,0.6939232097673341,0.12128435221536736,0.2045002711006687,0.3415268063545227,0.3883673421413455,0.25465039442835735,0.11389601892395189,0.0,0.0,,
20.0,0.6094694265252146,0.5326031526403987,29.20448,29.20448,0.0,0.3490150119217488,0.11430010070493454,0.20324030365453052,2.621219675589959,0.32585437942012785,0.7138714927960251,0.3133300853311993,0.290482487814068,0.5776793117553356,0.32691062014420924,0.07903509103142972,0.6939232097673341,0.12128435221536736,0.2045002711006687,0.3415268063545227,0.3883673421413455,0.25465039442835735,0.11389601892395189,0.0,0.0,,
21.0,0.6444661565692356,0.44323500528669274,32.85504,32.85504,0.9971592150692714,0.3152788848835917,0.11430010070493454,0.21934392584062803,2.196852009900635,0.3474604892506933,0.681420531094214,0.28024061264856354,0.2487723154198309,0.5637961240731038,0.32588698646451275,0.07891092279302042,0.6928330203157413,0.1183328475663072,0.2045002711006687,0.3254883289337158,0.3867943526916267,0.25328199828451997,0.11389601892395189,0.006970634342286378,1.199718656949699,0.005805622588298418,0.00796198731494311
