round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc,fed_prevalence,fed_auprc_lift,fed_auroc,fed_ece,fed_f1_best,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881631224106979,0.0927242792932212,0.5282475,3.66096,1.0,0.23116854857303804,0.21307147593819095,0.11246066708621771,1.9106524855036078,0.6520034805780409,0.36286392130890754,0.2855074701864664,0.0010543933508387403,0.4764035969034839,0.653150823477454,0.20079921752421878,1.7630047074629707,0.0,0.27164605137963843,0.47601908445358276,0.3614451784637363,0.23126193372746665,0.11389601892395189,0.4319122000243784,9.545668570234739,0.29085811884710444,0.5412292274092046,0.46057525274375083
2.0,0.6859199793752786,0.05820740393863157,1.056495,7.32192,1.0,0.22756750520237579,0.2195726198893485,0.11246066708621771,1.9735332276212818,0.6571320499623937,0.3597866989404919,0.28949543093501157,0.13033118337184135,0.47804428454912845,0.6578378805602416,0.2055015880789516,1.8042912300223992,0.1334716459197787,0.2742009132420091,0.4746761918067932,0.35803432111423567,0.22773190247892636,0.11389601892395189,0.0626442533358491,1.3915089443853503,0.05538401562915752,0.06795981757078161,0.04547180797171032
3.0,0.6753404934596771,0.08167295550461215,1.5847425,10.98288,1.0,0.22354623296079698,0.22232446548869209,0.11246066708621771,2.0015371581855557,0.6577912599037016,0.35532895731168246,0.2900278767554832,0.22299019349465965,0.4761297433799433,0.6593736699149836,0.2075634794518518,1.822394508718004,0.222279525528623,0.2759414948750432,0.4718749225139618,0.35360361415568664,0.22374666681296984,0.11389601892395189,0.03641323787410007,0.9514899806563335,0.03361491823158425,0.03847332042505499,0.04366234937948313
4.0,0.668031202729653,0.11165666378886929,2.11299,14.64384,1.0,0.21890890170114674,0.22445665901924647,0.11246066708621771,2.025940574452302,0.6580504694277585,0.34974485295159474,0.2921015496585107,0.23935592460424032,0.4774743601895488,0.6603736227792427,0.20938410886016284,1.838379522290135,0.2445296638845026,0.2780510658233778,0.47125837206840515,0.3479206886224427,0.21911794481209326,0.11389601892395189,0.027112830457506308,0.8367400242523217,0.024786994487588077,0.029213882495156974,0.01556868903512547
5.0,0.6625743438454681,0.131891749563452,2.6412375,18.3048,1.0,0.21901932454554066,0.22481610022895898,0.11246066708621771,2.0262759679889344,0.6583283793967504,0.35068067559811805,0.2926459776728221,0.2565564910464426,0.4787686690097337,0.6603800606479864,0.20971625457413479,1.8412957411106867,0.25811292440442696,0.2775480418389686,0.4719797968864441,0.3488850150199413,0.21926943809108976,0.11389601892395189,0.01564894378074176,0.5567486610925698,0.015821814431505606,0.015552009119369518,0.011341580718745223
6.0,0.6614799010880464,0.15257570233976597,3.169485,21.96576,1.0,0.21737342674807097,0.2252039081863345,0.11246066708621771,2.0331133546962956,0.6582643445116639,0.34873862937420996,0.29159154481096744,0.26441488988419437,0.4814731288005,0.6603719537021611,0.21037344006622327,1.8470657890745867,0.26733013040494163,0.2762290927521541,0.47556307911872864,0.3470679790620037,0.21761759037543554,0.11389601892395189,0.011504663513391543,0.46506909540767083,0.010913599745279112,0.012198503077500346,0.001667564072658933
7.0,0.6575056934930015,0.16741374633444245,3.6977325,25.62672,1.0,0.21530347944483158,0.22569968570767754,0.11246066708621771,2.0374478860740908,0.6589633310548957,0.3457834754727635,0.2920866016571327,0.2645784412637142,0.48462864858050847,0.6603558025577692,0.21085916040294336,1.851330383582007,0.2673605464303139,0.27703327171903885,0.4733847379684448,0.3442546342533256,0.21556285876564765,0.11389601892395189,0.009375897738164494,0.4207264647448028,0.009339844603518777,0.009520713584179472,0.0013421653864561292
8.0,0.6539747323150225,0.20507521965209757,4.22598,29.28768,1.0,0.21321210901139764,0.22556250791612942,0.11246066708621771,2.0329516740496203,0.6593310912360496,0.34298552636120444,0.29210560723187506,0.26726001759617957,0.4828663657602834,0.6605070485501644,0.21099361752273818,1.852510908775645,0.2678293366552476,0.2772501130710086,0.472339391708374,0.3412575743294871,0.21350432990129922,0.11389601892395189,0.007969158684349116,0.39433557781194395,0.00751385225174535,0.008546642923382418,0.0011109415565828302
9.0,0.6535215937224049,0.20920281281805608,4.7542275,32.94864,1.0,0.21025060938218196,0.2257692861248108,0.11246066708621771,2.036063672589279,0.6595003510243195,0.33854687145440515,0.2927360683954751,0.26757743466765843,0.4852192058999857,0.6608387807575141,0.21159085721007354,1.857754636282347,0.2672090112640801,0.27761627906976744,0.47430822253227234,0.3367886309703155,0.21051904122632378,0.11389601892395189,0.0076476308437985726,0.4142987692625866,0.007063599344504444,0.00839233736536422,0.0009627025235786414
10.0,0.6528721213042897,0.22037925878134795,5.282475,36.6096,1.0,0.20904067474408528,0.22667084436219306,0.11246066708621771,2.045042347377326,0.6599007852865878,0.336621992949272,0.2933376399720266,0.2686397822039494,0.4805637358568838,0.6609778537817195,0.21195108171476823,1.860917385148356,0.26570578098073006,0.2774659182036889,0.4705629050731659,0.3348974699423642,0.20932348388279157,0.11389601892395189,0.007646127706775492,0.45081675484470907,0.0066319218701090515,0.008945687052332185,0.0007104380615615918
