round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1_best,fed_ece,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.17376455382730505,0.047421963747129266,3.66096,3.66096,1.0,0.6577658613953923,0.22042559851415489,0.2929621665289397,0.37977271901831894,1.9230192095490062,0.24334899068392632,0.5105346220302558,0.2694531314941763,0.11530715005035247,0.6652309006254598,0.21469036821642842,1.8849681511675724,0.2746935114123393,0.2791225416036309,0.5092938542366028,0.3807567362951772,0.2431869959323138,0.11389601892395189,0.020635083641874774,2.2254766954774823,0.018144253187923978,0.022363218985833187,0.011177481841956457
2.0,0.16606248131958898,0.03570600531739872,7.32192,7.32192,1.0,0.6634363733720328,0.22584483737319244,0.29914594314543996,0.37172814660066916,1.9689565824222441,0.2363379073790493,0.5214641207298274,0.27673601115354246,0.11530715005035247,0.6702852174134787,0.21937531988391096,1.9261017369745588,0.27406164814426504,0.2852752880921895,0.5128774642944336,0.3727475129095271,0.23621688605487748,0.11389601892395189,0.013478710098296435,1.5235310600110097,0.01317456651477355,0.013739083925424611,0.005843560779707678
3.0,0.16403273467117432,0.038535761448786336,10.98288,10.98288,1.0,0.6668229692666717,0.23093145659733372,0.3012261230388639,0.3843649966100163,2.0137532753775766,0.24582248807120047,0.5293511580544535,0.2740425594904166,0.11530715005035247,0.6715665038868915,0.22198847686193163,1.9490450935791954,0.2691745799853908,0.2894205823003747,0.5265462398529053,0.3853707186492618,0.24583623551806832,0.11389601892395189,0.009620953189530141,1.1457760853281798,0.009899270550954978,0.009453248883971357,0.0062105322359701275
4.0,0.16214957047856432,0.028849786394537134,14.64384,14.64384,1.0,0.6700804615429142,0.2359122407819881,0.3052820786053997,0.37553271898307644,2.0588585865940945,0.23900798786033195,0.5227165091820326,0.28000489099815457,0.11530715005035247,0.6725286578025037,0.22360444512934438,1.9632331949955562,0.2750795334040297,0.28956043956043953,0.5165808200836182,0.3765773672892323,0.2390116257837904,0.11389601892395189,0.00835553762784245,1.046391247158681,0.008674106467678053,0.008143504126655198,0.0061124186341824345
5.0,0.1627244635642719,0.030857804359710084,18.3048,18.3048,1.0,0.6721745619493735,0.23894049580030097,0.3036826488359827,0.3678879792720439,2.0800696832349486,0.2329769091161436,0.5232326925975108,0.2855766089581418,0.11530715005035247,0.674216759853039,0.22563558408884282,1.981066469403985,0.28324299388767155,0.29011976047904187,0.5178223252296448,0.3687752623119822,0.23288814709920738,0.11389601892395189,0.007786155035605264,1.024734305754464,0.008215561795354258,0.0074873500132249474,0.00482875462397562
6.0,0.16414613013073223,0.049972008724327555,21.96576,21.96576,1.0,0.6742411099984638,0.24067867158714285,0.30940430242703415,0.37720441812797556,2.095237748779157,0.23968385437941533,0.5268040452366329,0.2788488784936651,0.11530715005035247,0.6733503708036706,0.22652852662482909,1.9889064496282496,0.2753158211349509,0.2891466445733223,0.5226154327392578,0.3778496693353467,0.23963586666594225,0.11389601892395189,0.007717646850362009,1.067246205408992,0.007679076611281969,0.007759469543675539,0.005415224872169533
7.0,0.16495141027373894,0.054206710770801955,25.62672,25.62672,1.0,0.6758666459880279,0.2446485168406448,0.31062276755251317,0.37603093072404375,2.129930091710309,0.2389528282849025,0.5180472523735579,0.2801567897088804,0.11530715005035247,0.673952669190579,0.22824207212390438,2.0039512731020133,0.2778076881662539,0.29144755051203985,0.5160256624221802,0.37672903241031963,0.23893342973754447,0.11389601892395189,0.007991143151367716,1.1635705806675105,0.007661765851860573,0.0082630552647582,0.00571078183751077
8.0,0.16349483501825068,0.03604200071200667,29.28768,29.28768,1.0,0.6776219130476223,0.24747738444959644,0.3116338450744814,0.3727361666336881,2.154882382717957,0.23605230144804337,0.5219301206659064,0.2806337643578075,0.11530715005035247,0.6740310781650634,0.2284580340447949,2.005847405406995,0.28251071781906123,0.2893499308437068,0.5165491104125977,0.37317900276608873,0.2360819593179595,0.11389601892395189,0.006959780615311012,1.0735703543286945,0.0066909641894525975,0.007189093465515251,0.0051126499820803115
9.0,0.16389183684035194,0.06304876263371126,32.94864,32.94864,1.0,0.6800026112335721,0.2509354884433882,0.315174331142495,0.3715423067050638,2.189852895687388,0.2348239531846447,0.5312524537733133,0.28437605368461255,0.11530715005035247,0.6743452411399741,0.22651173712733408,1.988759038878922,0.28022400351378063,0.29034941763727123,0.5200518369674683,0.37218123774138756,0.23507293265363002,0.11389601892395189,0.007639034779971278,1.2442716708756052,0.006689994501579227,0.008454752984710765,0.005670260354290589
10.0,0.16149892877194588,0.04420528857896295,36.6096,36.6096,1.0,0.68237662282767,0.2543553460953001,0.32011402103222036,0.37061569901804126,2.218370091625427,0.2343230702923938,0.522869691899851,0.28449453545073133,0.11530715005035247,0.6744882044942198,0.22781085989501568,2.0001652564092205,0.2805302042590178,0.2910658940843552,0.5158126950263977,0.3712379985126481,0.23456095434723584,0.11389601892395189,0.008016568913002564,1.3838501800310041,0.006216086711055948,0.00960360402929009,0.005867350158064182
