round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6887455961304141,0.11898072311601497,0.526995,3.65056,0.9971592150692714,1.7056082318954366,0.20525091058242084,0.5032322857648974,0.38565319067679443,0.11417421953675731,0.19398638303712581,0.6161743953926548,0.2706694035507027,0.24984300207104934,0.4891201524166053,0.11852397996082684,1.040633211595965,0.2004452319294898,0.20453723788864786,0.4939936101436615,0.38899175130437186,0.2522684599654268,0.11389601892395189,0.4940665435699291,10.453923597931862,0.3148937632175251,0.6383049934665919
2.0,0.6883809646708826,0.07546196786130366,1.05399,7.30112,0.9971592150692714,1.8945154573747154,0.23974144187147872,0.5028144016426737,0.3738671044752466,0.11417421953675731,0.21113575849356905,0.6397037639902794,0.28307967958576613,0.23972824052905056,0.5183960279680093,0.12314475447670468,1.0812033259821676,0.19649288539883097,0.20831478678892548,0.5011395215988159,0.3869053459118282,0.25067774164148926,0.11389601892395189,0.0648044977015922,1.3713151848423877,0.05812044335323228,0.0699012832079563
3.0,0.681547487087896,0.10721143365141514,1.580985,10.95168,0.9971592150692714,1.9633724771302647,0.25596662635703893,0.5070579823534205,0.37127009172401465,0.11417421953675731,0.21924827571105274,0.6548937100058168,0.2909139288975362,0.23680123794525157,0.4743037300635018,0.11635690290389236,1.0216064091018282,0.18995156235160035,0.2045002711006687,0.4377763569355011,0.38503640015806,0.24949151020967925,0.11389601892395189,0.03660396982768061,0.8865155500443507,0.03335607386677771,0.039330195098144866
4.0,0.6772847142538398,0.11220270747986223,2.10798,14.60224,0.9971592150692714,1.9908935528652687,0.2644472271549063,0.5066410210921475,0.3655652515759011,0.11417421953675731,0.22270795351953598,0.6596297992199439,0.2931376656102209,0.23191854102874293,0.43901614005067674,0.10943570177811372,0.9608386913960855,0.16447157083199487,0.20450951154489178,0.42520788311958313,0.3856368666926582,0.250067561044915,0.11389601892395189,0.024160642229171005,0.67402934267011,0.020602956345772392,0.027428653590818947
5.0,0.6701022727548233,0.12430421579323898,2.634975,18.2528,0.9971592150692714,2.0120267412259216,0.26556267798168515,0.5149784374978367,0.36262689163760176,0.11417421953675731,0.2250587128112457,0.6614112985194172,0.2960860194033943,0.22919508537739294,0.49415570777426987,0.1197764028158439,1.0516294067821486,0.17708880714661063,0.2045002711006687,0.43933728337287903,0.3832881750746218,0.2480063243001039,0.11389601892395189,0.02103721048697745,0.662096877109434,0.018432327897282063,0.023596270089249055
6.0,0.6655707038766003,0.15447710403620366,2.634975,18.2528,0.0,2.1092582395510457,0.28040885065082266,0.5500998687550561,0.3432539840414557,0.11417421953675731,0.2367567329068121,0.6747763227695127,0.3056704060587904,0.21687639644784631,0.49415570777426987,0.1197764028158439,1.0516294067821486,0.17708880714661063,0.2045002711006687,0.43933728337287903,0.3832881750746218,0.2480063243001039,0.11389601892395189,0.0,0.0,,
7.0,0.6515698145837336,0.33387880426514593,2.634975,18.2528,0.0,2.2025234433515988,0.2944388637173806,0.5407704607380063,0.34272182061808687,0.11417421953675731,0.2467211086356355,0.6867781661934083,0.31910135048707,0.216019080033921,0.49415570777426987,0.1197764028158439,1.0516294067821486,0.17708880714661063,0.2045002711006687,0.43933728337287903,0.3832881750746218,0.2480063243001039,0.11389601892395189,0.0,0.0,,
8.0,0.6326797689882029,0.3640311536731675,2.634975,18.2528,0.0,2.265900008835509,0.3007462037806994,0.5333634343388427,0.3191275739913838,0.11417421953675731,0.25319686383100715,0.6921436740253171,0.3233104853983439,0.20054913263225504,0.49415570777426987,0.1197764028158439,1.0516294067821486,0.17708880714661063,0.2045002711006687,0.43933728337287903,0.3832881750746218,0.2480063243001039,0.11389601892395189,0.0,0.0,,
9.0,0.6673808147061338,0.14987301356113392,3.16197,21.90336,0.9971592150692714,2.018575430541773,0.27461864958192894,0.513790321512915,0.35404747290478605,0.11417421953675731,0.22665023683375482,0.66320084756126,0.29640171166138946,0.2224259870833458,0.43099996440975485,0.1065088088305996,0.9351407523885035,0.16102577453788075,0.2045002711006687,0.42172911763191223,0.38536893285282586,0.25001095066011797,0.11389601892395189,0.01938051471604169,0.6812122594710672,0.014806550004637709,0.024122154981991148
10.0,0.6615743423005116,0.16184109347740377,3.16197,21.90336,0.0,2.126023237628196,0.28405735272479704,0.5451384396193791,0.3374094884488113,0.11417421953675731,0.23860535410856634,0.6735462697892056,0.3082933349080372,0.21287819665885302,0.43099996440975485,0.1065088088305996,0.9351407523885035,0.16102577453788075,0.2045002711006687,0.42172911763191223,0.38536893285282586,0.25001095066011797,0.11389601892395189,0.0,0.0,,
11.0,0.6446701418925926,0.2518013262914317,3.16197,21.90336,0.0,2.224347127427031,0.28641404412461224,0.5594500942495234,0.3558234675400042,0.11417421953675731,0.24917106089642155,0.6842762733684637,0.3155302119513622,0.22587597600262635,0.43099996440975485,0.1065088088305996,0.9351407523885035,0.16102577453788075,0.2045002711006687,0.42172911763191223,0.38536893285282586,0.25001095066011797,0.11389601892395189,0.0,0.0,,
12.0,0.6328630595084579,0.36310954355220404,3.16197,21.90336,0.0,2.291798731160058,0.2919432514163894,0.581226058988968,0.3435658634553991,0.11417421953675731,0.2562190783567165,0.6921066904778943,0.325116563433145,0.2179087124572116,0.43099996440975485,0.1065088088305996,0.9351407523885035,0.16102577453788075,0.2045002711006687,0.42172911763191223,0.38536893285282586,0.25001095066011797,0.11389601892395189,0.0,0.0,,
