round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_auprc_lift,fed_brier,fed_ece,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.17316177787311432,0.03363965103761459,3.66096,3.66096,1.0,0.20518990149823038,0.25401305772496746,1.8456892777014584,0.236028466093645,0.37342965362055475,0.11170547514159847,0.49549985325621526,0.6439833280831907,0.2774863293903771,0.649132576875808,0.19919685427024875,1.748936057222966,0.2641160949868074,0.2700636942675159,0.49540260434150696,0.3711006841300041,0.23615893889356054,0.11389601892395189,0.020694661818346727,2.221613366436941,0.0175579148912249,0.02292926666700189,0.007566211417584794
2.0,0.1683984019080695,0.04393955906375253,7.32192,7.32192,1.0,0.21447221152671994,0.26307674721488267,1.9347739347782218,0.23845582296781495,0.37727350297590845,0.11170547514159847,0.506569815030857,0.6529828814913677,0.2897278187593569,0.6576701194893538,0.205868774446749,1.807515103615756,0.27404217732140884,0.2765317919075144,0.5017713308334351,0.37489098959044953,0.2385218911450093,0.11389601892395189,0.01376798939124135,1.5518828089934686,0.013672329129236278,0.013912589759534412,0.005513563192025556
3.0,0.16267338956218055,0.029097848868240107,10.98288,10.98288,1.0,0.21895471812246087,0.2698374577137931,1.975145267644956,0.22851980025715152,0.36453904637643714,0.11170547514159847,0.4930130539242765,0.6562592884375257,0.29083065940725017,0.66002637944954,0.209178402329471,1.83657343167665,0.27186693432750214,0.2769968399259017,0.4864331781864166,0.3620383415364243,0.22863396070685088,0.11389601892395189,0.010093615634833596,1.199183091704981,0.010582235652374091,0.009809183457857756,0.004911550096925942
4.0,0.16325549674480563,0.0382796562993524,14.64384,14.64384,1.0,0.22278286109253023,0.2702837741349557,2.0085569913877084,0.2348922849029698,0.3731207536274414,0.11170547514159847,0.504292023577654,0.6596594406852414,0.2946912051416043,0.6604907342628997,0.21149296374466353,1.856895137712205,0.2715703444249854,0.27719369187222,0.4928516745567322,0.37063985071542715,0.23495616690129978,0.11389601892395189,0.00909338889539094,1.1344154885209718,0.009052103485344038,0.009156183080985363,0.004957010614795802
5.0,0.16478141911186683,0.037416482484170926,18.3048,18.3048,1.0,0.22409667473332853,0.27041787360047154,2.0117361635355246,0.2381665971379443,0.37761858370485646,0.11170547514159847,0.5125390103078622,0.6612802862815423,0.29336372232360963,0.6601988716637345,0.21208609249117158,1.8621027714127654,0.2740609024227606,0.2748377159203433,0.4993063807487488,0.3752226302389638,0.23825970362852766,0.11389601892395189,0.007863649136180807,1.03240194033242,0.008070497194290625,0.007735412059533854,0.0049063389028083165
6.0,0.16251272974337988,0.03201311387765789,21.96576,21.96576,1.0,0.22568412169110685,0.2737728847052274,2.0265392322547098,0.23623383742753418,0.37533179167833913,0.11170547514159847,0.5153035290684619,0.6636284170487807,0.2958328677450356,0.6592722201471006,0.2116341132187834,1.858134421362796,0.2725011307100859,0.2735163504238999,0.4919761121273041,0.3729065884023003,0.23644812705589202,0.11389601892395189,0.008551009496206526,1.182799445578894,0.007345412619100068,0.009485255515742289,0.0049829522545408
7.0,0.16518362199001502,0.04781850322956993,25.62672,25.62672,1.0,0.22812434212174995,0.27324626155232734,2.0429448599305786,0.2391104860141025,0.3790820290319869,0.11170547514159847,0.5160786005218797,0.6661519797543017,0.2974142321245966,0.6594468959658984,0.21277751827922864,1.8681734470570013,0.27361025005166356,0.27442192115717634,0.4990130066871643,0.3766941880611631,0.23938123574278328,0.11389601892395189,0.00900807179779678,1.3188952623822843,0.007202766224954081,0.010421164497838125,0.006422650118861511
8.0,0.16365164378551816,0.05131566462124916,29.28768,29.28768,1.0,0.23028954396104998,0.27718123911291326,2.060054406089156,0.233815415483008,0.3722756984644224,0.11170547514159847,0.5147423635532901,0.6687825360530919,0.30064445135044965,0.6581354908083046,0.2112045874779756,1.8543632119310194,0.27254464285714286,0.27453097584019437,0.5124572515487671,0.3698669531587878,0.2342835843609817,0.11389601892395189,0.007731124011185563,1.19863284233179,0.0064157552239464755,0.008791195680902216,0.006382752294097429
9.0,0.16306120484226588,0.048494935959292926,32.94864,32.94864,1.0,0.23123721872243042,0.27840144098615105,2.06794028918496,0.23567611928180635,0.3749720584284666,0.11170547514159847,0.5151122503418678,0.6690215444440347,0.29814513943389825,0.657668739049662,0.2115227173070593,1.857156372149342,0.27203918076580585,0.27450980392156865,0.5070508718490601,0.372340018371312,0.23605224810097833,0.11389601892395189,0.008294021949312303,1.3577148968543042,0.006705018226271137,0.009615201854905914,0.00714336194457194
10.0,0.16167232402953774,0.03954491818008637,36.6096,36.6096,1.0,0.23429240031019846,0.2783423070119729,2.091166866817432,0.2367003734664217,0.3767687268175365,0.11170547514159847,0.525626781168338,0.6704768951337683,0.3045048054844737,0.6574595647880255,0.21022497631312895,1.8457622865070964,0.27041413818801235,0.27417612101566724,0.5186356902122498,0.37409150305395006,0.2372543144740187,0.11389601892395189,0.0069577350112209144,1.2131259849811613,0.006024466824558432,0.0077602011994293545,0.005251822057578311
