round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885166441899754,0.0992277843805413,3.65056,3.65056,0.9971592150692714,0.25772577549622483,0.5163360322289423,0.25970604929607816,0.3992944797302814,0.11469218179529145,0.16811122676753784,0.559365304392104,1.4789172439676757,0.20507426619854427,0.6438790877391907,0.2074052657993237,1.8210054026366604,0.2597269274201827,0.26583000570450654,0.5027387738227844,0.3854996694718845,0.24842613773539063,0.11389601892395189,0.025633722850111354,2.7566237612627447,0.021274457277045376,0.028518349482289904
2.0,0.6818347592963174,0.11464748786553805,7.30112,7.30112,0.9971592150692714,0.28645517112777685,0.5253401057262137,0.2421422116015218,0.3782867767694358,0.11469218179529145,0.20952652895016874,0.6424731939422249,1.8414794663814973,0.24422319620170643,0.6567031842326279,0.21727330299737416,1.9076461587515807,0.2772456639917163,0.28048222188310695,0.5030006170272827,0.38426318168610146,0.24693044499016667,0.11389601892395189,0.019930566685407155,2.258619653992355,0.015479133588481383,0.022910080263633205
3.0,0.6723980880869067,0.16806741451247573,10.95168,10.95168,0.9971592150692714,0.3012949995820128,0.5171523302921073,0.22710009398434977,0.35875575453039227,0.11469218179529145,0.22854019149267896,0.6654766378916438,2.03541462462757,0.2645128606326251,0.6613212695286412,0.2213798641207482,1.9437015113632992,0.2815065815196142,0.283458244111349,0.5005432963371277,0.3822643765686107,0.2448098609069592,0.11389601892395189,0.015499008885263852,1.8845391506329179,0.013098795233840386,0.017139329914766258
4.0,0.6622111392802927,0.22472226936401918,14.60224,14.60224,0.9971592150692714,0.30567665593976345,0.537906184516745,0.23108896147477923,0.3641480397727107,0.11469218179529145,0.2307677155297222,0.6684019609185895,2.0561501471600443,0.2700122789194171,0.6594649295280518,0.22275229650835837,1.955751382821287,0.27212625293239495,0.28143146522619855,0.5076545476913452,0.39012999753208305,0.25050358956287255,0.11389601892395189,0.01177607352894061,1.5352598396129906,0.010543858415374542,0.012651550494289517
5.0,0.6555366969600172,0.23156748846888334,18.2528,18.2528,0.9971592150692714,0.30954304535996413,0.5331064877372897,0.22532103231373513,0.3566168450399713,0.11469218179529145,0.2321573870889951,0.6696712414040774,2.067856276676972,0.2772771686750488,0.6594613152859501,0.22467181978586054,1.9726046784468683,0.2685743484925907,0.28094997473471456,0.5044626593589783,0.38904169334445654,0.2498073147496592,0.11389601892395189,0.010135560506379754,1.4026477446313947,0.0095208330357499,0.010590355658544732
6.0,0.6517258595555612,0.23893752246086936,18.2528,18.2528,0.0,0.32291697931276453,0.5597181377690188,0.21290087782128622,0.3363471372308867,0.11469218179529145,0.25118951153661534,0.6870523681561683,2.243017276858462,0.29690337779937115,0.6594613152859501,0.22467181978586054,1.9726046784468683,0.2685743484925907,0.28094997473471456,0.5044626593589783,0.38904169334445654,0.2498073147496592,0.11389601892395189,0.0,0.0,,
7.0,0.6430742883195568,0.3455318763957306,19.92192,19.92192,0.4559241291901578,0.31292245841080585,0.5361880926563295,0.21006384850497076,0.33256768035485146,0.11469218179529145,0.24113764513683406,0.6765191155796415,2.1468604802995994,0.290452854153326,0.6601331627344131,0.22639939696540745,1.9877726992071059,0.2717505793132505,0.28257613579630547,0.5115294456481934,0.388183199739569,0.24923650644044246,0.11389601892395189,0.009637575524205483,0.6156569428276271,0.009637575524205483,
8.0,0.6398642933415295,0.3928732517325803,19.92192,19.92192,0.0,0.33263429155396146,0.543209188766088,0.20784597992848125,0.3292428547225449,0.11469218179529145,0.2584180596245249,0.6938339088704661,2.310613730609493,0.30756356472246854,0.6601331627344131,0.22639939696540745,1.9877726992071059,0.2717505793132505,0.28257613579630547,0.5115294456481934,0.388183199739569,0.24923650644044246,0.11389601892395189,0.0,0.0,,
9.0,0.6469729626394356,0.24965356625346796,23.57248,23.57248,0.9971592150692714,0.31296846320750926,0.5463955878843727,0.2169045326294658,0.343112977607363,0.11469218179529145,0.23832544834641856,0.6752850339354479,2.120584600217966,0.28486507956070645,0.6616917920913256,0.2262358781890956,1.986337014467141,0.2743088910235884,0.2831181252989,0.5154740214347839,0.3854500627180514,0.24643444163912923,0.11389601892395189,0.00890128698969603,1.3552673310041428,0.006961017663790202,0.010520707166890353
10.0,0.6438598437321366,0.31122112214395203,23.57248,23.57248,0.0,0.3259211796284796,0.5753894230475374,0.2236599380597001,0.35394688908338545,0.11469218179529145,0.2542559330038351,0.6903288385572303,2.270316173721789,0.29992184446756714,0.6616917920913256,0.2262358781890956,1.986337014467141,0.2743088910235884,0.2831181252989,0.5154740214347839,0.3854500627180514,0.24643444163912923,0.11389601892395189,0.0,0.0,,
11.0,0.6308971990888858,0.3357424514875324,25.55392,25.55392,0.5412350858791136,0.337525343315673,0.5567093555282379,0.21465411587938105,0.3416940246483687,0.11469218179529145,0.26415511682245224,0.7002988672914303,2.3629276251877367,0.3066499505206425,0.6620445697292466,0.22649295090931323,1.9885940970469043,0.27382978723404255,0.2822725052905747,0.5168242454528809,0.38372279995130576,0.24486891702124122,0.11389601892395189,0.011032195815537145,0.9690494036767632,,0.011032195815537145
12.0,0.6115199281824056,0.4384658871988528,25.55392,25.55392,0.0,0.3525645424838575,0.5758144612424427,0.21138852667327926,0.3353471099949524,0.11469218179529145,0.2811637625441287,0.7128260783526793,2.5166575703095067,0.30856351347222954,0.6620445697292466,0.22649295090931323,1.9885940970469043,0.27382978723404255,0.2822725052905747,0.5168242454528809,0.38372279995130576,0.24486891702124122,0.11389601892395189,0.0,0.0,,
