round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best_threshold,fed_auroc,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6898707870134091,0.08418005679503884,3.66096,3.66096,1.0,0.21177119001965747,0.5208749871741098,0.6461297338568369,0.26169086242721545,1.8713370005126853,0.11468496254799518,0.2858825604733641,0.24348039033624794,0.38148292042973897,0.6498609972527243,0.20854776167752204,1.831036445766984,0.25695970695970693,0.2677663540842843,0.5122179985046387,0.38160096785761677,0.24331284437618797,0.11389601892395189,0.025515228146023416,2.746740612497888,0.023183447185609992,0.0272124364446979,0.011591275369510524
2.0,0.6610162632476524,0.17248639352560266,7.32192,7.32192,1.0,0.2192523576194486,0.5279463472522106,0.6520274914431292,0.2733696985132438,1.9423708876317554,0.11468496254799518,0.29421692363169066,0.21838043387455278,0.3441770011236123,0.6550705507587926,0.21282146076173267,1.8685592593348945,0.2686532951289398,0.26957113682777406,0.5229443907737732,0.3441060952517124,0.21783641875667353,0.11389601892395189,0.018058014180381804,2.0902307029064104,0.01701331903709733,0.018871764130096856,0.006133152256027764
3.0,0.6462698316404736,0.31711880832610795,10.98288,10.98288,1.0,0.22735533615913095,0.5434447776800796,0.6580587599273721,0.2731246859503186,2.0134824191058995,0.11468496254799518,0.2998278682316554,0.22410450559701434,0.3531234010058877,0.6587488076138428,0.21603169400697864,1.8967449086277766,0.26841351976219313,0.27318265119120344,0.5125007629394531,0.3528518652383776,0.22371174488034629,0.11389601892395189,0.012771929328928807,1.6016621280050458,0.012607397216752773,0.012956511410511672,0.004690243354281133
4.0,0.6462204244092997,0.3466407692730487,14.64384,14.64384,1.0,0.23019669380156474,0.5321378101784503,0.6592296229159097,0.27602420920367604,2.0346995402801347,0.11468496254799518,0.30385310128650544,0.21706913411491155,0.3409383510715254,0.6587935589587548,0.21511472107910556,1.8886939430493805,0.27110748806335155,0.27339102217414823,0.5211453437805176,0.34044848736309014,0.2167507591036764,0.11389601892395189,0.010245493908740062,1.3664964859453903,0.010186751194568326,0.010337421478551405,0.00425481019354055
5.0,0.6431179845612633,0.3274426616719131,18.3048,18.3048,1.0,0.23298859180899753,0.531169606418556,0.6614627179204918,0.2788203427134904,2.058974754694153,0.11468496254799518,0.30783400796872995,0.21139424956253325,0.3342060679509459,0.659673451218198,0.21464760357203067,1.8845926802353854,0.2724050632911392,0.2758341213021748,0.5084538459777832,0.3337810512721565,0.21136940054537062,0.11389601892395189,0.009660691187140694,1.3687721622445679,0.009744775883435095,0.009641018148480198,0.004325949049825738
6.0,0.6406194197756585,0.34885080726365925,21.96576,21.96576,1.0,0.2378681840140579,0.5361894430842267,0.6635911987069857,0.2790702325769332,2.099490073543183,0.11468496254799518,0.30658494510627204,0.207679616452862,0.32551565203472643,0.6593020878422468,0.21398420311890265,1.8787680652980454,0.2737661074641381,0.274757281553398,0.499671995639801,0.32509194803422997,0.20793451859580894,0.11389601892395189,0.008269855229105833,1.247277946647955,0.00816306570831362,0.008382803432288201,0.0040423234913730295
7.0,0.6422365213044239,0.4275800940223774,25.62672,25.62672,1.0,0.23885921899137866,0.57204967868698,0.6665570516245667,0.2723125587335211,2.1073651883339473,0.11468496254799518,0.30707826547079375,0.23894850458645286,0.3731131686744556,0.6601177771065773,0.21591899302470738,1.8957554009756565,0.2661920300603184,0.27859200801703615,0.5460069179534912,0.37302014195983235,0.23937827804347436,0.11389601892395189,0.009011107971683814,1.435486306405437,0.008032235051330586,0.00982095285318657,0.004117627094884322
8.0,0.6415206177456316,0.326815923125535,29.28768,29.28768,1.0,0.24413541868867034,0.5437223160233858,0.6681124029535244,0.2803940373110949,2.152659058561009,0.11468496254799518,0.30965151034613975,0.20867642268425374,0.3274131502393149,0.6598588568182351,0.21401821103028798,1.8790666526561166,0.27467400406747217,0.2756290773532153,0.4943080246448517,0.3269332713189755,0.20929025097166748,0.11389601892395189,0.008001239171132893,1.354955203634745,0.007655436424119846,0.008308212890630632,0.004347710186666428
9.0,0.6424373807581898,0.46601669478669355,32.94864,32.94864,1.0,0.24911935425026324,0.558852228102663,0.6714212018722503,0.2785331658173947,2.195304172491408,0.11468496254799518,0.31501114798862234,0.22479910103153758,0.35543033999985374,0.6599876894898191,0.21537825873220703,1.8910077873399123,0.2731516664857236,0.27787478174108254,0.5224510431289673,0.3555480278936544,0.22593359638210275,0.11389601892395189,0.008206234651280283,1.4814470218698261,0.0070585733278110555,0.009203000753842182,0.003811126965569357
10.0,0.6405577719430996,0.35735356110797245,36.6096,36.6096,1.0,0.2535060825353496,0.5547867054612713,0.6734790220372414,0.28380967630355075,2.23361107591142,0.11468496254799518,0.3187331585300563,0.21964428263481273,0.3483427180454595,0.6592207673949582,0.21407688932501248,1.8795818444536778,0.27591953338888225,0.2769125057260651,0.49272939562797546,0.3480215146091433,0.22106927376115626,0.11389601892395189,0.008445083069749207,1.620983389138928,0.006608354577727715,0.010059895513213395,0.004575036715836158
11.0,0.6406623894909893,0.40058400072114314,40.27056,40.27056,1.0,0.2547719556388355,0.5709534241587096,0.6756710903533839,0.2796068835406981,2.244193342537874,0.11468496254799518,0.3179234544834386,0.2243397240799361,0.3540618496164918,0.6581998318473862,0.2145600917256149,1.8838243316377563,0.27303981368526115,0.2779082704907899,0.5195943713188171,0.35411582012332266,0.22613041246162652,0.11389601892395189,0.0076113130226679974,1.5622678139043273,0.006099453327047237,0.008970078641324602,0.003921024458627729
12.0,0.6376684441426375,0.43831477968515353,43.93152,43.93152,1.0,0.2550708704279846,0.5548105895267886,0.6777961840809715,0.28603544842674555,2.2443802820865093,0.11468496254799518,0.318199244499307,0.215915193906086,0.3424477315015817,0.656791682966313,0.2134199434986189,1.873813900739752,0.27359846669861043,0.2757556270096463,0.5134996175765991,0.342181688254196,0.21774312669949414,0.11389601892395189,0.007162841142737066,1.5633434272385784,0.005380446979807961,0.008791515120900135,0.004135465940453675
