round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_auroc,fed_ece,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6898173770069603,0.08992397046228696,3.65056,3.65056,0.9971592150692714,0.21663562612361192,0.1958726791568995,0.24346098584735823,0.49625902872885547,0.10966320428076802,0.6212679298567241,0.38369396876756007,1.7914628884781278,0.2728214836310448,0.41710017911079506,0.11268340273644675,0.9893533048919401,0.1961626714836694,0.2047450873856742,0.4959355890750885,0.3945660313426461,0.25679736517927665,0.11389601892395189,0.02708237324684693,2.914285067934543,0.022927390209286316,0.02982628063688213
2.0,0.6838466085767061,0.11455986651424215,5.632,5.632,0.5412350858791136,0.25896828368048674,0.21959704131044047,0.24492704709859797,0.5415224764626245,0.10966320428076802,0.6677901128810556,0.38824466518684864,2.0453861911449955,0.3038303527022001,0.45693577828110565,0.13267905708231084,1.1649139130218444,0.2043948061382003,0.2046177620216344,0.5001668930053711,0.40191173486419446,0.2623662776534643,0.11389601892395189,0.02395447559407801,1.6446320826653391,,0.02395447559407801
3.0,0.6731613181237461,0.16390630123822064,7.61344,7.61344,0.5412350858791136,0.2772890426897194,0.22727563800238915,0.22898859344853278,0.5499570943440961,0.10966320428076802,0.683791397678088,0.36655713236759696,2.1343053988651293,0.3086195208332939,0.4738953081565562,0.1446011817558808,1.2695894300961534,0.2044803926023538,0.20478590564409938,0.4998377859592438,0.402378725556472,0.26252435168369537,0.11389601892395189,0.016809783362410232,1.239333125995472,,0.016809783362410232
4.0,0.6615442289488646,0.23199042488098276,9.59488,9.59488,0.5412350858791136,0.28385518037427904,0.23686667139195222,0.22728560204288517,0.5566754765862519,0.10966320428076802,0.6939897829972206,0.3653895400945293,2.2351962762468327,0.31596841044582014,0.4656845658158256,0.14352475062303038,1.2601384313429036,0.19539945584961663,0.20470726951158677,0.4955598711967468,0.39768251977387326,0.2588437094333651,0.11389601892395189,0.013582370835824342,1.059709510533139,,0.013582370835824342
5.0,0.6672884894298762,0.23005672935682653,11.264,11.264,0.4559241291901578,0.27302029993270044,0.22460732469551148,0.22472772796980695,0.5557767260907618,0.10966320428076802,0.6768687154213489,0.35836180400127954,2.125722045724616,0.3025814549287991,0.5022486860598532,0.16000219439130858,1.4048093682549316,0.20017559262510976,0.2046637989585692,0.4954492747783661,0.39933245124379635,0.2598781307129408,0.11389601892395189,0.01663235799712313,0.7590583749115467,0.01663235799712313,
6.0,0.6614980637938268,0.28909441012486925,13.24544,13.24544,0.5412350858791136,0.2785999083288908,0.2289301688948272,0.22486241794477507,0.5306754916259093,0.10966320428076802,0.683225483866658,0.36108558219598086,2.1561754540819096,0.3123144560404764,0.499124487499215,0.15256484703199102,1.339509918549991,0.20318486037387493,0.20478434215295396,0.4979502558708191,0.4044358505625041,0.26409711093377375,0.11389601892395189,0.011790550379525073,0.9654604285024107,,0.011790550379525073
7.0,0.6416289477252073,0.2929952313504026,15.22688,15.22688,0.5412350858791136,0.2874527231575649,0.23906721496189437,0.21524961227038322,0.5280908406024691,0.10966320428076802,0.6969318789325255,0.3491282431869001,2.2554344607077303,0.3173430564141559,0.5271454429753164,0.1714234033666596,1.5050868764879184,0.2015052197135227,0.22469307389390777,0.528920590877533,0.4011051930339787,0.26093743586288015,0.11389601892395189,0.01169251552792024,1.001354943960905,,0.01169251552792024
8.0,0.628096550050754,0.3873174940805558,17.20832,17.20832,0.5412350858791136,0.29745133285685654,0.24923387440096811,0.21571398904627562,0.564752496823523,0.10966320428076802,0.7044953674013519,0.3472791141980769,2.374894288846282,0.32681320045965107,0.5244367944102132,0.1701732972986866,1.494111022548654,0.20348347223522803,0.21855864342910974,0.5347105860710144,0.40449871303054946,0.2636429904571439,0.11389601892395189,0.0103141006627112,0.9220781635958701,,0.0103141006627112
9.0,0.6125714764329967,0.47445538435852636,19.18976,19.18976,0.5412350858791136,0.3053292505625693,0.2620059591561408,0.20865905365987433,0.5876481077732588,0.10966320428076802,0.7135031135152926,0.3368297078965368,2.507433193187308,0.33521507281152874,0.5463012147517902,0.18174761694982233,1.5957328330428722,0.2027844455112818,0.24683408456750375,0.5287262201309204,0.4024295354787629,0.2614708771301072,0.11389601892395189,0.010865629059608277,1.0193105585640296,,0.010865629059608277
10.0,0.6506378471074326,0.5231940020458905,22.84032,22.84032,0.9971592150692714,0.27819130803263986,0.22654430741968296,0.22243604289543475,0.5446850235052442,0.10966320428076802,0.6801993715211679,0.35610008982599695,2.1205274007240074,0.30070867285618813,0.5298972742038641,0.17742481228817153,1.557778875542943,0.20074425243411326,0.2292964244521338,0.5239942073822021,0.3983231155697992,0.2586466245487857,0.11389601892395189,0.00983691544702957,1.449297430808656,0.013397137313417797,0.008051709080176231
