round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_f1,fed_ece,fed_auprc,fed_auroc,fed_brier,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6889955321035707,0.08592063283145772,3.66096,3.66096,1.0,0.2898313814302554,1.929081821949236,0.26998615429940803,0.36768880210884874,0.2131912215880251,0.6646137266643528,0.23047408567585784,0.11142587346553352,0.5005890595282554,0.6616282542171554,0.21138851323366262,1.8559780686874248,0.27176520389445463,0.2743592918162684,0.49300092458724976,0.36560261496732477,0.23090868160248854,0.11389601892395189,0.02486596733389438,2.6966831672043554,0.021988437166048192,0.026928426940242084,0.009282085921942
2.0,0.664726282105242,0.17240582702519142,7.32192,7.32192,1.0,0.2991080774265557,1.9821015068176544,0.27290988479355494,0.37109166898365703,0.21895261898586424,0.6725994323957896,0.2330703971981171,0.11142587346553352,0.5580598025848027,0.6654058776310993,0.21649233647679675,1.900789321015234,0.2744109589041096,0.284043659043659,0.525499165058136,0.36913520658110394,0.23388694608827135,0.11389601892395189,0.017759815891182893,2.062651337852003,0.017090673907914983,0.018327631887950377,0.00542034548024263
3.0,0.6484694630242732,0.2973333607773957,10.98288,10.98288,1.0,0.29876155163926826,1.9926112287482076,0.2739434054786069,0.3488549964755145,0.22008753710497145,0.6736407412355648,0.2201404364242149,0.11142587346553352,0.5602951492458761,0.6681274395820451,0.22053821879510438,1.9363119174723502,0.27326602282704127,0.28189090909090914,0.5578070282936096,0.34741043717132564,0.22125649608097597,0.11389601892395189,0.011749156605170587,1.4615373751712468,0.012070172256666754,0.011602570656758317,0.004509614490819534
4.0,0.6477810396866868,0.3823458108697623,14.64384,14.64384,1.0,0.29696357470988927,2.017422907046166,0.27776810770629357,0.3558347759182663,0.22239216006240312,0.6759937423747076,0.22338024161364714,0.11142587346553352,0.5593313578449408,0.6691257610175778,0.2218419321054017,1.947758439682822,0.2802109607888099,0.2829389788293898,0.5161149501800537,0.3541061087795578,0.2242246668938047,0.11389601892395189,0.010188782818194441,1.3367471883620965,0.010686710486284888,0.009891698522588336,0.004510136051553643
5.0,0.6475819515179627,0.3313669374139827,18.3048,18.3048,1.0,0.29839724813853596,2.021526158046607,0.27795606853547355,0.35252084305892767,0.2232942252664836,0.6769400044787224,0.22185707644369304,0.11142587346553352,0.5492431544998663,0.6689529550670896,0.2216165730424147,1.9457798010515852,0.27758768177929855,0.2813078346699568,0.5634403228759766,0.35097890757588635,0.2230431962280429,0.11389601892395189,0.009027844936354142,1.2530556788133254,0.00920993809847022,0.008937042311380546,0.003915528186851052
6.0,0.6468645341800505,0.3955981789445203,21.96576,21.96576,1.0,0.29797985323226545,2.0348144643665624,0.28260985154831747,0.35081092759727645,0.22449047965271274,0.6773830213567539,0.2206081246563891,0.11142587346553352,0.5461313405725841,0.6697973323781025,0.2223879000654931,1.9525520045962361,0.27904869762174406,0.28058836639179857,0.4967402517795563,0.3490518959717887,0.22160303011228913,0.11389601892395189,0.00874703297013685,1.2822714605254077,0.008271701532197447,0.009142653341403302,0.004135363273383872
7.0,0.6470711303115321,0.3450295960787758,25.62672,25.62672,1.0,0.30074374066211657,2.0430547223818163,0.28285429748644436,0.3425716090425591,0.22565436451552506,0.6793622789459397,0.2135257700271668,0.11142587346553352,0.5290755148668652,0.6705813970240431,0.22320597832859818,1.9597346811360659,0.2804419084618186,0.28279195234348653,0.48742130398750305,0.3404783690375922,0.21446143876320378,0.11389601892395189,0.007864575874363787,1.218576531689905,0.007950339323054568,0.007825201620170984,0.0040432362721553134
8.0,0.643374056720687,0.3304297785593294,29.28768,29.28768,1.0,0.3014447919067024,2.070837885295261,0.28424513455109934,0.3421766152003294,0.22849791776926198,0.6810288263596894,0.21425189345747758,0.11142587346553352,0.5319574906910821,0.6702860080289385,0.22220675505810913,1.950961562637901,0.280477303481363,0.2842928216062544,0.5310428738594055,0.3400418595536269,0.21536068289446036,0.11389601892395189,0.007767960496931972,1.274846594704286,0.007108071331435957,0.008328053676475792,0.004660995992443884
9.0,0.6440878165568737,0.36784041870479744,32.94864,32.94864,1.0,0.3056388732985395,2.0866382914891464,0.2837897543042514,0.3360307143953637,0.23052053187306643,0.682563930478309,0.21103732409546808,0.11142587346553352,0.5453280049147831,0.6708538707202667,0.22262263816782654,1.9546129906127023,0.2799634034766697,0.28262158956109135,0.5490598082542419,0.3341503459606799,0.21261935439247373,0.11389601892395189,0.008416150072753628,1.460548294158798,0.007173055740314747,0.009492254261723747,0.004571819543811713
10.0,0.6424873734962291,0.4390862614390484,36.6096,36.6096,1.0,0.3050642347963824,2.102517817050493,0.28218698642285506,0.3459753549226546,0.23221763013151714,0.6845282483713196,0.2171429462555031,0.11142587346553352,0.538473891241955,0.6694432244982969,0.22151116551318972,1.9448543294660037,0.2802575575684819,0.28240017845192955,0.5040954947471619,0.3442658480052242,0.21901235818540205,0.11389601892395189,0.007667025123624255,1.4199977966345614,0.006579804391881411,0.008624215081097845,0.005077456669277745
11.0,0.6419021506595662,0.42610786304589165,40.27056,40.27056,1.0,0.3096056060619091,2.125590278580874,0.28822833102837164,0.3454289979648771,0.2350612019668643,0.6860452772242707,0.2170770122496195,0.11142587346553352,0.5588885701111664,0.6708817305031343,0.2221061627575198,1.9500783684618475,0.28111826048369204,0.2834787842311165,0.5588372945785522,0.34365080056102776,0.2189705827124619,0.11389601892395189,0.007501424130626646,1.4740985155895032,0.006251827824415231,0.008624792070346231,0.005756922623641349
12.0,0.6446381258666232,0.49204191949206316,43.93152,43.93152,1.0,0.3131283745970026,2.147819852899875,0.2873838571029803,0.345075710970987,0.23753520106448836,0.6867591553093556,0.21634754090399433,0.11142587346553352,0.5639255010034815,0.6696806099274496,0.22142742652092898,1.9441191062944487,0.27988080785785235,0.2822937866634742,0.5154508352279663,0.3433759536556091,0.21848774902359722,0.11389601892395189,0.007680456968952609,1.6012719393074804,0.005723434486810432,0.009483241301001259,0.0038932036565883774
