round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1_best,fed_ece,fed_auroc,fed_f1,fed_auprc_lift,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6878769642367238,0.11046987435203186,0.45728,3.65056,0.9971592150692714,0.5094055361981988,0.24905428679708794,0.1138595166163142,0.2675028736182027,0.3868509692750488,0.6213134979153611,0.19699438295281932,1.743119868630166,0.1977458947329762,0.5821309410798723,0.18882442477740533,1.6578667679638825,0.18957904032970269,0.24146788990825685,0.49449512362480164,0.37743043108467395,0.2427966434931001,0.11389601892395189,0.03374836072096704,3.62402888154611,0.031105575780646343,0.035527807525086406
2.0,0.681516885460351,0.12509097668942643,0.7056,5.632,0.5412350858791136,0.4975228169529669,0.22083101058346838,0.1138595166163142,0.2966909510116969,0.3514218895048023,0.6619388804334183,0.24809015276131197,1.9837584834129234,0.2232545107603629,0.5830351165284362,0.19432847389256386,1.7061919786881798,0.22865554465161925,0.2637004883342377,0.4923071265220642,0.37604451932024663,0.24154924897281033,0.11389601892395189,0.029216521250985516,1.985088889952749,,0.029216521250985516
3.0,0.6714908008875031,0.1887691807501568,0.95392,7.61344,0.5412350858791136,0.5261001883230331,0.23073023615911503,0.1138595166163142,0.3039864756902689,0.36605844777058677,0.6747945152942054,0.2706070954856014,2.0833373436544225,0.23452641787147704,0.6037020807342374,0.202252254418545,1.7757622815033454,0.24426158510177565,0.2782839158522445,0.4922187030315399,0.3759135292772018,0.24119369240782565,0.11389601892395189,0.028067074339908484,2.0389615506865084,,0.028067074339908484
4.0,0.6577628645641794,0.24349420722079412,1.20224,9.59488,0.5412350858791136,0.5239924459914188,0.21456721962503333,0.1138595166163142,0.3107504110293183,0.3425822816320207,0.6836865801955089,0.2852924645102644,2.156896650290484,0.24267099848994025,0.6442048464075111,0.21276708679650033,1.868081859283988,0.26114029966919633,0.27982678811408096,0.4901474118232727,0.37442362798532836,0.23965761154963008,0.11389601892395189,0.024960164315050885,1.9397875287104398,,0.024960164315050885
5.0,0.6677815888701595,0.29291472125944085,1.4112,11.264,0.4559241291901578,0.5063220764466253,0.21100371914510443,0.1138595166163142,0.29143016635554814,0.333908444325827,0.6590031617484264,0.2718875667613316,1.9435460923615109,0.21881356036296873,0.6551257934453611,0.219705692267527,1.9290023860642924,0.2816032887975334,0.28332513526807673,0.4983732998371124,0.376462514936021,0.24085332226311962,0.11389601892395189,0.030712564832220426,1.4342874204739928,0.030712564832220426,
6.0,0.6584310158002037,0.2592577925714931,1.65952,13.24544,0.5412350858791136,0.5373251808306421,0.22089044947171052,0.1138595166163142,0.3046219448648979,0.35069275142349227,0.6730899992346201,0.2799097236315115,2.066852155422888,0.2327756609364762,0.6071472189737269,0.20835855055220065,1.8293751837921672,0.2788026453184824,0.28475228475228476,0.49671071767807007,0.3792843794800494,0.24317335011847652,0.11389601892395189,0.021770297945772028,1.7580025354400277,,0.021770297945772028
7.0,0.641952364977271,0.3150974954795099,1.90784,15.22688,0.5412350858791136,0.5314651463360854,0.22353250522426432,0.1138595166163142,0.31367790612344804,0.3564403697675748,0.6828284701129996,0.2879965688826773,2.2045009316316313,0.24622385892019488,0.6257358810259769,0.21356056361472148,1.8750485366596998,0.28233749179251477,0.2850793650793651,0.49844643473625183,0.37955759095434066,0.24315488783974087,0.11389601892395189,0.024208197162107356,2.0375645053572953,,0.024208197162107356
8.0,0.6294922073999539,0.4174215082648839,2.15616,17.20832,0.5412350858791136,0.5420328650627313,0.20227419895611629,0.1138595166163142,0.324363291019514,0.3215991839108105,0.6916598605693853,0.29630581572815023,2.3092049396947605,0.25713599793032565,0.6068398829005638,0.20812385501958053,1.8273145715351504,0.28155018217952965,0.28492307692307695,0.4969935715198517,0.3815461177924684,0.2448205323016941,0.11389601892395189,0.02212004697676313,1.9383855117484927,,0.02212004697676313
9.0,0.6114857119109159,0.5951822910760657,2.40448,19.18976,0.5412350858791136,0.55884929450392,0.21366696167322866,0.1138595166163142,0.3312253253474891,0.34068296167484596,0.7028727489173848,0.3022537896235917,2.4019502174201324,0.26660296749624424,0.6027937388676952,0.2063717661348904,1.8119313395201666,0.28249841471147746,0.28465461288827076,0.49902957677841187,0.3843365550953163,0.24699735130853673,0.11389601892395189,0.025588733842791717,2.386550452094525,,0.025588733842791717
10.0,0.6541948951014457,0.5213483877235209,2.86176,22.84032,0.9971592150692714,0.5321737816529152,0.22184015062779894,0.1138595166163142,0.2962787435139499,0.3510660389175664,0.662192802729395,0.27183561446451593,1.9903552435884424,0.22501430787546145,0.6310855993585524,0.21622331421743338,1.8984273222210268,0.2784850926672039,0.2810271041369472,0.49608054757118225,0.38137131933147433,0.24448218532047902,0.11389601892395189,0.026351501256660144,3.8678144707810134,0.03430030731064639,0.022459143171918158
